SEX,SECTOR,TIME (ANNUAL),value
TOTAL,"Water supply, sewerage, waste management and remedation activities",2024,2101.8
TOTAL,"Water supply, sewerage, waste management and remedation activities",2023,1530.9
TOTAL,"Water supply, sewerage, waste management and remedation activities",2022,1183.6
TOTAL,"Water supply, sewerage, waste management and remedation activities",2021,1019.3
TOTAL,"Water supply, sewerage, waste management and remedation activities",2020,977.1
TOTAL,"Water supply, sewerage, waste management and remedation activities",2019,830.2
TOTAL,"Water supply, sewerage, waste management and remedation activities",2018,726.8
TOTAL,"Water supply, sewerage, waste management and remedation activities",2017,678.0
TOTAL,"Water supply, sewerage, waste management and remedation activities",2016,646.7
TOTAL,"Water supply, sewerage, waste management and remedation activities",2015,634.9
TOTAL,"Water supply, sewerage, waste management and remedation activities",2014,609.1
TOTAL,"Water supply, sewerage, waste management and remedation activities",2013,560.2
TOTAL,"Water supply, sewerage, waste management and remedation activities",2012,
TOTAL,"Water supply, sewerage, waste management and remedation activities",2011,
TOTAL,"Water supply, sewerage, waste management and remedation activities",2010,
TOTAL,"Water supply, sewerage, waste management and remedation activities",2009,
TOTAL,"Water supply, sewerage, waste management and remedation activities",2008,
TOTAL,"Water supply, sewerage, waste management and remedation activities",2007,
TOTAL,"Water supply, sewerage, waste management and remedation activities",2006,
TOTAL,"Water supply, sewerage, waste management and remedation activities",2005,
TOTAL,"Water supply, sewerage, waste management and remedation activities",2004,
TOTAL,"Water supply, sewerage, waste management and remedation activities",2003,
TOTAL,"Water supply, sewerage, waste management and remedation activities",2002,
TOTAL,"Water supply, sewerage, waste management and remedation activities",2001,
TOTAL,Construction,2025,2426.2
TOTAL,Construction,2024,2166.9
TOTAL,Construction,2023,1818.5
TOTAL,Construction,2022,1431.0
TOTAL,Construction,2021,1227.0
TOTAL,Construction,2020,1273.9
TOTAL,Construction,2019,1161.9
TOTAL,Construction,2018,1032.7
TOTAL,Construction,2017,852.3
TOTAL,Construction,2016,729.5
TOTAL,Construction,2015,662.8
TOTAL,Construction,2014,678.7
TOTAL,Construction,2013,719.0
TOTAL,Construction,2012,485.1
TOTAL,Construction,2011,341.7
TOTAL,Construction,2010,247.5
TOTAL,Construction,2009,234.8
TOTAL,Construction,2008,223.2
TOTAL,Construction,2007,167.7
TOTAL,Construction,2006,137.1
TOTAL,Construction,2005,110.9
TOTAL,Construction,2004,99.6
TOTAL,Construction,2003,85.9
TOTAL,Construction,2002,90.6
TOTAL,Construction,2001,73.7
TOTAL,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2025,2148.5
TOTAL,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2024,1818.6
TOTAL,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2023,1479.8
TOTAL,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2022,1257.4
TOTAL,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2021,1063.1
TOTAL,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2020,1001.7
TOTAL,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2019,904.8
TOTAL,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2018,818.6
TOTAL,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2017,793.0
TOTAL,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2016,742.5
TOTAL,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2015,695.3
TOTAL,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2014,723.7
TOTAL,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2013,735.9
TOTAL,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2012,356.8
TOTAL,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2011,273.0
TOTAL,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2010,231.6
TOTAL,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2009,214.3
TOTAL,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2008,193.8
TOTAL,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2007,123.1
TOTAL,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2006,84.0
TOTAL,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2005,73.0
TOTAL,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2004,73.8
TOTAL,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2003,64.6
TOTAL,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2002,57.6
TOTAL,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2001,54.9
TOTAL,Transportation and storage,2025,3128.6
TOTAL,Transportation and storage,2024,2541.6
TOTAL,Transportation and storage,2023,2100.1
TOTAL,Transportation and storage,2022,1646.2
TOTAL,Transportation and storage,2021,1287.0
TOTAL,Transportation and storage,2020,1203.4
