sex,year,life_expectancy_years
Female,1992,64.9
Male,1992,60.7
Female,1995,65.4
Male,1995,62.1
Female,1997,67.7
Male,1997,61.1
Female,1998,67.6
Male,1998,62.7
Female,2000,66.1
Male,2000,60.4
Female,2001,66.3
Male,2001,60.7
Female,2002,66.5
Male,2002,60.8
Female,2003,66.5
Male,2003,60.8
Female,2004,67.8
Male,2004,61.6
Female,2005,68.6
Male,2005,62.1
Female,2006,69.4
Male,2006,62.6
Female,2007,70.2
Male,2007,63.1
Female,2008,71.0
Male,2008,63.7
Female,2009,71.8
Male,2009,64.3
Female,2010,72.3
Male,2010,64.9
Female,2011,73.8
Male,2011,64.7
Female,2012,74.3
Male,2012,64.9
Female,2013,75.0
Male,2013,65.4
Female,2014,75.5
Male,2014,65.9
Female,2015,75.8
Male,2015,66.0
Female,2016,75.1
Male,2016,65.6
Female,2017,75.4
Male,2017,65.9
Female,2018,75.8
Male,2018,66.1
Female,2019,76.0
Male,2019,66.4
Female,2020,76.2
Male,2020,66.7
Female,2021,76.5
Male,2021,67.1
Female,2022,76.7
Male,2022,67.3
Female,2023,76.9
Male,2023,67.6
Female,2024,77.1
Male,2024,67.9
Female,2025,77.3
Male,2025,68.2
