он,сар,аймаг,аи92_үнэ,аи92_евро5_үнэ,аи95_үнэ,дизель_үнэ,дизель_евро5_үнэ
2026,7,Улаанбаатар,2590,2690,4110,4340,4940
2026,7,Баян-Өлгий,3430,,4450,4450,
2026,7,Говь-Алтай,3245,3745,4350,4650,5300
2026,7,Завхан,3300,4030,4400,4600,5000
2026,7,Увс,3560,,4400,4700,5270
2026,7,Ховд,3350,,4400,4550,5160
2026,7,Архангай,3025,3570,4240,4440,4980
2026,7,Баянхонгор,3045,3510,4250,4490,5290
2026,7,Булган,2970,3500,4260,4410,5190
2026,7,Өвөрхангай,2980,3450,4230,4390,5160
2026,7,Орхон,2940,3470,4240,4400,5150
2026,7,Хөвсгөл,3195,3630,4180,4480,4720
2026,7,Төв,2950,3500,0,4340,4950
2026,7,Дархан-Уул,2920,3450,4890,4500,5150
2026,7,Сэлэнгэ,3045,3570,4240,4560,5180
2026,7,Говьсүмбэр,2930,3560,4110,4590,5000
2026,7,Дундговь,3040,3430,4210,4610,
2026,7,Дорноговь,3030,3430,4230,4600,5220
2026,7,Өмнөговь,3010,3530,4190,4450,5350
2026,7,Дорнод,2990,3540,4230,4400,5150
2026,7,Сүхбаатар,3130,3560,4270,4450,5270
2026,7,Хэнтий,3000,3500,4190,4430,5200
