month,exports,imports,net
2009-01,170.077,120.737,49.34
2009-02,61.367,73.39,-12.023000000000003
2009-03,89.687,177.608,-87.921
2009-04,121.612,138.543,-16.93100000000001
2009-05,148.378,152.303,-3.9250000000000114
2009-06,169.655,193.242,-23.58699999999999
2009-07,158.936,188.064,-29.127999999999986
2009-08,159.669,178.793,-19.123999999999995
2009-09,183.409,207.447,-24.03800000000001
2009-10,192.912,213.295,-20.38299999999998
2009-11,190.972,199.94,-8.96799999999999
2009-12,234.193,215.701,18.49200000000002
2010-01,163.289,126.362,36.92699999999999
2010-02,148.108,158.84,-10.732
2010-03,187.234,271.049,-83.81499999999997
2010-04,230.355,237.626,-7.271000000000015
2010-05,260.464,219.062,41.40199999999999
2010-06,318.747,295.665,23.081999999999994
2010-07,229.741,302.325,-72.58399999999997
2010-08,255.094,285.441,-30.34699999999998
2010-09,232.035,272.98,-40.94500000000002
2010-10,250.282,271.298,-21.01599999999999
2010-11,274.692,324.677,-49.985000000000014
2010-12,357.839,314.568,43.271000000000015
2011-01,198.506,369.549,-171.04299999999998
2011-02,193.731,267.375,-73.644
2011-03,307.76,481.012,-173.252
2011-04,350.954,511.574,-160.62
2011-05,334.95,547.963,-213.01299999999998
2011-06,351.185,620.356,-269.171
2011-07,292.002,721.49,-429.488
2011-08,433.82,762.429,-328.609
2011-09,390.169,667.53,-277.361
2011-10,370.342,542.995,-172.65300000000002
2011-11,396.043,618.792,-222.74900000000002
2011-12,436.536,614.088,-177.55199999999996
2012-01,196.728,496.504,-299.776
2012-02,244.758,479.469,-234.71099999999998
2012-03,300.897,546.213,-245.31599999999997
2012-04,333.878,597.605,-263.72700000000003
2012-05,328.815,664.23,-335.415
2012-06,473.783,594.365,-120.582
2012-07,238.42,663.771,-425.351
2012-08,291.563,698.318,-406.755
2012-09,334.814,574.188,-239.37399999999997
2012-10,392.994,504.926,-111.93199999999996
2012-11,343.629,536.275,-192.64599999999996
2012-12,320.172,474.393,-154.22099999999995
2013-01,260.237,507.204,-246.96699999999998
2013-02,191.581,310.73,-119.14900000000003
2013-03,272.942,401.652,-128.70999999999998
2013-04,328.399,537.155,-208.75599999999997
2013-05,379.946,735.295,-355.34899999999993
2013-06,318.346,593.853,-275.50699999999995
2013-07,308.303,618.313,-310.01
2013-08,303.783,587.378,-283.595
2013-09,338.076,571.897,-233.82100000000003
2013-10,358.179,539.888,-181.70900000000006
2013-11,353.301,494.557,-141.25600000000003
2013-12,376.276,499.55,-123.274
2014-01,292.538,339.122,-46.584
2014-02,255.225,280.361,-25.135999999999996
2014-03,362.099,388.436,-26.33699999999999
2014-04,423.826,530.257,-106.43099999999993
2014-05,472.804,571.364,-98.56000000000006
2014-06,517.548,505.679,11.869000000000028
2014-07,444.143,528.141,-83.99799999999999
2014-08,607.706,467.141,140.565
2014-09,431.414,477.595,-46.18100000000004
2014-10,554.474,433.682,120.79200000000003
2014-11,556.153,371.117,185.036
2014-12,552.918,400.24,152.678
2015-01,384.536,255.374,129.162
2015-02,360.462,220.99,139.47199999999998
2015-03,359.468,243.859,115.60900000000001
2015-04,376.174,338.862,37.311999999999955
2015-05,322.857,416.624,-93.767
2015-06,470.263,398.74,71.52299999999997
2015-07,394.79,372.901,21.88900000000001
2015-08,432.899,349.815,83.084
2015-09,316.672,323.867,-7.194999999999993
2015-10,339.582,314.659,24.923000000000002
2015-11,259.983,338.831,-78.84800000000001
2015-12,428.716,309.276,119.44
2016-01,298.43,211.003,87.42700000000002
2016-02,308.654,156.652,152.002
2016-03,385.268,251.259,134.009
2016-04,384.762,275.613,109.149
2016-05,370.374,316.216,54.158000000000015
2016-06,426.801,341.786,85.01499999999999
2016-07,332.767,339.31,-6.543000000000006
2016-08,411.272,357.993,53.278999999999996
2016-09,348.485,285.019,63.46600000000001
2016-10,349.559,327.022,22.537000000000035
2016-11,550.289,318.009,232.27999999999997
2016-12,637.317,286.312,351.005
2017-01,394.603,285.239,109.36400000000003
2017-02,397.911,219.181,178.73
2017-03,417.249,280.01,137.23900000000003
2017-04,537.867,343.112,194.75499999999994
2017-05,604.753,380.539,224.21400000000006
2017-06,539.93,428.314,111.61599999999993
2017-07,376.032,405.047,-29.015000000000043
2017-08,583.952,422.555,161.397
2017-09,460.809,376.937,83.87200000000001
2017-10,576.138,398.605,177.53300000000002
2017-11,450.489,374.245,76.24399999999997
2017-12,494.576,426.853,67.72300000000001
2018-01,425.937,364.802,61.13499999999999
2018-02,330.848,361.494,-30.646000000000015
2018-03,614.25,406.191,208.05900000000003
2018-04,622.561,448.597,173.96400000000006
2018-05,694.573,599.581,94.99199999999996
2018-06,664.366,577.879,86.48699999999997
2018-07,498.274,503.608,-5.334000000000003
2018-08,496.602,545.169,-48.56700000000001
2018-09,586.82,548.709,38.111000000000104
2018-10,571.881,524.649,47.23199999999997
2018-11,528.825,496.948,31.877000000000066
2018-12,521.607,503.406,18.200999999999965
2019-01,622.401,473.404,148.99699999999996
2019-02,440.007,309.308,130.699
2019-03,634.151,449.666,184.48499999999996
2019-04,706.774,481.67,225.10399999999998
2019-05,689.605,521.387,168.21800000000007
2019-06,656.942,559.396,97.54600000000005
