Үзүүлэлт,Он,value
Нийтийн тээврийн моторт хэрэгсэл,2025,1175.0
Нийтийн тээврийн моторт хэрэгсэл,2024,2383.0
Нийтийн тээврийн моторт хэрэгсэл,2023,1731.0
Нийтийн тээврийн моторт хэрэгсэл,2022,1082.0
Нийтийн тээврийн моторт хэрэгсэл,2021,1095.0
Нийтийн тээврийн моторт хэрэгсэл,2020,1359.0
Нийтийн тээврийн моторт хэрэгсэл,2019,1543.0
Нийтийн тээврийн моторт хэрэгсэл,2018,1363.0
Нийтийн тээврийн моторт хэрэгсэл,2017,1201.0
Нийтийн тээврийн моторт хэрэгсэл,2016,964.0
Нийтийн тээврийн моторт хэрэгсэл,2015,870.0
Нийтийн тээврийн моторт хэрэгсэл,2014,1291.0
Нийтийн тээврийн моторт хэрэгсэл,2013,1800.0
Нийтийн тээврийн моторт хэрэгсэл,2012,2432.0
Нийтийн тээврийн моторт хэрэгсэл,2011,2807.0
Нийтийн тээврийн моторт хэрэгсэл,2010,1634.0
Нийтийн тээврийн моторт хэрэгсэл,2009,1178.0
Нийтийн тээврийн моторт хэрэгсэл,2008,3172.0
Нийтийн тээврийн моторт хэрэгсэл,2007,2791.0
        Америкийн Hэгдсэн Улс,2025,3.0
        Америкийн Hэгдсэн Улс,2024,3.0
        Америкийн Hэгдсэн Улс,2023,4.0
        Америкийн Hэгдсэн Улс,2022,1.0
        Америкийн Hэгдсэн Улс,2021,4.0
        Америкийн Hэгдсэн Улс,2020,
        Америкийн Hэгдсэн Улс,2019,2.0
        Америкийн Hэгдсэн Улс,2018,1.0
        Америкийн Hэгдсэн Улс,2017,1.0
        Америкийн Hэгдсэн Улс,2016,5.0
        Америкийн Hэгдсэн Улс,2015,1.0
        Америкийн Hэгдсэн Улс,2014,2.0
        Америкийн Hэгдсэн Улс,2013,5.0
        Америкийн Hэгдсэн Улс,2012,4.0
        Америкийн Hэгдсэн Улс,2011,2.0
        Америкийн Hэгдсэн Улс,2010,1.0
        Америкийн Hэгдсэн Улс,2009,1.0
        Америкийн Hэгдсэн Улс,2008,5.0
        Америкийн Hэгдсэн Улс,2007,17.0
        Бельги,2025,
        Бельги,2024,
        Бельги,2023,
        Бельги,2022,
        Бельги,2021,
        Бельги,2020,
        Бельги,2019,
        Бельги,2018,
        Бельги,2017,
        Бельги,2016,
        Бельги,2015,
        Бельги,2014,
        Бельги,2013,
        Бельги,2012,1.0
        Бельги,2011,
        Бельги,2010,
        Бельги,2009,
        Бельги,2008,
        Бельги,2007,
        БНСУ,2025,718.0
        БНСУ,2024,1091.0
        БНСУ,2023,859.0
        БНСУ,2022,596.0
        БНСУ,2021,508.0
        БНСУ,2020,806.0
        БНСУ,2019,1031.0
        БНСУ,2018,930.0
        БНСУ,2017,823.0
        БНСУ,2016,687.0
        БНСУ,2015,668.0
        БНСУ,2014,1002.0
        БНСУ,2013,1454.0
        БНСУ,2012,1841.0
        БНСУ,2011,2227.0
        БНСУ,2010,1264.0
        БНСУ,2009,997.0
        БНСУ,2008,2451.0
        БНСУ,2007,2004.0
        БНХАУ,2025,173.0
        БНХАУ,2024,805.0
        БНХАУ,2023,471.0
        БНХАУ,2022,156.0
        БНХАУ,2021,74.0
        БНХАУ,2020,20.0
        БНХАУ,2019,30.0
        БНХАУ,2018,31.0
        БНХАУ,2017,56.0
        БНХАУ,2016,43.0
        БНХАУ,2015,24.0
        БНХАУ,2014,52.0
        БНХАУ,2013,62.0
        БНХАУ,2012,26.0
        БНХАУ,2011,22.0
        БНХАУ,2010,9.0
        БНХАУ,2009,12.0
        БНХАУ,2008,76.0
        БНХАУ,2007,50.0
        ОХУ,2025,6.0
        ОХУ,2024,110.0
        ОХУ,2023,47.0
        ОХУ,2022,74.0
        ОХУ,2021,235.0
        ОХУ,2020,274.0
        ОХУ,2019,274.0
        ОХУ,2018,198.0
        ОХУ,2017,215.0
        ОХУ,2016,133.0
        ОХУ,2015,122.0
        ОХУ,2014,189.0
        ОХУ,2013,221.0
        ОХУ,2012,496.0
        ОХУ,2011,500.0
        ОХУ,2010,327.0
        ОХУ,2009,153.0
        ОХУ,2008,561.0
        ОХУ,2007,644.0
        Турк Улс,2025,11.0
        Турк Улс,2024,7.0
        Турк Улс,2023,8.0
        Турк Улс,2022,5.0
        Турк Улс,2021,
        Турк Улс,2020,12.0
        Турк Улс,2019,16.0
        Турк Улс,2018,8.0
        Турк Улс,2017,5.0
        Турк Улс,2016,3.0
        Турк Улс,2015,1.0
        Турк Улс,2014,3.0
        Турк Улс,2013,9.0
        Турк Улс,2012,33.0
        Турк Улс,2011,27.0
        Турк Улс,2010,14.0
        Турк Улс,2009,6.0
        Турк Улс,2008,18.0
        Турк Улс,2007,
        Франц,2025,
        Франц,2024,
        Франц,2023,
        Франц,2022,2.0
        Франц,2021,
        Франц,2020,
        Франц,2019,
        Франц,2018,2.0
        Франц,2017,2.0
        Франц,2016,
        Франц,2015,
        Франц,2014,
        Франц,2013,
        Франц,2012,
        Франц,2011,
        Франц,2010,
        Франц,2009,
        Франц,2008,
        Франц,2007,
        ХБHГУ,2025,5.0
        ХБHГУ,2024,11.0
        ХБHГУ,2023,12.0
        ХБHГУ,2022,1.0
        ХБHГУ,2021,2.0
        ХБHГУ,2020,2.0
        ХБHГУ,2019,15.0
        ХБHГУ,2018,8.0
        ХБHГУ,2017,6.0
        ХБHГУ,2016,15.0
        ХБHГУ,2015,1.0
        ХБHГУ,2014,2.0
        ХБHГУ,2013,3.0
        ХБHГУ,2012,3.0
        ХБHГУ,2011,6.0
        ХБHГУ,2010,
        ХБHГУ,2009,1.0
        ХБHГУ,2008,3.0
        ХБHГУ,2007,3.0
        Япон,2025,252.0
        Япон,2024,356.0
        Япон,2023,228.0
        Япон,2022,246.0
        Япон,2021,267.0
        Япон,2020,239.0
        Япон,2019,175.0
        Япон,2018,185.0
        Япон,2017,93.0
        Япон,2016,78.0
        Япон,2015,32.0
        Япон,2014,41.0
        Япон,2013,43.0
        Япон,2012,28.0
        Япон,2011,21.0
        Япон,2010,19.0
        Япон,2009,7.0
        Япон,2008,54.0
        Япон,2007,63.0
