id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Хэсэгчилсэн ерөнхий төлөвлөгөөний нэр,Батлагдсан дугаар,Дүүрэг,Хороо,Хаягийн бүс,Батлагдсан огноо
3241263,,Төлөвлөлтийн хил хязгаар,Polygon,106.559131,47.83253,Үйлдвэр технологийн паркийн хил хязгаар,"“Эмээлт Эко Аж Үйлдвэрийн Парк” ХК-ийн техник эдийн засгийн үндэслэл, хэсэгчилсэн ерөнхий төлөвлөгөө",Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2024 оны 07 дугаар сарын 24-ний өдрийн 94 дүгээр тогтоол,Хан-Уул,13-р хороо,Улаан овоот /17175/,
3241265,,Төлөвлөлтийн хил хязгаар,Polygon,106.586141,47.837861,Үйлдвэр технологийн паркийн хил хязгаар,"“Эмээлт Эко Аж Үйлдвэрийн Парк” ХК-ийн техник эдийн засгийн үндэслэл, хэсэгчилсэн ерөнхий төлөвлөгөө",Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2024 оны 07 дугаар сарын 24-ний өдрийн 94 дүгээр тогтоол,Хан-Уул,13-р хороо,"Хурганы аж ахуй /18420/, Аж үйлдвэрийн парк хэсэг /17174/",
3241267,,Төлөвлөлтийн хил хязгаар,Polygon,106.574375,47.837728,Үйлдвэр технологийн паркийн хил хязгаар,"“Эмээлт Эко Аж Үйлдвэрийн Парк” ХК-ийн техник эдийн засгийн үндэслэл, хэсэгчилсэн ерөнхий төлөвлөгөө",Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2024 оны 07 дугаар сарын 24-ний өдрийн 94 дүгээр тогтоол,Хан-Уул,13-р хороо,"Хурганы аж ахуй /18420/, Эмээлт уулын баруун хоолой /18472/, Улаан овоот /17175/, Суурьшилгүй бүс /18471/, Аж үйлдвэрийн парк хэсэг /17174/",
3246439,,Төлөвлөлтийн хил хязгаар,Polygon,107.477727,47.346494,Үйлдвэр технологийн паркийн хил хязгаар,АЕСН ХХК,Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2023 оны 03 дугаар сарын 30-ны өдрийн 31 дүгээр тогтоол,Багахангай,1-р хороо,"Өндөр толгой /12330/, Үйлдвэрийн хэсэг /12340/, Өртөөний хэсэг /12310/",2023.03.30
3248770,,Төлөвлөлтийн хил хязгаар,Polygon,107.278496,47.731038,Үйлдвэр технологийн паркийн хил хязгаар,"Налайх дүүргийн үйлдвэрлэл, технологийн паркийн хэсэгчилсэн ерөнхий төлөвлөгөө",Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2016 оны 04 дүгээр сарын 05-ны өдрийн 52 дугаар тогтоол,Налайх,3-р хороо,Баян /12614/,2016.04.05
3248870,,Төлөвлөлтийн хил хязгаар,Polygon,107.265717,47.723022,Үйлдвэр технологийн паркийн хил хязгаар,"Налайхын барилгын материалын үйлдвэрлэл, технологийн паркийн өргөтгөлийн 130 га газрын хэсэгчилсэн ерөнхий төлөвлөгөө",Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2026 оны 06 дугаар сарын 17-ны өдрийн 26/57 дугаар тогтоол,Налайх,3-р хороо,Баян /12614/,2026.06.17
3248890,,Төлөвлөлтийн хил хязгаар,Polygon,108.334128,47.713772,Үйлдвэр технологийн паркийн хил хязгаар,"“Багануур үйлдвэрлэл, технологийн парк”-ийн хэсэгчилсэн ерөнхий төлөвлөгөө",Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2019 оны 08 дугаар сарын 02-ны өдрийн 130 дугаар тогтоол,Багануур,3-р хороо,Нүүрэнтэйн хөндий /12171/,2019.08.02
3248891,,Төлөвлөлтийн хил хязгаар,Polygon,108.323648,47.702531,Үйлдвэр технологийн паркийн хил хязгаар,"“Багануур үйлдвэрлэл, технологийн парк”-ийн хэсэгчилсэн ерөнхий төлөвлөгөө",Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2019 оны 08 дугаар сарын 02-ны өдрийн 130 дугаар тогтоол,Багануур,3-р хороо,Нүүрэнтэйн хөндий /12171/,2019.08.02
3248922,,Төлөвлөлтийн хил хязгаар,Polygon,108.368912,47.763759,Үйлдвэр технологийн паркийн хил хязгаар,"“Багануур үйлдвэрлэл, технологийн парк”-ийн хэсэгчилсэн ерөнхий төлөвлөгөө",Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2019 оны 08 дугаар сарын 02-ны өдрийн 130 дугаар тогтоол,Багануур,3-р хороо,Үйлдвэрийн хэсэг-2 /12150/,2019.08.02
3248930,,Төлөвлөлтийн хил хязгаар,Polygon,108.372829,47.747802,Үйлдвэр технологийн паркийн хил хязгаар,"“Багануур үйлдвэрлэл, технологийн парк”-ийн хэсэгчилсэн ерөнхий төлөвлөгөө",Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2019 оны 08 дугаар сарын 02-ны өдрийн 130 дугаар тогтоол,Багануур,3-р хороо,"Үйлдвэрийн хэсэг-1 /12170/, Замчин-БНД /12160/",2019.08.02
