id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Хэсэгчилсэн ерөнхий төлөвлөгөөний нэр,Батлагдсан дугаар,Бүсчлэл,Дүүрэг,Хороо,Хаягийн бүс
3244172,,"Инженерийн дэд бүтэц, шугам сүлжээний бүс",Polygon,106.872035,47.93028,Инженерийн дэд бүтцийн бүс,"“Бичил” олон нийтийн төвийн техник эдийн засгийн үндэслэл, барилгажилтын төсөл",Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2024 оны 11 дүгээр сарын 15-ны өдрийн 24/12 дугаар тогтоол,"Инженерийн дэд бүтэц, шугам сүлжээний бүс",Баянгол,22-р хороо,Наран-БГД /16070/
3244173,,Сургууль,Polygon,106.873639,47.930563,Нийгмийн дэд бүтцийн бүс,"“Бичил” олон нийтийн төвийн техник эдийн засгийн үндэслэл, барилгажилтын төсөл",Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2024 оны 11 дүгээр сарын 15-ны өдрийн 24/12 дугаар тогтоол,Сургуулийн бүс,Баянгол,22-р хороо,Наран-БГД /16070/
3244174,,Цэцэрлэг,Polygon,106.872266,47.93264,Нийгмийн дэд бүтцийн бүс,"“Бичил” олон нийтийн төвийн техник эдийн засгийн үндэслэл, барилгажилтын төсөл",Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2024 оны 11 дүгээр сарын 15-ны өдрийн 24/12 дугаар тогтоол,Цэцэрлэгийн бүс,Баянгол,22-р хороо,Наран-БГД /16070/
3244175,,Тохижилт бүхий ногоон байгууламж,Polygon,106.872964,47.932202,Ногоон байгууламжийн бүс,"“Бичил” олон нийтийн төвийн техник эдийн засгийн үндэслэл, барилгажилтын төсөл",Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2024 оны 11 дүгээр сарын 15-ны өдрийн 24/12 дугаар тогтоол,Тохижилт бүхий ногоон байгууламж,Баянгол,22-р хороо,Наран-БГД /16070/
3244176,,Олон нийтийн бүс,Polygon,106.87192,47.930935,Олон нийт ажил хэргийн бүс,"“Бичил” олон нийтийн төвийн техник эдийн засгийн үндэслэл, барилгажилтын төсөл",Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2024 оны 11 дүгээр сарын 15-ны өдрийн 24/12 дугаар тогтоол,Олон нийтийн бүс,Баянгол,22-р хороо,Наран-БГД /16070/
3244177,,Олон нийтийн бүс,Polygon,106.874429,47.932324,Олон нийт ажил хэргийн бүс,"“Бичил” олон нийтийн төвийн техник эдийн засгийн үндэслэл, барилгажилтын төсөл",Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2024 оны 11 дүгээр сарын 15-ны өдрийн 24/12 дугаар тогтоол,Олон нийтийн бүс,Баянгол,23-р хороо,Наран-БГД /16070/
3244178,,Олон нийтийн бүс,Polygon,106.871786,47.931632,Олон нийт ажил хэргийн бүс,"“Бичил” олон нийтийн төвийн техник эдийн засгийн үндэслэл, барилгажилтын төсөл",Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2024 оны 11 дүгээр сарын 15-ны өдрийн 24/12 дугаар тогтоол,Олон нийтийн бүс,Баянгол,22-р хороо,Наран-БГД /16070/
3244194,,Орон сууцны бүс,Polygon,106.871301,47.932332,Орон сууцны бүс,"“Бичил” олон нийтийн төвийн техник эдийн засгийн үндэслэл, барилгажилтын төсөл",Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2024 оны 11 дүгээр сарын 15-ны өдрийн 24/12 дугаар тогтоол,Орон сууцны бүс,Баянгол,22-р хороо,Наран-БГД /16070/
3244195,,Орон сууцны бүс,Polygon,106.874176,47.933064,Орон сууцны бүс,"“Бичил” олон нийтийн төвийн техник эдийн засгийн үндэслэл, барилгажилтын төсөл",Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2024 оны 11 дүгээр сарын 15-ны өдрийн 24/12 дугаар тогтоол,Орон сууцны бүс,Баянгол,22-р хороо,Наран-БГД /16070/
3244196,,Орон сууцны бүс,Polygon,106.873345,47.931357,Орон сууцны бүс,"“Бичил” олон нийтийн төвийн техник эдийн засгийн үндэслэл, барилгажилтын төсөл",Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2024 оны 11 дүгээр сарын 15-ны өдрийн 24/12 дугаар тогтоол,Орон сууцны бүс,Баянгол,22-р хороо,Наран-БГД /16070/
3244198,,Жижиг дунд үйлдвэрлэлийн бүс,Polygon,106.874974,47.93077,Үйлдвэрийн бүс,"“Бичил” олон нийтийн төвийн техник эдийн засгийн үндэслэл, барилгажилтын төсөл",Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2024 оны 11 дүгээр сарын 15-ны өдрийн 24/12 дугаар тогтоол,Жижиг дунд үйлдвэрлэлийн бүс,Баянгол,22-р хороо,Наран-БГД /16070/
3244199,,Жижиг дунд үйлдвэрлэлийн бүс,Polygon,106.874607,47.931687,Үйлдвэрийн бүс,"“Бичил” олон нийтийн төвийн техник эдийн засгийн үндэслэл, барилгажилтын төсөл",Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2024 оны 11 дүгээр сарын 15-ны өдрийн 24/12 дугаар тогтоол,Жижиг дунд үйлдвэрлэлийн бүс,Баянгол,22-р хороо,Наран-БГД /16070/
3244229,,"Төр, захиргааны бүс",Polygon,106.901437,47.94631,Олон нийт ажил хэргийн бүс,"“Хайлааст” олон нийтийн төвийн техник эдийн засгийн үндэслэл, барилгажилтын төсөл",Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2024 оны 11 дүгээр сарын 15-ны өдрийн 24/12 дугаар тогтоол,Төр захиргааны бүс,Чингэлтэй,12-р хороо,Дэнжийн мянга-1 /15120/
3244230,,Ногоон байгууламж,Polygon,106.900667,47.948305,Ногоон байгууламжийн бүс,"“Хайлааст” олон нийтийн төвийн техник эдийн засгийн үндэслэл, барилгажилтын төсөл",Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2024 оны 11 дүгээр сарын 15-ны өдрийн 24/12 дугаар тогтоол,Ногоон байгууламжийн бүс,Чингэлтэй,12-р хороо,Дэнжийн мянга-1 /15120/
3244231,,Ногоон байгууламж,Polygon,106.901627,47.947844,Ногоон байгууламжийн бүс,"“Хайлааст” олон нийтийн төвийн техник эдийн засгийн үндэслэл, барилгажилтын төсөл",Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2024 оны 11 дүгээр сарын 15-ны өдрийн 24/12 дугаар тогтоол,Ногоон байгууламжийн бүс,Чингэлтэй,12-р хороо,Дэнжийн мянга-1 /15120/
3244232,,Ногоон байгууламж,Polygon,106.902723,47.946578,Ногоон байгууламжийн бүс,"“Хайлааст” олон нийтийн төвийн техник эдийн засгийн үндэслэл, барилгажилтын төсөл",Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2024 оны 11 дүгээр сарын 15-ны өдрийн 24/12 дугаар тогтоол,Ногоон байгууламжийн бүс,Чингэлтэй,12-р хороо,Дэнжийн мянга-1 /15120/
3244233,,Ногоон байгууламж,Polygon,106.904243,47.948943,Ногоон байгууламжийн бүс,"“Хайлааст” олон нийтийн төвийн техник эдийн засгийн үндэслэл, барилгажилтын төсөл",Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2024 оны 11 дүгээр сарын 15-ны өдрийн 24/12 дугаар тогтоол,Ногоон байгууламжийн бүс,Чингэлтэй,12-р хороо,Дэнжийн мянга-1 /15120/
3244234,,Ногоон байгууламж,Polygon,106.903392,47.948225,Ногоон байгууламжийн бүс,"“Хайлааст” олон нийтийн төвийн техник эдийн засгийн үндэслэл, барилгажилтын төсөл",Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2024 оны 11 дүгээр сарын 15-ны өдрийн 24/12 дугаар тогтоол,Ногоон байгууламжийн бүс,Чингэлтэй,12-р хороо,Дэнжийн мянга-1 /15120/
3244235,,Ногоон байгууламж,Polygon,106.90256,47.948533,Ногоон байгууламжийн бүс,"“Хайлааст” олон нийтийн төвийн техник эдийн засгийн үндэслэл, барилгажилтын төсөл",Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2024 оны 11 дүгээр сарын 15-ны өдрийн 24/12 дугаар тогтоол,Ногоон байгууламжийн бүс,Чингэлтэй,12-р хороо,Дэнжийн мянга-1 /15120/
3244236,,Ногоон байгууламж,Polygon,106.898767,47.947863,Ногоон байгууламжийн бүс,"“Хайлааст” олон нийтийн төвийн техник эдийн засгийн үндэслэл, барилгажилтын төсөл",Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2024 оны 11 дүгээр сарын 15-ны өдрийн 24/12 дугаар тогтоол,Ногоон байгууламжийн бүс,Чингэлтэй,12-р хороо,Дэнжийн мянга-1 /15120/
3244238,,"Инженерийн барилга, байгууламж",Polygon,106.898707,47.947679,Инженерийн дэд бүтцийн бүс,"“Хайлааст” олон нийтийн төвийн техник эдийн засгийн үндэслэл, барилгажилтын төсөл",Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2024 оны 11 дүгээр сарын 15-ны өдрийн 24/12 дугаар тогтоол,"Инженерийн барилга, байгууламж",Чингэлтэй,12-р хороо,Дэнжийн мянга-1 /15120/
3244239,,"Инженерийн барилга, байгууламж",Polygon,106.901082,47.946987,Инженерийн дэд бүтцийн бүс,"“Хайлааст” олон нийтийн төвийн техник эдийн засгийн үндэслэл, барилгажилтын төсөл",Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2024 оны 11 дүгээр сарын 15-ны өдрийн 24/12 дугаар тогтоол,"Инженерийн барилга, байгууламж",Чингэлтэй,12-р хороо,Дэнжийн мянга-1 /15120/
3244240,,"Инженерийн барилга, байгууламж",Polygon,106.901728,47.948765,Инженерийн дэд бүтцийн бүс,"“Хайлааст” олон нийтийн төвийн техник эдийн засгийн үндэслэл, барилгажилтын төсөл",Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2024 оны 11 дүгээр сарын 15-ны өдрийн 24/12 дугаар тогтоол,"Инженерийн барилга, байгууламж",Чингэлтэй,12-р хороо,Дэнжийн мянга-1 /15120/
3244241,,"Инженерийн барилга, байгууламж",Polygon,106.903578,47.947807,Инженерийн дэд бүтцийн бүс,"“Хайлааст” олон нийтийн төвийн техник эдийн засгийн үндэслэл, барилгажилтын төсөл",Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2024 оны 11 дүгээр сарын 15-ны өдрийн 24/12 дугаар тогтоол,"Инженерийн барилга, байгууламж",Чингэлтэй,12-р хороо,Дэнжийн мянга-1 /15120/
3244268,,Нийгмийн дэд бүтэц,Polygon,106.900727,47.947685,Нийгмийн дэд бүтцийн бүс,"“Хайлааст” олон нийтийн төвийн техник эдийн засгийн үндэслэл, барилгажилтын төсөл",Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2024 оны 11 дүгээр сарын 15-ны өдрийн 24/12 дугаар тогтоол,Нийгмийн дэд бүтэц,Чингэлтэй,12-р хороо,Дэнжийн мянга-1 /15120/
3244269,,Нийгмийн дэд бүтэц,Polygon,106.9036,47.949013,Нийгмийн дэд бүтцийн бүс,"“Хайлааст” олон нийтийн төвийн техник эдийн засгийн үндэслэл, барилгажилтын төсөл",Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2024 оны 11 дүгээр сарын 15-ны өдрийн 24/12 дугаар тогтоол,Нийгмийн дэд бүтэц,Чингэлтэй,12-р хороо,Дэнжийн мянга-1 /15120/
3244270,,Олон нийтийн бүс,Polygon,106.898652,47.94764,Олон нийт ажил хэргийн бүс,"“Хайлааст” олон нийтийн төвийн техник эдийн засгийн үндэслэл, барилгажилтын төсөл",Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2024 оны 11 дүгээр сарын 15-ны өдрийн 24/12 дугаар тогтоол,Олон нийтийн бүс,Чингэлтэй,12-р хороо,Дэнжийн мянга-1 /15120/
3244271,,Орон сууцны хороолол,Polygon,106.899988,47.947797,Орон сууцны бүс,"“Хайлааст” олон нийтийн төвийн техник эдийн засгийн үндэслэл, барилгажилтын төсөл",Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2024 оны 11 дүгээр сарын 15-ны өдрийн 24/12 дугаар тогтоол,Орон сууцны хороолол,Чингэлтэй,12-р хороо,Дэнжийн мянга-1 /15120/
3244272,,Олон нийтийн бүс,Polygon,106.901244,47.948194,Олон нийт ажил хэргийн бүс,"“Хайлааст” олон нийтийн төвийн техник эдийн засгийн үндэслэл, барилгажилтын төсөл",Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2024 оны 11 дүгээр сарын 15-ны өдрийн 24/12 дугаар тогтоол,Олон нийтийн бүс,Чингэлтэй,12-р хороо,Дэнжийн мянга-1 /15120/
3244273,,Олон нийтийн бүс,Polygon,106.900635,47.946519,Олон нийт ажил хэргийн бүс,"“Хайлааст” олон нийтийн төвийн техник эдийн засгийн үндэслэл, барилгажилтын төсөл",Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2024 оны 11 дүгээр сарын 15-ны өдрийн 24/12 дугаар тогтоол,Олон нийтийн бүс,Чингэлтэй,12-р хороо,Дэнжийн мянга-1 /15120/
3244274,,Олон нийтийн бүс,Polygon,106.902238,47.947094,Олон нийт ажил хэргийн бүс,"“Хайлааст” олон нийтийн төвийн техник эдийн засгийн үндэслэл, барилгажилтын төсөл",Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2024 оны 11 дүгээр сарын 15-ны өдрийн 24/12 дугаар тогтоол,Олон нийтийн бүс,Чингэлтэй,12-р хороо,Дэнжийн мянга-1 /15120/
3244275,,Олон нийтийн бүс,Polygon,106.903028,47.947595,Олон нийт ажил хэргийн бүс,"“Хайлааст” олон нийтийн төвийн техник эдийн засгийн үндэслэл, барилгажилтын төсөл",Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2024 оны 11 дүгээр сарын 15-ны өдрийн 24/12 дугаар тогтоол,Олон нийтийн бүс,Чингэлтэй,12-р хороо,Дэнжийн мянга-1 /15120/
3244276,,Олон нийтийн бүс,Polygon,106.902118,47.948449,Олон нийт ажил хэргийн бүс,"“Хайлааст” олон нийтийн төвийн техник эдийн засгийн үндэслэл, барилгажилтын төсөл",Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2024 оны 11 дүгээр сарын 15-ны өдрийн 24/12 дугаар тогтоол,Олон нийтийн бүс,Чингэлтэй,12-р хороо,Дэнжийн мянга-1 /15120/
3244277,,Олон нийтийн бүс,Polygon,106.903829,47.948263,Олон нийт ажил хэргийн бүс,"“Хайлааст” олон нийтийн төвийн техник эдийн засгийн үндэслэл, барилгажилтын төсөл",Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2024 оны 11 дүгээр сарын 15-ны өдрийн 24/12 дугаар тогтоол,Олон нийтийн бүс,Чингэлтэй,12-р хороо,Дэнжийн мянга-1 /15120/
3244278,,Олон нийтийн бүс,Polygon,106.902673,47.94564,Олон нийт ажил хэргийн бүс,"“Хайлааст” олон нийтийн төвийн техник эдийн засгийн үндэслэл, барилгажилтын төсөл",Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2024 оны 11 дүгээр сарын 15-ны өдрийн 24/12 дугаар тогтоол,Олон нийтийн бүс,Чингэлтэй,12-р хороо,Дэнжийн мянга-1 /15120/
3244279,,Олон нийтийн бүс,Polygon,106.903294,47.946162,Олон нийт ажил хэргийн бүс,"“Хайлааст” олон нийтийн төвийн техник эдийн засгийн үндэслэл, барилгажилтын төсөл",Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2024 оны 11 дүгээр сарын 15-ны өдрийн 24/12 дугаар тогтоол,Олон нийтийн бүс,Чингэлтэй,12-р хороо,Дэнжийн мянга-1 /15120/
3244280,,Орон сууцны хороолол,Polygon,106.903049,47.948757,Орон сууцны бүс,"“Хайлааст” олон нийтийн төвийн техник эдийн засгийн үндэслэл, барилгажилтын төсөл",Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2024 оны 11 дүгээр сарын 15-ны өдрийн 24/12 дугаар тогтоол,Орон сууцны хороолол,Чингэлтэй,12-р хороо,Дэнжийн мянга-1 /15120/
3244367,,"Олон нийт, ажил хэрэг, үйлчилгээний бүс",Polygon,106.762681,47.867403,Олон нийт ажил хэргийн бүс,"“Нисэх” олон нийтийн төвийн техник эдийн засгийн үндэслэл, барилгажилтын төсөл",Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2024 оны 11 дүгээр сарын 15-ны өдрийн 24/12 дугаар тогтоол,"Олон нийт, ажил хэрэг, үйлчилгээний бүс",Хан-Уул,9-р хороо,Буянт Ухаа хороолол-3 /17122/
3244368,,Худалдааны бүс,Polygon,106.763652,47.868734,Олон нийт ажил хэргийн бүс,"“Нисэх” олон нийтийн төвийн техник эдийн засгийн үндэслэл, барилгажилтын төсөл",Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2024 оны 11 дүгээр сарын 15-ны өдрийн 24/12 дугаар тогтоол,Худалдааны бүс,Хан-Уул,9-р хороо,Буянт Ухаа хороолол-3 /17122/
3244371,,Ногоон байгууламжийн бүс,Polygon,106.762295,47.868127,Ногоон байгууламжийн бүс,"“Нисэх” олон нийтийн төвийн техник эдийн засгийн үндэслэл, барилгажилтын төсөл",Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2024 оны 11 дүгээр сарын 15-ны өдрийн 24/12 дугаар тогтоол,Ногоон байгууламжийн бүс,Хан-Уул,9-р хороо,Буянт Ухаа хороолол-3 /17122/
3244372,,Цахилгааны дэд өртөө,Polygon,106.763783,47.869337,Инженерийн дэд бүтцийн бүс,"“Нисэх” олон нийтийн төвийн техник эдийн засгийн үндэслэл, барилгажилтын төсөл",Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2024 оны 11 дүгээр сарын 15-ны өдрийн 24/12 дугаар тогтоол,Цахилгааны дэд өртөө,Хан-Уул,9-р хороо,Буянт Ухаа хороолол-3 /17122/
3244373,,Дулаан дамжуулах төв,Polygon,106.762451,47.866899,Инженерийн дэд бүтцийн бүс,"“Нисэх” олон нийтийн төвийн техник эдийн засгийн үндэслэл, барилгажилтын төсөл",Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2024 оны 11 дүгээр сарын 15-ны өдрийн 24/12 дугаар тогтоол,Дулаан дамжуулах төв,Хан-Уул,9-р хороо,Буянт Ухаа хороолол-3 /17122/
3244376,,Спортын бүс,Polygon,106.760743,47.868628,Нийгмийн дэд бүтцийн бүс,"“Нисэх” олон нийтийн төвийн техник эдийн засгийн үндэслэл, барилгажилтын төсөл",Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2024 оны 11 дүгээр сарын 15-ны өдрийн 24/12 дугаар тогтоол,Спортын бүс,Хан-Уул,9-р хороо,Буянт Ухаа хороолол-3 /17122/
3244377,,Цэцэрлэгийн бүс,Polygon,106.760086,47.86906,Нийгмийн дэд бүтцийн бүс,"“Нисэх” олон нийтийн төвийн техник эдийн засгийн үндэслэл, барилгажилтын төсөл",Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2024 оны 11 дүгээр сарын 15-ны өдрийн 24/12 дугаар тогтоол,Цэцэрлэгийн бүс,Хан-Уул,9-р хороо,Буянт Ухаа хороолол-3 /17122/
3244388,,Дунд давхар орон сууцны бүс,Polygon,106.760123,47.867712,Орон сууцны бүс,"“Нисэх” олон нийтийн төвийн техник эдийн засгийн үндэслэл, барилгажилтын төсөл",Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2024 оны 11 дүгээр сарын 15-ны өдрийн 24/12 дугаар тогтоол,Дунд давхар орон сууцны бүс,Хан-Уул,9-р хороо,Буянт Ухаа хороолол-3 /17122/
3244389,,Нам давхар орон сууцны бүс,Polygon,106.762345,47.86889,Орон сууцны бүс,"“Нисэх” олон нийтийн төвийн техник эдийн засгийн үндэслэл, барилгажилтын төсөл",Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2024 оны 11 дүгээр сарын 15-ны өдрийн 24/12 дугаар тогтоол,Нам давхар орон сууцны бүс,Хан-Уул,9-р хороо,Буянт Ухаа хороолол-3 /17122/
3244605,,Инженерийн дэд бүтэц,MultiPolygon,107.120624,47.867206,Инженерийн дэд бүтцийн бүс,"“Ургах наран” олон нийтийн төвийн техник эдийн засгийн үндэслэл, барилгажилтын төсөл",Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2024 оны 11 дүгээр сарын 15-ны өдрийн 24/12 дугаар тогтоол,Инженерийн дэд бүтэц,Баянзүрх,11-р хороо,Ургах наран /13180/
3244607,,Хамгаалалтын бүс,Polygon,107.121577,47.866762,Инженерийн дэд бүтцийн бүс,,,,Баянзүрх,11-р хороо,Ургах наран /13180/
3244608,,Хамгаалалтын бүс,Polygon,107.119091,47.869207,Инженерийн дэд бүтцийн бүс,"“Ургах наран” олон нийтийн төвийн техник эдийн засгийн үндэслэл, барилгажилтын төсөл",Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2024 оны 11 дүгээр сарын 15-ны өдрийн 24/12 дугаар тогтоол,Хамгаалалтын бүс,Баянзүрх,11-р хороо,Ургах наран /13180/
3244609,,Хамгаалалтын бүс,Polygon,107.122938,47.866422,Инженерийн дэд бүтцийн бүс,"“Ургах наран” олон нийтийн төвийн техник эдийн засгийн үндэслэл, барилгажилтын төсөл",Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2024 оны 11 дүгээр сарын 15-ны өдрийн 24/12 дугаар тогтоол,Хамгаалалтын бүс,Баянзүрх,11-р хороо,Ургах наран /13180/
3244612,,Ногоон байгууламжийн бүс,Polygon,107.118347,47.86876,Ногоон байгууламжийн бүс,"“Ургах наран” олон нийтийн төвийн техник эдийн засгийн үндэслэл, барилгажилтын төсөл",Нийслэлийн иргэдийн Төлөөлөгчдын Хурлын 2024 оны 11 дүгээр сарын 15-ны өдрийн 24/12 дугаар тогтоол,Ногоон байгууламжийн бүс,Баянзүрх,11-р хороо,Ургах наран /13180/
3244613,,,Polygon,107.118347,47.86876,Ногоон байгууламжийн бүс,,,,Баянзүрх,11-р хороо,Ургах наран /13180/
3244614,,Олон нийтийн бүс,Polygon,107.121562,47.865402,Олон нийт ажил хэргийн бүс,"“Ургах наран” олон нийтийн төвийн техник эдийн засгийн үндэслэл, барилгажилтын төсөл",Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2024 оны 11 дүгээр сарын 15-ны өдрийн 24/12 дугаар тогтоол,Олон нийтийн бүс,Баянзүрх,11-р хороо,Ургах наран /13180/
3244615,,Олон нийтийн бүс,Polygon,107.120085,47.86735,Олон нийт ажил хэргийн бүс,"“Ургах наран” олон нийтийн төвийн техник эдийн засгийн үндэслэл, барилгажилтын төсөл",Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2024 оны 11 дүгээр сарын 15-ны өдрийн 24/12 дугаар тогтоол,Олон нийтийн бүс,Баянзүрх,11-р хороо,Ургах наран /13180/
3244616,,Олон нийтийн бүс,Polygon,107.118787,47.86847,Олон нийт ажил хэргийн бүс,"“Ургах наран” олон нийтийн төвийн техник эдийн засгийн үндэслэл, барилгажилтын төсөл",Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2024 оны 11 дүгээр сарын 15-ны өдрийн 24/12 дугаар тогтоол,Олон нийтийн бүс,Баянзүрх,11-р хороо,Ургах наран /13180/
3244617,,Олон нийтийн бүс,Polygon,107.117956,47.86907,Олон нийт ажил хэргийн бүс,"“Ургах наран” олон нийтийн төвийн техник эдийн засгийн үндэслэл, барилгажилтын төсөл",Нийслэлийн иргэдийн Төлөөлөгчдын Хурлын 2024 оны 11 дүгээр сарын 15-ны өдрийн 24/12 дугаар тогтоол,Олон нийтийн бүс,Баянзүрх,11-р хороо,Ургах наран /13180/
3244621,,,Polygon,107.117956,47.86907,Олон нийт ажил хэргийн бүс,"“Ургах наран” олон нийтийн төвийн техник эдийн засгийн үндэслэл, барилгажилтын төсөл",Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2024 оны 11 дүгээр сарын 15-ны өдрийн 24/12 дугаар тогтоол,Олон нийтийн бүс,Баянзүрх,11-р хороо,Ургах наран /13180/
3244625,,Тээвэр ложистикийн бүс,Polygon,107.122065,47.865873,Зам тээвэр логистикийн бүс,"“Ургах наран” олон нийтийн төвийн техник эдийн засгийн үндэслэл, барилгажилтын төсөл",Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2024 оны 11 дүгээр сарын 15-ны өдрийн 24/12 дугаар тогтоол,Тээвэр логистикийн бүс,Баянзүрх,11-р хороо,Ургах наран /13180/
3244626,,Тээвэр ложистикийн бүс,Polygon,107.120846,47.867788,Зам тээвэр логистикийн бүс,"“Ургах наран” олон нийтийн төвийн техник эдийн засгийн үндэслэл, барилгажилтын төсөл",Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2024 оны 11 дүгээр сарын 15-ны өдрийн 24/12 дугаар тогтоол,Тээвэр логистикийн бүс,Баянзүрх,11-р хороо,Ургах наран /13180/
3244632,,"Нийгмийн дэд бүтэц (Сургууль, Цэцэрлэг, Өрхийн эмнэлэг)",Polygon,107.020575,47.924087,Нийгмийн дэд бүтцийн бүс,"""Амгалан"" дэд төвийн техник эдийн засгийн үндэслэл, барилгажилтын төсөл",Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2024 оны 11 дүгээр сарын 15-ны өдрийн 24/12 дугаар тогтоол,"Нийгмийн дэд бүтэц (Сургууль, Цэцэрлэг, Өрхийн эмнэлэг)",Баянзүрх,10-р хороо,Амгалан-1 /13260/
