id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Архитектур төлөвлөлтийн даалгаврын дугаар,Дүүрэг,Хороо,Хаягийн бүс,Гудамж
431823,ТТО141624975331000,3 хорооны нэгдсэн тохижилт,MultiPolygon,106.903048,47.911134,Тохижилтын архитектур төлөвлөлтийн даалгавар,МЗХ2021/10-027,Сүхбаатар,3-р хороо,,
436962,ТТО141618739634000,АШУҮИС гадна талбайн тохижилт,Polygon,106.922573,47.915528,Тохижилтын архитектур төлөвлөлтийн даалгавар,,Сүхбаатар,1-р хороо,,
437033,ТТО141624878983000,,MultiPolygon,106.920686,47.913165,Тохижилтын архитектур төлөвлөлтийн даалгавар,МЗХ2021/10-025,Сүхбаатар,1-р хороо,,
440175,ТТО141631525893000,5  дугаар хорооны нэгдсэн тохижилт,MultiPolygon,106.89698,47.912087,Тохижилтын архитектур төлөвлөлтийн даалгавар,МЗХ2021/10-029,Сүхбаатар,5-р хороо,,
441465,ТТО141645458061000,Гадна талбайн тохижилт,Polygon,106.89841,47.911219,Тохижилтын архитектур төлөвлөлтийн даалгавар,ХТХ2022/00-105,Сүхбаатар,3-р хороо,,
449752,ТТО131647192291000,,MultiPolygon,106.924845,48.1153,Тохижилтын архитектур төлөвлөлтийн даалгавар,ХТХ2022/00-124,"Баянзүрх, Сүхбаатар, Сонгинохайрхан, Чингэлтэй","24-р хороо, 15-р хороо, 20-р хороо, 19-р хороо, 21-р хороо, 35-р хороо","Улиастай гол /13218/, Ойнбулаг /15070/, Зуун мод-1 /14105/, Майхан толгой-1-2 /14151/, Майхан толгой-1-1 /14150/, Майхан толгой-2-1 /15080/, Майхан толгой-2-2 /15081/, Хандгайтын богино-4 /14093/, Зуун мод-2-2 /15041/, Сэлх-1 /14070/, Сэлх-4 /14073/, Яргайтын богино-2 /15052/, Хуурай мухар-1 /14120/, Хуурай мухар-2 /14121/, Баянбулаг-1 /14110/, Хандгайтын богино-5 /14094/, Хандгайт-3 /14092/, Баянбулаг-2 /14111/, Гүнт-1 /15090/, Гоодойн ам-3 /14132/, Гоодойн ам-1 /14130/, Хуурай мухар-3 /14122/, Баянбулаг-3 /14112/, Шарга морьт-1 /14080/, Гоодойн ам-2 /14131/, Шарга морьт-2 /14081/, Шарга морьт-3 /14082/, Шарга морьт-6 /14085/, Шарга морьт-5 /14084/, Шарга морьт-4 /14083/, Хандгайт-2 /14091/, Санзай-4 /14143/, Санзай-2 /14141/, Санзай-1 /14140/, Жигжид-1 /15100/, Санзай-3 /14142/, Сэлх-3 /14072/, Хандгайт-1 /14090/",
502915,ТТО181656078756000,Гадна талбайн тохижилт;,MultiPolygon,106.776075,47.91635,Тохижилтын архитектур төлөвлөлтийн даалгавар,,Сонгинохайрхан,2-р хороо,,
793007,ТБА141624579200000,1 дүгээр хорооны нэгдсэн тохижилт,MultiPolygon,106.920686,47.913165,Тохижилтын архитектур төлөвлөлтийн даалгавар,,Сүхбаатар,1-р хороо,,
1438183,ТТА171727085010209,,Polygon,106.934157,47.978227,Тохижилтын архитектур төлөвлөлтийн даалгавар,2024/00-636,Сүхбаатар,15-р хороо,Дамбадаржаа-3  /14062/,
1442407,181734589819367,,Polygon,106.865657,47.774277,Тохижилтын архитектур төлөвлөлтийн даалгавар,,Хан-Уул,14-р хороо,Бугын ам /17152/,
1443481,111737336298577,,Polygon,106.931196,47.92611,Тохижилтын архитектур төлөвлөлтийн даалгавар,2025/00-065,Сүхбаатар,7-р хороо,11-р хороолол-1 /14190/,
1443524,181737440967422,,Polygon,106.955139,47.915642,Тохижилтын архитектур төлөвлөлтийн даалгавар,2025/00-070,Баянзүрх,14-р хороо,14-р хороолол-4 /13333/,
2087654,181739174845807,,Polygon,106.92944,47.909282,Тохижилтын архитектур төлөвлөлтийн даалгавар,2025/00-145,Сүхбаатар,1-р хороо,13-р хороолол 1-3 /14230/,
3072777,ТОТ171740576618155,,Polygon,106.922325,47.92813,Тохижилтын архитектур төлөвлөлтийн даалгавар,2025/00-211,Сүхбаатар,8-р хороо,11-р хороолол-3 /14192/,
3072846,ТОТ151740708341070,,Polygon,106.924297,47.928446,Тохижилтын архитектур төлөвлөлтийн даалгавар,2025/00-218,Сүхбаатар,8-р хороо,11-р хороолол-3 /14192/,
3072995,ТОТ181741593988424,,Polygon,106.887953,47.926187,Тохижилтын архитектур төлөвлөлтийн даалгавар,2025/00-233,Баянгол,11-р хороо,4-р хороолол-1 /16060/,
3073266,ТОТ181741944368972,,Polygon,106.944389,47.984673,Тохижилтын архитектур төлөвлөлтийн даалгавар,2025/00-246,Сүхбаатар,16-р хороо,"Дамбадаржаа-2 /14061/, Дамбадаржаа-1 /14060/",
3073276,ТОТ171742114282843,,MultiPolygon,106.937808,48.002363,Тохижилтын архитектур төлөвлөлтийн даалгавар,2025/00-250,Сүхбаатар,15-р хороо,Ар хустай-1 /14100/,
3073322,ТОТ141742180391066,,Polygon,106.937084,47.987775,Тохижилтын архитектур төлөвлөлтийн даалгавар,2025/00-255,Сүхбаатар,17-р хороо,Дамбадаржаа-1 /14060/,
3073327,ТОТ181742182781130,,Polygon,106.976522,48.002758,Тохижилтын архитектур төлөвлөлтийн даалгавар,2025/00-257,Сүхбаатар,20-р хороо,Цолмонгийн ам-1 /14040/,
3073357,ТОТ131742201263236,,Polygon,106.966127,48.041463,Тохижилтын архитектур төлөвлөлтийн даалгавар,2025/00-249,Сүхбаатар,20-р хороо,"Сэлх-1 /14070/, Сэлх-4 /14073/",Сэлхийн гудамж
3074719,ТОТ151743508506242,,Polygon,106.822467,47.912052,Тохижилтын архитектур төлөвлөлтийн даалгавар,2025/00-311,Сонгинохайрхан,29-р хороо,"Москва хороолол-2 /18071/, Москва хороолол-3 /18072/",
3074825,ТОТ181743575269489,,Polygon,106.891624,48.050129,Тохижилтын архитектур төлөвлөлтийн даалгавар,2025/00-315,Чингэлтэй,24-р хороо,"Жигжид-5 /15104/, Жигжид-3 /15102/",
3075283,ТОТ141743762280255,,Polygon,106.908413,47.921158,Тохижилтын архитектур төлөвлөлтийн даалгавар,2025/00-323,Чингэлтэй,4-р хороо,"40, 50 мянгат-1 /15170/",
3075286,ТОТ181743826891575,,Polygon,106.865494,47.923708,Тохижилтын архитектур төлөвлөлтийн даалгавар,2025/00-326,Баянгол,9-р хороо,3-р хороолол-4 /16093/,
3075288,ТОТ181743829091738,,Polygon,106.88623,47.916002,Тохижилтын архитектур төлөвлөлтийн даалгавар,2025/00-325,Баянгол,2-р хороо,2-р хороолол-1 /16050/,
3075289,ТОТ151743830437983,,Polygon,106.941519,47.923796,Тохижилтын архитектур төлөвлөлтийн даалгавар,2025/00-333,Баянзүрх,3-р хороо,12-р хороолол-2 /13381/,
3075290,ТОТ121743831527646,,Polygon,106.871554,47.924994,Тохижилтын архитектур төлөвлөлтийн даалгавар,2025/00-327,Баянгол,10-р хороо,3-р хороолол-1 /16090/,
3075291,ТОТ181743832235719,,Polygon,106.877179,47.916898,Тохижилтын архитектур төлөвлөлтийн даалгавар,2025/00-328,Баянгол,2-р хороо,2-р хороолол-1 /16050/,
3075294,ТОТ171743834690596,,Polygon,106.979856,47.9187,Тохижилтын архитектур төлөвлөлтийн даалгавар,2025/00-335,Баянзүрх,16-р хороо,16-р хороолол-2 /13321/,
3075296,ТОТ171743834986962,,Polygon,106.970422,47.920035,Тохижилтын архитектур төлөвлөлтийн даалгавар,2025/00-338,Баянзүрх,22-р хороо,15-р хороолол-1 /13340/,
3075297,ТОТ171743835346451,,Polygon,106.983095,47.921914,Тохижилтын архитектур төлөвлөлтийн даалгавар,2025/00-341,Баянзүрх,40-р хороо,16-р хороолол-1 /13320/,
