id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Барилга ашиглагчийн нэр
6583,,,Point,106.965783,48.043241,Амралтын газар,ЭМШУИС-Н ЭРХЭС КЛИНИКИЙН ХАРЬЯА
6584,,,Point,107.003023,48.058418,Амралтын газар,"Нуган Трейд,  П.Уламбаяр"
6585,,,Point,107.004312,48.059839,Амралтын газар,ХОЛБООЧДЫН МУХК
6586,,,Point,106.860434,48.074994,Амралтын газар,108 СУВАРГА ХХК
6587,,,Point,106.914794,48.114931,Амралтын газар,ХАСУ ХОЛДИНГ ХХК
6588,,,Point,106.883736,48.130314,Амралтын газар,СУТАЙ ТУР ХХК
6589,,,Point,106.897717,48.135461,Амралтын газар,ЧОНОНБӨРТЭ
6590,,,Point,106.892558,48.15318,Амралтын газар,БХЯ ХАРЬЯА ТӨҮГ Д.Батбаатар
6591,,,Point,106.819628,48.015141,Амралтын газар,САМБАРАЙ ХХК
6592,,,Point,106.787707,48.022689,Амралтын газар,САРНЫ ЧУЛУУ ЗБН
6593,,,Point,106.784153,48.0328,Амралтын газар,"БАТХААН ГРУПП ХХК, Б.ЭНХТАЙВАН"
6594,,,Point,106.790253,48.034924,Амралтын газар,"ЭЛМА БАЯНУУЛ ХХК, Д.АЮУРЗАНА"
6595,,,Point,106.732909,48.022038,Амралтын газар,
6596,,,Point,106.701951,48.01724,Амралтын газар,ЧИНГИСИЙН МОРЬТОН ХХК
6597,,,Point,106.713244,47.974368,Амралтын газар,БИМЭЭ
6598,,,Point,106.713277,47.96783,Амралтын газар,ЖАТТ ХХК
6599,,,Point,106.716028,47.959378,Амралтын газар,НЭРГҮЙ
6600,,,Point,106.718843,47.959288,Амралтын газар,"НАЙРАМДАЛ ЗУСЛАНГИЙН ХАРЬЯА, А БУУДЛЫН ХАРЬЯА"
6601,,,Point,106.715668,47.958231,Амралтын газар,ГОВЬ БОЛОВСРОЛ ТӨВИЙН ТЭРГҮҮН
6602,,,Point,106.714331,47.955099,Амралтын газар,ГАНТӨМӨР
6603,,,Point,106.709774,47.94803,Амралтын газар,ХАРХОРИН ХХК
6604,,,Point,108.476087,47.763959,Амралтын газар,АЗИЙН ЧОНО ХХК
6605,,,Point,108.493912,47.745296,Амралтын газар,БАГА НУУР СУВИЛАЛ ХХК
6606,,,Point,108.485402,47.738233,Амралтын газар,АЖИЛЧИН ХҮН ХХК
6607,,,Point,108.482952,47.72125,Амралтын газар,НОЁН ГРУПП ХХК
6608,,,Point,108.476163,47.922444,Амралтын газар,АРУГ БУРГАС ХХК
6609,,,Point,106.792991,48.091388,Амралтын газар,П.БАЯРМАЙХАН
6610,,,Point,106.477421,48.068511,Амралтын газар,ТАЙВАНБААТАР ХХК
6611,,,Point,106.851159,47.778187,Амралтын газар,ХИШИГ АРВИН ХХК
6612,,,Point,106.678576,47.854618,Амралтын газар,РИВЕР ХАУС ХХК
6613,,,Point,106.863699,47.782579,Амралтын газар,МОНГОЛ КУВЕЙТЫН БАЙГАЛЬ ХАМГААЛАХ ТӨВ
6614,,,Point,106.801602,47.79846,Амралтын газар,МОНГОЛИЙ ВОЯЖ ХХК С.АЛТАНТУЯА
6615,,,Point,106.811345,47.844694,Амралтын газар,НУМТ ГҮРЭН ХХК
6616,,,Point,107.003366,48.054087,Амралтын газар,ОМЕГА ХХК А.ГАНХУЯГ
6617,,,Point,106.969578,48.041083,Амралтын газар,"ХОС ШИНС ХХК, Б.ДАВААДОРЖ"
6618,,,Point,106.974716,48.052874,Амралтын газар,"БИ ЭФ ЭФ РУПП ХХК, А.ДӨЛГӨӨН"
6619,,,Point,106.905829,48.114751,Амралтын газар,БАГА ХАНДГАЙТ ОНӨААТҮГ Ц.ГОНГОРЖАВ
6620,,,Point,106.917681,47.930687,Амралтын газар,"ХҮРД  НАРЛАГ ХХК Э.УНДРАХ, Э.МАНДУХАЙ"
6621,,,Point,107.387138,47.812853,Амралтын газар,МОНТЭН БРИДЖ ХХК М.ТӨГӨЛДӨР
6622,,,Point,107.405423,47.910019,Амралтын газар,ДҮНХЭН УУЛЫН БУУРАЛ ХХК Д.ХАНДСҮРЭН
6623,,,Point,107.422183,47.872873,Амралтын газар,МЯНГАН ЛАНТ ХОЛДИНГ ХХК Ц.ОРГИЛХУЯГ
6624,,,Point,107.423185,47.856555,Амралтын газар,ЧИНГИСИЙН ӨВӨР ХХК Э.ЗОЛЗАЯА
6625,,,Point,107.425936,47.905783,Амралтын газар,ӨНӨР БСОБ ХХК Л.ДАМДИНСҮРЭН
6626,,,Point,107.401516,47.860192,Амралтын газар,АЯНЧИН ФОУР СИИЗОНЗ ЛОДЖЕ ХХК Г.БИЛГҮҮН
6627,,,Point,107.395926,47.831273,Амралтын газар,ГЮҮДОН ХАУС ХХК З.СЭЛЭНГЭ
6628,,,Point,107.437023,47.858691,Амралтын газар,ПРЕМИУМ БОЛОР ХХК Б.ТОГТОХБАЯР
