id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Хэсэгчилсэн ерөнхий төлөвлөгөөний нэр,Нэмэлт тайлбар,Дүүрэг,Хороо,Хаягийн бүс,Гудамж,Батлагдсан дугаар
15458,,,Polygon,107.074831,47.923056,ХЕТ-ний хил хязгаар-1,Хужирбулан нэгж хорооллын ХЕТ,2015.12.18 нд мэдээ шинчлэгдсэн,,,,,
15459,,,Polygon,106.995783,47.939362,ХЕТ-ний хил хязгаар-1,Шархад нэгж хорооллын ХЕТ,2015.12.18 нд мэдээ шинчлэгдсэн,,,,,
15460,,,Polygon,106.921207,47.954494,ХЕТ-ний хил хязгаар-1,9-р нэгж хорооллын ХЕТ,2015.12.18 нд мэдээ шинчлэгдсэн,,,,,
15461,,,Polygon,107.027118,47.915303,ХЕТ-ний хил хязгаар-1,Үйлдвэр-4 нэгж хорооллын ХЕТ,2015.12.18 нд мэдээ шинчлэгдсэн,,,,,
15462,,,Polygon,106.952809,47.932001,ХЕТ-ний хил хязгаар-1,10-р нэгж хорооллын ХЕТ,2015.12.18 нд мэдээг шинчлэн оруулсан.,,,,,
15463,,,Polygon,107.102713,47.874175,ХЕТ-ний хил хязгаар-1,31-р нэгж хорооллын ХЕТ,2015.12.18 нд мэдээ шинчлэгдсэн,,,,,
15464,,,Polygon,106.992449,47.905955,ХЕТ-ний хил хязгаар-1,18-р нэгж хорооллын ХЕТ,2015.12.18 нд мэдээг шинчилсэн.,,,,,
15465,,,Polygon,106.574129,48.031144,ХЕТ-ний хил хязгаар-1,"Агропаркийн ХЕТ, ажлын зураг төсөл /СХД-н 21-р хороо",,,,,,
15466,,,Polygon,106.880025,47.89868,ХЕТ-ний хил хязгаар-1,"Баруун-2 бүсийн ""Үйлдвэр-1""-р хорооллын ЕТ",,,,,,
15467,,,Polygon,106.821948,47.893495,ХЕТ-ний хил хязгаар-1,"Баруун-2 бүсийн ""Үйлдвэр-2""-р хорооллын ЕТ",,,,,,
15468,,,Polygon,106.754076,47.892343,ХЕТ-ний хил хязгаар-1,"Баруун-2 бүсийн ""Үйлдвэр-3""-р хорооллын ЕТ",,,,,,
15469,,,Polygon,106.909259,47.921254,ХЕТ-ний хил хязгаар-1,"Бага тойруугийн хуучин барилгыг буулгах, оновчтой төлөвлөлтийн ТЭЗҮ",,,,,,
15470,,,Polygon,107.278731,47.731347,ХЕТ-ний хил хязгаар-1,Налайх дүүргийн АҮТП-н ХЕТ,,,,,,
15471,,,Polygon,106.614127,47.792883,ХЕТ-ний хил хязгаар-1,"Био-комбинат, Туул-Шувуун фабрик орчмыг ХЕТ",,,,,,
15472,,,Polygon,106.344068,47.934725,ХЕТ-ний хил хязгаар-1,"Хүй долоон худаг дахь Монгол наадам цогцолбор барих ажлын ХЕТ, ажлын зураг төсөв",,,,,,
15473,,,MultiPolygon,106.847115,47.962723,ХЕТ-ний хил хязгаар-1,Баянхошуу нэгж хорооллын ХЕТ,,,,,,
15474,,,Polygon,106.824892,47.953883,ХЕТ-ний хил хязгаар-1,"""БАЯНХОШУУ дэд төв"" -ийн ХЕТ",,,,,,
15475,,,MultiPolygon,107.316464,47.776239,ХЕТ-ний хил хязгаар-1,Налайх дүүргийн ХЕТ,,,,,,
15476,,,Polygon,106.916465,47.967265,ХЕТ-ний хил хязгаар-1,"""СЭЛБЭ дэд төв"" -ийн ХЕТ",,,,,,
15477,,,Polygon,106.605497,47.774609,ХЕТ-ний хил хязгаар-1,"Агропаркийн ХЕТ, ажлын зураг төсөл /ХУД-н 13-р хороо/",,,,,,
15478,,,Polygon,106.579293,47.837741,ХЕТ-ний хил хязгаар-1,"Эмээлтийн хөнгөн үулдвэрийн үйлдвэрлэл, технологийн паркийн ХЕТ",,,,,,
15479,,,Polygon,106.890728,47.986206,ХЕТ-ний хил хязгаар-1,Чингэлтэй нэгж хорооллын ХЕТ,2015.12.18 нд мэдээ шинчлэгдсэн,,,,,
15480,,,MultiPolygon,106.77785,47.95729,ХЕТ-ний хил хязгаар-1,Толгойт нэгж хорооллын ХЕТ,2015.12.18 нд мэдээг оруулсан.,,,,,
15481,,,Polygon,106.918271,48.152547,ХЕТ-ний хил хязгаар-1,Санзай зуслангийн ХЕТ,-,,,,,
15482,,,Polygon,106.868397,48.124162,ХЕТ-ний хил хязгаар-1,Ойн булаг зуслангийн ХЕТ,-,,,,,
15483,,,Polygon,106.93741,48.13904,ХЕТ-ний хил хязгаар-1,Хандгайт зуслангийн ХЕТ,-,,,,,
15484,,,Polygon,106.983868,48.018454,ХЕТ-ний хил хязгаар-1,Цээнэ зуслангийн ХЕТ,-,,,,,
15485,,,Polygon,106.915147,48.0984,ХЕТ-ний хил хязгаар-1,Хандгайтын богино зуслангийн ХЕТ,-,,,,,
15486,,,Polygon,106.866204,48.09984,ХЕТ-ний хил хязгаар-1,Майхан толгой_СБД зуслангийн ХЕТ,-,,,,,
15487,,,Polygon,106.913692,48.028591,ХЕТ-ний хил хязгаар-1,Зуун мод зуслангийн ХЕТ,-,,,,,
15488,,,Polygon,106.935738,48.015103,ХЕТ-ний хил хязгаар-1,Ар хустай зуслангийн ХЕТ,-,,,,,
15489,,,Polygon,106.9319,48.027453,ХЕТ-ний хил хязгаар-1,Зуун мод_СБД зуслангийн ХЕТ,-,,,,,
15490,,,Polygon,106.915859,48.001623,ХЕТ-ний хил хязгаар-1,Ар согоот зуслангийн ХЕТ,-,,,,,
15491,,,Polygon,106.917846,48.086173,ХЕТ-ний хил хязгаар-1,Баянбулаг зуслангийн ХЕТ,-,,,,,
15492,,,Polygon,106.894556,48.021248,ХЕТ-ний хил хязгаар-1,Шадивлан зуслангийн ХЕТ,-,,,,,
15493,,,Polygon,106.936215,48.046925,ХЕТ-ний хил хязгаар-1,Гоодой зуслангийн ХЕТ,-,,,,,
15494,,,Polygon,106.949569,48.094156,ХЕТ-ний хил хязгаар-1,Шарга морьт зуслангийн ХЕТ,-,,,,,
15495,,,Polygon,106.997759,48.0067,ХЕТ-ний хил хязгаар-1,Цолмон зуслангийн ХЕТ,-,,,,,
15496,,,Polygon,106.923779,48.081304,ХЕТ-ний хил хязгаар-1,Хуурай мухар зуслангийн ХЕТ,-,,,,,
15497,,,Polygon,106.88499,48.030797,ХЕТ-ний хил хязгаар-1,Яргайт зуслангийн ХЕТ,-,,,,,
15498,,,Polygon,106.882783,48.04435,ХЕТ-ний хил хязгаар-1,Яргайтын богино зуслангийн ХЕТ,-,,,,,
15499,,,Polygon,106.789066,47.847512,ХЕТ-ний хил хязгаар-1,Нисэх Яармаг орчмын орон сууцны хорооллын ЕТ,,,,,,
