id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Замын ангилал,Батлагдсан огноо,Замын зурвас газар,Хэсэгчилсэн ерөнхий төлөвлөгөөний нэр,Нэмэлт тайлбар,Дүүрэг,Хороо,Хаягийн бүс,Гудамж
526484,,,Polygon,106.948027,47.904421,ХЕТ-ний төлөвлөлтийн зам,2-р зэргийн гол зам,2015.04.15,2,"10, 14, 15, 16, 17, 18-р нэгж хорооллын ХЕТ",2-р зэргийн туслах зам,,,,
526485,,,Polygon,106.964858,47.914833,ХЕТ-ний төлөвлөлтийн зам,"10, 14, 15-р нэгж хорооллыг дамнасан 1 зэр гол зам",2015.04.15,4,"10, 14, 15, 16, 17, 18-р нэгж хорооллын ХЕТ",1-р зэргийн гол зам,,,,
526486,,,Polygon,107.0067,47.913853,ХЕТ-ний төлөвлөлтийн зам,16-р нэгж хорооллын 1-р зэрэглэлийн туслах зам,2015.04.15,3,"10, 14, 15, 16, 17, 18-р нэгж хорооллын ХЕТ",1-р зэргийн туслах зам,,,,
526487,,,MultiPolygon,106.974715,47.919407,ХЕТ-ний төлөвлөлтийн зам,Төлөвлөгдсөн авто зам,2015.04.15,2,"10, 14, 15, 16, 17, 18-р нэгж хорооллын ХЕТ",-,,,,
526488,,,Polygon,107.007512,47.917579,ХЕТ-ний төлөвлөлтийн зам,16-р нэгж хорооллын 2-р зэрэглэлийн гол зам,2015.04.15,4,"10, 14, 15, 16, 17, 18-р нэгж хорооллын ХЕТ",2-р зэргийн гол зам,,,,
526489,,,Polygon,107.005707,47.909933,ХЕТ-ний төлөвлөлтийн зам,18-р нэгж хорооллын 1-р зэрэглэлийн туслах зам,2015.04.15,3,"10, 14, 15, 16, 17, 18-р нэгж хорооллын ХЕТ",1-р зэргийн туслах зам,,,,
526490,,,Polygon,107.007045,47.913762,ХЕТ-ний төлөвлөлтийн зам,Төлөвлөгдсөн авто зам,2015.04.15,2,"10, 14, 15, 16, 17, 18-р нэгж хорооллын ХЕТ",-,,,,
526491,,,Polygon,107.002853,47.898595,ХЕТ-ний төлөвлөлтийн зам,18-р нэгж хорооллын 2-р зэрэглэлийн туслах зам,2015.04.15,2,"10, 14, 15, 16, 17, 18-р нэгж хорооллын ХЕТ",2-р зэргийн туслах зам,,,,
526492,,,Polygon,107.004234,47.899722,ХЕТ-ний төлөвлөлтийн зам,18-р нэгж хорооллын 2-р зэрэглэлийн гол зам,2015.04.15,2,"10, 14, 15, 16, 17, 18-р нэгж хорооллын ХЕТ",2-р зэргийн туслах зам,,,,
526493,,,Polygon,107.014645,47.90389,ХЕТ-ний төлөвлөлтийн зам,Төлөвлөгдсөн явган хүний зам,2015.04.15,1,"10, 14, 15, 16, 17, 18-р нэгж хорооллын ХЕТ",Явган хүний зам 3 метр өргөнтэй,,,,
526494,,,Polygon,107.009261,47.904621,ХЕТ-ний төлөвлөлтийн зам,18-р нэгж хорооллын 2-р зэрэглэлийн туслах зам,2015.04.15,2,"10, 14, 15, 16, 17, 18-р нэгж хорооллын ХЕТ",2-р зэргийн туслах зам,,,,
526495,,,MultiPolygon,106.97409,47.919372,ХЕТ-ний төлөвлөлтийн зам,Төлөвлөгдсөн явган хүний зам,2015.04.15,1,"10, 14, 15, 16, 17, 18-р нэгж хорооллын ХЕТ",Явган хүний зам 3 метр өргөнтэй,,,,
526496,,,Polygon,107.005209,47.905175,ХЕТ-ний төлөвлөлтийн зам,Төлөвлөгдсөн явган хүний зам,2015.04.15,1,"10, 14, 15, 16, 17, 18-р нэгж хорооллын ХЕТ",Явган хүний зам 3 метр өргөнтэй,,,,
526497,,,MultiPolygon,107.028896,47.91712,ХЕТ-ний төлөвлөлтийн зам,Төлөвлөгдсөн явган хүний зам,2015.04.15,1,Үйлдвэр-4 нэгж хорооллын ХЕТ,Явган хүний зам 3 метр өргөнтэй,,,,
526498,,,MultiPolygon,107.028864,47.917018,ХЕТ-ний төлөвлөлтийн зам,Төлөвлөгдсөн дугуйн зам,2015.04.15,2,Үйлдвэр-4 нэгж хорооллын ХЕТ,Дугуйн зам,,,,
526499,,,Polygon,107.019559,47.933849,ХЕТ-ний төлөвлөлтийн зам,Төлөвлөгдсөн 1-р зэрэглэлийн туслах зам,2015.04.15,3 эгнээ,Үйлдвэр-4 нэгж хорооллын ХЕТ,2016.09.15 ний өдөр Т.Соёл-эрдэнэ мэдээг оруулав.,,,,
526500,,,MultiPolygon,107.026973,47.91443,ХЕТ-ний төлөвлөлтийн зам,Нутаг дэвсгэрийн гол гудамж зам,2015.04.15,2 эгнээ,Үйлдвэр-4 нэгж хорооллын ХЕТ,2016.09.15 ний өдөр Т.Соёл-эрдэнэ мэдээг оруулав.,,,,
526501,,,MultiPolygon,107.030304,47.910288,ХЕТ-ний төлөвлөлтийн зам,Төлөвлөгдсөн 2-р зэрэглэлийн гол зам,2015.04.15,4 эгнээ,Үйлдвэр-4 нэгж хорооллын ХЕТ,2016.09.15 ний өдөр Т.Соёл-эрдэнэ мэдээг оруулав.,,,,
526502,,,MultiPolygon,107.022637,47.917043,ХЕТ-ний төлөвлөлтийн зам,Төлөвлөгдсөн 2-р зэрэглэлийн гол зам,2015.04.15,4 эгнээ,Үйлдвэр-4 нэгж хорооллын ХЕТ,2016.09.15 ний өдөр Т.Соёл-эрдэнэ мэдээг оруулав.,,,,
526503,,,Polygon,107.020696,47.91663,ХЕТ-ний төлөвлөлтийн зам,Төлөвлөгдсөн 1-р зэргийн гол гудамж зам,2015.04.15,8 эгнээ,Үйлдвэр-4 нэгж хорооллын ХЕТ,2016.09.15 ний өдөр Т.Соёл-эрдэнэ мэдээг оруулав.,,,,
526504,,,MultiPolygon,107.026551,47.916674,ХЕТ-ний төлөвлөлтийн зам,Төлөвлөгдсөн 1-р зэргийн туслах гудамж зам,2015.04.15,3 эгнээ,Үйлдвэр-4 нэгж хорооллын ХЕТ,2016.09.15 ний өдөр Т.Соёл-эрдэнэ мэдээг оруулав.,,,,
526505,,,MultiPolygon,107.022342,47.900711,ХЕТ-ний төлөвлөлтийн зам,Төлөвлөгдсөн гүүр,2015.04.15,2 эгнээ,Үйлдвэр-4 нэгж хорооллын ХЕТ,2016.09.15 ний өдөр Т.Соёл-эрдэнэ мэдээг оруулав.,,,,
526506,,,MultiPolygon,107.099753,47.876636,ХЕТ-ний төлөвлөлтийн зам,Төлөвлөгдсөн явган хүний зам,2015.04.15,1,31-р нэгж хорооллын ХЕТ,2016.09.15 ний өдөр Т.Соёл-эрдэнэ мэдээг оруулав.,,,,
526507,,,Polygon,107.086249,47.890048,ХЕТ-ний төлөвлөлтийн зам,Төлөвлөгдсөн явган хүний зам,2015.04.15,1,31-р нэгж хорооллын ХЕТ,2016.09.15 ний өдөр Т.Соёл-эрдэнэ мэдээг оруулав.,,,,
526508,,,Polygon,107.091605,47.88707,ХЕТ-ний төлөвлөлтийн зам,Төлөвлөгдсөн явган хүний зам,2015.04.15,1,31-р нэгж хорооллын ХЕТ,2016.09.15 ний өдөр Т.Соёл-эрдэнэ мэдээг оруулав.,,,,
526509,,,Polygon,107.091605,47.88707,ХЕТ-ний төлөвлөлтийн зам,Төлөвлөгдсөн явган хүний зам,2015.04.15,1,31-р нэгж хорооллын ХЕТ,2016.09.15 ний өдөр Т.Соёл-эрдэнэ мэдээг оруулав.,,,,
