id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Барилгын зориулалт,Дүүрэг,Хороо,Хаягийн бүс,Архитектур төлөвлөлтийн даалгаврын дугаар,Гудамж
96302,ТТО161320883200001,,Polygon,106.819724,47.909267,Тохижилтын загвар зураг,Авто замын барилга,Баянгол,20-р хороо,Үйлдвэрийн баруун бүс-2 /16101/,,
96314,ТТО161575849600000,цэцэрлэгт хүрээлэн,Polygon,106.800804,47.881124,Тохижилтын загвар зураг,Цэцэрлэгт хүрээлэнгийн барилга,Баянгол,20-р хороо,Үйлдвэрийн баруун бүс-4 /16103/,ГБМЗХ2019/22-012,
96348,ТТО161306281600001,,Polygon,106.851068,47.908504,Тохижилтын загвар зураг,Гүүрэн гарцын барилга,Баянгол,20-р хороо,Үйлдвэрийн баруун бүс-1 /16100/,,
96360,ТТО161306281600002,,Polygon,106.868468,47.91419,Тохижилтын загвар зураг,,Баянгол,5-р хороо,10-р хороолол-1 /16080/,,
96383,ТТО161249862400000,,Polygon,106.829916,47.910009,Тохижилтын загвар зураг,Цэцэрлэгт хүрээлэнгийн барилга,Баянгол,20-р хороо,Үйлдвэрийн баруун бүс-2 /16101/,,
96399,ТТО161320883200002,,Polygon,106.861095,47.917935,Тохижилтын загвар зураг,Гүүрэн гарцын барилга,Баянгол,6-р хороо,10-р хороолол-2 /16081/,,
96523,ТТО161306281600003,,Polygon,106.868009,47.922302,Тохижилтын загвар зураг,,Баянгол,7-р хороо,3-р хороолол-3 /16092/,,
96674,ТТО161391760061000,Баянгол дүүргийн 50 жилийн ойд зориулсан тохижилт,Polygon,106.87727,47.914057,Тохижилтын загвар зураг,Талбайн тохижилт барилга,Баянгол,4-р хороо,2-р хороолол-3 /16052/,,П.Жасрайн гудамж
96722,ТТО161398702720000,Автобусны буудал,Polygon,106.884361,47.9097,Тохижилтын загвар зураг,,Баянгол,1-р хороо,2-р хороолол-2 /16051/,,
96948,ТТО161417008564000,Сант түшээ дэлгүүрийн гаднах тохижилт,Polygon,106.88319,47.937756,Тохижилтын загвар зураг,Хороолол дундах тохижилтын барилга,Баянгол,23-р хороо,Наран-БГД /16070/,,
96958,ТТО161430325637000,"47а, 47б, 47в байрны дундах тохижилт",Polygon,106.882877,47.920601,Тохижилтын загвар зураг,,Баянгол,18-р хороо,4-р хороолол-8 /16067/,,
96978,ТТО161431424905000,"Жалханз хутагт Дамдинбазарын гудамж, дилав хутагт ",MultiPolygon,106.87289,47.91848,Тохижилтын загвар зураг,Талбайн тохижилт барилга,Баянгол,8-р хороо,3-р хороолол-3 /16092/,,
96980,ТТО161416311236000,Давхар зогсоол,Polygon,106.871329,47.9244,Тохижилтын загвар зураг,,Баянгол,13-р хороо,3-р хороолол-2 /16091/,ТЗХ-19,
97057,ТТО161417003207000,"Чингүнжавын гудамжны зүүн талд гэрэлт гудамж, орон",Polygon,106.877497,47.919668,Тохижилтын загвар зураг,,Баянгол,19-р хороо,4-р хороолол-8 /16067/,МЗХ2019/01-31,
97058,ТТО161417007157000,35-р байрны тохижилт,Polygon,106.888532,47.921064,Тохижилтын загвар зураг,,Баянгол,17-р хороо,4-р хороолол-4 /16063/,,
