id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Барилгын зориулалт,Дүүрэг,Хороо,Хаягийн бүс,Архитектур төлөвлөлтийн даалгаврын дугаар,Гудамж
97060,ТТО161417009082000,Үржин тогтох дэлгүүрийн урд талбайн тохижилт,Polygon,106.882707,47.934216,Тохижилтын загвар зураг,Хороолол дундах тохижилтын барилга,Баянгол,11-р хороо,4-р хороолол-2 /16061/,,
97061,ТТО161417010331000,10-р хорооны байрны гадна тохижилт,Polygon,106.868607,47.925546,Тохижилтын загвар зураг,Эдэлбэр газрын тохижилт,Баянгол,10-р хороо,3-р хороолол-4 /16093/,,
97062,ТТО161417010439000,СОТ-ын байрны талбайн тохижилт,Polygon,106.863925,47.92462,Тохижилтын загвар зураг,Тоглоомын талбайн барилга,Баянгол,9-р хороо,3-р хороолол-4 /16093/,,
97063,ТТО161417010754000,"4, 5, 6-р байрны талбайн тохижилт",Polygon,106.873987,47.924684,Тохижилтын загвар зураг,,Баянгол,13-р хороо,3-р хороолол-2 /16091/,,
97065,ТТО161417011709000,"15,16, 17-р байрны дундах тохижилт",Polygon,106.882187,47.924108,Тохижилтын загвар зураг,,Баянгол,14-р хороо,4-р хороолол-7 /16066/,,
97066,ТТО161417013414000,Зам талбайг хатуу хучилттай болгох,Polygon,106.879306,47.915313,Тохижилтын загвар зураг,Талбайн тохижилт барилга,Баянгол,2-р хороо,2-р хороолол-1 /16050/,,
97067,ТТО161417017950000,Цэцэрлэгийн гадна тохижилт,Polygon,106.862693,47.920179,Тохижилтын загвар зураг,Эдэлбэр газрын тохижилт,Баянгол,7-р хороо,3-р хороолол-5 /16094/,,
97068,ТТО161417086846000,Тохижилтын талбай,Polygon,106.875891,47.919517,Тохижилтын загвар зураг,Эдэлбэр газрын тохижилт,Баянгол,8-р хороо,3-р хороолол-3 /16092/,,
97087,ТТО161417003132000,Дээрээ тохижилттой газар доорх авто зогсоол,Polygon,106.886613,47.921494,Тохижилтын загвар зураг,"Газар доорх зогсоол, тоглоомын талбайн барилга",Баянгол,18-р хороо,4-р хороолол-4 /16063/,,
97103,ТТО161417107447000,45.46- байрны дунд хүүхдийн тоглоомын талбай,Polygon,106.882084,47.921321,Тохижилтын загвар зураг,,Баянгол,18-р хороо,4-р хороолол-8 /16067/,ГБМЗХ2020/07-035,
97133,ТТО161418812779000,10-р байрны талбайн тохижилт,Polygon,106.873292,47.921582,Тохижилтын загвар зураг,,Баянгол,8-р хороо,3-р хороолол-3 /16092/,,
97134,ТТО161418831215000,Гандан тэгчилэн хийдийн гаднах хашаа,Polygon,106.89494,47.921689,Тохижилтын загвар зураг,Эдэлбэр газрын тохижилт,Баянгол,16-р хороо,Гандан /16040/,,
97135,ТТО161418831451000,Гүүрний хажуу дахь талбайн тохижилт,Polygon,106.872198,47.928769,Тохижилтын загвар зураг,Хороолол дундах тохижилтын барилга,Баянгол,22-р хороо,Наран-БГД /16070/,,
97239,ТТО161430305558000,2-р байрны гадна тохижилт,Polygon,106.877796,47.911814,Тохижилтын загвар зураг,,Баянгол,4-р хороо,2-р хороолол-3 /16052/,,
97240,ТТО161430306822000,"24, 25-р байрны талбайн тохижилт",Polygon,106.864602,47.916937,Тохижилтын загвар зураг,,Баянгол,6-р хороо,10-р хороолол-2 /16081/,,
97241,ТТО161430307342000,"Орон сууцны 29, 30, 31, 32, 33-р байруудын дунд та",Polygon,106.864627,47.920945,Тохижилтын загвар зураг,,Баянгол,7-р хороо,3-р хороолол-5 /16094/,МЗХ2019/01-30,
97242,ТТО161430307726000,31-р байрны талбайн тохижилт,Polygon,106.885815,47.92582,Тохижилтын загвар зураг,,Баянгол,15-р хороо,4-р хороолол-3 /16062/,,
97243,ТТО161430310610000,71-р байрны гадна тохижилт,Polygon,106.887297,47.914166,Тохижилтын загвар зураг,,Баянгол,3-р хороо,2-р хороолол-2 /16051/,,
97244,ТТО161430315345000,"Богд арын 3А, 4А байрны талбайн тохижилт",Polygon,106.885168,47.912861,Тохижилтын загвар зураг,,Баянгол,1-р хороо,2-р хороолол-2 /16051/,,
97245,ТТО161430317844000,"62, 63-р байрны талбайн тохижилт",Polygon,106.877748,47.917568,Тохижилтын загвар зураг,,Баянгол,19-р хороо,4-р хороолол-5 /16064/,,
97246,ТТО161430320099000,12-р хорооны байрны гадна тохижилт,Polygon,106.879987,47.926072,Тохижилтын загвар зураг,,Баянгол,12-р хороо,4-р хороолол-6 /16065/,,
97247,ТТО161430320992000,"БХН-30, УС-29-р барны талбайн тохижилт",Polygon,106.791006,47.906929,Тохижилтын загвар зураг,,Баянгол,20-р хороо,Үйлдвэрийн баруун бүс-3 /16102/,,
97248,ТТО161430321959000,Энхтайвны өргөн чөлөөний талбайн тохижилт,Polygon,106.886287,47.914571,Тохижилтын загвар зураг,Эдэлбэр газрын тохижилт,Баянгол,2-р хороо,2-р хороолол-1 /16050/,,
97249,ТТО161430323137000,Талбайн тохижилт,Polygon,106.854935,47.929406,Тохижилтын загвар зураг,Хороолол дундах тохижилтын барилга,Баянгол,21-р хороо,Наран-БГД /16070/,,
97255,ТТО161431425249000,"Жалханз хутагт Дамдинбазарын гудамж, дилав хутагт ",MultiPolygon,106.874923,47.918114,Тохижилтын загвар зураг,Талбайн тохижилт барилга,Баянгол,8-р хороо,3-р хороолол-3 /16092/,,
97353,ТТО161448277839000,"15,16,17 дугаар байрны урд тохижилт",Polygon,106.882429,47.923912,Тохижилтын загвар зураг,,Баянгол,14-р хороо,4-р хороолол-7 /16066/,,
97414,ТТО161458753955000,Тохижилт,Polygon,106.877779,47.911526,Тохижилтын загвар зураг,,Баянгол,4-р хороо,2-р хороолол-3 /16052/,,
97415,ТТО161459206127000,"""ТЭЦ-4""-н урд автобусны эргэлтийн талбай",Polygon,106.808552,47.891216,Тохижилтын загвар зураг,Эдэлбэр газрын тохижилт,Баянгол,20-р хороо,Үйлдвэрийн баруун бүс-2 /16101/,,
97523,ТТО161497402012000,"Тоглоомын талбай, тохижилт",Polygon,106.861011,47.940263,Тохижилтын загвар зураг,Тоглоомын талбайн барилга,Баянгол,10-р хороо,Наран-БГД /16070/,МЗХ2017/12-58,
97528,ТТО161497641406000,65-р байрны баруун талд гадна талбайн тохижилт,Polygon,106.882186,47.918178,Тохижилтын загвар зураг,Тоглоомын талбайн барилга,Баянгол,18-р хороо,4-р хороолол-5 /16064/,МЗХ2017/13-32,Жалханз Хутагт Дамдинбазарын гудамж
97535,ТТО161497644257000,52-р байрны зүүн талд гадна талбайн тохижилт,Polygon,106.880659,47.92137,Тохижилтын загвар зураг,Тоглоомын талбайн барилга,Баянгол,19-р хороо,4-р хороолол-8 /16067/,МЗХ2017/13-33,
97648,ТТО161488552821000,ГССҮТөвийн гадна тохижилт,Polygon,106.857258,47.919711,Тохижилтын загвар зураг,Эдэлбэр газрын тохижилт,Баянгол,7-р хороо,3-р хороолол-5 /16094/,МЗХ2017/03-11,
97649,ТТО161488558853000,Тохижилт,Polygon,106.865818,47.913986,Тохижилтын загвар зураг,Талбайн тохижилт барилга,Баянгол,5-р хороо,10-р хороолол-1 /16080/,МЗХ2017/03-12,
97696,ТТО161494600561000,"Тохижилт, ногоон байгууламж",Polygon,106.891433,47.910245,Тохижилтын загвар зураг,,Баянгол,3-р хороо,2-р хороолол-2 /16051/,2017/08-30,
97713,ТТО161497389069000,Явган зам тавих тохижилт,Polygon,106.866995,47.912597,Тохижилтын загвар зураг,,Баянгол,5-р хороо,Үйлдвэрийн төвийн бүс-1 /16010/,МЗХ2017/12-56,
97714,ТТО161497393054000,Явган зм шинээр хийх талбай,Polygon,106.88172,47.927395,Тохижилтын загвар зураг,,Баянгол,12-р хороо,4-р хороолол-6 /16065/,МЗХ2017/13-34,
97715,ТТО161497395888000,ахмадын амрах талбайн тохижилт,Polygon,106.883446,47.928704,Тохижилтын загвар зураг,,Баянгол,11-р хороо,4-р хороолол-2 /16061/,МЗХ2017/12-59,
97716,ТТО161497399593000,"явган зам, далан дагуу эко хавтан тавих",Polygon,106.880678,47.932966,Тохижилтын загвар зураг,Талбайн тохижилт барилга,Баянгол,23-р хороо,Наран-БГД /16070/,МЗХ2017/12-60,
97718,ТТО161497403414000,Тоглоомын талбайн тохижилт,Polygon,106.863946,47.914941,Тохижилтын загвар зураг,,Баянгол,5-р хороо,10-р хороолол-2 /16081/,МЗХ2017/12-57,
97719,ТТО161497634350000,36и байрны баруун талд гадна талбайн тохижилт,Polygon,106.89462,47.923682,Тохижилтын загвар зураг,Тоглоомын талбайн барилга,Баянгол,16-р хороо,Гандан /16040/,МЗХ2017/13-31,С.Амарсанаагийн гудамж
97720,ТТО161497639954000,36и байрны баруун талд гадна талбайн тохижилт,Polygon,106.89462,47.923682,Тохижилтын загвар зураг,,Баянгол,16-р хороо,Гандан /16040/,МЗХ2017/13-31,С.Амарсанаагийн гудамж
97721,ТТО161497640943000,36и байрны баруун талд гадна талбайн тохижилт,Polygon,106.889668,47.919927,Тохижилтын загвар зураг,Тоглоомын талбайн барилга,Баянгол,17-р хороо,4-р хороолол-4 /16063/,МЗХ2017/13-31,
97724,ТТО161497629224000,Бичил 6-р хорооллын 25-р байрны урд хүүхдийн тогло,Polygon,106.880694,47.927902,Тохижилтын загвар зураг,"Газар доорх зогсоол, тоглоомын талбайн барилга",Баянгол,12-р хороо,4-р хороолол-6 /16065/,МЗХ2017/13-29,
97749,ТТО161500410554000,3-р эмнэлгийн урд талбайн гадна тохижилт,Polygon,106.857876,47.91359,Тохижилтын загвар зураг,Талбайн тохижилт барилга,Баянгол,5-р хороо,,МЗХ2017/14-26,Энх тайвaны өргөн чөлөө
97750,ТТО161500414527000,Гандангийн урд талд гадна талбайн тохижилт,Polygon,106.894841,47.918654,Тохижилтын загвар зураг,Талбайн тохижилт барилга,Баянгол,16-р хороо,Гандан /16040/,МЗХ2017/14-29,Өндөр гэгээн Занабазарын гудамж
97751,ТТО161500452101000,19-р сургуулийн хойд талын автобусны буудлын тохиж,Polygon,106.793023,47.907899,Тохижилтын загвар зураг,,Баянгол,20-р хороо,Үйлдвэрийн баруун бүс-3 /16102/,МЗХ2017/14-22,
97752,ТТО161500453469000,Дэвшил сангийн аж ахуйн автобусны тохижилт,Polygon,106.785817,47.898638,Тохижилтын загвар зураг,Талбайн тохижилт барилга,Баянгол,20-р хороо,Үйлдвэрийн баруун бүс-3 /16102/,МЗХ2017/14-23,Сонсголонгийн зам
97754,ТТО161500920116000,"Үерийн далангийн хашлага,явган зам талбайн тохижил",Polygon,106.877117,47.930787,Тохижилтын загвар зураг,Талбайн тохижилт барилга,Баянгол,11-р хороо,,МЗХ2017/13-50,
97755,ТТО161501079802000,Хүүхдийн тоглоомын талбайн тохижилт,Polygon,106.874445,47.938494,Тохижилтын загвар зураг,Тоглоомын талбайн барилга,Баянгол,23-р хороо,,МЗХ2017/13-49,
97762,ТТО161501669039000,"Үерийн далангийн хашлага,явган зам талбайн тохижил",Polygon,106.885709,47.927659,Тохижилтын загвар зураг,"Үерийн далан, сувгийн барилга",Баянгол,11-р хороо,,МЗХ2017/16-47,
97775,ТТО161503671150000,Автобусны буудлын тохижилт,Polygon,106.887908,47.930941,Тохижилтын загвар зураг,,Баянгол,11-р хороо,,МЗХ2017/17-36,Хувьсгалын зам
97806,ТТО161506700682000,"Аялал жуулчлал, түүх өв соёлын "" Хүрээ"" загвар цог",Polygon,106.894298,47.919529,Тохижилтын загвар зураг,Талбайн тохижилт барилга,Баянгол,16-р хороо,,МЗХ2017/20-02,Өндөр гэгээн Занабазарын гудамж
97811,ТТО161508235625000,Тохижилт,Polygon,106.866471,47.937507,Тохижилтын загвар зураг,,Баянгол,22-р хороо,,МЗХ2017/21-34,
97838,ТТО161511469374000,7-р байрны урд талд хүүхдийн тоглоомын талбай,Polygon,106.873201,47.924359,Тохижилтын загвар зураг,Тоглоомын талбайн барилга,Баянгол,13-р хороо,,МЗХ2017/25-18,
97840,ТТО161511471351000,"012, 013-р байруудын баруун талд хүүхдийн тоглоомы",Polygon,106.883372,47.912266,Тохижилтын загвар зураг,Тоглоомын талбайн барилга,Баянгол,1-р хороо,,МЗХ2017/25-19,
97877,ТТО161517301917000,73/1-р байрны баруун талд спортын талбай,Polygon,106.876601,47.916771,Тохижилтын загвар зураг,Тоглоомын талбайн барилга,Баянгол,2-р хороо,,МЗХ2018/02-15,Чингүнжавын гудамж
97878,ТТО161517308130000,"81, 38-р байруудын дунд талд спортын талбай",Polygon,106.889151,47.913242,Тохижилтын загвар зураг,Тоглоомын талбайн барилга,Баянгол,3-р хороо,,МЗХ2018/02-16,Хонхны гудамж
97879,ТТО161517320981000,"6А, 7А-р байруудын дунд хүүхдийн тоглоомын талбай",Polygon,106.885453,47.911716,Тохижилтын загвар зураг,Тоглоомын талбайн барилга,Баянгол,1-р хороо,,МЗХ2018/02-17,
97882,ТТО161517333774000,"С3-1, С3-2-р байруудын дунд талд хүүхдийн тоглоомы",Polygon,106.864109,47.924406,Тохижилтын загвар зураг,Тоглоомын талбайн барилга,Баянгол,9-р хороо,,МЗХ2018/02-18,Хасбаатарын гудамж
97884,ТТО161517338822000,Туулын 1-10-р гудамжуудын зүүн талд явган зам,Polygon,106.897861,47.919572,Тохижилтын загвар зураг,Тоглоомын талбайн барилга,Баянгол,16-р хороо,,МЗХ2018/02-19,Их тойруу
97894,ТТО161519120857000,Сэлбэ голын дагуу хийгдэх унадаг дугуйн замын трас,Polygon,106.893521,47.903022,Тохижилтын загвар зураг,,Баянгол,26-р хороо,"Үйлдвэрийн төвийн бүс-2 /16020/, 19-р хороолол-4 /17033/",2017/16-11,
97895,[NULL],Сэлбэ голын дагуу хийгдэх унадаг дугуйн замын трас,Polygon,106.84145,47.899758,Тохижилтын загвар зураг,Талбайн тохижилт барилга,Баянгол,20-р хороо,,2017/16-11,
97922,ТТО161524087807000,52-р байрны урд талд хүүхдийн тоглоомын талбай,Polygon,106.880315,47.910487,Тохижилтын загвар зураг,Тоглоомын талбайн барилга,Баянгол,4-р хороо,,МЗХ2018/09-43,
97923,ТТО161524089800000,"46, 48-р байруудын дунд сагсанбөмбөгийн талбай",Polygon,106.887127,47.91215,Тохижилтын загвар зураг,Тоглоомын талбайн барилга,Баянгол,1-р хороо,,МЗХ2018/09-42,
97924,ТТО161524138268000,Улаанбаатар өртөөний хойд талд цэцэрлэгт гудамж,Polygon,106.889,47.909342,Тохижилтын загвар зураг,Ногоон байгууламжийн барилга,Баянгол,1-р хороо,,МЗХ2018/09-37,
97925,ТТО161524138489000,Цэцэрлэгт гудамж,Polygon,106.880745,47.909455,Тохижилтын загвар зураг,Ногоон байгууламжийн барилга,Баянгол,1-р хороо,,МЗХ2018/09-37,
102935,ТТО161526318730000,98-р цэцэрлэгийн урд талд хүүхдийн тоглоомын талба,Polygon,106.869356,47.915304,Тохижилтын загвар зураг,Тоглоомын талбайн барилга,Баянгол,6-р хороо,,МЗХ2018/12-33,
102936,ТТО161526320546000,25-р байрны орчинд хүүхдийн тоглоомын талбай,Polygon,106.861782,47.91976,Тохижилтын загвар зураг,Тоглоомын талбайн барилга,Баянгол,7-р хороо,,МЗХ2018/12-34,
102937,ТТО161526321975000,Горькийн 21-718-р тоотын урд хэсгээс дээш 723-р то,Polygon,106.857867,47.92863,Тохижилтын загвар зураг,Талбайн тохижилт барилга,Баянгол,21-р хороо,,МЗХ2018/12-35,
102938,ТТО161526323058000,Гудамжны тохижилт,Polygon,106.855161,47.922064,Тохижилтын загвар зураг,Талбайн тохижилт барилга,Баянгол,21-р хороо,,МЗХ2018/12-36,
123572,ТТО161527589903000,Макс моллын зүүн талд дугуйн зогсоол,Polygon,106.89272,47.915247,Тохижилтын загвар зураг,Талбайн тохижилт барилга,Баянгол,16-р хороо,,МЗХ2018/13-61,
123634,ТТО161531129599000,93-р цэцэрлэгийн зүүн талд амралтын талбай,Polygon,106.872548,47.920388,Тохижилтын загвар зураг,Тоглоомын талбайн барилга,Баянгол,8-р хороо,,МЗХ2018/16-31,
123635,ТТО161531130923000,Орон сууцны 23-р байрны хүүхдийн тоглоомын талбай,Polygon,106.868156,47.926004,Тохижилтын загвар зураг,Тоглоомын талбайн барилга,Баянгол,10-р хороо,,МЗХ2018/16-32,
123645,ТТО161532370156000,"Орон сууцны 20, 21-р байруудын баруун талд явган х",Polygon,106.876942,47.927035,Тохижилтын загвар зураг,Талбайн тохижилт барилга,Баянгол,12-р хороо,,МЗХ2018/17-33,
123646,ТТО161532371493000,Улаанбаатар БҮК ХК-ний урд талд унадаг дугуйн зам ,Polygon,106.835672,47.898363,Тохижилтын загвар зураг,Ногоон байгууламжийн барилга,Баянгол,20-р хороо,,МЗХ2018/17-34,
123649,ТТО161532967271000,Орон сууцны 67-р байрны урд талд хүүхдийн тоглоомы,Polygon,106.88726,47.918081,Тохижилтын загвар зураг,Тоглоомын талбайн барилга,Баянгол,17-р хороо,,МЗХ2018/18-06,
123651,ТТО161532969446000,Орон сууцны 43-р байрны баруун талд хүүхдийн тогло,Polygon,106.884789,47.922339,Тохижилтын загвар зураг,Тоглоомын талбайн барилга,Баянгол,18-р хороо,,МЗХ2018/18-07,
123652,ТТО161533040053000,57-р цэцэрлэгийн эзэмшил дотор хүүхдийн тоглоомын ,Polygon,106.883531,47.929048,Тохижилтын загвар зураг,Тоглоомын талбайн барилга,Баянгол,11-р хороо,,МЗХ2018/18-15,
123677,ТТО161536161974000,Гадна талбайн тохижилт,Polygon,106.886959,47.925373,Тохижилтын загвар зураг,,Баянгол,15-р хороо,,МЗХ2018/21-06,
123693,ТТО161537291100000,Орон сууцны 20-р байрны гадна талбайн тохижилт,Polygon,106.878343,47.924731,Тохижилтын загвар зураг,Эдэлбэр газрын тохижилт,Баянгол,14-р хороо,,МЗХ2018/22-22,
123726,ТТО161544100656000,Замчдын гудамжны тохижилт,Polygon,106.886013,47.910776,Тохижилтын загвар зураг,Талбайн тохижилт барилга,Баянгол,1-р хороо,2-р хороолол-2 /16051/,,
123740,ТТО161519120945000,Сэлбэ голын дагуу хийгдэх унадаг дугуйн замын трас,Polygon,106.877532,47.904312,Тохижилтын загвар зураг,Талбайн тохижилт барилга,Баянгол,20-р хороо,,2017/16-11,
123747,ТТО161408964670000,Автомашины гүүр,Polygon,106.883132,47.903514,Тохижилтын загвар зураг,Гүүрэн гарцын барилга,Баянгол,3-р хороо,Үйлдвэрийн төвийн бүс-3 /16030/,2014/16-35,
123754,ТТО161518634563000,Их тойруугийн гудамжинд ногоон байгууламж,Polygon,106.897441,47.91857,Тохижилтын загвар зураг,Ногоон байгууламжийн барилга,Баянгол,2-р хороо,,МЗХ2018/03-42,
123760,ТТО161548066860000,Орон сууцны 21-р байрны урд талд хүүхдийн тоглоомы,Polygon,106.88439,47.924255,Тохижилтын загвар зураг,Тоглоомын талбайн барилга,Баянгол,15-р хороо,4-р хороолол-3 /16062/,МЗХ2019/01-27,
123761,ТТО161548073449000,"Чингүнжавын гудамжны зүүн талд гэрэлт гудамж, орон",Polygon,106.87676,47.915605,Тохижилтын загвар зураг,,Баянгол,2-р хороо,2-р хороолол-1 /16050/,МЗХ2019/01-31,
123764,ТТО161548084294000,13-р хорооны зүүн талд ахмад настны чийрэгжүүлэлти,Polygon,106.871285,47.923548,Тохижилтын загвар зураг,,Баянгол,13-р хороо,3-р хороолол-2 /16091/,МЗХ2019/01-28,
123765,ТТО161548089936000,Голден парк-1 хотхоны орон сууц 101-107-р байрууды,Polygon,106.868177,47.912192,Тохижилтын загвар зураг,,Баянгол,4-р хороо,Үйлдвэрийн төвийн бүс-1 /16010/,МЗХ2019/01-29,
123777,ТТО161552994337000,"Орон сууцны 74, 78-р байруудын гадна талбайн тохиж",Polygon,106.887655,47.91026,Тохижилтын загвар зураг,,Баянгол,1-р хороо,2-р хороолол-2 /16051/,МЗХ2019/05-48,
123778,ТТО161552995729000,"Орон сууцны 40, 43, 44, 44а, 59/2, 60, 61, 63, 64,",Polygon,106.880501,47.916331,Тохижилтын загвар зураг,,Баянгол,2-р хороо,2-р хороолол-1 /16050/,МЗХ2019/05-49,
123779,ТТО161552996398000,Хорооны цогцолбор барилгын зүүн талд тоглоомын тал,Polygon,106.880255,47.915302,Тохижилтын загвар зураг,Тоглоомын талбайн барилга,Баянгол,2-р хороо,2-р хороолол-1 /16050/,МЗХ2019/05-50,
123780,ТТО161552996796000,Орон сууцны 72-р байрны зүүн талд тоглоомын талбай,Polygon,106.888367,47.911536,Тохижилтын загвар зураг,Тоглоомын талбайн барилга,Баянгол,1-р хороо,2-р хороолол-2 /16051/,МЗХ2019/05-51,
123781,ТТО161552997339000,Орон сууцны 42-р байрны зүүн талд тоглоомын талбай,Polygon,106.891386,47.911554,Тохижилтын загвар зураг,,Баянгол,3-р хороо,2-р хороолол-2 /16051/,МЗХ2019/05-52,
123782,ТТО161552997786000,Орон сууцны 01-07-р байруудын гадна талбайн тохижи,Polygon,106.874285,47.913288,Тохижилтын загвар зураг,,Баянгол,4-р хороо,2-р хороолол-3 /16052/,МЗХ2019/05-53,
123791,ТТО161581325627000,БГД 100-р цэцэрлэг,Polygon,106.897414,47.903369,Тохижилтын загвар зураг,Эдэлбэр газрын тохижилт,Баянгол,3-р хороо,,ГБМЗХ2020/04-022,
123803,ТТО161556005493000,Орон сууцны 09-11-р байруудын гадна талбайн тохижи,Polygon,106.867131,47.914904,Тохижилтын загвар зураг,Эдэлбэр газрын тохижилт,Баянгол,5-р хороо,10-р хороолол-1 /16080/,МЗХ2019/06-53,
123804,ТТО161556006251000,Гадна талбайн тохижилт,Polygon,106.865224,47.916653,Тохижилтын загвар зураг,Эдэлбэр газрын тохижилт,Баянгол,6-р хороо,10-р хороолол-2 /16081/,МЗХ2019/06-54,
123806,ТТО161556006961000,19-23/1-р байруудын гадна талбайн тохижилт,Polygon,106.862917,47.91915,Тохижилтын загвар зураг,Эдэлбэр газрын тохижилт,Баянгол,7-р хороо,3-р хороолол-5 /16094/,МЗХ2019/06-61,
123807,ТТО161556007558000,Горькийн гудамжинд тохижилт,Polygon,106.854957,47.929657,Тохижилтын загвар зураг,Талбайн тохижилт барилга,Баянгол,21-р хороо,Наран-БГД /16070/,МЗХ2019/06-55,
123808,ТТО161556008109000,Гадна талбайн тохижилт,Polygon,106.862441,47.932251,Тохижилтын загвар зураг,Эдэлбэр газрын тохижилт,Баянгол,9-р хороо,Наран-БГД /16070/,МЗХ2019/06-62,
123819,ТТО161556131639000,Хүүхдийн тоглоомын талбай,Polygon,106.866808,47.925165,Тохижилтын загвар зураг,Тоглоомын талбайн барилга,Баянгол,10-р хороо,3-р хороолол-4 /16093/,МЗХ2019/06-31,
123820,ТТО161556132206000,Гадна талбайн тохижилт,Polygon,106.896231,47.903024,Тохижилтын загвар зураг,,Баянгол,3-р хороо,Үйлдвэрийн төвийн бүс-2 /16020/,МЗХ2019/06-46,
123823,ТТО161650386770000,,Polygon,106.843025,47.9017,Тохижилтын загвар зураг,Эдэлбэр газрын тохижилт,Баянгол,20-р хороо,Үйлдвэрийн баруун бүс-1 /16100/,,
123831,ТТО161557703252000,Амралтын талбай,Polygon,106.893207,47.911264,Тохижилтын загвар зураг,,Баянгол,3-р хороо,2-р хороолол-2 /16051/,МЗХ2019/07-26,
123832,ТТО161557704677000,Гадна талбайн тохижилт,Polygon,106.885118,47.920582,Тохижилтын загвар зураг,Эдэлбэр газрын тохижилт,Баянгол,18-р хороо,4-р хороолол-4 /16063/,МЗХ2019/07-38,
123833,ТТО161557736177000,Гудамжны тохижилт,Polygon,106.875936,47.936679,Тохижилтын загвар зураг,Хороолол дундах тохижилтын барилга,Баянгол,23-р хороо,Наран-БГД /16070/,МЗХ2019/07-39,
123834,ТТО161557737340000,Хүүхдийн тоглоомын талбай,Polygon,106.882988,47.919049,Тохижилтын загвар зураг,,Баянгол,18-р хороо,4-р хороолол-8 /16067/,МЗХ2019/07-40,
123835,ТТО161557739126000,Орон сууцны 60-р байрны зүүн талд хүүхдийн тоглоом,Polygon,106.877695,47.921003,Тохижилтын загвар зураг,Тоглоомын талбайн барилга,Баянгол,19-р хороо,4-р хороолол-8 /16067/,МЗХ2019/07-041,Чингүнжавын гудамж
123836,ТТО161557742964000,Орон сууцны 42-р байрны зүүн талд хүүхдийн тоглоом,Polygon,106.886034,47.921588,Тохижилтын загвар зураг,Тоглоомын талбайн барилга,Баянгол,18-р хороо,4-р хороолол-4 /16063/,МЗХ2019/07-042,
