id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Хаяг
3897,,,Point,106.85713,47.913702,Хөшөө,"Баянгол дүүргийн 5-р хороо, 3-р эмнэлэгийн урд хашаанд"
3898,,,Point,106.88416,47.92336,Хөшөө,"Баянгол дүүргийн 15-р хороо, 3-р хорооллын 23А байрны урд, 1000 нэрийн баруун талд"
3899,,,Point,106.890596,47.926799,Хөшөө,"Баянгол дүүргийн 11-р хороо, Эх нялхсын клиникийн хашаанд"
3900,,,Point,106.892049,47.925037,Хөшөө,"Баянгол дүүргийн 11-р хороо, Сэрүүлэг дээд сургуулийн урд"
3901,,,Point,106.886252,47.914619,Хөшөө,"Баянгол дүүргийн 2-р хороо, Баянгол дүүргийн өндөрлөг"
3902,,,Point,106.883902,47.909396,Хөшөө,"Баянгол дүүргийн 1-р хороо, Тээвэрчдийн гудамж, Нарны замын дундах цэцэрлэгт хүрээлэнд"
3903,,,Point,106.889806,47.909333,Хөшөө,"Баянгол дүүргийн 1-р хороо, Тээвэрчдийн гудамж, нарны зам дагуу Барс захын хойно"
3904,,,Point,106.929765,47.918134,Хөшөө,"Баянзүрх дүүргийн 6-р хороо, Сэлбийн Арслантай гүүрэн дээр"
3905,,,Point,106.929753,47.918394,Хөшөө,"Баянзүрх дүүргийн 6-р хороо, Сэлбийн Арслантай гүүрэн дээр"
3906,,,Point,106.932714,47.918666,Хөшөө,ХААЯ урд
3907,,,Point,106.932836,47.918776,Хөшөө,ХААЯ урд
3908,,,Point,106.935379,47.918743,Хөшөө,Ус сувгийн удирдах газрын урд
3909,,,Point,106.934722,47.927917,Хөшөө,"Баянзүрх дүүргийн 1-р хороо, Токиогийн гудамжны баруун талд, Эрэл сургуулийн хашаанд"
3910,,,Point,106.952444,47.918194,Хөшөө,"Баянзүрх дүүргийн 4-р хороо, Энхтайваны өргөн чөлөөний хойно, Жуковын талбайд"
3911,,,Point,106.972333,47.915389,Хөшөө,"Баянзүрх дүүргийн 13-р хороо, ШУА-хүрээлэнгийн хашаанд, Офицеруудын ордны урд талд"
3912,,,Point,106.973371,47.91569,Хөшөө,"Баянзүрх дүүргийн 13-р хороо, Энхтайвны өргөн чөлөө, Дандарбаатар, Улаанхуаранг уулзварт"
3913,,,Point,106.972515,47.91658,Хөшөө,"Баянзүрх дүүргийн 22-р хороо, Офицеруудын ордны хашаанд"
3914,,,Point,106.970213,47.916644,Хөшөө,"Баянзүрх дүүргийн 22-р хороо, Энхтайвны өргөн чөлөөний хойно, Батлан хамгаалах яамны хашаанд"
3915,,,Point,106.902447,47.921703,Хөшөө,"Самбуугийн гудамж, Бишрэлт худалдааны төвийн хойно"
3916,,,Point,106.898645,47.923794,Хөшөө,"Хувьсгалын гудамж өгсөх зам, тасганы овоонд"
3917,,,Point,106.905309,47.928375,Хөшөө,"Чингэлтэй 9 дүгээр хороо, Баянбүрдийн уулзварын гол хэсэгт, Их тойруу гудамж"
3918,,,Point,106.913948,47.926028,Хөшөө,СУИС ийн өмнөх талбайд
3919,,,Point,106.915129,47.921592,Хөшөө,"Чингэлтэй дүүргийн 4 дүгээр хороо, Ж.Самбуугийн гудамжны урд, Хуульчдын талбайн дунд байрладаг"
3920,,,Point,106.914951,47.9219,Хөшөө,"Чингэлтэй дүүргийн 4-р хороо, Ж.Самбуугийн гудамжны урд, Хуульчдын талбайд"
3921,,,Point,106.915371,47.921222,Хөшөө,"Чингэлтэй 4 дүгээр хороо, Д.Сүхбаатарын гудамжны баруун талд, Монголын үндэсний музейн хойно"
3922,,,Point,106.902304,47.916027,Хөшөө,"Чингэлтэй дүүргийн 3 дугаар хороо, Энх тайвны өргөн чөлөөний хойн, Peace tower -ийн урд"
3923,,,Point,106.899648,47.899345,Хөшөө,"Хан-Уул дүүргийн 2-р хороо, 19-р буудлын хойно, Ажилчны соёлын ордны хойно"
3924,,,Point,106.902564,47.899486,Хөшөө,"Хан-Уул дүүргийн 2-р хороо, Чингисийн өргөн чөлөөний хойно, 75-р сургуулийн урд"
3925,,,Point,106.91542,47.884053,Хөшөө,"Хан-уул дүүргийн 11-р хороо, Зайсангийн оройд"
3926,,,Point,106.916112,47.886643,Хөшөө,"Хан-Уул дүүрэг 11-р хороо, Зайсан толгойн хойд талд"
3927,,,Point,106.912167,47.886056,Хөшөө,"Хан-Уул дүүргийн 11-р хороо, Зайсан толгойн баруун хойд талд"
3928,,,Point,106.910634,47.903329,Хөшөө,"Хан-Уул дүүргийн 1-р хороо, Чингисийн өргөн чөлөөний баруун, 120 мянгатын буудлын хойно"
3929,,,Point,106.918452,47.904327,Хөшөө,"Хан-Уул дүүргийн 15-р хороо, Төв цэнгэлдэхийн хойно, М.Гандийн гудамжинд"
3930,,,Point,106.926497,47.904592,Хөшөө,"Хан-Уул дүүргийн 15-р хороо, Төв цэнгэлдэхийн хойно, М.Гандийн гудамжинд"
3931,,,Point,106.916629,47.895247,Хөшөө,"Хан-Уул дүүргийн 11-р хороо, Удирдлагын академийн урд"
3932,,,Point,106.915076,47.896488,Хөшөө,"Хан-Уул дүүргийн 15-р хороо, Удирдлагын академийн хойно"
3933,,,Point,106.915631,47.896344,Хөшөө,Удирдлагын академийн хойно
3934,,,Point,106.913666,47.904528,Хөшөө,"Төв цэнгэлдэхийн хойно, М.Гандийн гудамжинд"
3935,,,Point,106.91411,47.904165,Хөшөө,"Төв цэнгэлдэхийн хойно, М.Гандийн гудамжинд"
3936,,,Point,106.913893,47.903786,Хөшөө,"Төв цэнгэлдэхийн хойно, М.Гандийн гудамжинд"
3937,,,Point,106.913359,47.903638,Хөшөө,"Төв цэнгэлдэхийн хойно, М.Гандийн гудамжинд"
3938,,,Point,106.912789,47.903893,Хөшөө,"Төв цэнгэлдэхийн хойно, М.Гандийн гудамжинд"
3939,,,Point,106.905102,47.901897,Хөшөө,"Хан-Уул дүүргийн 1-р хороо, 52 сургуулийн хананд"
3940,,,Point,106.916156,47.926523,Хөшөө,"Сүхбаатар дүүрэг 6-р хороо, Хүүхдийн урлан бүтээх төвийн барилгын өмнөх талбайд"
3941,,,Point,106.916131,47.927237,Хөшөө,
3942,,,Point,106.916222,47.92725,Хөшөө,"Сүхбаатар дүүргийн 6-р хороо, Хүүхдийн урлан бүтээх төвийн барилгын хойно хашаанд"
3943,,,Point,106.92109,47.925693,Хөшөө,"Сүхбаатар дүүргийн 8 дугаар хороо, МУИС ЭЗИС-ийн үүдэнд"
3944,,,Point,106.91975,47.924639,Хөшөө,"Сүхбаатар дүүргийн 6-р хороо, Нэгдсэн үндэстний гудамжинд"
3945,,,Point,106.918784,47.92253,Хөшөө,"Сүхбаатар дүүргийн 8-р хороо, МУИС-ын хичээлийн төв байрны урд"
3946,,,Point,106.929861,47.923139,Хөшөө,"Сүхбаатар дүүргийн 8-р хороо, Бээжингийн гудамжны дунд, Орчлон сургуулийн урд"
3947,,,Point,106.92766,47.916768,Хөшөө,"Сүхбаатар дүүргийн 1-р хороо, 1-р төрөхийн урд хашаанд"
3948,,,Point,106.922871,47.918121,Хөшөө,"Сүхбаатар дүүргийн 8-р хороо, Энхтайвны өргөн чөлөөний хойно, Улаанбаатар зочид буудлын урд"
3949,,,Point,106.920313,47.916986,Хөшөө,"Сүхбаатар дүүргийн 1-р хороо, Энхтайвны өргөн чөлөөний урд, Гадаад хэргийн яамны баруун талд"
3950,,,Point,106.92043,47.915225,Хөшөө,"Сүхбаатар дүүргийн 1-р хороо, Олимпийн гудамжны баруун талд, Хуримын ордны зүүн хойно"
3951,,,Point,106.919056,47.913363,Хөшөө,
3952,,,Point,106.912589,47.915706,Хөшөө,"Сүхбаатар дүүргийн 1 дүгээр хороо, Сөүлийн гудамж, 1-р сургуулийн зүүн талд"
3953,,,Point,106.912901,47.915754,Хөшөө,"Сүхбаатар дүүргийн 1 дүгээр хороо, Сөүлийн гудамж, 1-р сургуулийн зүүн талд"
3954,,,Point,106.913188,47.915642,Хөшөө,"Сүхбаатар дүүргийн 1 дүгээр хороо, Сөүлийн гудамж, 1-р сургуулийн зүүн талд"
3955,,,Point,106.912306,47.916361,Хөшөө,"Сүхбаатар дүүргийн 1 дүгээр хороо, Сөүлийн гудамж, 1-р сургуулийн зүүн талд"
3956,,,Point,106.912568,47.916256,Хөшөө,"Сүхбаатар дүүргийн 1 дүгээр хороо, Сөүлийн гудамж, 1-р сургуулийн зүүн талд"
3957,,,Point,106.912722,47.916417,Хөшөө,"Сүхбаатар дүүргийн 1 дүгээр хороо, Сөүлийн гудамж, 1-р сургуулийн зүүн талд"
3958,,,Point,106.917306,47.916417,Хөшөө,"Сүхбаатар дүүргийн 1-р хороо, Энхтайвны өргөн чөлөөний урд, хуучин Ленин клубын баруун талд"
3959,,,Point,106.916296,47.916756,Хөшөө,
3960,,,Point,106.91694,47.917283,Хөшөө,
3961,,,Point,106.917591,47.918889,Хөшөө,"Сүхбаатар дүүргийн 6-р хороо, Чингис хааны талбайн урд буй төв цэцэрлэгт хүрээлэн дотор"
3962,,,Point,106.916652,47.919949,Хөшөө,"Сүхбаатар дүүргийн 6-р хороо, Засгийн газрын ордонд"
3963,,,Point,106.917085,47.919862,Хөшөө,"Сүхбаатар дүүргийн 6-р хороо, Засгийн газрын ордонд"
3964,,,Point,106.917377,47.92003,Хөшөө,"Сүхбаатар дүүргийн 6-р хороо, Засгийн газрын ордны урд"
3965,,,Point,106.91759,47.919904,Хөшөө,"Сүхбаатар дүүргийн 6-р хороо, Засгийн газрын ордонд"
3966,,,Point,106.918123,47.920063,Хөшөө,"Сүхбаатар дүүргийн 6-р хороо, Засгийн газрын ордонд"
3967,,,Point,106.917068,47.921589,Хөшөө,
3968,,,Point,106.906571,47.915477,Хөшөө,
3969,,,Point,106.906637,47.915002,Хөшөө,
3970,,,Point,106.906859,47.914054,Хөшөө,
3971,,,Point,106.906755,47.914457,Хөшөө,"Сүхбаатар дүүргийн 1-р хороо, Б.Цэрэндоржийн гудамжны урд"
3972,,,Point,106.906929,47.913521,Хөшөө,
3973,,,Point,106.905706,47.913149,Хөшөө,
