id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Хаяг,Нэр
4537,,,Point,106.939946,47.925884,Хувийн цэцэрлэг,BZD. 13-r khoroolol,Уольт дисней
4538,,,Point,106.948191,47.916947,Хувийн цэцэрлэг,"БЗД 14-р хороо,Oros emnelgiin bair",Сказка-Үлгэрхэн
4539,,,Point,106.937439,47.915925,Хувийн цэцэрлэг,122-r tsetserlegiin bair,Абакус
4540,,,Point,106.901316,47.910973,Хувийн цэцэрлэг,160-r tsetserlegiin bair,Том жери
4541,,,Point,106.929053,47.926761,Хувийн цэцэрлэг,135-r tsetserlegiin bair,Галакси
4542,,,Point,106.916802,47.923778,Хувийн цэцэрлэг,СБД 6-r khoroo,Аз жаргалын хотхон
4543,,,Point,106.901289,47.911526,Хувийн цэцэрлэг,SBD. 3-r khoroo,Буратина Малвино
4544,,,Point,106.840487,47.912282,Хувийн цэцэрлэг,SHD. 15-r khoroo,Заан
4545,,,Point,106.831433,47.913471,Хувийн цэцэрлэг,"СХД 17-р хороо, 33-р байрны хажууд",Бөмбөөлэй нархан
4546,,,Point,106.844054,47.915721,Хувийн цэцэрлэг,112-r tsetserlegiin bair,Билгүүн ундарга
4547,,,Point,106.933718,47.916072,Хувийн цэцэрлэг,BZD. 6-r khoroo,Сэргэлэн жаалууд
4548,,,Point,106.900799,47.912055,Хувийн цэцэрлэг,"СБД 3-р хороо, 5-р хороолол 8-р байр",Хараацай
4549,,,Point,106.929169,47.92829,Хувийн цэцэрлэг,SBD. 8-r khoroo,Апилсинчик
4550,,,Point,106.910318,47.911157,Хувийн цэцэрлэг,"СБД 2-р хороо, ЭТӨЧ 29-р байр 13, 14 тоот",Бөмбөөлэй
4551,,,Point,106.925242,47.915648,Хувийн цэцэрлэг,SBD. 1-r khoroo,Шинэ гэр
4552,,,Point,106.915561,47.927697,Хувийн цэцэрлэг,SBD. 6-r khoroo,Хонгор нархан
4553,,,Point,106.90377,47.925082,Хувийн цэцэрлэг,"ЧД 6-р хороо, 43А",Маамуу нааш ир
4554,,,Point,106.909152,47.92153,Хувийн цэцэрлэг,ЧД 1-р хороо,Чин хур
4555,,,Point,106.898879,47.912479,Хувийн цэцэрлэг,SBD. 5-r khoroo,Гурван хөгжил
4556,,,Point,106.826558,47.912041,Хувийн цэцэрлэг,SHD 29-r khoroo Моква хороолол 43-р байр,Найзууд
4557,,,Point,106.835602,47.914657,Хувийн цэцэрлэг,SHD 16-r khoroo,Балжингарав
4558,,,Point,106.919989,47.900571,Хувийн цэцэрлэг,"ХУД 15-р хороо, Рапид харш 19-байр",Бяцхан найзууд
4559,,,Point,106.919502,47.900783,Хувийн цэцэрлэг,"ХУД 15-р хороо, Рапид харш 17-р байр 28 тоот",Цэнгэлтэй жаалууд
4560,,,Point,106.913676,47.9693,Хувийн цэцэрлэг,"CHD 18-r khoroo, яргайтын 37-152 тоот",Их ханд
4561,,,Point,106.918883,47.932515,Хувийн цэцэрлэг,"SBD 10-r khoroo, 16-r surguuliin hajuud 52 bair",Цагаан Бамбрууш
4562,,,Point,106.904008,47.925416,Хувийн цэцэрлэг,"ЧД 5-р хороо, 43Б байр",Басархан
4563,,,Point,106.914201,47.91841,Хувийн цэцэрлэг,"ЧД 1-р хороо, Жигжиджавын гудамж, 4/1 байр",Гэрэл
4564,,,Point,106.975151,47.911004,Хувийн цэцэрлэг,"BZD 13-r khoroo, Nomin supermarketiin zamiin hoino",Дөлгөөнтуул
4565,,,Point,106.826775,47.957349,Хувийн цэцэрлэг,"СХД 9-р хороо, ББУ 8-1",Мөндөөхэй
4566,,,Point,106.83039,47.956054,Хувийн цэцэрлэг,"СХД 9-р хороо, Баянхошууны гудамж",Азийн хүүхдүүд
4567,,,Point,106.831479,47.956248,Хувийн цэцэрлэг,"СХД 9-р хороо, Баянхошууны гудамж, ББУ 1-31а",Азийн хүүхдүүд - Дөрвөн жаал
4568,,,Point,106.866412,47.920974,Хувийн цэцэрлэг,БГД 8-р хороо 94-р цэцэрлэгийн хажууд,Мөндөөхэй цэцэрлэг
4569,,,Point,107.077257,47.91743,Хувийн цэцэрлэг,БЗД 28-р хороо Хужирбулан Г-4-6,Биндэръяа цэцэрлэг
4570,,,Point,106.950864,47.920228,Хувийн цэцэрлэг,БЗД 4-р хороо 14-р сургуулийн зүүн талд,Россинка цэцэрлэг
4571,,,Point,106.867919,47.924981,Хувийн цэцэрлэг,"БГД 10-р хороо, 27А байр",Лусын дагина
4572,,,Point,106.874305,47.918919,Хувийн цэцэрлэг,БГД 8-р хороо 29-р байр,Гоё ертөнц
4573,,,Point,106.878232,47.916883,Хувийн цэцэрлэг,"БГД 2-р хороо, 77-р байр",Амилагийн найз
4574,,,Point,106.886386,47.919337,Хувийн цэцэрлэг,"БГД 17-р хороо, 41/1-р байранд",Дэгдээхий
4575,,,Point,106.884423,47.912071,Хувийн цэцэрлэг,"БГД 1-р хороо, 22А байр",Унагахан
4576,,,Point,106.850996,47.911933,Хувийн цэцэрлэг,"БГД 20-р хороо, 23-р байр",Оньсхон-2
4577,,,Point,106.945804,47.924443,Хувийн цэцэрлэг,"БЗД 4-р хороо, 43б байр 22 тоот",Одод
