id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Батлагдсан огноо,Дүүрэг,Хороо,Хаягийн бүс,Гудамж
1416039,,,Polygon,106.858476,47.914394,Гамшгийн үед цуглах талбай 2023 оны 58 дугаар тогтоол,,,,,
1416040,,,Polygon,106.871873,47.923808,Гамшгийн үед цуглах талбай 2023 оны 58 дугаар тогтоол,,,,,
1416041,,,Polygon,106.86262,47.920194,Гамшгийн үед цуглах талбай 2023 оны 58 дугаар тогтоол,,,,,
1416042,,,Polygon,106.878286,47.921182,Гамшгийн үед цуглах талбай 2023 оны 58 дугаар тогтоол,,,,,
1416043,,,Polygon,106.865984,47.916738,Гамшгийн үед цуглах талбай 2023 оны 58 дугаар тогтоол,,,,,
1416044,,,Polygon,106.88069,47.909474,Гамшгийн үед цуглах талбай 2023 оны 58 дугаар тогтоол,,,,,
1416045,,,Polygon,106.884065,47.915123,Гамшгийн үед цуглах талбай 2023 оны 58 дугаар тогтоол,,,,,
1416046,,,Polygon,106.874668,47.923473,Гамшгийн үед цуглах талбай 2023 оны 58 дугаар тогтоол,,,,,
1416047,,,Polygon,106.883949,47.923347,Гамшгийн үед цуглах талбай 2023 оны 58 дугаар тогтоол,,,,,
1416048,,,Polygon,106.876894,47.919072,Гамшгийн үед цуглах талбай 2023 оны 58 дугаар тогтоол,,,,,
1416049,,,Polygon,106.873836,47.916073,Гамшгийн үед цуглах талбай 2023 оны 58 дугаар тогтоол,,,,,
1416050,,,Polygon,106.901803,47.918447,Гамшгийн үед цуглах талбай 2023 оны 58 дугаар тогтоол,2023.06.21,,,,
1416051,,,Polygon,106.875957,47.912964,Гамшгийн үед цуглах талбай 2023 оны 58 дугаар тогтоол,,,,,
1416052,,,Polygon,106.890749,47.926507,Гамшгийн үед цуглах талбай 2023 оны 58 дугаар тогтоол,,,,,
1416053,,,Polygon,106.893014,47.912515,Гамшгийн үед цуглах талбай 2023 оны 58 дугаар тогтоол,,,,,
1416054,,,Polygon,106.883852,47.926273,Гамшгийн үед цуглах талбай 2023 оны 58 дугаар тогтоол,,,,,
1416055,,,Polygon,106.884274,47.920567,Гамшгийн үед цуглах талбай 2023 оны 58 дугаар тогтоол,,,,,
1416056,,,Polygon,106.8949,47.922527,Гамшгийн үед цуглах талбай 2023 оны 58 дугаар тогтоол,,,,,
1416057,,,Polygon,106.864985,47.924633,Гамшгийн үед цуглах талбай 2023 оны 58 дугаар тогтоол,,,,,
1416058,,,Polygon,106.871469,47.920192,Гамшгийн үед цуглах талбай 2023 оны 58 дугаар тогтоол,,,,,
1416059,,,Polygon,106.871473,47.92093,Гамшгийн үед цуглах талбай 2023 оны 58 дугаар тогтоол,,,,,
1416060,,,Polygon,106.867406,47.920816,Гамшгийн үед цуглах талбай 2023 оны 58 дугаар тогтоол,,,,,
1416061,,,Polygon,106.905893,47.922731,Гамшгийн үед цуглах талбай 2023 оны 58 дугаар тогтоол,2023.06.21,,,,
1416062,,,Polygon,106.908506,47.920396,Гамшгийн үед цуглах талбай 2023 оны 58 дугаар тогтоол,2023.06.21,,,,
1416063,,,Polygon,106.91529,47.920504,Гамшгийн үед цуглах талбай 2023 оны 58 дугаар тогтоол,2023.06.21,,,,
1416064,,,Polygon,106.911611,47.924899,Гамшгийн үед цуглах талбай 2023 оны 58 дугаар тогтоол,2023.06.21,,,,
1416065,,,Polygon,106.906372,47.916483,Гамшгийн үед цуглах талбай 2023 оны 58 дугаар тогтоол,2023.06.21,,,,
1416066,,,Polygon,106.9105,47.925448,Гамшгийн үед цуглах талбай 2023 оны 58 дугаар тогтоол,2023.06.21,,,,
1416067,,,Polygon,106.911115,47.91837,Гамшгийн үед цуглах талбай 2023 оны 58 дугаар тогтоол,2023.06.21,,,,
1416068,,,Polygon,106.914168,47.919987,Гамшгийн үед цуглах талбай 2023 оны 58 дугаар тогтоол,2023.06.21,,,,
1416070,,,Polygon,106.909096,47.918329,Гамшгийн үед цуглах талбай 2023 оны 58 дугаар тогтоол,2023.06.21,,,,
1416071,,,Polygon,106.899938,47.919418,Гамшгийн үед цуглах талбай 2023 оны 58 дугаар тогтоол,2023.06.21,,,,
1416072,,,Polygon,106.90949,47.941445,Гамшгийн үед цуглах талбай 2023 оны 58 дугаар тогтоол,2023.06.21,,,,
1416073,,,Polygon,106.903974,47.945007,Гамшгийн үед цуглах талбай 2023 оны 58 дугаар тогтоол,2023.06.21,,,,
1416074,,,Polygon,106.916034,47.926368,Гамшгийн үед цуглах талбай 2023 оны 58 дугаар тогтоол,2023.06.21,,,,
1416075,,,Polygon,106.923185,47.908955,Гамшгийн үед цуглах талбай 2023 оны 58 дугаар тогтоол,2023.06.21,,,,
1416076,,,Polygon,106.92475,47.915885,Гамшгийн үед цуглах талбай 2023 оны 58 дугаар тогтоол,2023.06.21,,,,
1416077,,,Polygon,106.91494,47.915229,Гамшгийн үед цуглах талбай 2023 оны 58 дугаар тогтоол,2023.06.21,,,,
1416078,,,Polygon,106.92456,47.926753,Гамшгийн үед цуглах талбай 2023 оны 58 дугаар тогтоол,2023.06.21,,,,
1416079,,,Polygon,106.923791,47.92756,Гамшгийн үед цуглах талбай 2023 оны 58 дугаар тогтоол,2023.06.21,,,,
1416080,,,Polygon,106.930015,47.932098,Гамшгийн үед цуглах талбай 2023 оны 58 дугаар тогтоол,2023.06.21,,,,
1416081,,,Polygon,106.917615,47.918825,Гамшгийн үед цуглах талбай 2023 оны 58 дугаар тогтоол,2023.06.21,,,,
1416082,,,Polygon,106.907424,47.912498,Гамшгийн үед цуглах талбай 2023 оны 58 дугаар тогтоол,2023.06.21,,,,
1416083,,,Polygon,106.91918,47.930295,Гамшгийн үед цуглах талбай 2023 оны 58 дугаар тогтоол,2023.06.21,,,,
1416084,,,Polygon,106.922314,47.918111,Гамшгийн үед цуглах талбай 2023 оны 58 дугаар тогтоол,2023.06.21,,,,
1416085,,,Polygon,106.919294,47.923,Гамшгийн үед цуглах талбай 2023 оны 58 дугаар тогтоол,2023.06.21,,,,
1416086,,,Polygon,106.921009,47.925645,Гамшгийн үед цуглах талбай 2023 оны 58 дугаар тогтоол,2023.06.21,,,,
1416087,,,Polygon,106.930247,47.923405,Гамшгийн үед цуглах талбай 2023 оны 58 дугаар тогтоол,2023.06.21,,,,
1416088,,,Polygon,106.93619,47.981982,Гамшгийн үед цуглах талбай 2023 оны 58 дугаар тогтоол,2023.06.21,,,,
1416089,,,Polygon,106.970737,47.997796,Гамшгийн үед цуглах талбай 2023 оны 58 дугаар тогтоол,2023.06.21,,,,
1416090,,,Polygon,106.888941,48.150098,Гамшгийн үед цуглах талбай 2023 оны 58 дугаар тогтоол,2023.06.21,,,,
1416091,,,Polygon,106.966517,47.995245,Гамшгийн үед цуглах талбай 2023 оны 58 дугаар тогтоол,2023.06.21,,,,
1416092,,,Polygon,106.933738,47.978205,Гамшгийн үед цуглах талбай 2023 оны 58 дугаар тогтоол,2023.06.21,,,,
1416093,,,Polygon,106.918863,47.964247,Гамшгийн үед цуглах талбай 2023 оны 58 дугаар тогтоол,2023.06.21,,,,
1416094,,,Polygon,106.917805,47.943539,Гамшгийн үед цуглах талбай 2023 оны 58 дугаар тогтоол,2023.06.21,,,,
1416095,,,Polygon,106.913755,47.929809,Гамшгийн үед цуглах талбай 2023 оны 58 дугаар тогтоол,2023.06.21,,,,
1416096,,,Polygon,106.898963,47.910232,Гамшгийн үед цуглах талбай 2023 оны 58 дугаар тогтоол,,,,,
1416097,,,Polygon,106.897605,47.910697,Гамшгийн үед цуглах талбай 2023 оны 58 дугаар тогтоол,2023.06.21,,,,
1416098,,,Polygon,106.928158,47.925562,Гамшгийн үед цуглах талбай 2023 оны 58 дугаар тогтоол,2023.06.21,,,,
1416099,,,Polygon,106.812954,47.9133,Гамшгийн үед цуглах талбай 2023 оны 58 дугаар тогтоол,,,,,
1416100,,,Polygon,106.834482,47.913981,Гамшгийн үед цуглах талбай 2023 оны 58 дугаар тогтоол,,,,,
1416101,,,Polygon,106.850018,47.914157,Гамшгийн үед цуглах талбай 2023 оны 58 дугаар тогтоол,,,,,
1416102,,,Polygon,106.85228,47.914985,Гамшгийн үед цуглах талбай 2023 оны 58 дугаар тогтоол,,,,,
1416103,,,Polygon,106.821883,47.910825,Гамшгийн үед цуглах талбай 2023 оны 58 дугаар тогтоол,,,,,
1416104,,,Polygon,106.84374,47.915381,Гамшгийн үед цуглах талбай 2023 оны 58 дугаар тогтоол,,,,,
