id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Тогтоолын дугаар
5536,,,Polygon,106.976893,47.917087,Гамшгийн үед цуглах талбай_192 байршил,94
5537,,,Polygon,106.98653,47.922182,Гамшгийн үед цуглах талбай_192 байршил,94
5538,,,Polygon,106.948409,47.909537,Гамшгийн үед цуглах талбай_192 байршил,94
5539,,,Polygon,106.942739,47.914242,Гамшгийн үед цуглах талбай_192 байршил,94
5540,,,Polygon,106.938834,47.910701,Гамшгийн үед цуглах талбай_192 байршил,94
5541,,,Polygon,106.932298,47.917399,Гамшгийн үед цуглах талбай_192 байршил,94
5542,,,Polygon,106.937992,47.920022,Гамшгийн үед цуглах талбай_192 байршил,94
5543,,,Polygon,106.937843,47.916154,Гамшгийн үед цуглах талбай_192 байршил,94
5544,,,Polygon,106.938371,47.918379,Гамшгийн үед цуглах талбай_192 байршил,94
5545,,,Polygon,106.966055,47.920507,Гамшгийн үед цуглах талбай_192 байршил,94
5546,,,Polygon,106.943504,47.928163,Гамшгийн үед цуглах талбай_192 байршил,94
5547,,,Polygon,106.961612,47.920609,Гамшгийн үед цуглах талбай_192 байршил,94
5548,,,Polygon,106.942322,47.901469,Гамшгийн үед цуглах талбай_192 байршил,94
5549,,,Polygon,107.492454,47.351058,Гамшгийн үед цуглах талбай_192 байршил,94
5550,,,Polygon,107.48409,47.35304,Гамшгийн үед цуглах талбай_192 байршил,94
5551,,,Polygon,107.434028,47.350291,Гамшгийн үед цуглах талбай_192 байршил,94
5552,,,Polygon,108.367291,47.783708,Гамшгийн үед цуглах талбай_192 байршил,94
5553,,,Polygon,108.366626,47.780408,Гамшгийн үед цуглах талбай_192 байршил,94
5554,,,Polygon,108.375553,47.782623,Гамшгийн үед цуглах талбай_192 байршил,94
5555,,,Polygon,108.372996,47.78079,Гамшгийн үед цуглах талбай_192 байршил,94
5556,,,Polygon,108.355489,47.75053,Гамшгийн үед цуглах талбай_192 байршил,94
5557,,,Polygon,108.357013,47.773317,Гамшгийн үед цуглах талбай_192 байршил,94
5558,,,Polygon,107.253345,47.772614,Гамшгийн үед цуглах талбай_192 байршил,94
5559,,,Polygon,107.252974,47.774873,Гамшгийн үед цуглах талбай_192 байршил,94
5560,,,Polygon,107.248201,47.768842,Гамшгийн үед цуглах талбай_192 байршил,94
5561,,,Polygon,107.251642,47.76745,Гамшгийн үед цуглах талбай_192 байршил,94
5562,,,Polygon,107.267444,47.765069,Гамшгийн үед цуглах талбай_192 байршил,94
5563,,,Polygon,107.396085,47.784691,Гамшгийн үед цуглах талбай_192 байршил,94
5564,,,Polygon,106.923057,47.913414,Гамшгийн үед цуглах талбай_192 байршил,94
5565,,,Polygon,107.428764,47.351464,Гамшгийн үед цуглах талбай_192 байршил,94
5566,,,Polygon,106.849873,47.916053,Гамшгийн үед цуглах талбай_192 байршил,17
5567,,,Polygon,106.850054,47.915026,Гамшгийн үед цуглах талбай_192 байршил,17
5568,,,Polygon,106.839749,47.914565,Гамшгийн үед цуглах талбай_192 байршил,17
5569,,,Polygon,106.839547,47.915427,Гамшгийн үед цуглах талбай_192 байршил,17
5570,,,Polygon,106.835793,47.914114,Гамшгийн үед цуглах талбай_192 байршил,17
5571,,,Polygon,106.837412,47.911989,Гамшгийн үед цуглах талбай_192 байршил,17
5572,,,Polygon,106.775612,47.915085,Гамшгийн үед цуглах талбай_192 байршил,17
5573,,,Polygon,106.795203,47.92229,Гамшгийн үед цуглах талбай_192 байршил,17
5574,,,Polygon,106.695609,47.919444,Гамшгийн үед цуглах талбай_192 байршил,17
5575,,,Polygon,106.749981,47.91975,Гамшгийн үед цуглах талбай_192 байршил,17
5576,,,Polygon,106.818172,47.869198,Гамшгийн үед цуглах талбай_192 байршил,17
5577,,,Polygon,106.81005,47.866492,Гамшгийн үед цуглах талбай_192 байршил,17
5578,,,Polygon,106.804296,47.864519,Гамшгийн үед цуглах талбай_192 байршил,17
5579,,,Polygon,106.808474,47.863183,Гамшгийн үед цуглах талбай_192 байршил,17
5580,,,Polygon,106.763481,47.866136,Гамшгийн үед цуглах талбай_192 байршил,17
5581,,,Polygon,106.760567,47.862951,Гамшгийн үед цуглах талбай_192 байршил,17
5582,,,Polygon,106.763267,47.865357,Гамшгийн үед цуглах талбай_192 байршил,17
5583,,,Polygon,106.678885,47.843896,Гамшгийн үед цуглах талбай_192 байршил,17
5584,,,Polygon,106.680381,47.844195,Гамшгийн үед цуглах талбай_192 байршил,17
5585,,,Polygon,106.662124,47.848976,Гамшгийн үед цуглах талбай_192 байршил,17
5586,,,Polygon,106.652902,47.827383,Гамшгийн үед цуглах талбай_192 байршил,17
5587,,,Polygon,106.558746,47.753721,Гамшгийн үед цуглах талбай_192 байршил,17
5588,,,Polygon,106.560161,47.753501,Гамшгийн үед цуглах талбай_192 байршил,17
5589,,,Polygon,106.558598,47.753279,Гамшгийн үед цуглах талбай_192 байршил,17
5590,,,Polygon,106.708807,47.790042,Гамшгийн үед цуглах талбай_192 байршил,17
5591,,,Polygon,106.707947,47.788834,Гамшгийн үед цуглах талбай_192 байршил,17
5592,,,Polygon,106.780386,47.861923,Гамшгийн үед цуглах талбай_192 байршил,17
5593,,,Polygon,106.776253,47.856894,Гамшгийн үед цуглах талбай_192 байршил,17
5594,,,Polygon,106.763128,47.859504,Гамшгийн үед цуглах талбай_192 байршил,17
5595,,,Polygon,106.707835,47.790314,Гамшгийн үед цуглах талбай_192 байршил,17
5596,,,Polygon,106.936877,47.981356,Гамшгийн үед цуглах талбай_192 байршил,17
5597,,,Polygon,106.774081,47.866789,Гамшгийн үед цуглах талбай_192 байршил,17
5598,,,Polygon,106.712598,47.782222,Гамшгийн үед цуглах талбай_192 байршил,17
5599,,,Polygon,106.715658,47.778172,Гамшгийн үед цуглах талбай_192 байршил,17
5600,,,Polygon,106.832642,47.872823,Гамшгийн үед цуглах талбай_192 байршил,17
5601,,,Polygon,106.830616,47.871487,Гамшгийн үед цуглах талбай_192 байршил,17
5602,,,Polygon,106.720661,47.843967,Гамшгийн үед цуглах талбай_192 байршил,17
5603,,,Polygon,107.392088,47.781655,Гамшгийн үед цуглах талбай_192 байршил,17
5604,,,Polygon,107.267777,47.765857,Гамшгийн үед цуглах талбай_192 байршил,17
5605,,,Polygon,107.276198,47.773153,Гамшгийн үед цуглах талбай_192 байршил,17
5606,,,Polygon,107.241054,47.773096,Гамшгийн үед цуглах талбай_192 байршил,17
5607,,,Polygon,108.391805,47.796378,Гамшгийн үед цуглах талбай_192 байршил,17
5608,,,Polygon,108.374561,47.781057,Гамшгийн үед цуглах талбай_192 байршил,17
5609,,,Polygon,108.372099,47.784282,Гамшгийн үед цуглах талбай_192 байршил,17
5610,,,Polygon,106.918931,47.964749,Гамшгийн үед цуглах талбай_192 байршил,17
5611,,,Polygon,106.913783,47.929789,Гамшгийн үед цуглах талбай_192 байршил,17
5612,,,Polygon,106.933674,47.978566,Гамшгийн үед цуглах талбай_192 байршил,17
5613,,,Polygon,106.96685,47.995274,Гамшгийн үед цуглах талбай_192 байршил,17
5614,,,Polygon,106.970699,47.997799,Гамшгийн үед цуглах талбай_192 байршил,17
5615,,,Polygon,106.918579,47.958738,Гамшгийн үед цуглах талбай_192 байршил,17
5616,,,Polygon,106.888505,48.149436,Гамшгийн үед цуглах талбай_192 байршил,17
5617,,,Polygon,106.973491,48.009258,Гамшгийн үед цуглах талбай_192 байршил,17
5618,,,Polygon,106.909495,47.941481,Гамшгийн үед цуглах талбай_192 байршил,17
5619,,,Polygon,106.903919,47.94496,Гамшгийн үед цуглах талбай_192 байршил,17
5620,,,Polygon,106.89991,47.919473,Гамшгийн үед цуглах талбай_192 байршил,17
5621,,,Polygon,106.947975,47.924775,Гамшгийн үед цуглах талбай_192 байршил,17
5622,,,Polygon,106.933964,47.929065,Гамшгийн үед цуглах талбай_192 байршил,17
5623,,,Polygon,107.016642,47.906324,Гамшгийн үед цуглах талбай_192 байршил,17
5624,,,Polygon,106.995536,47.914135,Гамшгийн үед цуглах талбай_192 байршил,17
5625,,,Polygon,106.968543,47.916467,Гамшгийн үед цуглах талбай_192 байршил,17
5626,,,Polygon,106.944248,47.919684,Гамшгийн үед цуглах талбай_192 байршил,17
5627,,,Polygon,106.9951,47.912002,Гамшгийн үед цуглах талбай_192 байршил,17
5628,,,Polygon,106.978193,47.91264,Гамшгийн үед цуглах талбай_192 байршил,17
5629,,,Polygon,106.935254,47.918165,Гамшгийн үед цуглах талбай_192 байршил,17
5630,,,Polygon,106.93156,47.915453,Гамшгийн үед цуглах талбай_192 байршил,17
5631,,,Polygon,106.973501,47.912888,Гамшгийн үед цуглах талбай_192 байршил,17
5632,,,Polygon,106.948371,47.913052,Гамшгийн үед цуглах талбай_192 байршил,17
