id,object_no,object_name,geom_type,lon,lat
33535,,,Polygon,106.922719,47.934002
44218,,,Polygon,106.922719,47.934002
44219,,,Polygon,106.922716,47.93402
44220,,,Polygon,106.924579,47.934176
44221,,,Polygon,106.924419,47.934164
44222,,,Polygon,106.896559,47.920834
44223,,,Polygon,106.898139,47.922579
44224,,,Polygon,106.898514,47.922615
44225,,,Polygon,106.80537,47.983967
44226,,,Polygon,106.924443,47.934184
44227,,,Polygon,106.924549,47.934192
44228,,,Polygon,106.924504,47.934141
44229,,,Polygon,106.924501,47.934159
44230,,,Polygon,106.897165,47.922264
44231,,,Polygon,106.916623,47.933876
44232,,,Polygon,106.916647,47.93377
44233,,,Polygon,106.916617,47.933785
44234,,,Polygon,106.916601,47.933856
44235,,,Polygon,106.896853,47.921782
44236,,,Polygon,106.916678,47.933828
44237,,,Polygon,106.916652,47.933825
44238,,,Polygon,106.916621,47.933695
44239,,,Polygon,106.916407,47.93482
44240,,,Polygon,106.896785,47.919266
44241,,,Polygon,106.916431,47.934714
44242,,,Polygon,106.916401,47.934729
44243,,,Polygon,106.916385,47.9348
44244,,,Polygon,106.916462,47.934771
44245,,,Polygon,106.895934,47.919147
44246,,,Polygon,106.89639,47.919091
44247,,,Polygon,106.896508,47.919071
44248,,,Polygon,106.897008,47.919005
44249,,,Polygon,106.916436,47.934769
44250,,,Polygon,106.916181,47.93581
44251,,,Polygon,106.916205,47.935703
44252,,,Polygon,106.916174,47.935719
44253,,,Polygon,106.897076,47.918991
44254,,,Polygon,106.897157,47.918983
44255,,,Polygon,106.916159,47.93579
44256,,,Polygon,106.916236,47.935761
44257,,,Polygon,106.916209,47.935758
44258,,,Polygon,106.915938,47.936873
44259,,,Polygon,107.25874,47.772152
44260,,,Polygon,106.915962,47.936766
44261,,,Polygon,106.915931,47.936781
44262,,,Polygon,106.915915,47.936852
44263,,,Polygon,106.915993,47.936824
44264,,,Polygon,106.896657,47.918799
44265,,,Polygon,106.896568,47.917885
44266,,,Polygon,106.896448,47.917824
44267,,,Polygon,106.896233,47.91766
44268,,,Polygon,106.915966,47.936821
44269,,,Polygon,106.920701,47.934966
44270,,,Polygon,106.920719,47.934859
44271,,,Polygon,106.920683,47.934874
44272,,,Polygon,106.893811,47.918516
44273,,,Polygon,106.893843,47.918552
44274,,,Polygon,106.920671,47.934946
44275,,,Polygon,106.92075,47.934916
44276,,,Polygon,106.920723,47.934914
44277,,,Polygon,106.927297,47.966808
44278,,,Polygon,106.891222,47.922243
44279,,,Polygon,107.037536,47.9201
44280,,,Polygon,107.038005,47.919448
44281,,,Polygon,107.047234,47.914008
44282,,,Polygon,107.037489,47.912428
44283,,,Polygon,107.260302,47.776053
44284,,,Polygon,107.038054,47.910881
44285,,,Polygon,107.034685,47.903668
44286,,,Polygon,107.024406,47.903976
44287,,,Polygon,106.897054,47.921072
44288,,,Polygon,106.896586,47.921165
44289,,,Polygon,106.896535,47.921167
44290,,,Polygon,106.896563,47.921111
44291,,,Polygon,106.896604,47.921109
44292,,,Polygon,106.896643,47.920824
44293,,,Polygon,106.896715,47.920803
44294,,,Polygon,106.896518,47.920795
44295,,,Polygon,106.891257,47.922309
44296,,,Polygon,106.893023,47.922722
44297,,,Polygon,106.892993,47.922727
44298,,,Polygon,106.892919,47.922731
44299,,,Polygon,106.892983,47.922665
44300,,,Polygon,106.893038,47.922662
44301,,,Polygon,106.916901,47.964749
44302,,,Polygon,106.784611,47.847972
44303,,,Polygon,106.781798,47.856249
44304,,,Polygon,106.781786,47.856236
44305,,,Polygon,106.781552,47.856688
44306,,,Polygon,106.781534,47.856689
44307,,,Polygon,106.781792,47.857366
44308,,,Polygon,106.781778,47.857379
44309,,,Polygon,106.968975,47.942369
44310,,,Polygon,106.781788,47.857351
44311,,,Polygon,106.781607,47.857885
44312,,,Polygon,106.781548,47.858132
44313,,,Polygon,106.781534,47.858145
44314,,,Polygon,106.781543,47.858117
44315,,,Polygon,106.781334,47.858801
44316,,,Polygon,106.78132,47.858813
44317,,,Polygon,106.78133,47.858785
44318,,,Polygon,106.803421,47.981
44319,,,Polygon,106.781191,47.859511
44320,,,Polygon,106.781189,47.859541
44321,,,Polygon,106.7812,47.859527
44322,,,Polygon,106.781185,47.859458
44323,,,Polygon,106.784211,47.860281
44324,,,Polygon,106.781177,47.859572
44325,,,Polygon,106.781441,47.860176
44326,,,Polygon,106.781436,47.860161
44327,,,Polygon,106.781415,47.860153
44328,,,Polygon,106.781641,47.860389
44329,,,Polygon,106.781654,47.860382
44330,,,Polygon,106.787767,47.860274
44331,,,Polygon,106.787786,47.860265
44332,,,Polygon,106.801817,47.976047
44333,,,Polygon,106.78781,47.860269
44334,,,Polygon,106.787767,47.860274
44335,,,Polygon,106.788254,47.860136
44336,,,Polygon,106.788207,47.859965
44337,,,Polygon,106.78723,47.860359
44338,,,Polygon,106.787229,47.860348
44339,,,Polygon,106.786495,47.860158
44340,,,Polygon,106.786469,47.860157
44341,,,Polygon,106.786451,47.860145
44342,,,Polygon,106.786446,47.860136
44343,,,Polygon,106.895281,47.924641
44344,,,Polygon,106.89537,47.924727
44345,,,Polygon,106.895351,47.924619
44346,,,Polygon,106.895432,47.924637
44347,,,Polygon,106.896012,47.924713
44348,,,Polygon,107.260814,47.778626
44349,,,Polygon,106.896002,47.924776
44350,,,Polygon,106.896088,47.924733
44351,,,Polygon,106.895458,47.924873
44352,,,Polygon,106.895527,47.92489
44353,,,Polygon,106.894867,47.924713
44354,,,Polygon,106.894839,47.924707
44355,,,Polygon,106.894051,47.924491
44356,,,Polygon,106.893997,47.924478
44357,,,Polygon,106.893421,47.924142
44358,,,Polygon,106.893738,47.924216
44359,,,Polygon,106.893738,47.924169
44360,,,Polygon,106.893842,47.924246
44361,,,Polygon,106.892311,47.917601
44362,,,Polygon,106.893842,47.924182
44363,,,Polygon,106.893861,47.924185
44364,,,Polygon,106.893906,47.92425
44365,,,Polygon,106.893967,47.9242
44366,,,Polygon,106.898224,47.920542
44367,,,Polygon,106.898317,47.920525
44368,,,Polygon,106.89869,47.920503
44369,,,Polygon,106.898783,47.920474
44370,,,Polygon,106.898687,47.920446
44371,,,Polygon,106.898737,47.920417
44372,,,Polygon,106.898795,47.920467
44373,,,Polygon,106.898828,47.920471
44374,,,Polygon,106.898807,47.920396
44375,,,Polygon,106.89593,47.920423
44376,,,Polygon,106.896173,47.920386
44377,,,Polygon,106.896099,47.920345
44378,,,Polygon,106.89175,47.917603
44379,,,Polygon,106.891787,47.91768
44380,,,Polygon,106.892313,47.917678
44381,,,Polygon,106.892716,47.917656
44382,,,Polygon,106.892821,47.91766
44383,,,Polygon,106.892731,47.917603
44384,,,Polygon,106.891718,47.918813
44385,,,Polygon,106.891764,47.918828
44386,,,Polygon,106.891817,47.918833
44387,,,Polygon,106.891733,47.91876
44388,,,Polygon,106.891787,47.918768
44389,,,Polygon,107.255779,47.784933
44390,,,Polygon,107.267795,47.764702
44391,,,Polygon,106.973826,48.001566
44392,,,Polygon,106.972821,48.002102
44393,,,Polygon,106.971334,48.001685
44394,,,Polygon,106.975449,48.003166
44395,,,Polygon,106.974971,48.003659
44396,,,Polygon,106.973765,48.003717
44397,,,Polygon,106.894658,47.919529
44398,,,Polygon,106.974628,48.003414
44399,,,Polygon,106.827515,47.981877
44400,,,Polygon,106.827605,47.980797
44401,,,Polygon,106.963538,47.934432
44402,,,Polygon,106.894482,47.919684
44403,,,Polygon,106.961491,47.934577
44404,,,Polygon,106.961693,47.934865
44405,,,Polygon,106.961877,47.935125
44406,,,Polygon,106.962067,47.935395
44407,,,Polygon,106.894201,47.919672
44408,,,Polygon,106.963143,47.933465
44409,,,Polygon,106.9637,47.933391
44410,,,Polygon,106.964257,47.933317
44411,,,Polygon,106.962586,47.933538
44412,,,Polygon,106.961949,47.933177
44413,,,Polygon,106.963082,47.931101
44414,,,Polygon,106.963546,47.931172
44415,,,Polygon,106.894525,47.919359
44416,,,Polygon,106.894062,47.919622
44417,,,Polygon,106.893713,47.919594
44418,,,Polygon,106.893584,47.919546
44419,,,Polygon,106.893399,47.91956
44420,,,Polygon,106.846719,47.910431
44421,,,Polygon,106.893168,47.919483
44422,,,Polygon,106.892848,47.919455
44423,,,Polygon,106.892612,47.919405
44424,,,Polygon,106.892354,47.919402
