id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл
1053327,,,Point,106.739478,47.91206,Хорооны байр
1053328,,,Point,106.970721,47.998036,Хорооны байр
1053330,,,Point,106.937696,47.98976,Хорооны байр
1053332,,,Point,106.921432,47.994831,Хорооны байр
1053333,,,Point,107.03383,47.917321,Хорооны байр
1053335,,,Point,106.967721,47.929098,Хорооны байр
1053338,,,Point,106.987365,47.925926,Хорооны байр
1053339,,,Point,106.678509,47.843877,Хорооны байр
1053341,,,Point,106.801261,47.908032,Хорооны байр
1053342,,,Point,106.905223,47.88792,Хорооны байр
1053344,,,Point,106.708866,47.790489,Хорооны байр
1053347,,,Point,106.558586,47.753486,Хорооны байр
1053348,,,Point,106.908435,47.901423,Хорооны байр
1053350,,,Point,107.154978,47.9277,Хорооны байр
1053351,,,Point,107.163084,47.811966,Хорооны байр
1053353,,,Point,106.943204,47.95374,Хорооны байр
1053356,,,Point,106.829358,47.913501,Хорооны байр
1053357,,,Point,106.647937,48.122171,Хорооны байр
1053359,,,Point,106.911449,47.896447,Хорооны байр
1053360,,,Point,106.858395,47.930175,Хорооны байр
1053362,,,Point,106.938553,47.912078,Хорооны байр
1053364,,,Point,107.252846,47.771767,Хорооны байр
1053366,,,Point,107.241735,47.77754,Хорооны байр
1053368,,,Point,107.277471,47.791963,Хорооны байр
1053369,,,Point,107.277489,47.77229,Хорооны байр
1053371,,,Point,107.263043,47.759609,Хорооны байр
1053372,,,Point,107.393598,47.783264,Хорооны байр
1053375,,,Point,107.410286,47.874129,Хорооны байр
1053377,,,Point,106.930576,47.9037,Хорооны байр
1053378,,,Point,107.075902,47.924405,Хорооны байр
1053380,,,Point,106.880021,47.935115,Хорооны байр
1053382,,,Point,106.81132,47.923027,Хорооны байр
1053384,,,Point,106.837186,47.920663,Хорооны байр
1053386,,,Point,106.84686,47.923192,Хорооны байр
1053387,,,Point,106.853086,47.95571,Хорооны байр
1053389,,,Point,106.817391,47.9331,Хорооны байр
1053390,,,Point,106.770753,47.857933,Хорооны байр
1053392,,,Point,106.793029,47.93713,Хорооны байр
1053394,,,Point,106.648598,47.893495,Хорооны байр
1053396,,,Point,106.906043,48.057256,Хорооны байр
1053398,,,Point,106.987212,48.013311,Хорооны байр
1053399,,,Point,106.932443,47.942955,Хорооны байр
1053401,,,Point,107.491005,47.352602,Хорооны байр
1053404,,,Point,107.434647,47.349296,Хорооны байр
1053405,,,Point,108.379255,47.785789,Хорооны байр
1053407,,,Point,108.370693,47.784441,Хорооны байр
1053408,,,Point,108.369062,47.778786,Хорооны байр
1053410,,,Point,106.869564,47.935771,Хорооны байр
1053412,,,Point,106.751847,47.920037,Хорооны байр
1053414,,,Point,106.819105,47.919298,Хорооны байр
1053416,,,Point,106.765489,47.929028,Хорооны байр
1053418,,,Point,106.794681,47.928654,Хорооны байр
1053419,,,Point,106.825768,47.954058,Хорооны байр
1053421,,,Point,106.827822,47.988168,Хорооны байр
1053424,,,Point,106.809044,47.959356,Хорооны байр
1053425,,,Point,106.843817,47.922103,Хорооны байр
1053427,,,Point,106.831731,47.933782,Хорооны байр
1053429,,,Point,106.697465,47.920538,Хорооны байр
1053431,,,Point,106.918015,47.901591,Хорооны байр
1053433,,,Point,106.899249,47.891435,Хорооны байр
1053435,,,Point,106.895284,47.895638,Хорооны байр
1053436,,,Point,106.886775,47.90513,Хорооны байр
1053438,,,Point,106.913291,47.895085,Хорооны байр
1053440,,,Point,106.865857,47.912372,Хорооны байр
1053442,,,Point,106.787622,47.844655,Хорооны байр
