id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Дүүрэг,Хэсэгчилсэн ерөнхий төлөвлөгөөний нэр,Батлагдсан дугаар,Хороо,Хаягийн бүс,Гудамж
3115121,,Төлөвлөлтийн хил хязгаар,Polygon,107.015936,47.920399,Дэд төвийн хил хязгаар,Баянзүрх,"""Амгалан"" дэд төвийн техник эдийн засгийн үндэслэл, барилгажилтын төсөл",Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2024 оны 11 дүгээр сарын 15-ны өдрийн 24/12 дугаар тогтоол,10-р хороо,Шар хад-1 /13280/,Улиастайн гудамж
3115164,,Төлөвлөлтийн хил хязгаар,Polygon,106.761612,47.868104,Дэд төвийн хил хязгаар,Хан-Уул,"""Нисэх"" олон нийтийн төвийн техник эдийн засгийн үндэслэл, барилгажилтын төсөл",Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2024 оны 11 дүгээр сарын 15-ны өдрийн 24/12 дугаар тогтоол,9-р хороо,Буянт Ухаа хороолол-3 /17122/,
3115166,,Төлөвлөлтийн хил хязгаар,Polygon,106.901055,47.947222,Дэд төвийн хил хязгаар,Чингэлтэй,"""Хайлааст"" олон нийтийн төвийн техник эдийн засгийн үндэслэл, барилгажилтын төсөл",Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2024 оны 11 дүгээр сарын 15-ны өдрийн 24/12 дугаар тогтоол,12-р хороо,Дэнжийн мянга-1 /15120/,
3115170,,Төлөвлөлтийн хил хязгаар,Polygon,106.873287,47.931754,Дэд төвийн хил хязгаар,Баянгол,"""Бичил"" олон нийтийн төвийн техник эдийн засгийн үндэслэл, барилгажилтын төсөл",Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2024 оны 11 дүгээр сарын 15-ны өдрийн 24/12 дугаар тогтоол,10-р хороо,Наран-БГД /16070/,
3115562,,Төлөвлөлтийн хил хязгаар,Polygon,107.120568,47.867245,Дэд төвийн хил хязгаар,Баянзүрх,"""Ургах наран"" олон нийтийн төвийн техник эдийн засгийн үндэслэл, барилгажилтын төсөл",Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2024 оны 11 дүгээр сарын 15-ны өдрийн 24/12 дугаар тогтоол,11-р хороо,Ургах наран /13180/,
3118643,,Төлөвлөлтийн хил хязгаар,Polygon,106.786466,47.91692,Дэд төвийн хил хязгаар,Сонгинохайрхан,"""Сонсголон"" дэд төвийн техник эдийн засгийн үндэслэл, барилгажилтын төсөл",Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2024 оны 11 дүгээр сарын 15-ны өдрийн 24/12 дугаар тогтоол,20-р хороо,"Толгойт-6 /18105/, Толгойт-3 /18102/, Толгойт-5 /18104/",Толгойтын гудамж
3118719,,Төлөвлөлтийн хил хязгаар,Polygon,106.683613,47.89193,Дэд төвийн хил хязгаар,Сонгинохайрхан,"""Шинэ дэд төв""-ийн хэсэгчилсэн ерөнхий төлөвлөгөө, техник эдийн засгийн үндэслэл, барилгажилтын төсөл",Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2024 оны 11 дүгээр сарын 15-ны өдрийн 24/12 дугаар тогтоол,32-р хороо,Зүүн туруун /18320/,Товчооны зам
3241270,,Төлөвлөлтийн хил хязгаар,Polygon,107.258247,47.765846,Дэд төвийн хил хязгаар,Налайх,Орчин үеийн жишиг хороолол /гудамж/-ны хэсэгчилсэн ерөнхий төлөвлөгөө,Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2025 оны 12 дугаар сарын 26-ны өдрийн 25/147 дугаар тогтоол,8-р хороо,Тайж /12760/,
3241271,,Төлөвлөлтийн хил хязгаар,Polygon,107.262236,47.76914,Дэд төвийн хил хязгаар,Налайх,Орчин үеийн жишиг хороолол /гудамж/-ны хэсэгчилсэн ерөнхий төлөвлөгөө,Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2025 оны 12 дугаар сарын 26-ны өдрийн 25/147 дугаар тогтоол,4-р хороо,Туул-НД /12690/,
3241282,,Төлөвлөлтийн хил хязгаар,Polygon,107.247649,47.781819,Дэд төвийн хил хязгаар,Налайх,Орчин үеийн жишиг хороолол /гудамж/-ны хэсэгчилсэн ерөнхий төлөвлөгөө,Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2025 оны 12 дугаар сарын 26-ны өдрийн 25/147 дугаар тогтоол,"7-р хороо, 1-р хороо","Өвөр шанд /12810/, Уурхайчин /12750/, Баянзүрх /12670/",
3241284,,Төлөвлөлтийн хил хязгаар,Polygon,107.265139,47.790057,Дэд төвийн хил хязгаар,Налайх,Орчин үеийн жишиг хороолол /гудамж/-ны хэсэгчилсэн ерөнхий төлөвлөгөө,Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2025 оны 12 дугаар сарын 26-ны өдрийн 25/147 дугаар тогтоол,1-р хороо,"Цэргийн анги /12740/, Энгэр шанд /12720/",
3241309,,Төлөвлөлтийн хил хязгаар,Polygon,107.277828,47.772715,Дэд төвийн хил хязгаар,Налайх,Орчин үеийн жишиг хороолол /гудамж/-ны хэсэгчилсэн ерөнхий төлөвлөгөө,Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2025 оны 12 дугаар сарын 26-ны өдрийн 25/147 дугаар тогтоол,4-р хороо,"Нисэх /12640/, Алтай /12660/, Өлгий /12650/, Бүс нуур /12610/",
