id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Архитектур төлөвлөлтийн даалгаврын дугаар,"Барилга, байгууламжийн нэр",Барилгын зориулалт,Дүүрэг,Хороо,Хаягийн бүс,Үйлчилгээ албан конторын давхарын тоо /бусад/,Гудамж,Хүчинтэй хугацаа,Орон сууцны давхарын тоо,Барилгын ажлыг эхлэх/үргэлжлүүлэх зөвшөөрлийн дугаар
124708,ТБА161662035654000,Контор үйлдвэр,Polygon,106.878814,47.906018,Архитектур төлөвлөлтийн даалгавар,МЗХ2022/29-011,"Үйлчилгээ, орон сууц",Үйлчилгээтэй орон сууц,Баянгол,24-р хороо,Үйлдвэрийн төвийн бүс-3 /16030/,,Тээвэрчдийн гудамж,2,,
189647,ТБА131442339137000,Амины сууцны хороолол,Polygon,107.129161,47.860216,Архитектур төлөвлөлтийн даалгавар,2015/18-26,Амины сууцны хороолол,Амины орон сууц /үйлчилгээгүй/,Баянзүрх,11-р хороо,Ургах наран /13180/,,,,,
189757,ТБА131548167319000,Аялал жуулчлалын цогцолбор,Polygon,107.125226,47.834109,Архитектур төлөвлөлтийн даалгавар,МЗХ2019/01-02,Аялал жуулчлалын цогцолбор,Тодорхойгүй,Баянзүрх,11-р хороо,Харгана /13091/,,,,2,
194036,ТБА131418817894000,Аялал жуулчлалын цогцолбор/105ш хаус/,Polygon,106.965923,47.875398,Архитектур төлөвлөлтийн даалгавар,2014/07-36,Аялал жуулчлалын цогцолбор/105ш хаус/,Аялал жуулчлалын барилга,Баянзүрх,11-р хороо,Бага тэнгэрийн ам  /13314/,,Дүнжингаравын гудамж,,,
195637,ТБА151518701311000,Дэд бүтцийн төв,Polygon,106.864886,47.950665,Архитектур төлөвлөлтийн даалгавар,МЗХ2018/04-02,Дэд бүтцийн төв,Амины орон сууц /үйлчилгээгүй/,Чингэлтэй,7-р хороо,Телевиз /15130/,,,,,
195640,ТБА151518701513000,Дэд бүтцийн төв,Polygon,106.864111,47.949298,Архитектур төлөвлөлтийн даалгавар,МЗХ2018/04-02,Дэд бүтцийн төв,Амины орон сууц /үйлчилгээгүй/,Чингэлтэй,7-р хороо,Телевиз /15130/,,,,,
197490,ТБА131442336772000,Амины сууцны хороолол,Polygon,107.209063,47.802268,Архитектур төлөвлөлтийн даалгавар,2015-ГБЗХ-18,Амины сууцны хороолол,Амины орон сууц /үйлчилгээгүй/,Баянзүрх,11-р хороо,Майхан уул /13087/,,,,,
198399,ТБА131442588642000,Амины сууцны хороолол,Polygon,107.15733,47.839105,Архитектур төлөвлөлтийн даалгавар,2015-ГБЗХ-18,Амины сууцны хороолол,Амины орон сууц /үйлчилгээгүй/,Баянзүрх,11-р хороо,Нам даваа /13088/,,,,,
198506,ТБА131548234768000,Үйлчилгээтэй орон сууц,MultiPolygon,106.942382,47.929679,Архитектур төлөвлөлтийн даалгавар,МЗХ2021/24-016,Үйлчилгээтэй орон сууц,Тодорхойгүй,Баянзүрх,2-р хороо,Дарь эх 1 /13361/,,,,,
198649,ТБА131559580473000,,Polygon,106.95125,47.915951,Архитектур төлөвлөлтийн даалгавар,МЗХ2019/09-72,"Орон сууц, үйлчилгээ, Контор, цэцэрлэг",Тодорхойгүй,Баянзүрх,14-р хороо,14-р хороолол-6 /13335/,,Энх тайвaны өргөн чөлөө,,,
202414,ТБА131557487097000,,Polygon,106.933246,47.920633,Архитектур төлөвлөлтийн даалгавар,МЗХ2019/07-004,"Үйлчилгээ, орон сууц, цэцэрлэг",Амины орон сууц /үйлчилгээгүй/,Баянзүрх,1-р хороо,12-р хороолол-2 /13381/,,,,18,
204704,ТБА131442582885000,Орон сууцны хороолол,Polygon,107.083176,47.887147,Архитектур төлөвлөлтийн даалгавар,2015/18-24,Орон сууцны хороолол,Орон сууц /үйлчилгээгүй/,Баянзүрх,11-р хороо,Товчоо /13190/,,,,,
206835,ТБА131442335733000,Амины сууцны хороолол,Polygon,107.205171,47.806595,Архитектур төлөвлөлтийн даалгавар,2015-ГБЗХ-18,Амины сууцны хороолол,Амины орон сууц /үйлчилгээгүй/,Баянзүрх,11-р хороо,Майхан уул /13087/,,,,,
209139,ТБА131442318079000,Амины сууцны хотхон,Polygon,107.155714,47.83831,Архитектур төлөвлөлтийн даалгавар,2015-ГБЗХ-18,Амины сууцны хотхон,Амины орон сууц /үйлчилгээгүй/,Баянзүрх,11-р хороо,Нам даваа /13088/,,,,,
210861,ТБА131441012833000,Аялал жуулчлалын цогцолбор,Polygon,107.006174,47.886748,Архитектур төлөвлөлтийн даалгавар,МЗХ2022/19-013,Аялал жуулчлалын цогцолбор,Аялал жуулчлалын барилга,Баянзүрх,11-р хороо,Залаатын ам /13241/,,,,,
213535,ТБА131445940111000,Газар доорх гараж,Polygon,106.996172,47.908458,Архитектур төлөвлөлтийн даалгавар,ДТ 15/183,Газар доорх гараж,Газар доорх гарааж,Баянзүрх,12-р хороо,Амгалан-2 /13270/,,,,,
214954,ТБА131497571200000,Цагаан давааны төвлөрсөн хогийн  боловсруулах эко,Polygon,106.99358,47.958197,Архитектур төлөвлөлтийн даалгавар,МЗХ2017/13-06,Цагаан давааны төвлөрсөн хогийн  боловсруулах эко,Үйлдвэрлэлийн барилга,Баянзүрх,24-р хороо,Цагаан даваа /13251/,,,,,
217053,ТБА131561301810000,,Polygon,106.981126,47.904429,Архитектур төлөвлөлтийн даалгавар,МЗХ2019/11-022,Сургууль цэцэрлэгийн цогцолбор,Сургуулийн дотуур байрны барилга,Баянзүрх,26-р хороо,Амгалан-3 /13271/,,,,,
217208,ТБА131441013599000,Аялал жуулчлалын цогцолбор,Polygon,107.006765,47.8857,Архитектур төлөвлөлтийн даалгавар,МЗХ2022/19-013,Аялал жуулчлалын цогцолбор,Аялал жуулчлалын барилга,Баянзүрх,11-р хороо,Залаатын ам /13241/,,Дүнжингаравын гудамж,,,
217656,ТБА131227225600001,,Polygon,106.959425,47.933527,Архитектур төлөвлөлтийн даалгавар,,,Сургуулийн барилга,Баянзүрх,5-р хороо,Цэргийн хотхон /13360/,,,,,
217939,ТБА131440062287000,,Polygon,106.970368,47.911993,Архитектур төлөвлөлтийн даалгавар,ДТ 15/147,,Үйлчилгээний барилга,Баянзүрх,13-р хороо,14-р хороолол-2 /13331/,,,,,
221632,ТБА131569839665000,Аялал жуулчлалын цогцолбор,Polygon,107.065863,47.872366,Архитектур төлөвлөлтийн даалгавар,ГБМЗХ2019/11-002,Аялал жуулчлалын цогцолбор,Тодорхойгүй,Баянзүрх,11-р хороо,Хүрхрээ /13240/,,,,,
222304,ТБА131559588128000,,Polygon,106.95959,47.958326,Архитектур төлөвлөлтийн даалгавар,МЗХ2019/09-067,Сайжруулсан түлшний агуулахын барилга,Тодорхойгүй,Баянзүрх,21-р хороо,Ганц худгийн ам /13355/,,,,,
222317,ТБА131437385461000,Газар доорх гараж,Polygon,106.936599,47.931539,Архитектур төлөвлөлтийн даалгавар,2015/10-13,Газар доорх гараж,Газар доорх гарааж,Баянзүрх,2-р хороо,Дарь эх-2 /13350/,,,,,
222577,ТБА131464714863000,Соёл Амралтын цогцолбор,Polygon,106.954629,47.882642,Архитектур төлөвлөлтийн даалгавар,2016/15-13,Соёл Амралтын цогцолбор,Аялал жуулчлалын барилга,Баянзүрх,11-р хороо,Их тэнгэрийн ам-1 /13315/,,,,,
222696,ТБА131242345600001,,Polygon,106.947828,47.911697,Архитектур төлөвлөлтийн даалгавар,,,Орон сууц /үйлчилгээгүй/,Баянзүрх,14-р хороо,14-р хороолол-7 /13336/,,,,,
227177,ТБА131609348357000,Сургуулийн барилга,Polygon,106.956934,47.913631,Архитектур төлөвлөлтийн даалгавар,ГБМЗХ2020/36-019,Сургуулийн барилга,Сургуулийн барилга,Баянзүрх,14-р хороо,14-р хороолол-4 /13333/,,,,,
227692,ТБА131514460614000,Аялал жуулчлалын цогцолбор,Polygon,106.965888,47.883122,Архитектур төлөвлөлтийн даалгавар,МЗХ2017/27-08,Аялал жуулчлалын цогцолбор,Аялал жуулчлалын барилга,Баянзүрх,11-р хороо,Их тэнгэрийн ам-1 /13315/,,,,,
229749,ТБА131609345928000,Цэцэрлэгийн барилга,Polygon,106.938186,47.930279,Архитектур төлөвлөлтийн даалгавар,ГБМЗХ2020/36-021,Цэцэрлэгийн барилга,Цэцэрлэгийн барилга,Баянзүрх,2-р хороо,Дарь эх-2 /13350/,,,,,
229759,ТБА131469442693000,Жуучлны бааз,Polygon,106.982882,47.882253,Архитектур төлөвлөлтийн даалгавар,2016/18-10,Жуучлны бааз,Аялал жуулчлалын барилга,Баянзүрх,11-р хороо,Залаатын ам /13241/,,,,,
230653,ТБА131337126400007,,Polygon,107.085803,47.88817,Архитектур төлөвлөлтийн даалгавар,,,Сургуулийн барилга,Баянзүрх,11-р хороо,Товчоо /13190/,,,,,
231744,ТБА171566824825000,,Polygon,106.814126,47.86711,Архитектур төлөвлөлтийн даалгавар,,,Тодорхойгүй,Хан-Уул,6-р хороо,Яармаг-1 /17110/,,,,,
231764,ТБА131463673656000,Аялал жуулчлалын цогцолбор,Polygon,107.021263,47.882621,Архитектур төлөвлөлтийн даалгавар,2016/14-07,Аялал жуулчлалын цогцолбор,Аялал жуулчлалын барилга,Баянзүрх,11-р хороо,Залаатын ам /13241/,,,,,
233397,ТБА131600097341000,Аялал жуулчлал,Polygon,106.990643,47.882414,Архитектур төлөвлөлтийн даалгавар,ГБМЗХ2020/34-023,Аялал жуулчлал,Аялал жуулчлалын барилга,Баянзүрх,11-р хороо,Залаатын ам /13241/,,,,,
233526,ТБА131591624916000,"Орон сууц, контор, худалдаа, үйлчилгээ, цэцэрлэг",Polygon,106.979675,47.914659,Архитектур төлөвлөлтийн даалгавар,ГБМЗХ2020/25-017,"Орон сууц, контор, худалдаа, үйлчилгээ, цэцэрлэг",,Баянзүрх,8-р хороо,Улаанхуаран-3 /13302/,,,,,
234058,ТБА131291766400005,,Polygon,107.216537,47.794035,Архитектур төлөвлөлтийн даалгавар,,,Музейн,Баянзүрх,11-р хороо,Майхан уул /13087/,,,,,
234849,ТБА131591632454000,"Орон сууц, худалдаа, үйлчилгээ, сургууль, цэцэрлэг",Polygon,106.98073,47.913418,Архитектур төлөвлөлтийн даалгавар,ГБМЗХ2020/25-018,"Орон сууц, худалдаа, үйлчилгээ, сургууль, цэцэрлэг",,Баянзүрх,8-р хороо,Улаанхуаран-3 /13302/,,Цагдаагийн академийн өргөн чөлөө,,,
234851,ТБА131595354260000,"Бага сургууль, цэцэрлэгийн цогцолбор барилга",Polygon,107.116844,47.878187,Архитектур төлөвлөлтийн даалгавар,ГБМЗХ2020/30-004,"Бага сургууль, цэцэрлэгийн цогцолбор барилга","Бага сургууль, цэцэрлэгийн цогцолборын барилга",Баянзүрх,11-р хороо,,,,,,
