id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,"Барилга, байгууламжийн нэр"
5760,,,Point,106.912501,47.921917,Төрийн байгууллага,Мөрдөн байцаах албаны байр
5761,,,Point,106.914106,47.921172,Төрийн байгууллага,ЦЕГ Хэрэг бүртгэх алба
5762,,,Point,106.915957,47.923831,Төрийн байгууллага,Цагдаагийн 1-р хэлтэс
5763,,,Point,106.904356,47.921467,Төрийн байгууллага,Чингэлтэй дүүргийн цагдаагийн 1-р хэлтэс
5764,,,Point,106.964706,47.915636,Төрийн байгууллага,БЗД цагдаагийн 1-р хэлтэс
5765,,,Point,106.893763,47.897924,Төрийн байгууллага,Хан-Уул дүүргийн цагдаагийн 1-р хэлтэс
5766,,,Point,106.846978,47.916089,Төрийн байгууллага,Сонгинохайрхан дүүргийн цагдаагийн 3-р хэлтэс
5767,,,Point,106.881992,47.916199,Төрийн байгууллага,БГД цагдаагийн 1-р хэлтэс
5768,,,Point,106.964544,47.915977,Төрийн байгууллага,БЗД замын цагдаагийн хэлтэс
5769,,,Point,106.878628,47.910587,Төрийн байгууллага,БГДЗДТГ-ын байр
5770,,,Point,106.844223,47.917244,Төрийн байгууллага,Сонгинохайрхан дүүрэг замын цагдаагийн хэлтэс
5771,,,Point,106.920959,47.916407,Төрийн байгууллага,Гадаад харилцааны яам
5772,,,Point,106.907863,47.921311,Төрийн байгууллага,Засгийн газрын XII байр
5773,,,Point,106.779265,47.852766,Төрийн байгууллага,Иргэний нисэхийн ерөнхий газар
5774,,,Point,106.970718,47.918086,Төрийн байгууллага,Батлан хамгаалах яам
5775,,,Point,106.925167,47.938863,Төрийн байгууллага,"Сүхыаатар дүүргийн эрүүл мэнд, нийгмийн даатгалын хэлтэс"
5776,,,Point,106.911231,47.926223,Төрийн байгууллага,Чингэлтэй дүүргийн Эрүүл мэнд нийгмийн даатгалын хэлтэс
5777,,,Point,106.889377,47.917875,Төрийн байгууллага,БГД-ийн ЭМНДХ өөрийн байранд
5778,,,Point,106.814321,47.918976,Төрийн байгууллага,СХД нийгмийн даатгалын хэлтэс
5779,,,Point,106.907891,47.92184,Төрийн байгууллага,
5780,,,Point,106.897824,47.92484,Төрийн байгууллага,Шүүхийн ерөнхий зөвлөл
5781,,,Point,106.912431,47.918324,Төрийн байгууллага,Засгийн газрын IV байр
5782,,,Point,106.906829,47.92299,Төрийн байгууллага,Засгийн газрын XI байр
5783,,,Point,106.923793,47.917382,Төрийн байгууллага,"Булнайн ар албан контор, UBH төв"
5784,,,Point,106.965753,47.915535,Төрийн байгууллага,БЗДНДХ өөрийн байр
5785,,,Point,106.898931,47.897763,Төрийн байгууллага,Нийгмийн даатгалын хэлтсийн байр
5786,,,Point,106.907272,47.921523,Төрийн байгууллага,Нийслэлийн засаг захиргааны III байр
5787,,,Point,106.965057,47.918387,Төрийн байгууллага,БЗДХХҮХ өөрийн байр
5788,,,Point,106.822735,47.934543,Төрийн байгууллага,Хөдөлмөр халамж үйлчилгээний хэлтэс
5789,,,Point,106.868472,47.919624,Төрийн байгууллага,"БГД-ийн хөдөлмөр, халамжийн үйлчилгээний хэлтэс"
5790,,,Point,106.902904,47.900803,Төрийн байгууллага,"Хөдөлмөр, халамж үйлчилгээний хэлтсийн байр"
5791,,,Point,106.921133,47.928091,Төрийн байгууллага,Захиргааны хэргийн шүүхийн нэгдсэн байр
5792,,,Point,106.907286,47.920641,Төрийн байгууллага,Нийслэлийн шүүхийн байр
5793,,,Point,106.929527,47.926704,Төрийн байгууллага,СБДЗДТГ-ын байр
5794,,,Point,106.906892,47.921553,Төрийн байгууллага,Нийслэлийн Засаг Захиргааны III байр
5795,,,Point,106.966038,47.915236,Төрийн байгууллага,БЗДЗДТГ-ын байр
5796,,,Point,106.894746,47.897497,Төрийн байгууллага,ХУДЗДТГ-ын байр
5797,,,Point,106.87884,47.910702,Төрийн байгууллага,БГДЗДТГ-ын байр
5798,,,Point,106.811029,47.925396,Төрийн байгууллага,СХДЗДТГ-ын байр
5799,,,Point,106.916159,47.923291,Төрийн байгууллага,"БЗД, СБД, ЧД-ийн иргэний хэргийн анхан шатны шүүх"
5800,,,Point,106.94494,47.928912,Төрийн байгууллага,"БЗД, СБД, ЧД-ийн шүүхийн байр"
5801,,,Point,106.893577,47.897551,Төрийн байгууллага,ХУД-ийн иргэний хэргийн анхан шатны шүүхийн байр
5802,,,Point,106.833333,47.914594,Төрийн байгууллага,Эрүүгийн хэргийн анхан шатны шүүх
5803,,,Point,106.923341,47.904095,Төрийн байгууллага,МҮХАҮТанхимын байр
5804,,,Point,106.912393,47.92161,Төрийн байгууллага,Улсын ерөнхий прокурорын газар
5805,,,Point,106.899321,47.913416,Төрийн байгууллага,Нийслэлийн прокурорын газар
5806,,,Point,106.923944,47.917089,Төрийн байгууллага,Шүүхийн шинжилгээний үндэсний хүрээлэн
5807,,,Point,106.926326,47.91691,Төрийн байгууллага,Сүхбаатар дүүргийн прокурорын газар
5808,,,Point,106.905195,47.918356,Төрийн байгууллага,Чингэлтэй дүүргийн прокурорын газар
5809,,,Point,106.96688,47.915852,Төрийн байгууллага,БЗДПГ өөрийн байр
5810,,,Point,106.878041,47.910604,Төрийн байгууллага,БГД-ийн прокурорын газар өөрийн байранд
5811,,,Point,106.847302,47.915995,Төрийн байгууллага,Сонгинохайрхан дүүргийн прокурор
5812,,,Point,106.890371,47.914498,Төрийн байгууллага,
5813,,,Point,106.927446,47.925966,Төрийн байгууллага,10 г үйлчилгээний барилга
5814,,,Point,106.91603,47.917416,Төрийн байгууллага,Төв шуудан
5815,,,Point,106.922137,47.919668,Төрийн байгууллага,Засгийн газрын III байр
5816,,,Point,106.906846,47.922716,Төрийн байгууллага,Засгийн газрын XI байр
5817,,,Point,106.906886,47.922584,Төрийн байгууллага,Засгийн газрын XI байр
5818,,,Point,106.915497,47.918937,Төрийн байгууллага,"Нийслэлийн Засаг Захиргааны 2 байр, Хангарди ордон 5 давхар"
5819,,,Point,106.915604,47.91894,Төрийн байгууллага,"Нийслэлийн Засаг Захиргааны 2 байр, Хангарди ордон 7 давхар"
5820,,,Point,106.928394,47.918502,Төрийн байгууллага,Багшийн хөгжлийн ордон
5821,,,Point,106.911547,47.921847,Төрийн байгууллага,Нийслэлийн Засаг Захиргааны 4 байр
5822,,,Point,106.882802,47.908933,Төрийн байгууллага,Гаалийн ерөнхий газрын харьяа Улаанбаатар хотын гааль
5823,,,Point,106.915384,47.918875,Төрийн байгууллага,Ниймлэлийн Засаг Захиргааны 2 байр
5824,,,Point,106.915433,47.918784,Төрийн байгууллага,"Нийслэлийн Засаг Захиргааны 2 байр, Хангарди ордон 4 давхар"
5825,,,Point,106.915593,47.918878,Төрийн байгууллага,"Нийслэлийн Засаг Захиргааны 2 байр, Хангарди ордон 8 давхар"
5826,,,Point,106.932714,47.923872,Төрийн байгууллага,North center
5827,,,Point,106.935496,47.919829,Төрийн байгууллага,Ус сувгийн удирдах газар
5828,,,Point,106.911535,47.909303,Төрийн байгууллага,Засгийн газрын XIII байр
5829,,,Point,106.895785,47.894306,Төрийн байгууллага,Цөмийн энергийн газар
5830,,,Point,106.911619,47.885144,Төрийн байгууллага,Монгол улсын үндсэн хуулийн цэцийн байр
5831,,,Point,106.915859,47.918707,Төрийн байгууллага,Нийслэлийн Засаг Захиргааны 1 байр
5832,,,Point,106.915578,47.918828,Төрийн байгууллага,"Нийслэлийн Засаг Захиргааны 2 байр, Хангарди ордон 4 давхар"
5833,,,Point,106.915414,47.918832,Төрийн байгууллага,"Нийслэлийн Засаг Захиргааны 2 байр, Хангарди ордон 6 давхар"
5834,,,Point,106.915415,47.918735,Төрийн байгууллага,Нийслэлийн Засаг Захиргааны 2 байр
5835,,,Point,106.915527,47.91872,Төрийн байгууллага,"Нийслэлийн Засаг Захиргааны 2 байр, Хангарди ордон 10 давхар"
5836,,,Point,106.915424,47.918706,Төрийн байгууллага,"Нийслэлийн Засаг Захиргааны 2 байр, Хангарди ордон 12 давхар"
5837,,,Point,106.911856,47.92179,Төрийн байгууллага,Нийслэлийн Засаг Захиргааны 4 байр
5838,,,Point,106.921342,47.919455,Төрийн байгууллага,"Нийслэлийн өмчийн I байр, Соёлын төв өргөө Г корпус 5 давхар"
5839,,,Point,106.911676,47.921829,Төрийн байгууллага,Нийслэлийн Засаг Захиргааны 4 байр
5840,,,Point,106.911469,47.921884,Төрийн байгууллага,Нийслэлийн Засаг Захиргааны 5-р байр
5841,,,Point,106.915482,47.918751,Төрийн байгууллага,Нийслэлийн Засаг Захиргааны 2 байр
5842,,,Point,106.821174,47.933659,Төрийн байгууллага,Нийгмийн хамгааллын тусгай төв өөрийн байранд
5843,,,Point,106.919994,47.914407,Төрийн байгууллага,Гэрлэх ёслолын ордон
5844,,,Point,106.911704,47.921734,Төрийн байгууллага,Нийслэлийн Засаг Захиргааны 4 байр
5845,,,Point,106.916202,47.912857,Төрийн байгууллага,Монголын хүүхдийн ордон
5846,,,Point,106.929791,47.922455,Төрийн байгууллага,Нийслэлийн Засаг Захиргааны 5 байр
5847,,,Point,106.904923,47.92727,Төрийн байгууллага,Төрийн орон сууцны корпорацийн байр
5848,,,Point,106.919926,47.919468,Төрийн байгууллага,Соёлын төв өргөн
5849,,,Point,106.924336,47.930952,Төрийн байгууллага,Нийслэлийн Төр захиргааны авто бааз
5850,,,Point,106.929625,47.921556,Төрийн байгууллага,Төв бассейн
5851,,,Point,106.916218,47.91478,Төрийн байгууллага,Төв номын сан
5852,,,Point,106.999845,47.915137,Төрийн байгууллага,
5853,,,Point,106.92957,47.910575,Төрийн байгууллага,Улаанбаатар буян
5854,,,Point,106.920939,47.928167,Төрийн байгууллага,
5855,,,Point,106.927402,47.935371,Төрийн байгууллага,Улсын ерөнхий бүртгэлийн газар 3-р байр
5856,,,Point,106.921666,47.919599,Төрийн байгууллага,"Нийслэлийн өмчийн I байр, Соёлын Төв Өргөө Г корпус"
5857,,,Point,106.915901,47.917082,Төрийн байгууллага,Радио телевизийн үндэсний сүлжээ
5858,,,Point,106.912705,47.915869,Төрийн байгууллага,"Маршал харш, Ерөнхийлөгчийн өвлийн ордон"
5859,,,Point,106.878863,47.910609,Төрийн байгууллага,БГДЗДТГ-ын байр
5860,,,Point,106.966096,47.915795,Төрийн байгууллага,БЗДЗДТГ-ын байр
5861,,,Point,106.907024,47.92148,Төрийн байгууллага,Нийслэлийн Засаг Захиргааны III байр
5862,,,Point,106.929615,47.926801,Төрийн байгууллага,СБДЗДТГ-ын байр
5863,,,Point,106.89457,47.897937,Төрийн байгууллага,ХУДЗДТГ-ын байр
5864,,,Point,107.433341,47.350114,Төрийн байгууллага,БХДЗДТГ-ын байр
5865,,,Point,106.81099,47.925312,Төрийн байгууллага,СХДЗДТГ-ын байр
5866,,,Point,107.256398,47.772096,Төрийн байгууллага,НДЗДТГ-ын байр
5867,,,Point,108.365711,47.780669,Төрийн байгууллага,БНДЗДТГ-ын байр
5868,,,Point,107.433319,47.35026,Төрийн байгууллага,БХДЗДТГ-ын байр
5869,,,Point,107.256501,47.772088,Төрийн байгууллага,НДЗДТГ-ын байр
5870,,,Point,108.365706,47.780614,Төрийн байгууллага,БНДЗДТГ-ын байр
