id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Нэр
124746,19,Багахангай,Polygon,107.450417,47.371153,Дүүргийн хил,Багахангай
124747,13,Баянзүрх,Polygon,107.166569,47.966292,Дүүргийн хил,Баянзүрх
124748,14,Сүхбаатар,Polygon,106.951375,48.053867,Дүүргийн хил,Сүхбаатар
124749,12,Багануур,Polygon,108.353222,47.826736,Дүүргийн хил,Багануур
124750,16,Баянгол,Polygon,106.848645,47.909098,Дүүргийн хил,Баянгол
124751,17,Хан-Уул,Polygon,106.729778,47.806629,Дүүргийн хил,Хан-Уул
124752,18,Сонгинохайрхан,Polygon,106.619181,48.059958,Дүүргийн хил,Сонгинохайрхан
124753,11,Налайх,Polygon,107.419199,47.823583,Дүүргийн хил,Налайх
124754,15,Чингэлтэй,Polygon,106.882054,48.028917,Дүүргийн хил,Чингэлтэй
