id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл
12261,65,Барилгачдын талбай,LineString,106.908575,47.920381,"Гудамж, талбайн нэр"
12262,89,Үйлдвэрийн гудамж,LineString,106.879329,47.901823,"Гудамж, талбайн нэр"
12263,101,Алтан-Өлгийн гудамж,LineString,106.972881,47.927646,"Гудамж, талбайн нэр"
12264,174,Юнескогийн гудамж,LineString,106.926594,47.912406,"Гудамж, талбайн нэр"
12265,92,Их Монгол улсын гудамж,LineString,106.933103,47.896564,"Гудамж, талбайн нэр"
12266,110,Тэнгэр рашааны гудамж,LineString,106.916591,47.879186,"Гудамж, талбайн нэр"
12267,97,Чингэлтэйн өргөн чөлөө,LineString,106.915576,47.954712,"Гудамж, талбайн нэр"
12268,86,Толгойтын гудамж,LineString,106.798622,47.916282,"Гудамж, талбайн нэр"
12269,95,Чингэлтэйн гудамж,LineString,106.892417,47.988307,"Гудамж, талбайн нэр"
12270,98,Сэлхийн гудамж,LineString,106.971363,48.024326,"Гудамж, талбайн нэр"
12271,96,Хайлаастын гудамж,LineString,106.899411,47.958317,"Гудамж, талбайн нэр"
12272,75,Дарь-Эхийн гудамж,LineString,106.934262,47.954824,"Гудамж, талбайн нэр"
12273,88,Баруун үйлдвэрийн гудамж,LineString,106.863354,47.905045,"Гудамж, талбайн нэр"
12274,102,Шархадны гудамж,LineString,107.003345,47.930806,"Гудамж, талбайн нэр"
12275,93,С.Зоригийн гудамж,LineString,106.923397,47.915944,"Гудамж, талбайн нэр"
12276,94,Ж.Батмөнхийн гудамж,LineString,106.924226,47.926464,"Гудамж, талбайн нэр"
12277,105,Бээжингийн гудамж,LineString,106.928831,47.923061,"Гудамж, талбайн нэр"
12278,125,Ногоон нуурын гудамж,LineString,106.916032,47.934559,"Гудамж, талбайн нэр"
12279,122,Найрамдалын зам,LineString,106.757208,47.966177,"Гудамж, талбайн нэр"
12280,119,Морингийн зам,LineString,106.722099,47.847509,"Гудамж, талбайн нэр"
12281,120,Шувуун фабрикийн зам,LineString,106.619506,47.798354,"Гудамж, талбайн нэр"
12282,117,Өлзийтийн зам,LineString,106.707756,47.803017,"Гудамж, талбайн нэр"
12283,118,Нүхтийн зам,LineString,106.841556,47.846809,"Гудамж, талбайн нэр"
12284,173,Нөхөрлөлийн гудамж,LineString,106.813633,47.907988,"Гудамж, талбайн нэр"
12285,121,Гачууртын зам,LineString,107.081148,47.915066,"Гудамж, талбайн нэр"
12286,124,Б.Ренчингийн гудамж,LineString,106.911491,47.913006,"Гудамж, талбайн нэр"
12287,126,Ноён хутагт Данзанравжаагийн гудамж,LineString,106.908438,47.918125,"Гудамж, талбайн нэр"
12288,108,Санзайн зам,MultiLineString,106.907056,48.058986,"Гудамж, талбайн нэр"
12289,123,Дэнжийн 1000 гудамж,LineString,106.906045,47.945268,"Гудамж, талбайн нэр"
12290,128,Эх нялхсын төв гудамж,LineString,106.888325,47.92512,"Гудамж, талбайн нэр"
12291,107,Товчооны зам,LineString,106.735311,47.904345,"Гудамж, талбайн нэр"
12292,58,Энх тайвaны өргөн чөлөө,MultiLineString,106.916194,47.915706,"Гудамж, талбайн нэр"
12293,53,Цагдаагийн академийн өргөн чөлөө,LineString,106.989714,47.912662,"Гудамж, талбайн нэр"
12294,135,Өнөр хорооллын гудамж,LineString,106.842671,47.91413,"Гудамж, талбайн нэр"
12295,133,Л.Лааганы гудамж,LineString,106.905814,47.925523,"Гудамж, талбайн нэр"
12296,196,Хуульчдын гудамж,LineString,107.255548,47.772404,"Гудамж, талбайн нэр"
12297,137,Тээвэрчдийн гудамж,LineString,106.882609,47.905846,"Гудамж, талбайн нэр"
12298,132,Дамбадаржаагийн гудамж,LineString,106.949266,47.991174,"Гудамж, талбайн нэр"
12299,138,Г.Чагдаржавын гудамж,LineString,106.927328,47.916329,"Гудамж, талбайн нэр"
12300,140,Д.Дамбын гудамж,LineString,106.908788,47.924947,"Гудамж, талбайн нэр"
12301,139,Бакула Ринбучийн гудамж,LineString,106.902059,47.920012,"Гудамж, талбайн нэр"
12302,146,Нисэхийн гудамж,LineString,106.758858,47.855073,"Гудамж, талбайн нэр"
12303,154,Үйлдвэрийн тойруу,LineString,106.836893,47.901023,"Гудамж, талбайн нэр"
12304,144,Хүнсчдийн гудамж,LineString,106.806671,47.912329,"Гудамж, талбайн нэр"
12305,145,Өргөө гудамж,LineString,106.876448,47.926476,"Гудамж, талбайн нэр"
12306,168,Д.Нянтайсүрэнгийн гудамж,LineString,106.985952,47.921041,"Гудамж, талбайн нэр"
12307,149,Улиастайн гудамж,LineString,107.026634,47.915353,"Гудамж, талбайн нэр"
12308,147,П.Жасрайн гудамж,LineString,106.877521,47.912094,"Гудамж, талбайн нэр"
12309,87,Баянхошууны гудамж,LineString,106.827716,47.941045,"Гудамж, талбайн нэр"
12310,156,Зүүн салааны гудамж,LineString,106.827615,47.977567,"Гудамж, талбайн нэр"
12311,163,Нарангийн гудамж,LineString,106.773141,47.923571,"Гудамж, талбайн нэр"
12312,164,Их нарангийн гудамж,LineString,106.795927,47.928894,"Гудамж, талбайн нэр"
12313,155,Баруун салааны гудамж,LineString,106.805413,47.993329,"Гудамж, талбайн нэр"
12314,182,Б.Алтангэрэлийн гудамж,LineString,106.9214,47.918478,"Гудамж, талбайн нэр"
12315,165,Алтайн гудамж,LineString,106.913957,47.930628,"Гудамж, талбайн нэр"
12316,167,Парисын гудамж,LineString,106.929198,47.913179,"Гудамж, талбайн нэр"
12317,160,Элчингийн гудамж,LineString,106.924376,47.914411,"Гудамж, талбайн нэр"
