id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Барилгын зориулалт,"Барилга, байгууламжийн нэр",Архитектур төлөвлөлтийн даалгаврын дугаар,Дүүрэг,Хороо,Хаягийн бүс,Гудамж
363926,ТАЗ1415577600001,Авто худалдааны цогцолбороос Морингийн зам хүртэл,Polygon,106.708908,47.8556,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,Авто худалдааны цогцолбороос Морингийн зам хүртэл,,,,,
364194,ТАЗ1545820348001,Авто зам,Polygon,106.921819,47.897632,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,Авто зам,МЗХ2018/23-29,,,,
364349,ТАЗ1649846042001,"Авто зам, замын байгууламж",Polygon,106.81427,47.916329,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Онгоцны буудал,"Авто зам, замын байгууламж",МЗХ2022/09-00,,,,
364515,ТАЗ1547118442001,Аялал жуулчлалын цогцолбор,Polygon,106.846366,47.851303,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,Аялал жуулчлалын цогцолбор,МЗХ2018/20-11,,,,
364852,ТАЗ1652976471001,Аялал жуулчлалын цогцолбор,Polygon,106.84998,47.811383,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,Аялал жуулчлалын цогцолбор,МЗХ2022/03-030,,,,
364911,ТАЗ1649935909001,Авто зам замын байгууламж,Polygon,106.895658,47.901639,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Онгоцны буудал,Авто зам замын байгууламж,,,,,
364912,ТАЗ1650281257001,Онцгой үед ашиглах замын байгууламж,Polygon,106.907572,47.902824,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",,Онцгой үед ашиглах замын байгууламж,МЗХ2022/09-027,,,,
365027,ТАЗ1536220437001,Богд Жавзанбамбын гудамжнаас оргил рашаан хүртэлх ,Polygon,106.913223,47.896581,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,Богд Жавзанбамбын гудамжнаас оргил рашаан хүртэлх,МЗХ2018/21-30,,,,
365068,ТАЗ1510569333004,,Polygon,106.874873,47.896192,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,,,,,,
365069,ТАЗ1439460549003,Замын цагдаагийн уулзварын олон түвшний огтолцол,Polygon,106.927128,47.905919,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,Замын цагдаагийн уулзварын олон түвшний огтолцол,,,,,
365208,ТАЗ1492080348001,Авто зам,Polygon,106.887243,47.893073,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,Авто зам,,,,,
365332,ТАЗ1295222400004,,Polygon,106.922632,47.907017,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",,,,,,,
365407,ТАЗ1614767388001,Аялал жуулчлалын цогцолбор,Polygon,106.86535,47.878919,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,Аялал жуулчлалын цогцолбор,ГБМЗХ2020/04-018,,,,
365485,ТАЗ1614711119001,,Polygon,106.844949,47.856399,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,,,,,,
365489,ТАЗ1649933465001,Авто зам замын байгууламж,Polygon,106.895658,47.901639,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,Авто зам замын байгууламж,,,,,
365646,ТАЗ1427711779002,Сэлбэ голын дагуу хурдны зам,Polygon,106.929483,47.907299,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,Сэлбэ голын дагуу хурдны зам,,,,,
365688,ТАЗ1614792785001,,Polygon,106.772824,47.846009,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,,,,,,
365725,ТАЗ1615298663001,Орон сууцны цогцолбор,Polygon,106.785849,47.856188,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,Орон сууцны цогцолбор,ГБМЗХ2020/33-007,,,,
365768,ТАЗ1545131148001,БНКУ-ын Элчин Сайдын яамны урд талаарх авто зам,Polygon,106.935095,47.891224,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,БНКУ-ын Элчин Сайдын яамны урд талаарх авто зам,МЗХ2018/29-09,,,,
365855,ТАЗ1327968000006,Зайсан толгойн урдуур авто зам,Polygon,106.915831,47.884017,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,Зайсан толгойн урдуур авто зам,,,,,
365931,ТАЗ1306281600014,,Polygon,106.59733,47.816496,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,,,,,,
366030,ТАЗ1615311055001,,Polygon,106.876296,47.884161,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,,,,,,
366269,ТАЗ1517581557001,Сургалт судалгааны барилга,Polygon,106.835173,47.867789,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,Сургалт судалгааны барилга,МЗХ2016/14-14,,,,
366386,ТАЗ1653915909001,,Polygon,106.780586,47.847724,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,,,,,,
366464,ТАЗ1520194485001,Тохижилт,Polygon,106.916435,47.897286,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Талбайн тохижилт барилга,Тохижилт,,,,,
366918,ТАЗ1520182152001,Аялал жуулчлалын цогцолбор,Polygon,106.922711,47.877292,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,Аялал жуулчлалын цогцолбор,МЗХ2014/03-74,,,,
367083,ТАЗ1616511603001,Хүннү малл худалдааны төвөөс Эрин говь хүртэлх Наа,Polygon,106.850427,47.877049,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,Хүннү малл худалдааны төвөөс Эрин говь хүртэлх Наа,МЗХ2021/04-003,,,,
367204,ТАЗ1556232389001,Явган хүний гүүрэн гарц,Polygon,106.926651,47.907944,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,Явган хүний гүүрэн гарц,МЗХ2019/06-99,,,,
367213,ТАЗ1517531223001,Аялал жуулчлалын цогцрлбор,Polygon,106.835363,47.866238,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",,Аялал жуулчлалын цогцрлбор,МЗХ2017/06-08,,,,
367253,ТАЗ1520194528001,Тохижилт,Polygon,106.915782,47.897642,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Талбайн тохижилт барилга,Тохижилт,,,,,
367374,ТАЗ1517531344001,Аялал жуулчлалын цогцолбор,Polygon,106.836098,47.865076,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",,Аялал жуулчлалын цогцолбор,МЗХ2017/06-08,,,,
367375,ТАЗ1517571152001,Аялал жуулчлалын цогцолбор,Polygon,106.845536,47.871583,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,Аялал жуулчлалын цогцолбор,МЗХ2017/02-22,,,,
367401,ТАЗ1616602733001,Аялал жуулчлалын цогцолбор,Polygon,106.840349,47.8385,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,Аялал жуулчлалын цогцолбор,МЗХ2017/09-18,,,,
367438,ТАЗ1661788394001,Үерийн хамгаалалтын суваг,MultiPolygon,106.787251,47.83795,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",,Үерийн хамгаалалтын суваг,,,,,
367455,ТАЗ1511277685001,Зайсангийн гүүр,Polygon,106.909777,47.889682,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,Зайсангийн гүүр,,,,,
367532,ТАЗ1517574665001,,Polygon,106.852281,47.876208,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,,,,,,
367561,ТАЗ1616595318001,"Худалдаа, үйлчилгээ",Polygon,106.76851,47.856762,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,"Худалдаа, үйлчилгээ",ГБМЗХ-456,,,,
367569,ТАЗ1520194508001,Тохижилт,Polygon,106.916052,47.897015,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Талбайн тохижилт барилга,Тохижилт,,,,,
367610,ТАЗ1658230733001,,Polygon,106.889803,47.892148,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Онгоцны буудал,Монгол шевро ХХК-ийн баруун талаас урагш мишээл эк,ЗД-ХУД/2021/019,,,,
367621,ТАЗ1510567736001,Хотын төвийн хэсэгт хийгдэх унадаг дугуйн замын тр,Polygon,106.912374,47.893227,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",,Хотын төвийн хэсэгт хийгдэх унадаг дугуйн замын тр,2017/16-15,,,,
367732,ТАЗ1616423720001,,Polygon,106.797653,47.835616,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,,ГБМЗХ2019/14-008,,,,
367742,ТАЗ1520194496001,Тохижилт,Polygon,106.916362,47.897041,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Талбайн тохижилт барилга,Тохижилт,,,,,
367778,ТАЗ1663156094001,,Polygon,106.835681,47.885666,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,,,,,,
367886,ТАЗ1517569364001,Аялал жуулчлалын цогцолбор,Polygon,106.83889,47.856316,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,Аялал жуулчлалын цогцолбор,,,,,
368109,ТАЗ1511857690001,Шувуун фабрик-Сонгино чиглэлийн авто замын Туул го,Polygon,106.616212,47.805111,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,Шувуун фабрик-Сонгино чиглэлийн авто замын Туул го,МЗХ2017/25-30,,,,
368474,ТАЗ1411141428001,Яармагийн гэр хорооллын доторхи авто зам,Polygon,106.810221,47.872661,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,Яармагийн гэр хорооллын доторхи авто зам,2014/02-56,,,,
368623,ТАЗ1556214832001,Гүүрэн гарц,Polygon,106.879533,47.903727,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,Гүүрэн гарц,МЗХ2019/06-90,,,,
368628,ТАЗ1411042850001,Нисэх-Сонсголонгийн зам,Polygon,106.771946,47.868972,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,Нисэх-Сонсголонгийн зам,2014/02-60,,,,
368631,ТАЗ1517574630001,,Polygon,106.833371,47.857278,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,,,,,,
368665,ТАЗ1616498694001,Буянт-Ухаа 2 хорооллоос ИНЕГ-ын сургалтын байр хүр,Polygon,106.783045,47.848721,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,Буянт-Ухаа 2 хорооллоос ИНЕГ-ын сургалтын байр хүр,МЗХ2021/04-002,,,,
368672,ТАЗ1520194522001,Тохижилт,Polygon,106.915798,47.897475,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Талбайн тохижилт барилга,Тохижилт,,,,,
368823,ТАЗ1520194503001,,Polygon,106.916226,47.897129,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",,,,,,,
