id,object_no,object_name,geom_type,lon,lat
70195,,,Polygon,106.768238,47.905039
70196,,,Polygon,106.996413,47.934736
70197,,,Polygon,106.89959,47.93057
70198,,,Polygon,106.954728,47.905666
70199,,,Polygon,106.793029,47.867779
70200,,,Polygon,106.284737,48.222245
70201,,,Polygon,106.779704,47.862469
70202,,,Polygon,107.007437,47.914201
70203,,,Polygon,107.205357,47.729494
70204,,,Polygon,106.734859,47.896477
70205,,,Polygon,106.891934,47.943614
70206,,,Polygon,107.422425,47.349262
70207,,,Polygon,106.852862,47.871015
70208,,,Polygon,106.737241,47.938943
70209,,,Polygon,106.926144,47.952183
70210,,,Polygon,106.805375,47.83296
70211,,,Polygon,107.039945,47.904405
70212,,,Polygon,106.676592,47.879979
70213,,,Polygon,106.547571,47.774337
70214,,,Polygon,106.932055,47.693354
70215,,,Polygon,107.288311,47.731717
70216,,,Polygon,106.606291,47.864587
70217,,,Polygon,106.853408,47.919852
70218,,,Polygon,106.930038,47.964565
70219,,,Polygon,106.939836,47.931883
70220,,,Polygon,106.902825,47.89146
70221,,,Polygon,106.603659,47.864777
70222,,,Polygon,106.878381,47.946216
70223,,,Polygon,107.020165,47.886266
70224,,,Polygon,106.843102,47.903679
70225,,,Polygon,106.957978,47.903382
70226,,,Polygon,107.27293,47.780442
70227,,,Polygon,106.804544,47.891888
70228,,,Polygon,106.828569,47.652717
70229,,,Polygon,107.005949,47.911316
70230,,,Polygon,106.80841,47.921781
70231,,,Polygon,106.941815,47.890897
70232,,,Polygon,106.864762,47.898222
70233,,,Polygon,106.807728,47.906176
