id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл
1415447,,,Polygon,106.929226,47.926566,Хүн амын нягтрал хэтэрсэн байршил
1415448,,,Polygon,106.900599,47.911635,Хүн амын нягтрал хэтэрсэн байршил
1415449,,,Polygon,106.926237,47.903432,Хүн амын нягтрал хэтэрсэн байршил
1415450,,,Polygon,106.912874,47.90481,Хүн амын нягтрал хэтэрсэн байршил
1415451,,,Polygon,106.911346,47.90502,Хүн амын нягтрал хэтэрсэн байршил
1415452,,,Polygon,106.894716,47.900395,Хүн амын нягтрал хэтэрсэн байршил
1415453,,,Polygon,106.894326,47.89703,Хүн амын нягтрал хэтэрсэн байршил
1415454,,,Polygon,106.936959,47.922726,Хүн амын нягтрал хэтэрсэн байршил
1415455,,,Polygon,106.937465,47.926971,Хүн амын нягтрал хэтэрсэн байршил
1415456,,,Polygon,106.939976,47.926392,Хүн амын нягтрал хэтэрсэн байршил
1415457,,,Polygon,106.939931,47.925035,Хүн амын нягтрал хэтэрсэн байршил
1415458,,,Polygon,106.934354,47.928105,Хүн амын нягтрал хэтэрсэн байршил
1415459,,,Polygon,106.939763,47.916899,Хүн амын нягтрал хэтэрсэн байршил
1415460,,,Polygon,106.933199,47.914792,Хүн амын нягтрал хэтэрсэн байршил
1415461,,,Polygon,106.932846,47.917102,Хүн амын нягтрал хэтэрсэн байршил
1415462,,,Polygon,106.931794,47.9062,Хүн амын нягтрал хэтэрсэн байршил
1415463,,,Polygon,106.946461,47.91693,Хүн амын нягтрал хэтэрсэн байршил
1415464,,,Polygon,106.943641,47.924539,Хүн амын нягтрал хэтэрсэн байршил
1415465,,,Polygon,106.948523,47.918862,Хүн амын нягтрал хэтэрсэн байршил
1415466,,,Polygon,106.944403,47.920753,Хүн амын нягтрал хэтэрсэн байршил
1415467,,,Polygon,106.94664,47.922454,Хүн амын нягтрал хэтэрсэн байршил
1415468,,,Polygon,106.961499,47.918924,Хүн амын нягтрал хэтэрсэн байршил
1415469,,,Polygon,106.955716,47.921792,Хүн амын нягтрал хэтэрсэн байршил
1415470,,,Polygon,106.900162,47.90597,Хүн амын нягтрал хэтэрсэн байршил
1415471,,,Polygon,106.879772,47.92371,Хүн амын нягтрал хэтэрсэн байршил
1415472,,,Polygon,106.885726,47.92463,Хүн амын нягтрал хэтэрсэн байршил
1415473,,,Polygon,106.868185,47.919358,Хүн амын нягтрал хэтэрсэн байршил
1415474,,,Polygon,106.868246,47.921103,Хүн амын нягтрал хэтэрсэн байршил
1415475,,,Polygon,106.863861,47.921124,Хүн амын нягтрал хэтэрсэн байршил
1415476,,,Polygon,106.856949,47.919926,Хүн амын нягтрал хэтэрсэн байршил
1415477,,,Polygon,106.88815,47.919773,Хүн амын нягтрал хэтэрсэн байршил
1415478,,,Polygon,106.888375,47.921973,Хүн амын нягтрал хэтэрсэн байршил
1415479,,,Polygon,106.885177,47.920261,Хүн амын нягтрал хэтэрсэн байршил
1415480,,,Polygon,106.882251,47.920177,Хүн амын нягтрал хэтэрсэн байршил
1415481,,,Polygon,106.88388,47.922452,Хүн амын нягтрал хэтэрсэн байршил
1415482,,,Polygon,106.878992,47.922296,Хүн амын нягтрал хэтэрсэн байршил
1415483,,,Polygon,106.87875,47.92098,Хүн амын нягтрал хэтэрсэн байршил
1415484,,,Polygon,106.885615,47.917275,Хүн амын нягтрал хэтэрсэн байршил
1415485,,,Polygon,106.889473,47.916709,Хүн амын нягтрал хэтэрсэн байршил
1415486,,,Polygon,106.872977,47.915878,Хүн амын нягтрал хэтэрсэн байршил
1415487,,,Polygon,106.862833,47.915113,Хүн амын нягтрал хэтэрсэн байршил
1415488,,,Polygon,106.86274,47.91682,Хүн амын нягтрал хэтэрсэн байршил
1415489,,,Polygon,106.868305,47.91589,Хүн амын нягтрал хэтэрсэн байршил
1415490,,,Polygon,106.875617,47.910795,Хүн амын нягтрал хэтэрсэн байршил
1415491,,,Polygon,106.880784,47.913618,Хүн амын нягтрал хэтэрсэн байршил
