id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Нэр
11202,,,Point,106.912516,47.902048,Спорт комплекс,НБТСГ-ын спорт цогцолбор
11203,,,Point,106.883528,47.925338,Спорт комплекс,БГД-ийн спорт цогцолбор
11204,,,Point,106.863669,47.919375,Спорт комплекс,БГД-ийн усан бассейн
11205,,,Point,106.736385,47.93899,Спорт комплекс,СХД-ийн спорт цогцолбор
11206,,,Point,106.906464,47.936285,Спорт комплекс,ЧД-ийн спорт цогцолбор
11207,,,Point,107.117081,47.878865,Спорт комплекс,БЗД-ийн спорт цогцолбор
11208,,,Point,106.969902,47.915138,Спорт комплекс,БЗД-ийн усан бассейн
11209,,,Point,106.924882,47.927017,Спорт комплекс,СБД-ийн мөсөн гулгуурын байгууламж
11210,,,Point,106.921908,47.926011,Спорт комплекс,СБД-ийн спорт цогцолбор
11211,,,Point,106.832075,47.912976,Спорт комплекс,СХД-ийн усан бассейн
11212,,,Point,106.804902,47.858578,Спорт комплекс,ХУД-ийн өвлийн спорт цогцолбор
11213,,,Point,106.762417,47.85966,Спорт комплекс,Усан спорт сургалтын төв
11214,,,Point,106.909091,47.919537,Спорт комплекс,ЧД-ийн мөсөн гулгуурын байгууламж
11215,,,Point,106.873571,47.923046,Спорт комплекс,Сүлдэр фитнес
11216,,,Point,106.879472,47.925245,Спорт комплекс,Mister gym фитнес
11217,,,Point,106.888147,47.923495,Спорт комплекс,Ритм бүжгийн клуб
11218,,,Point,106.862187,47.921825,Спорт комплекс,Говь цогцолбор фитнес
11219,,,Point,106.880497,47.91028,Спорт комплекс,Жудо заал
11220,,,Point,106.86645,47.922003,Спорт комплекс,Хавай фитнес
11221,,,Point,106.882462,47.912742,Спорт комплекс,GB town фитнес
11222,,,Point,106.899864,47.907173,Спорт комплекс,Тор фитнес
11223,,,Point,106.87814,47.92307,Спорт комплекс,Golden gym фитнес
11224,,,Point,106.86111,47.912783,Спорт комплекс,Чингэс фитнес
11225,,,Point,106.879442,47.913452,Спорт комплекс,Grease фитнес
11226,,,Point,106.86648,47.914471,Спорт комплекс,Пирамид фитнес
11227,,,Point,106.897427,47.922552,Спорт комплекс,Чөлөөт бөхийн арслан клуб
11228,,,Point,106.863431,47.914179,Спорт комплекс,Дартс клуб
11229,,,Point,106.891327,47.91881,Спорт комплекс,NEW STAR фитнес клуб
11230,,,Point,106.889829,47.92073,Спорт комплекс,GSD фитнес
11231,,,Point,106.874872,47.923956,Спорт комплекс,UB dance бүжгийн клуб
11232,,,Point,106.874726,47.922298,Спорт комплекс,Ирмүүн фүлс фитгес
11233,,,Point,106.874917,47.923843,Спорт комплекс,DACO center фитнес
11234,,,Point,106.890186,47.920798,Спорт комплекс,California фитнес
11235,,,Point,106.877041,47.92021,Спорт комплекс,Олимп таеквондо клуб
11236,,,Point,106.928379,47.905839,Спорт комплекс,Pearl фитнес
11237,,,Point,106.933003,47.905609,Спорт комплекс,Хар ирвэс
11238,,,Point,106.936731,47.903985,Спорт комплекс,Олимп
11239,,,Point,106.941565,47.905092,Спорт комплекс,"Пит лаке, бассейн"
11240,,,Point,106.941761,47.910055,Спорт комплекс,Family фитнес
11241,,,Point,106.942076,47.912838,Спорт комплекс,Экозон фитнес
11242,,,Point,106.943983,47.91246,Спорт комплекс,Чийрэг монгол фитнес
11243,,,Point,106.944327,47.914591,Спорт комплекс,Дельта д3 фитнес
11244,,,Point,106.945849,47.91767,Спорт комплекс,Эрч фитнес
11245,,,Point,106.948798,47.91642,Спорт комплекс,Дельта фитнес
11246,,,Point,106.97963,47.923487,Спорт комплекс,4-н хүчтэн
11247,,,Point,106.985624,47.919902,Спорт комплекс,Агора фитнес
11248,,,Point,106.951822,47.918085,Спорт комплекс,Монгол хүчтэн фитнес
11249,,,Point,106.945747,47.920332,Спорт комплекс,Голден жим
11250,,,Point,106.947318,47.92214,Спорт комплекс,Есөн шигтгээ фитнес
11251,,,Point,106.935599,47.924685,Спорт комплекс,GS фитнес төв
11252,,,Point,106.817517,47.917791,Спорт комплекс,My фитнес
11253,,,Point,106.950165,47.918086,Спорт комплекс,Хангарьд фитнес
11254,,,Point,106.931019,47.901902,Спорт комплекс,"Энканто фитнес, бассейн"
11255,,,Point,106.958228,47.918283,Спорт комплекс,Lukcy's gim фитнес
11256,,,Point,106.940897,47.915818,Спорт комплекс,Хархорум фитнес
11257,,,Point,106.941903,47.918294,Спорт комплекс,Шинобу фитнес
11258,,,Point,106.933925,47.921841,Спорт комплекс,California фитнес
11259,,,Point,106.967653,47.915676,Спорт комплекс,БЗД-ийн татварын хэлтэс
11260,,,Point,106.933345,47.917592,Спорт комплекс,Ширэн бээлий фитнес
11261,,,Point,106.964574,47.921925,Спорт комплекс,УСУГ спорт цогцолбор
11262,,,Point,106.936407,47.902141,Спорт комплекс,Спорт цогцолбор
11263,,,Point,106.94052,47.921887,Спорт комплекс,Усан бассейн бүхий спорт заал
11264,,,Point,106.947553,47.91716,Спорт комплекс,Плеханова усан бассейн
11265,,,Point,106.931635,47.915222,Спорт комплекс,БЗД-ийн усан спорт сургалтын төв
11266,,,Point,106.942711,47.907022,Спорт комплекс,"Тэмүүлэл спорт төв, Зулаа Акуа Фитнесс"
11267,,,Point,106.933832,47.922332,Спорт комплекс,Акуа усан спортын төв
