id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Архитектур төлөвлөлтийн даалгаврын дугаар,Дүүрэг,Хороо,Хаягийн бүс,Гудамж
358358,ТШУ1327968000006,,Polygon,106.898836,47.902667,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
358906,ТШУ1647875694001,10кВ-ын цахилгааны кабель шугам,MultiPolygon,106.742938,47.850862,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
359947,ТШУ1517844028001,Улаанбаатар-Мандалговь 330кВ ЦДАШ,Polygon,106.551252,47.837835,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
361518,ТШУ1647510363001,Хөрсний ус доошлуулах шүүрүүлийн байгууламжийн ажи,MultiPolygon,106.898334,47.897483,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
361765,ТШУ1470335390002,Борооны ус зайлуулах гол шугам,Polygon,106.936097,47.887554,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
362149,ТШУ1497627653001,Бохир усны шугам,Polygon,106.913432,47.896812,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
362591,ТШУ1647872364001,Цэвэр усны шугам,Polygon,106.731107,47.847511,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
362881,ТШУ1604394677001,Дулааны шугам,Polygon,106.792873,47.846763,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
362882,ТШУ1604397063001,Дэд өртөөний барилга,Polygon,106.901175,47.902773,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
362956,ТШУ1648118249001,Усан сангийн барилга,Polygon,106.705403,47.840251,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
363509,ТШУ1648112680001,Холбооны шугам,Polygon,106.741322,47.849574,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
363623,ТШУ1470338421003,Борооны усны гол магистраль шугам,Polygon,106.896432,47.895296,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
363846,ТШУ1561453578001,Бохир усны шугам,Polygon,106.903084,47.867772,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
363855,ТШУ1497627604001,Цэвэр усны шугам,Polygon,106.913676,47.896836,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
364310,ТШУ1646222227001,Буянт-Ухаа хорооллын бохир усны шугам,Polygon,106.780543,47.845535,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
364957,ТШУ1648477296001,Усан сан,Polygon,106.733863,47.833349,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
365526,ТШУ1539096399001,Цэвэр усны шугам,Polygon,106.863255,47.892015,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
365737,ТШУ1647879116001,Ариутгах татуурга,Polygon,106.72842,47.848163,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
365767,ТШУ1327968000007,,Polygon,106.898836,47.902667,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
365803,ТШУ1647879818001,Хуваарилах байгууламж-РП,Polygon,106.719113,47.840581,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
366499,ТШУ1647871123001,Усан сан,Polygon,106.705237,47.840107,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
367563,ТШУ1658751254001,Аритгах татуурга,Polygon,106.74313,47.848053,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
368174,ТШУ1658422145001,Хөгжлийн үүд төслийн үерийн далан суваг,Polygon,106.719839,47.842714,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
369288,ТШУ1661788853001,Үерийн хамгаалалтын суваг,Polygon,106.784258,47.841586,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
369431,ТШУ1660557914001,Ус Дулаан дамжуулах төв,Polygon,106.915774,47.895906,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
369472,ТШУ1655121679001,Бохир усны шугам,Polygon,106.897744,47.898759,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
370225,ТШУ1415702013001,Их тойрог ЦДАШ,Polygon,106.695961,47.82117,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
371131,ТШУ1600094005001,Ус дулаан дамжуулах төв,Polygon,106.756804,47.8567,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
371507,ТШУ1659709344001,Нэвтрэх суваг,Polygon,106.740839,47.845133,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
371953,ТШУ1455790199003,Туул-1 коллектор,Polygon,106.922925,47.908065,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
372386,ТШУ1404743915001,Зайсан бохирын шугам,Polygon,106.910547,47.880447,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
372525,ТШУ1655485289001,Дулааны шугам,Polygon,106.745917,47.852331,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
372681,ТШУ1658751148001,Цэвэр усны шугам,Polygon,106.741825,47.84995,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
372988,ТШУ1627571577001,Ус зайлуулах шугам сүлжээ,Polygon,106.92964,47.898102,,,,,,
372990,ТШУ1628096674001,Дулааны шугам,Polygon,106.927196,47.907057,,,,,,
373423,ТШУ1528118748001,,MultiPolygon,106.804943,47.851894,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
373426,ТШУ1528118802001,,Polygon,106.861173,47.882723,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
373975,ТШУ1455790199004,Туул-1 коллектор,Polygon,106.922925,47.908065,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
374053,ТШУ1647879425001,Ариутгах татуургын насос станц,MultiPolygon,106.722549,47.849439,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
375610,ТШУ1484299813002,Сэлбэ дэд төвийн бохир усны шугам,Polygon,106.921221,47.970453,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
384822,ТШУ1484299713001,Сэлбэ дэд төвийн бохир усны шугам,MultiPolygon,106.920584,47.961819,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
388421,ТШУ1454403272004,"Цэвэр усны  шугам Ф900мм шугам, 4215м",Polygon,106.919172,47.929148,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
388743,ТШУ1523952622001,,Polygon,106.918871,47.971957,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
389758,ТШУ1473846228001,Ус хангамжийн шугам,Polygon,106.914646,47.938596,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
390459,ТШУ1526649483004,Сэлбэ дэд төв,Polygon,106.91912,47.967371,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
390555,ТШУ1523952682001,,Polygon,106.921306,47.963305,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
393355,ТШУ1404488780002,Зүүн  сэлбэ бохир усны коллектор,Polygon,106.931869,47.908478,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
393660,ТШУ1454404776002,Бохир усны шугам Ф600мм-1684м,Polygon,106.916624,47.929158,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
393958,ТШУ1493904972003,"Боомт бүхий тунгаагуур, усан сан",Polygon,106.927048,47.942243,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
394084,ТШУ1484301075001,Баянхошуу дэд төвийн бохир усны шугам,Polygon,106.829484,47.953915,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
394613,ТШУ1473846239001,Ариутгах татуургын шугам,Polygon,106.912832,47.937124,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
394771,ТШУ1458820436001,Ус хангамжийн шугам,Polygon,106.819749,47.921821,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
394775,ТШУ1462182449001,Тоб групп - Дулааны шугам,Polygon,106.851814,47.95459,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
397458,ТШУ1415701493002,Их тойруу ЦДАШ,Polygon,106.931236,47.958456,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
400039,ТШУ1523952565001,,Polygon,106.918435,47.973398,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
401055,ТШУ1446477425001,Цэлмэг Ази ХХК ГХДТ-н холбооны шугам 4-6 яндантай,Polygon,106.928266,47.97758,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
403057,ТБА181461073886000,"110 кВ-н цахилгаан дамжуулах агаарын шугам, 110/35",Polygon,106.596516,47.856952,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,2016/08-05,Сонгинохайрхан,32-р хороо,361-ын гарам /18410/,
403659,ТШУ1462180770001,"""Тоб групп"" ХХК - Бохир усны шугам",Polygon,106.846928,47.955393,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
403702,ТШУ1523952656001,,Polygon,106.919328,47.968212,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
403704,ТШУ1523952719001,,Polygon,106.920803,47.958857,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
405338,ТШУ1415702981002,,Polygon,106.802851,47.970056,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
406787,ТШУ1565801762001,,Polygon,106.920282,47.976273,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
409878,ТШУ1462181948001,Тоб групп - Цэвэр усны шугам,Polygon,106.850829,47.954597,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
410067,ТШУ1484301013001,Баянхошуу дэд төвийн бохир усны шугам,Polygon,106.835322,47.959469,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,Сонгинохайрхан,"9-р хороо, 10-р хороо",Баянхошуу-1 /18010/,Баянхошууны гудамж
412270,ТШУ1556104434001,Дэд бүтцийн төвийн бохир усны шугам,Polygon,106.950573,47.986647,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
412640,ТШУ1532594509002,,Polygon,106.784982,47.887804,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
414729,ТШУ1566468343001,,Polygon,106.860678,47.88056,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
418051,ТШУ1408637377001,Үерийн далан суваг,Polygon,106.746541,47.916353,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
420548,ТШУ1556104544001,Дэд бүтцийн төвийн цэвэр усны шугам,Polygon,106.957597,47.991943,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
420815,ТШУ1404749088001,Толгойт коллектор,Polygon,106.780414,47.912817,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
421155,ТШУ1179964800001,ТП,Polygon,106.897148,47.911169,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
421721,ТШУ1594135530001,Цэвэр усны шугам,Polygon,106.908946,47.933254,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
422571,ТШУ1565802508001,,Polygon,106.91998,47.951432,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
424876,ТШУ1603474096001,Сэлбэ дэд төвийн дулааны шугам,Polygon,106.919328,47.965105,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
426560,ТШУ1600357976001,Гадна холбоо,Polygon,106.90307,47.914463,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
427113,ТШУ1600357740001,Борооны ус зайлуулах шугам,Polygon,106.902705,47.914795,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
427733,ТШУ1599748217001,Дулааны шугам,Polygon,106.92499,47.931056,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
428975,ТШУ1627915135001,ХӨРСНИЙ УС ЗАЙЛУУЛАХ ШУГАМ СҮЛЖЭЭ,Polygon,106.925324,47.97399,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
429328,ТШУ1415702013002,Их тойрог ЦДАШ,Polygon,106.599788,47.856763,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
432140,ТШУ1517844028002,Улаанбаатар-Мандалговь 330кВ ЦДАШ,Polygon,106.593704,47.858785,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
432148,ТШУ1548269347001,"Хайрханы 1 дүгээр гудамж, үерийн усны далан дээгүү",Polygon,106.847872,47.917219,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
432164,ТШУ1594135114001,Бохир усны шугам,MultiPolygon,106.914816,47.930318,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
432860,ТШУ1600355672001,Дулааны шугам,Polygon,106.90303,47.914773,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
433099,ТШУ1641228157001,Ариутгах татуургын шугам,Polygon,106.985334,48.027042,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
434069,ТШУ1599747653001,10 кВ-ын цахилгааны кабель шугам,Polygon,106.925204,47.934661,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
434071,ТШУ1599756148001,Гадна холбоо,Polygon,106.926177,47.932243,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
434533,ТШУ1594134673001,Дулааны шугам,MultiPolygon,106.906819,47.932706,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
435530,ТШУ1545836793003,Дулааны шугам,Polygon,106.841907,47.914145,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
435724,ТШУ1600357648001,Бохир усны шугам,Polygon,106.902911,47.914472,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
436507,ТШУ1408637377002,Үерийн далан суваг,Polygon,106.731667,47.935944,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
437256,ТШУ1455891025002,Ариутгах татуургын шугам,Polygon,106.854437,47.913354,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
437667,ТШУ1404808552001,Үерийн далан,Polygon,106.829707,47.961059,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
437922,ТШУ1594135667001,10кВын ЦДКШ,Polygon,106.909922,47.932736,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
439798,ТШУ1599748570001,Ариутгах татуургын шугам,Polygon,106.92576,47.931393,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
440192,ТШУ1455790199005,Туул-1 коллектор,Polygon,106.776448,47.901835,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
442394,ТШУ1627570366001,Дулааны шугам,Polygon,106.932187,47.97849,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
443006,ТШУ1526470950003,,Polygon,106.839597,47.917745,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
444097,ТШУ1428313572001,Үерийн усны барилга байгууламж,Polygon,106.816814,47.942603,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
445069,ТШУ1552997755001,Дулааны төв шугам,Polygon,106.831804,47.95518,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
445485,ТШУ1648205292001,6и төв магистраль шугамтай холбосон дулаан шугам,Polygon,106.913163,47.933474,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
446032,ТШУ1558610877001,Цэвэр усны шугам,MultiPolygon,106.827576,47.957601,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
447420,ТШУ1430750125001,Үерийн далан суваг,Polygon,106.695636,47.885712,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
447440,ТШУ1651158903001,"Дулаан, цэвэр усны шугам",MultiPolygon,106.968867,47.998273,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
450005,ТШУ1663585115001,Сэлбэ голын урсац тохируулгын усан сан,Polygon,106.879805,48.164663,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
450199,ТШУ1564653064001,Үерийн хамгаалалтын барилга байгууламж,Polygon,106.635197,48.124762,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
451780,ТШУ1648207577001,Дэнжийн 1000 дэд станцаас тэжээгдэж буй дулааны шу,Polygon,106.911237,47.940481,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
454533,ТШУ1580903072001,,Polygon,106.716366,47.894575,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
456692,ТШУ1558546657001,Цэвэр усны шугам,MultiPolygon,106.835041,47.957189,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
457154,ТШУ1430750355001,Үерийн далан суваг,Polygon,106.705371,47.882423,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
457506,ТШУ1585752471001,Үерийн хамгаалалтын далан суваг,Polygon,106.823317,47.85327,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
458467,ТШУ1576576235001,Авто зам,Polygon,106.795566,47.913667,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
459973,ТШУ1573838175001,Үерийн хамгаалалтын далан суваг,MultiPolygon,106.837697,47.961331,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
460323,ТШУ1585751290001,Цэвэр усны шугам,Polygon,106.835009,47.954056,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
460606,ТШУ1585752307001,Үерийн хамгаалалтын далан суваг,Polygon,106.823317,47.85327,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
460693,ТШУ1585655441001,Дулааны шугам,Polygon,106.783075,47.910078,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
460898,ТШУ1586519983001,110/10кВ-ын дэд станц,Polygon,106.816337,47.966561,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
461174,ТШУ1588763766001,Бохир усны шугам,Polygon,106.686903,47.92733,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
461399,ТШУ1566483903001,Голын хамгаалалтын далан,Polygon,106.792576,48.009248,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
461499,ТШУ1496151431001,Цахилгааны шугам,Polygon,106.608398,47.927946,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
461667,ТШУ1570055703001,"Найрамдлын замаас Тахилт хүртэлх авто зам, замын б",Polygon,106.698602,47.957261,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
463731,ТШУ1588763699001,Дулааны шугам,Polygon,106.686963,47.927257,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
