id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Нэр,Тогтоолын дугаар
3845,,,Point,106.951631,47.91967,Соёлын төв,Н.К Рерихийн амьдарч байсан байшин,
3846,,,Point,106.958025,47.917628,Соёлын төв,Анхны европ 2 давхар,
3847,,,Point,106.900774,47.920923,Соёлын төв,Бэтүв хийд,357
3848,,,Point,106.90034,47.921884,Соёлын төв,Гэсэр сүмийн цогцолбор,175
3849,,,Point,106.909453,47.920097,Соёлын төв,Занабазарын нэрэмжит дүрслэх урлагийн музей,
3850,,,Point,106.91496,47.894511,Соёлын төв,"Хүүхдийн хаяг тогтоох, цагаан байр",
3851,,,Point,106.944118,47.899775,Соёлын төв,Үндэсний цэцэрлэгт хүрээлэн,
3852,,,Point,106.915375,47.884152,Соёлын төв,Зайсан толгой,
3853,,,Point,106.911913,47.886057,Соёлын төв,Бурхантай хөшөө,
3854,,,Point,106.916105,47.886658,Соёлын төв,Дайчдын алдар хөшөө,
3855,,,Point,106.959173,47.916035,Соёлын төв,Дарь-Эхийн төв музей,
3856,,,Point,106.953276,47.922602,Соёлын төв,Монгол цэргийн музей,
3857,,,Point,106.922548,47.921765,Соёлын төв,Өргөө кино театр-2,
3858,,,Point,106.874914,47.92332,Соёлын төв,Өргөө кино театр-1,
3859,,,Point,106.904742,47.92275,Соёлын төв,Тэнгис  кино театр,
3860,,,Point,106.919507,47.918612,Соёлын төв,Улсын Дуурь Бүжгийн Эрдмийн театр,
3861,,,Point,106.853273,47.913286,Соёлын төв,Соёмбо кино театр,
3862,,,Point,106.914444,47.914771,Соёлын төв,Улсын эрдмийн драмын театр,
3863,,,Point,106.91954,47.919464,Соёлын төв,Нийслэлийн Соёлын төв өргөө,
3864,,,Point,106.893406,47.91436,Соёлын төв,МҮЭ-ийн Соёлын төв ордон,
3865,,,Point,106.873552,47.916533,Соёлын төв,Улаанбаатар палас,
3866,,,Point,106.907181,47.912003,Соёлын төв,Аса Цирк,
3867,,,Point,106.919404,47.915753,Соёлын төв,976 Арт Галлерей,
3868,,,Point,106.910877,47.887774,Соёлын төв,Кю Арт Галлерей,
3869,,,Point,106.851256,47.880758,Соёлын төв,Цагаан Дариум Галлерей-2,
3870,,,Point,106.913852,47.894497,Соёлын төв,Богд хааны сэрүүн ордон,
3871,,,Point,106.91822,47.915256,Соёлын төв,Чойжин ламын сүм музей,
3872,,,Point,106.9074,47.920276,Соёлын төв,Арт хаус галлерей,
3873,,,Point,106.921006,47.927288,Соёлын төв,Дашчойлон хийд,
3874,,,Point,106.934807,47.918307,Соёлын төв,Утасны хороо буюу музей,
3875,,,Point,106.959173,47.916035,Соёлын төв,Дарь Эхийн төв музей,
3876,,,Point,106.995234,47.906743,Соёлын төв,Жанжны клубын соёлын ордон,
3877,,,Point,106.917845,47.914236,Соёлын төв,Ханаду галлерей,
3878,,,Point,106.920503,47.915241,Соёлын төв,Улс төрийн хилс хэргээр хэлмэгдэгсэдийн музей,
3879,,,Point,106.921758,47.92206,Соёлын төв,Блүй Мүүн арт галерей,
3880,,,Point,106.909587,47.913889,Соёлын төв,Чинван Ханддоржийн музей,
3881,,,Point,106.906399,47.918977,Соёлын төв,М Театр,
3882,,,Point,106.921599,47.918663,Соёлын төв,Тусгаар тогтнолын ордон театр,
3883,,,Point,106.914655,47.914618,Соёлын төв,Хүүхэлдэйн театр,
3884,,,Point,106.919555,47.919756,Соёлын төв,МОнгол улсын Филармони,
3885,,,Point,106.934672,47.892611,Соёлын төв,Маршал Арт Галлерей,
3886,,,Point,106.761087,47.852029,Соёлын төв,Буянт-Ухаа Спорт ордон,
3887,,,Point,106.921087,47.919829,Соёлын төв,Монголын Уран зургийн галерей,
3888,,,Point,106.912919,47.911378,Соёлын төв,Сувд галерей,
3889,,,Point,106.915852,47.912015,Соёлын төв,Түмэн–Эх чуулга,
3890,,,Point,106.885183,47.915142,Соёлын төв,"Төмөр замын дуу, бүжгийн чуулга",
3891,,,Point,106.951657,47.923072,Соёлын төв,Хилийн Цэргийн дуу бүжгийн “Хилчин” чуулга,
3892,,,Point,106.916039,47.912744,Соёлын төв,Монголын хүүхдийн ордон,
3893,,,Point,106.903849,47.914137,Соёлын төв,Улаан гэр арт галерей,
3894,,,Point,106.914219,47.925192,Соёлын төв,Гламур арт галерей,
3895,,,Point,106.930467,47.908428,Соёлын төв,valliant art галерей,
3896,,,Point,106.900049,47.92317,Соёлын төв,Түвдэнпэлжээлин хийд,2008
