id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Архитектур орон зайн бүс,Нэр
77140,,,Polygon,106.782099,47.868123,Хамгаалалтын бүс,Хамгаалалтын бүс,Хамгаалалтын ногоон бүс
77142,,,Polygon,106.645286,47.901433,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77143,,,Polygon,106.779555,47.872717,Ногоон байгууламж,Ногоон байгууламж,Ногоон байгууламж
77145,,,Polygon,106.81331,47.868727,Орон сууцны хороолол,Орон сууцны хороолол,Орон сууц
77147,,,Polygon,106.813491,47.867333,Хотын хөгжлийн тэнхлэг,Хотын хөгжлийн тэнхлэг,Хөгжлийн тэнхлэг
77148,,,Polygon,106.824186,47.870475,Хотын хөгжлийн тэнхлэг,Хотын хөгжлийн тэнхлэг,Хөгжлийн тэнхлэг
77150,,,Polygon,106.821263,47.871172,Орон сууцны хороолол,Орон сууцны хороолол,Орон сууц
77152,,,Polygon,106.817495,47.871448,Орон сууцны хороолол,Орон сууцны хороолол,Орон сууц
77153,,,Polygon,106.842382,47.875376,Орон сууцны хороолол,Орон сууцны хороолол,Хөгжлийн тэнхлэг
77155,,,Polygon,106.920194,47.950262,Орон сууцны хороолол,Орон сууцны хороолол,Орон сууц
77157,,,Polygon,106.921664,47.948744,Орон сууцны хороолол,Орон сууцны хороолол,Орон сууц
77158,,,Polygon,106.923092,47.950406,Орон сууцны хороолол,Орон сууцны хороолол,Орон сууц
77160,,,Polygon,106.923256,47.948526,Орон сууцны хороолол,Орон сууцны хороолол,Орон сууц
77162,,,Polygon,106.916266,47.949957,Орон сууцны хороолол,Орон сууцны хороолол,Хөгжлийн тэнхлэг
77163,,,Polygon,106.914896,47.948258,Хотын хөгжлийн тэнхлэг,Хотын хөгжлийн тэнхлэг,Хөгжлийн тэнхлэг
77165,,,Polygon,106.914916,47.945842,Хотын хөгжлийн тэнхлэг,Хотын хөгжлийн тэнхлэг,Хөгжлийн тэнхлэг
77167,,,Polygon,106.94445,47.943299,Ногоон байгууламж,Ногоон байгууламж,Амралт аялал жуулчлал
77169,,,Polygon,106.951375,47.944678,Ногоон байгууламж,Ногоон байгууламж,Амралт аялал жуулчлал
77170,,,Polygon,106.94766,47.943578,Хамгаалалтын бүс,Хамгаалалтын бүс,Хамгаалалтын ногоон бүс
77172,,,Polygon,106.94769,47.943541,Хамгаалалтын бүс,Хамгаалалтын бүс,Ногоон байгууламж
77174,,,Polygon,106.960061,47.940792,Ногоон байгууламж,Ногоон байгууламж,Амралт аялал жуулчлал
77175,,,Polygon,106.950431,47.937546,Сайжруулсан гэр хороолол,Сайжруулсан гэр хороолол,Гэр хороолол
77177,,,Polygon,106.807029,47.862213,Хотын хөгжлийн тэнхлэг,Хотын хөгжлийн тэнхлэг,Хөгжлийн тэнхлэг
77179,,,Polygon,107.046019,47.88903,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77180,,,Polygon,106.945652,47.938913,Ногоон байгууламж,Ногоон байгууламж,Амралт аялал жуулчлал
77182,,,Polygon,106.971453,47.938349,Ногоон байгууламж,Ногоон байгууламж,Ногоон байгууламж
77184,,,Polygon,107.074908,47.916564,"Хотын төв, олон нийтийн төв","Хотын төв, олон нийтийн төв",Орон сууц
77185,,,Polygon,107.067236,47.916438,Орон сууцны хороолол,Орон сууцны хороолол,Орон сууц
77187,,,Polygon,107.058078,47.916285,Орон сууцны хороолол,Орон сууцны хороолол,Орон сууц
77189,,,Polygon,107.053441,47.915899,Хамгаалалтын бүс,Хамгаалалтын бүс,Орон сууц
77191,,,Polygon,107.062715,47.920825,Ногоон байгууламж,Ногоон байгууламж,Ногоон байгууламж
77192,,,Polygon,107.079551,47.925802,Сайжруулсан гэр хороолол,Сайжруулсан гэр хороолол,Гэр хороолол
77194,,,Polygon,107.080986,47.922537,Ногоон байгууламж,Ногоон байгууламж,Ногоон байгууламж
77196,,,Polygon,107.081868,47.921165,Хамгаалалтын бүс,Хамгаалалтын бүс,Гэр хороолол
77197,,,Polygon,106.808043,47.860586,Ажил хэргийн төв,Ажил хэргийн төв,Ажил хэрэг олон нийт
77199,,,Polygon,106.826739,47.895486,Ногоон байгууламж,Ногоон байгууламж,Хамгаалалтын ногоон бүс
77201,,,Polygon,107.097656,47.920119,Ногоон байгууламж,Ногоон байгууламж,Задгай ногоон байгууламж
77202,,,Polygon,107.13347,47.924082,Хамгаалалтын бүс,Хамгаалалтын бүс,Орон сууц
77204,,,Polygon,107.156519,47.930438,Хамгаалалтын бүс,Хамгаалалтын бүс,Холимог бүс
77206,,,Polygon,107.157861,47.930404,Хамгаалалтын бүс,Хамгаалалтын бүс,Холимог бзс
77207,,,Polygon,107.132513,47.922142,Хамгаалалтын бүс,Хамгаалалтын бүс,Ногоон байгууламж
77209,,,Polygon,107.120731,47.918819,Хамгаалалтын бүс,Хамгаалалтын бүс,Ногоон байгууламж
77211,,,Polygon,107.103241,47.916034,Хамгаалалтын бүс,Хамгаалалтын бүс,Ногоон байгууламж
77212,,,Polygon,107.044049,47.919897,Ногоон байгууламж,Ногоон байгууламж,Амралт аялал жуулчлал
77214,,,Polygon,106.89586,47.877105,Тусгай бүс,Тусгай бүс,Задгай ногоон байгууламж
77216,,,Polygon,106.792752,47.849333,Ногоон байгууламж,Ногоон байгууламж,Амралт аялал жуулчлал
77217,,,Polygon,106.966077,47.989793,Орон сууцны хороолол,Орон сууцны хороолол,Гэр хороолол
77219,,,Polygon,107.12823,47.856836,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77221,,,Polygon,107.128814,47.857166,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77222,,,Polygon,107.127125,47.857507,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77224,,,Polygon,107.12781,47.857774,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77226,,,Polygon,107.12492,47.859229,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77227,,,Polygon,107.125403,47.859612,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77229,,,Polygon,107.113751,47.86472,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77231,,,Polygon,107.114164,47.865155,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77232,,,Polygon,107.094219,47.873943,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77234,,,Polygon,107.094828,47.874283,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77236,,,Polygon,107.062483,47.885682,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77237,,,Polygon,107.057145,47.886869,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77239,,,Polygon,107.05697,47.886891,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77241,,,Polygon,107.056785,47.886915,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77243,,,Polygon,107.056611,47.886941,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77244,,,Polygon,107.056434,47.886968,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77246,,,Polygon,107.056298,47.886991,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77248,,,Polygon,107.057496,47.887228,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77249,,,Polygon,107.057274,47.887252,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77251,,,Polygon,107.057108,47.887272,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77253,,,Polygon,107.056932,47.887294,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77254,,,Polygon,107.056767,47.887318,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77256,,,Polygon,107.056598,47.887344,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77258,,,Polygon,107.062863,47.886153,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77259,,,Polygon,107.054164,47.887293,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77261,,,Polygon,107.052206,47.887958,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77263,,,Polygon,107.051669,47.88826,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77264,,,Polygon,107.046634,47.888994,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77266,,,Polygon,107.046537,47.888999,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77268,,,Polygon,107.046388,47.889006,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77269,,,Polygon,107.046235,47.889015,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77271,,,Polygon,107.048859,47.888795,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77273,,,Polygon,107.045114,47.889394,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77274,,,Polygon,107.050394,47.888545,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77276,,,Polygon,106.641677,47.899666,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77278,,,Polygon,106.641694,47.899706,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77280,,,Polygon,106.641713,47.899746,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77281,,,Polygon,106.641732,47.899786,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77283,,,Polygon,106.641753,47.899826,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77285,,,Polygon,106.641775,47.899865,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77286,,,Polygon,106.641797,47.899904,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77288,,,Polygon,106.641821,47.899943,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
