id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Хаягийн бүс,Хаягийн бүсийн код
93152,18181,Баянголын ам-2,Polygon,106.731013,47.947335,Бүсчлэлийн код /Зип код/,Баянголын ам-2,18181
93154,18173,Орбит-4,Polygon,106.732377,47.918156,Бүсчлэлийн код /Зип код/,Орбит-4,18173
93155,18193,Баянголын ам-8,Polygon,106.702316,47.995859,Бүсчлэлийн код /Зип код/,Баянголын ам-8,18193
93156,18230,Овоот тосгон,Polygon,106.728527,48.000304,Бүсчлэлийн код /Зип код/,Овоот тосгон,18230
93157,18200,Цагаан бургас,Polygon,106.702384,48.090168,Бүсчлэлийн код /Зип код/,Цагаан бургас,18200
93158,18520,Тусгалтын ам,Polygon,106.437324,48.205621,Бүсчлэлийн код /Зип код/,Тусгалтын ам,18520
93159,18120,Ар гүнт,Polygon,106.762467,48.096966,Бүсчлэлийн код /Зип код/,Ар гүнт,18120
93160,18217,335-ын гарам,Polygon,106.699739,48.207213,Бүсчлэлийн код /Зип код/,335-ын гарам,18217
93161,18220,Найрамдал-1,Polygon,106.728351,48.006618,Бүсчлэлийн код /Зип код/,Найрамдал-1,18220
93162,18221,Найрамдал-2,Polygon,106.732392,48.012773,Бүсчлэлийн код /Зип код/,Найрамдал-2,18221
93164,18224,Найрамдал-5,Polygon,106.727156,48.01564,Бүсчлэлийн код /Зип код/,Найрамдал-5,18224
93165,18225,Найрамдал-6,Polygon,106.729276,48.023094,Бүсчлэлийн код /Зип код/,Найрамдал-6,18225
93166,18240,Тахилт-1,Polygon,106.703608,47.926816,Бүсчлэлийн код /Зип код/,Тахилт-1,18240
93167,18105,Толгойт-6,Polygon,106.788099,47.94153,Бүсчлэлийн код /Зип код/,Толгойт-6,18105
93168,13374,13-р хороолол 2-5,Polygon,106.932768,47.910134,Бүсчлэлийн код /Зип код/,13-р хороолол 2-5,13374
93169,18501,Суурьшилгүй бүс,Polygon,106.575585,48.20853,Бүсчлэлийн код /Зип код/,Суурьшилгүй бүс,18501
93170,18312,Таширын ам,Polygon,106.598078,48.033768,Бүсчлэлийн код /Зип код/,Таширын ам,18312
93171,18440,369-ын гарам,Polygon,106.545501,47.937346,Бүсчлэлийн код /Зип код/,369-ын гарам,18440
93172,18410,361-ын гарам,MultiPolygon,106.580175,47.975232,Бүсчлэлийн код /Зип код/,361-ын гарам,18410
93174,18390,Рашаант тосгон,Polygon,106.556066,48.001603,Бүсчлэлийн код /Зип код/,Рашаант тосгон,18390
93175,16052,2-р хороолол-3,Polygon,106.877732,47.911931,Бүсчлэлийн код /Зип код/,2-р хороолол-3,16052
93176,18470,Дунд дүүрэн ам,Polygon,106.503673,48.110018,Бүсчлэлийн код /Зип код/,Дунд дүүрэн ам,18470
93177,18310,Шар цэцэгт,Polygon,106.660832,47.990624,Бүсчлэлийн код /Зип код/,Шар цэцэгт,18310
93178,18300,"Хуст уул, Тахилт уул",Polygon,106.621294,48.058598,Бүсчлэлийн код /Зип код/,"Хуст уул, Тахилт уул",18300
93179,18290,Шижир,Polygon,106.653579,48.04669,Бүсчлэлийн код /Зип код/,Шижир,18290
93180,18280,Бурхант,Polygon,106.6617,48.091653,Бүсчлэлийн код /Зип код/,Бурхант,18280
93181,16051,2-р хороолол-2,Polygon,106.888973,47.911856,Бүсчлэлийн код /Зип код/,2-р хороолол-2,16051
93182,18341,Баруун туруун-2,Polygon,106.62373,47.930459,Бүсчлэлийн код /Зип код/,Баруун туруун-2,18341
93184,18330,Тарвагатайн урд ам,Polygon,106.615304,48.149662,Бүсчлэлийн код /Зип код/,Тарвагатайн урд ам,18330
93185,18320,Зүүн туруун,Polygon,106.652729,47.940009,Бүсчлэлийн код /Зип код/,Зүүн туруун,18320
93186,18380,Аюушийн ам,Polygon,106.592762,48.135045,Бүсчлэлийн код /Зип код/,Аюушийн ам,18380
93187,18420,Хурганы аж ахуй,Polygon,106.591978,47.861323,Бүсчлэлийн код /Зип код/,Хурганы аж ахуй,18420
93188,17130,28-р хороолол,Polygon,106.754902,47.83505,Бүсчлэлийн код /Зип код/,28-р хороолол,17130
93189,18260,Хустайн ам,Polygon,106.696763,47.987833,Бүсчлэлийн код /Зип код/,Хустайн ам,18260
