id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Хэсэгчилсэн ерөнхий төлөвлөгөөний нэр,Батлагдсан дугаар,Дүүрэг,Хороо,Хаягийн бүс
32601,,,Polygon,106.910193,47.934434,Дахин төлөвлөлтийн хэсэгчилсэн талбайн хил,Орон сууцны 7-р хорооллийн ХЕТ,7.29,,,
32602,,,Polygon,106.911352,47.930826,Дахин төлөвлөлтийн хэсэгчилсэн талбайн хил,Орон сууцны 7-р хорооллийн ХЕТ,А/635,,,
32603,,,Polygon,106.915117,47.93188,Дахин төлөвлөлтийн хэсэгчилсэн талбайн хил,Орон сууцны 7-р хорооллийн ХЕТ,А/465,,,
32604,,,Polygon,106.914769,47.934064,Дахин төлөвлөлтийн хэсэгчилсэн талбайн хил,Орон сууцны 7-р хорооллийн ХЕТ,7.29,,,
32605,,,Polygon,106.914342,47.936028,Дахин төлөвлөлтийн хэсэгчилсэн талбайн хил,Орон сууцны 7-р хорооллийн ХЕТ,7.29,,,
32606,,,Polygon,106.914083,47.938441,Дахин төлөвлөлтийн хэсэгчилсэн талбайн хил,Орон сууцны 7-р хорооллийн ХЕТ,А/234,,,
32607,,,Polygon,108.372409,47.793166,Дахин төлөвлөлтийн хэсэгчилсэн талбайн хил,Залуус хороолол орчмын ХЕТ,7.29,,,
32608,,,Polygon,108.372245,47.790981,Дахин төлөвлөлтийн хэсэгчилсэн талбайн хил,Залуус хороолол орчмын ХЕТ,7.29,,,
32609,,,Polygon,106.929441,47.931476,Дахин төлөвлөлтийн хэсэгчилсэн талбайн хил,Орон сууцны 7-р хорооллийн ХЕТ,7.29,,,
32610,,,Polygon,106.918286,47.933727,Дахин төлөвлөлтийн хэсэгчилсэн талбайн хил,Орон сууцны 7-р хорооллийн ХЕТ,А/717,,,
32611,,,Polygon,106.92231,47.934029,Дахин төлөвлөлтийн хэсэгчилсэн талбайн хил,Орон сууцны 7-р хорооллийн ХЕТ,А/604,,,
32612,,,Polygon,106.925977,47.93409,Дахин төлөвлөлтийн хэсэгчилсэн талбайн хил,Орон сууцны 7-р хорооллийн ХЕТ,А/635,,,
32613,,,Polygon,106.917682,47.938517,Дахин төлөвлөлтийн хэсэгчилсэн талбайн хил,Орон сууцны 7-р хорооллийн ХЕТ,А/717,,,
32614,,,Polygon,106.83887,47.919412,Дахин төлөвлөлтийн хэсэгчилсэн талбайн хил,СХД-ийн 30-р хороо,А/180,,,
32615,,,Polygon,106.922092,47.936443,Дахин төлөвлөлтийн хэсэгчилсэн талбайн хил,Орон сууцны 7-р хорооллийн ХЕТ,А/604,,,
32616,,,Polygon,106.918015,47.936251,Дахин төлөвлөлтийн хэсэгчилсэн талбайн хил,Орон сууцны 7-р хорооллийн ХЕТ,А/604,,,
32617,,,Polygon,106.922039,47.938447,Дахин төлөвлөлтийн хэсэгчилсэн талбайн хил,Орон сууцны 7-р хорооллийн ХЕТ,А/717,,,
32618,,,Polygon,106.928503,47.935259,Дахин төлөвлөлтийн хэсэгчилсэн талбайн хил,Орон сууцны 7-р хорооллийн ХЕТ,А/494,,,
32619,,,Polygon,106.907402,47.939526,Дахин төлөвлөлтийн хэсэгчилсэн талбайн хил,Дэнжийн 1000 орчмын ХЕТ,А/665,,,
32620,,,Polygon,107.246321,47.774893,Дахин төлөвлөлтийн хэсэгчилсэн талбайн хил,Налайх дүүрэг 7-р хороо,,,,
32621,,,MultiPolygon,106.90254,47.938498,Дахин төлөвлөлтийн хэсэгчилсэн талбайн хил,Дэнжийн 1000 орчмын ХЕТ,А/466,,,
32622,,,Polygon,106.901215,47.935365,Дахин төлөвлөлтийн хэсэгчилсэн талбайн хил,Дэнжийн 1000 орчмын ХЕТ,А/828,,,
32623,,,Polygon,106.949331,47.92626,Дахин төлөвлөлтийн хэсэгчилсэн талбайн хил,Мамба дацан орчмын ХЕТ,А/337,,,
32624,,,Polygon,106.882808,47.932164,Дахин төлөвлөлтийн хэсэгчилсэн талбайн хил,VII бичил хороолол орчмын ХЕТ,А/336,,,
32625,,,Polygon,106.875845,47.928533,Дахин төлөвлөлтийн хэсэгчилсэн талбайн хил,VII бичил хороолол орчмын ХЕТ,А/338,,,
32626,,,Polygon,106.776653,47.91439,Дахин төлөвлөлтийн хэсэгчилсэн талбайн хил,Цэргийн хотхон орчмын ХЕТ,А/414,,,
32627,,,Polygon,106.836218,47.87497,Дахин төлөвлөлтийн хэсэгчилсэн талбайн хил,34-р сургууль орчмийн ХЕТ,А/415,,,
32628,,,Polygon,106.938175,47.930821,Дахин төлөвлөлтийн хэсэгчилсэн талбайн хил,Дарь-Эх орчмын ХЕТ,,,,
32629,,,Polygon,106.933499,47.930621,Дахин төлөвлөлтийн хэсэгчилсэн талбайн хил,Дарь-Эх орчмын ХЕТ,А/829,,,
32630,,,Polygon,106.941002,47.93001,Дахин төлөвлөлтийн хэсэгчилсэн талбайн хил,Мамба дацан орчмын ХЕТ,,,,
32631,,,Polygon,106.946522,47.928842,Дахин төлөвлөлтийн хэсэгчилсэн талбайн хил,Мамба дацан орчмын ХЕТ,,,,
32632,,,Polygon,106.995671,47.90754,Дахин төлөвлөлтийн хэсэгчилсэн талбайн хил,Ботаникийн цэцэрлэгт хүрээлэн орчмын ХЕТ,А/533,,,
32633,,,Polygon,106.998212,47.905875,Дахин төлөвлөлтийн хэсэгчилсэн талбайн хил,Баянзүрх дүүрэг 12-р хороо,,,,
32634,,,Polygon,107.005638,47.906779,Дахин төлөвлөлтийн хэсэгчилсэн талбайн хил,Баянзүрх дүүрэг 12-р хороо,,,,
32635,,,Polygon,106.98799,47.90685,Дахин төлөвлөлтийн хэсэгчилсэн талбайн хил,Баянзүрх дүүрэг 12-р хороо,,,,
32636,,,Polygon,106.988055,47.910806,Дахин төлөвлөлтийн хэсэгчилсэн талбайн хил,Баянзүрх дүүрэг 12-р хороо,,,,
32637,,,Polygon,106.826818,47.92416,Дахин төлөвлөлтийн хэсэгчилсэн талбайн хил,,,,,
32638,,,Polygon,106.977696,47.907602,Дахин төлөвлөлтийн хэсэгчилсэн талбайн хил,Баянзүрх дүүрэг 12-р хороо,,,,
32639,,,Polygon,106.978705,47.91051,Дахин төлөвлөлтийн хэсэгчилсэн талбайн хил,Баянзүрх дүүрэг 12-р хороо,,,,
32640,,,Polygon,106.788046,47.870602,Дахин төлөвлөлтийн хэсэгчилсэн талбайн хил,Хан-Уул дүүрэг 8-р хороо,,,,
