id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Хэсэгчилсэн ерөнхий төлөвлөгөөний нэр,Батлагдсан дугаар,Бүсчлэл,Дүүрэг,Хороо,Хаягийн бүс,Гудамж
545325,,,Polygon,106.947827,47.903875,Орон сууцны бүс,Улаанбаатар хотын төлөвлөлтийн зүүн бүсийн 14 дүгээр нэгж хорооллын хэсэгчилсэн ерөнхий төлөвлөгөө,Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын Тэргүүлэгчдийн 63 дугаар тогтоол,,,,,
545326,,,Polygon,107.004935,47.904452,Орон сууцны бүс,Улаанбаатар хотын төлөвлөлтийн зүүн бүсийн 18 дугаар нэгж хорооллын хэсэгчилсэн ерөнхий төлөвлөгөө,Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын Тэргүүлэгчдийн 63 дугаар тогтоол,,,,,
545327,,,Polygon,107.000413,47.904843,Орон сууцны бүс,Улаанбаатар хотын төлөвлөлтийн зүүн бүсийн 18 дугаар нэгж хорооллын хэсэгчилсэн ерөнхий төлөвлөгөө,Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын Тэргүүлэгчдийн 63 дугаар тогтоол,,,,,
545328,,,Polygon,106.994789,47.905077,Орон сууцны бүс,Улаанбаатар хотын төлөвлөлтийн зүүн бүсийн 18 дугаар нэгж хорооллын хэсэгчилсэн ерөнхий төлөвлөгөө,Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын Тэргүүлэгчдийн 63 дугаар тогтоол,,,,,
545329,,,Polygon,106.993013,47.907493,Орон сууцны бүс,Улаанбаатар хотын төлөвлөлтийн зүүн бүсийн 18 дугаар нэгж хорооллын хэсэгчилсэн ерөнхий төлөвлөгөө,Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын Тэргүүлэгчдийн 63 дугаар тогтоол,,,,,
545330,,,Polygon,106.996683,47.907601,Орон сууцны бүс,Улаанбаатар хотын төлөвлөлтийн зүүн бүсийн 18 дугаар нэгж хорооллын хэсэгчилсэн ерөнхий төлөвлөгөө,Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын Тэргүүлэгчдийн 63 дугаар тогтоол,,,,,
545331,,,Polygon,106.989713,47.906857,Орон сууцны бүс,Улаанбаатар хотын төлөвлөлтийн зүүн бүсийн 18 дугаар нэгж хорооллын хэсэгчилсэн ерөнхий төлөвлөгөө,Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын Тэргүүлэгчдийн 63 дугаар тогтоол,,,,,
545332,,,Polygon,106.980915,47.907484,Орон сууцны бүс,Улаанбаатар хотын төлөвлөлтийн зүүн бүсийн 18 дугаар нэгж хорооллын хэсэгчилсэн ерөнхий төлөвлөгөө,Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын Тэргүүлэгчдийн 63 дугаар тогтоол,,,,,
545333,,,Polygon,106.984801,47.907271,Орон сууцны бүс,Улаанбаатар хотын төлөвлөлтийн зүүн бүсийн 18 дугаар нэгж хорооллын хэсэгчилсэн ерөнхий төлөвлөгөө,Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын Тэргүүлэгчдийн 63 дугаар тогтоол,,,,,
545334,,,Polygon,106.976799,47.907953,Орон сууцны бүс,Улаанбаатар хотын төлөвлөлтийн зүүн бүсийн 18 дугаар нэгж хорооллын хэсэгчилсэн ерөнхий төлөвлөгөө,Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын Тэргүүлэгчдийн 63 дугаар тогтоол,,,,,
