id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Үүсгэн байгуулсан он,Нэр,Хаяг
5342,,,Point,106.966349,47.916059,Их сургууль,1966,Уул уурхайн хүрээлэн,"БЗД, 13-р хороо,Энхтайваны өргөн чөлөө"
5343,,,Point,106.966783,47.916051,Их сургууль,1964,"Палентлоги, геологийн хүрээлэн","БЗД, 14-р хороо,ШУА-ийн хүрээлэнгүүдийн нэгдсэн байр"
5344,,,Point,106.88836,47.911835,Их сургууль,,Жонон дээд сургууль,"БГД 3-р хороо,богд арын орон сууц дунд"
5345,,,Point,106.941246,47.92069,Их сургууль,,Зохиомж дээд сургууль,"БЗД 3-р хороо, сансарын түнелийн урд"
5346,,,Point,106.972319,47.914574,Их сургууль,1964,"Физик, технологийн хүрээлэн","БЗД, 14-р хороо,ШУА-ийн хүрээлэнгүүдийн нэгдсэн байр"
5347,,,Point,106.972721,47.914164,Их сургууль,1961,Хэл зохиолын хүрээлэн,"БЗД, 14-р хороо,ШУА-ийн хүрээлэнгүүдийн нэгдсэн байр"
5348,,,Point,106.98983,47.922964,Их сургууль,1921,Батлан хамгаалахын их сургууль,"БЗД, 16-р хороо,Д.Нянтайсүрэнгийн гудамж"
5349,,,Point,106.961503,47.91749,Их сургууль,1998,Кино урлагийн дээд сургууль,"БЗД, 5-р хороо, Жуковын гудамж"
5350,,,Point,106.961711,47.917394,Их сургууль,2012,Хан хөхий орчуулагчийн сургууль,"БГД, 17-р хороо, Амарсанаагийн гудамж"
5351,,,Point,106.955811,47.917726,Их сургууль,1991,Отгонтэнгэр их сургууль,"БЗД-5 хороо, Энхтайваны өргөн чөлөө"
5352,,,Point,106.958181,47.920585,Их сургууль,1995,Улаанбаатар их сургууль,"БЗД-5 хороо, монгол кино үйлдвэрийн баруун хойно"
5353,,,Point,106.954137,47.920943,Их сургууль,1957,Одон орон геофизикийн хүрээлэн,"БЗД-5 хороо, жуковын музейн хойно."
5354,,,Point,106.911592,47.88541,Их сургууль,,"ХААИС-ийн техникийн судалгаа туршилт, үйлдвэрлэл, бизнесийн хүрээлэн",
5355,,,Point,106.953184,47.924737,Их сургууль,1994,Их засаг их сургууль,"БЗД-4 хороо, Б.Доржийн гудамж"
5356,,,Point,106.917321,47.923808,Их сургууль,1996,Олон улс судлалын дээд сургууль,"СБД-6 хороо,Нэгдсэн үндэсны гудамж"
5357,,,Point,106.914002,47.926279,Их сургууль,2005,Соёл урлагийн их сургууль,"ЧД-6 хороо, Бага тойруу. Самбуугийн гудамж"
5358,,,Point,106.891395,47.925476,Их сургууль,1990,Сэрүүлэг дээд сургууль,"Баянгол дүүрэг, Ард Аюушийн өргөн чөлөө"
5359,,,Point,106.889599,47.928929,Их сургууль,1996,Радио телевизийн дээд сургууль,"БГД, 11-р хороо,Хувьсгалчдын гудамж"
5360,,,Point,106.88981,47.92114,Их сургууль,2002,Монгол бизнесийн дээд сургууль,"БГД-2-р хороо, Энхтайваны өргөн чөлөө 45"
5361,,,Point,106.922036,47.915052,Их сургууль,1942,Эрүүл мэндийн шинжлэх ухааны сургууль,"СБД,1-р хороо, С.Зоригын гудамж"
5362,,,Point,106.895295,47.897523,Их сургууль,1992,Орхон их сургууль,"ХУД-15 хороо, Чингис хааны өргөн чөлөө"
5363,,,Point,106.891087,47.897115,Их сургууль,1965,Хүнсний Технологийн коллеж,"ХУД, 3-р хороо, Чингисийн өргөн чөлөө"
5364,,,Point,106.909546,47.886399,Их сургууль,1993,Хөдөө Аж Ахуйн Их Сургууль,"ХУД,11-р хороо, Зайсангын гудамж"
5365,,,Point,106.902932,47.923864,Их сургууль,1985,Хөдөлмөрийн дээд сургууль,"ЧД,5-р хороо, Тэнгис кино театрын ард"
5366,,,Point,106.972821,47.91417,Их сургууль,1967,Философийн хүрээлэн,"ЧД,Баруун сэлбийн гудамж-15, ШУА-ийн хүрээлэнгүүдийн нэгдсэн II байр,"
5367,,,Point,106.972935,47.914173,Их сургууль,1961,"Түүх, археологийн хүрээлэн","БЗД, 13-р хороо,Жуковын гудамж"
5368,,,Point,106.972589,47.914161,Их сургууль,,Ерөнхий болон сорилын биологийн хүрээлэн,"БЗД, 13-р хороо,ШУА-н урд"
5369,,,Point,106.972735,47.913885,Их сургууль,1961,"Хими,Химийн технологийн хүрээлэн","БЗД, 13-р хороо, ШУА-н 4-р байр"
5370,,,Point,106.929115,47.928573,Их сургууль,1926,"Газарзүй, гео-экологийн хүрээлэн","СБД,7-р хороо,Эрхүүгийн гудамж, 11-р хороолол"
5371,,,Point,106.959668,47.917515,Их сургууль,1998,Сутай коллеж,"БЗД, 5-хороо, Энхтайваны өргөн чөлөө-38"
5372,,,Point,106.902541,47.917864,Их сургууль,1999,Мөнх тэнгэр дээд сургууль,"ЧД-2 хороо, 24-р сургуулийн хажууд"
5373,,,Point,106.927606,47.918941,Их сургууль,1995,Идэр дээд сургууль,"СБД-8 хороо, Багшийн дээдийн зүүн талд."
5374,,,Point,106.927446,47.920541,Их сургууль,2002,Сод хийморь дээд сургууль,"БЗД-1 хороо, Энхтайваны өргөн чөлөө, 20/5, 20/4-р байр"
5375,,,Point,106.920578,47.923918,Их сургууль,2000,Этүгэн дээд сургууль,"СБД-8 хороо, Бага тойруу-44,"
5376,,,Point,106.927641,47.916219,Их сургууль,2007,Алтай дээд сургууль,"СБД-1 хороо, 103-ийн хажууд"
5377,,,Point,106.926997,47.914536,Их сургууль,1993,Соёл-Эрдэм дээд сургууль,"СБД-1 хороо, элчингийн гудамж,Солонгос ЭСЯ-ны ард"
5378,,,Point,106.91801,47.915604,Их сургууль,2006,Либерти дээд сургууль,"СБД-1, Жамъян гүний гудамж, Ар монгол трэвел, 4 давхарт, 404тоот"
