id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Нэр,Хаяг
1976,,,Point,106.853516,47.914324,Эмийн сан,Цэцгийн булаг эс,SHD-12
1977,,,Point,106.852103,47.916703,Эмийн сан,Хандмал-Оюу2,SHD-12
1978,,,Point,106.842026,47.912939,Эмийн сан,Жаяа фарм,SHD-15
1979,,,Point,106.841268,47.912748,Эмийн сан,Крокусмед,SHD-15
1980,,,Point,106.838974,47.912417,Эмийн сан,Торгон туул,SHD-15
1981,,,Point,106.840745,47.913341,Эмийн сан,Зүтгэл энх,SHD-15
1982,,,Point,106.838146,47.916086,Эмийн сан,ЭГБ эс,SHD-15
1983,,,Point,106.837517,47.913437,Эмийн сан,Рубин од эс,SHD-16
1984,,,Point,106.832093,47.911845,Эмийн сан,Намуунтамир эс,SHD-17
1985,,,Point,106.813131,47.910168,Эмийн сан,Монос 5 шар эс,SHD-18
1986,,,Point,106.812274,47.912814,Эмийн сан,Таван шар эс,SHD-18
1987,,,Point,106.908886,47.914053,Эмийн сан,МОнос далай,SBD-2
1988,,,Point,106.911341,47.908825,Эмийн сан,Ган хос,SBD-2
1989,,,Point,106.909239,47.911531,Эмийн сан,Шинэ зуун,SBD-2
1990,,,Point,106.925849,47.922601,Эмийн сан,Цагаан уул,SBD-8
1991,,,Point,106.928208,47.921854,Эмийн сан,Медвико,SBD-8
1992,,,Point,106.921138,47.926813,Эмийн сан,Дарви,SBD-8
1993,,,Point,106.923204,47.929156,Эмийн сан,Монос натурвит,SBD-8
1994,,,Point,106.922416,47.928375,Эмийн сан,Анхны нахиа,SBD-8
1995,,,Point,106.928543,47.927883,Эмийн сан,Анбарай,SBD-7
1996,,,Point,106.90804,47.90206,Эмийн сан,Инжирт,HUD-1
1997,,,Point,106.908158,47.895622,Эмийн сан,Монос нефрамон эс,HUD-15
1998,,,Point,106.908733,47.904498,Эмийн сан,Хүж баян Барьхан,HUD-1
1999,,,Point,106.900272,47.899934,Эмийн сан,Эверст,HUD-2
2000,,,Point,106.898918,47.899382,Эмийн сан,Биндэряа алт ерөө,HUD-2
2001,,,Point,106.898491,47.898214,Эмийн сан,Цэгэма,HUD-2
2002,,,Point,106.75973,47.856308,Эмийн сан,Тайгам фарм,HUD-10
2003,,,Point,106.812164,47.912392,Эмийн сан,ПД эс,SHD-18
2004,,,Point,106.814433,47.912721,Эмийн сан,Монфарм,SHD-18
2005,,,Point,106.778985,47.911116,Эмийн сан,Алтанзул,SHD-20
2006,,,Point,106.819284,47.916795,Эмийн сан,Тод марал,SHD-19
2007,,,Point,106.838231,47.960432,Эмийн сан,Орхон сарнай,SHD-10
2008,,,Point,106.826758,47.956521,Эмийн сан,Ананас,SHD-9
2009,,,Point,106.828771,47.953454,Эмийн сан,Хош эсрэг,SHD-8
2010,,,Point,106.818795,47.93052,Эмийн сан,Их саян,SHD-6
2011,,,Point,106.81825,47.928947,Эмийн сан,Долоон бурхан,SHD-6
2012,,,Point,106.780797,47.917581,Эмийн сан,Тал булаг,SHD-2
2013,,,Point,106.794093,47.920375,Эмийн сан,Түмий булаг,SHD-3
2014,,,Point,106.900681,47.915533,Эмийн сан,Тавин ус,SBD-4
2015,,,Point,106.906867,47.915714,Эмийн сан,"Тун эрдэнэ фарма трейд ХХК ""Ахмад""",SBD-4
2016,,,Point,106.904283,47.915825,Эмийн сан,Лабтех,SBD-4
2017,,,Point,106.894983,47.911569,Эмийн сан,Хотой,SBD-5
2018,,,Point,106.897845,47.912737,Эмийн сан,Мөнхийн чидун,SBD-5
2019,,,Point,106.896438,47.915023,Эмийн сан,Юуниф,SBD-5
2020,,,Point,106.904617,47.912586,Эмийн сан,Энэрэлийн тэнгэр,SBD-3
2021,,,Point,106.899024,47.912559,Эмийн сан,Яргуйжин,SBD-3
2022,,,Point,106.878535,47.912825,Эмийн сан,Анир сананд,BGD-4
2023,,,Point,106.889976,47.903,Эмийн сан,Гол гэсэр,BGD-1
2024,,,Point,106.883057,47.912386,Эмийн сан,Толбот хайтан,BGD-1
2025,,,Point,106.885317,47.910666,Эмийн сан,Гомбын тал,BGD-1
2026,,,Point,106.890234,47.912596,Эмийн сан,Лабтех,BGD-3
2027,,,Point,106.891533,47.908849,Эмийн сан,ТЕСО,BGD-3
2028,,,Point,106.886446,47.913485,Эмийн сан,Ариун тун,BGD-1
2029,,,Point,106.855256,47.913725,Эмийн сан,Хаадын жор,BGD-5
2030,,,Point,106.86377,47.91478,Эмийн сан,Цэцүүхээ,BGD-5
2031,,,Point,106.857328,47.914192,Эмийн сан,Мөнгөн гэрэг,BGD-5
2032,,,Point,106.866981,47.914981,Эмийн сан,Субд ЗБН,BGD-5
2033,,,Point,106.857676,47.913634,Эмийн сан,Эрдэнэ-Өвгөн,BGD-5
2034,,,Point,106.901311,47.918902,Эмийн сан,Ач үр,CHD-3
2035,,,Point,106.870788,47.916187,Эмийн сан,Шинэ алтан газар,BGD-6
2036,,,Point,106.85835,47.916415,Эмийн сан,Эрхэс туяа,BGD-6
2037,,,Point,106.877816,47.925183,Эмийн сан,Тавин ус,BGD-12
2038,,,Point,106.855966,47.920013,Эмийн сан,Тавин ус,BGD-7
2039,,,Point,106.874109,47.924538,Эмийн сан,Цасан бороо,BGD-13
2040,,,Point,106.869736,47.923135,Эмийн сан,Алтан зул,BGD-13
2041,,,Point,106.874338,47.924644,Эмийн сан,Лекарс,BGD-13
2042,,,Point,106.877017,47.924649,Эмийн сан,Мед сервис,BGD-14
2043,,,Point,106.882512,47.92324,Эмийн сан,Монос Ачлал,BGD-14
2044,,,Point,106.856157,47.925351,Эмийн сан,Би Жи Си Би,BGD-21
2045,,,Point,106.890457,47.919366,Эмийн сан,Монос,BGD-17
2046,,,Point,106.888581,47.918309,Эмийн сан,Бүжи фарм,BGD-17
2047,,,Point,106.890472,47.919051,Эмийн сан,Ган-эм,BGD-17
2048,,,Point,106.890326,47.920111,Эмийн сан,Зуун үндэс ХХК Гэви,BGD-17
2049,,,Point,106.888839,47.917459,Эмийн сан,Батарш,BGD-17
2050,,,Point,106.89047,47.91929,Эмийн сан,"Евро фарм  ""Евро-модны 2""",BGD-17
2051,,,Point,106.877302,47.922461,Эмийн сан,Амин шүүдэр,BGD-19
2052,,,Point,106.879886,47.922522,Эмийн сан,Маго ХХК,BGD-19
2053,,,Point,106.879508,47.922539,Эмийн сан,МИЭК фарм маркет,BGD-19
2054,,,Point,106.558437,47.751778,Эмийн сан,Шидэт рашаан эс,HUD-13
2055,,,Point,106.90999,47.903972,Эмийн сан,Цэцэн-Уул,HUD-1
