id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Үүсгэн байгуулсан он,Хичээлийн байрны дугаар,Нэр,Барилгын дугаар,Цэцэрлэгийн ангилал
4454,,,Point,106.878061,47.915791,Цэцэрлэг,,1,4-р цэцэрлэг,Ц4,Ахлах
4455,,,Point,106.843313,47.961619,Цэцэрлэг,,3,38-р цэцэрлэг,Ц38,Ахлах
4456,,,Point,106.849759,47.951818,Цэцэрлэг,,2,127-р цэцэрлэг,Ц127,Ахлах
4457,,,Point,106.852906,47.915081,Цэцэрлэг,,2,105-р цэцэрлэг,Ц105,Ахлах
4458,,,Point,106.834069,47.912974,Цэцэрлэг,,2,119-р цэцэрлэг,Ц119,Ахлах
4459,,,Point,106.83562,47.915159,Цэцэрлэг,,2,113-р цэцэрлэг,Ц113,Ахлах
4460,,,Point,106.833054,47.914109,Цэцэрлэг,,2,118-р цэцэрлэг,Ц118,Ахлах
4461,,,Point,106.813559,47.911584,Цэцэрлэг,,2,"41-р ясли, сувилал",,Дунд
4462,,,Point,106.812764,47.912028,Цэцэрлэг,,2,55-р цэцэрлэг,Ц55,Ахлах
4463,,,Point,106.646552,48.123617,Цэцэрлэг,,2,116-р цэцэрлэг,Ц116,Ахлах
4464,,,Point,106.694905,47.919829,Цэцэрлэг,,2,118-р цэцэрлэг,Ц188,Ахлах
4465,,,Point,106.826108,47.966796,Цэцэрлэг,,2,170-р цэцэрлэг,Ц170,Ахлах
4466,,,Point,106.818756,47.919608,Цэцэрлэг,,1,259-р цэцэрлэг,Ц259,Ахлах
4467,,,Point,106.826671,47.954703,Цэцэрлэг,,2,117-р цэцэрлэг,Ц117,Ахлах
4468,,,Point,106.833954,47.954393,Цэцэрлэг,,1,261-р цэцэрлэг,Ц261,Ахлах
4469,,,Point,106.836905,47.958006,Цэцэрлэг,,2,78-р цэцэрлэг,Ц78,Ахлах
4470,,,Point,106.899518,47.914502,Цэцэрлэг,,2,1-р цэцэрлэг,Ц1,Ахлах
4471,,,Point,106.901101,47.911497,Цэцэрлэг,,2,54-р цэцэрлэг,Ц54/1,Ахлах
4472,,,Point,106.912418,47.911889,Цэцэрлэг,,2,143-р цэцэрлэг,Ц143/1,Ахлах
4473,,,Point,106.925678,47.919397,Цэцэрлэг,,3,42-р цэцэрлэг,Ц42,Ахлах
4474,,,Point,106.919464,47.964339,Цэцэрлэг,,2,51-р цэцэрлэг,Ц51,Ахлах
4475,,,Point,106.933164,47.977837,Цэцэрлэг,,2,109-р цэцэрлэг,Ц109,Ахлах
4476,,,Point,106.962698,47.9204,Цэцэрлэг,,2,115-р цэцэрлэг,Ц115,Ахлах
4477,,,Point,107.01438,47.907362,Цэцэрлэг,,2,62-р цэцэрлэг,Ц62,Ахлах
4478,,,Point,106.978149,47.919221,Цэцэрлэг,,2,21-р цэцэрлэг,Ц21,Ахлах
4479,,,Point,106.97768,47.918549,Цэцэрлэг,,1,40-р клиник сувилал,,Дунд
4480,,,Point,107.005609,47.934099,Цэцэрлэг,,2,3-р цэцэрлэг,Ц3,Ахлах
4481,,,Point,107.116419,47.874106,Цэцэрлэг,,2,200-р цэцэрлэг,Ц200,Ахлах
4482,,,Point,106.90754,47.926213,Цэцэрлэг,,2,74-р цэцэрлэг,Ц74,Ахлах
4483,,,Point,106.900616,47.907172,Цэцэрлэг,,1,262-р цэцэрлэг,Ц262,Ахлах
4484,,,Point,106.876622,47.910891,Цэцэрлэг,,1,157-р цэцэрлэг,157,Ахлах
4485,,,Point,106.864552,47.915446,Цэцэрлэг,,1,120-р цэцэрлэг,Ц120,Ахлах
4486,,,Point,106.864734,47.916225,Цэцэрлэг,,1,114-р цэцэрлэг,Ц114,Ахлах
4487,,,Point,106.896206,47.948685,Цэцэрлэг,,2,154-р цэцэрлэг,Ц154,Ахлах
4488,,,Point,106.913375,47.947856,Цэцэрлэг,,2,56-р цэцэрлэг,Ц56,Ахлах
4489,,,Point,106.900136,47.959722,Цэцэрлэг,,2,102-р цэцэрлэг,Ц102,Ахлах
4490,,,Point,106.902584,47.95796,Цэцэрлэг,,2,83-р цэцэрлэг,Ц83,Ахлах
4491,,,Point,106.902759,47.917007,Цэцэрлэг,,2,19-р цэцэрлэг,Ц19,Ахлах
4492,,,Point,106.908932,47.941813,Цэцэрлэг,,1,258-р цэцэрлэг,Ц258,Ахлах
4493,,,Point,106.906324,47.900268,Цэцэрлэг,,2,53-р цэцэрлэг,Ц53,Ахлах
4494,,,Point,106.76058,47.863179,Цэцэрлэг,,2,134-р цэцэрлэг,Ц134,Ахлах
4495,,,Point,106.757659,47.857155,Цэцэрлэг,,2,49-р цэцэрлэг,Ц49/1,Ахлах
4496,,,Point,106.659231,47.82659,Цэцэрлэг,,1,190-р цэцэрлэг,Ц190,Ахлах
4497,,,Point,106.561428,47.753038,Цэцэрлэг,,2,144-р цэцэрлэг,Ц144/1,Ахлах
4498,,,Point,106.887224,47.917453,Цэцэрлэг,,1,249-р цэцэрлэг,249,Ахлах
4499,,,Point,106.794278,47.907753,Цэцэрлэг,,2,47-р цэцэрлэг,Ц47,Ахлах
4500,,,Point,107.035047,47.913437,Цэцэрлэг,,2,6-р цэцэрлэг,Ц6,Ахлах
4501,,,Point,106.995256,47.907954,Цэцэрлэг,,2,20-р цэцэрлэг,Ц20/1,Ахлах
4502,,,Point,106.944994,47.953275,Цэцэрлэг,,2,199-р цэцэрлэг,Ц199/2,Ахлах
4503,,,Point,106.787433,47.911279,Цэцэрлэг,,1,228-р цэцэрлэг,Ц228,Ахлах
4504,,,Point,106.786289,47.942668,Цэцэрлэг,,1,260-р цэцэрлэг,Ц260,Ахлах
4505,,,Point,106.805698,47.865663,Цэцэрлэг,1984,2,73-р цэцэрлэг,Ц73,Бага
4506,,,Point,106.843492,47.96166,Цэцэрлэг,1999,1,38-р цэцэрлэг,Ц38,Ахлах
4507,,,Point,106.926081,47.919744,Цэцэрлэг,1961,1,42-р цэцэрлэг,Ц42,Ахлах
4508,,,Point,106.938656,47.911887,Цэцэрлэг,,1,255-р цэцэрлэг,Ц255,Ахлах
4509,,,Point,106.93344,47.910968,Цэцэрлэг,,1,256-р цэцэрлэг,Ц256,Ахлах
4510,,,Point,106.836449,47.958555,Цэцэрлэг,1991,2,163-р цэцэрлэг,Ц163,Ахлах
4511,,,Point,106.685127,47.779761,Цэцэрлэг,2017,2,165-р цэцэрлэг,Ц165,Ахлах
