id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Үүсгэн байгуулсан он,Хичээлийн байрны дугаар,Нэр,Барилгын дугаар,Цэцэрлэгийн ангилал
4257,,,Point,106.85219,47.915068,Цэцэрлэг,1986,1,105-р цэцэрлэг,Ц105,Ахлах
4258,,,Point,106.795131,47.922993,Цэцэрлэг,1986,1,80-р цэцэрлэг,Ц80,Ахлах
4259,,,Point,106.906916,47.902572,Цэцэрлэг,1973,1,67-р цэцэрлэг,Ц67,Ахлах
4260,,,Point,106.90057,47.901054,Цэцэрлэг,1977/2017,1,72-р цэцэрлэг,Ц72,Ахлах
4261,,,Point,106.89951,47.897935,Цэцэрлэг,1954,1,27-р цэцэрлэг,Ц27,Ахлах
4262,,,Point,106.903713,47.901553,Цэцэрлэг,1972,1,65-р цэцэрлэг,Ц65,Ахлах
4263,,,Point,106.894153,47.899493,Цэцэрлэг,1959,1,28-р цэцэрлэг,Ц28,Ахлах
4264,,,Point,106.836881,47.958599,Цэцэрлэг,1991,1,163-р цэцэрлэг,Ц163,Ахлах
4265,,,Point,106.836956,47.957848,Цэцэрлэг,1980,1,78-р цэцэрлэг,Ц78,Ахлах
4266,,,Point,106.850096,47.951929,Цэцэрлэг,1995,1,127-р цэцэрлэг,Ц127,Ахлах
4267,,,Point,106.820673,47.931438,Цэцэрлэг,1983,1,91-р цэцэрлэг,Ц91,Ахлах
4268,,,Point,106.822734,47.933122,Цэцэрлэг,1948,1,84-р цэцэрлэг,Ц84,Ахлах
4269,,,Point,106.812103,47.911969,Цэцэрлэг,1963,1,55-р цэцэрлэг,Ц55,Ахлах
4270,,,Point,106.814218,47.912042,Цэцэрлэг,1978,1,79-р цэцэрлэг,Ц79,Ахлах
4271,,,Point,106.813636,47.912251,Цэцэрлэг,1979,1,90-р цэцэрлэг,Ц90,Ахлах
4272,,,Point,106.816102,47.921155,Цэцэрлэг,1952/2015,1,26-р цэцэрлэг,Ц26,Ахлах
4273,,,Point,106.917922,47.930287,Цэцэрлэг,,2,75-р цэцэрлэг,Ц75,Ахлах
4274,,,Point,106.775504,47.91615,Цэцэрлэг,1979,1,81-р цэцэрлэг,Ц81,Ахлах
4275,,,Point,106.826968,47.954694,Цэцэрлэг,1987,1,117-р цэцэрлэг,Ц117,Ахлах
4276,,,Point,106.905972,47.900166,Цэцэрлэг,1964,1,53-р цэцэрлэг,Ц53,Ахлах
4277,,,Point,106.894685,47.897082,Цэцэрлэг,1986,1,41-р цэцэрлэг,Ц41,Ахлах
4278,,,Point,106.897734,47.900889,Цэцэрлэг,1964/2018,1,46-р цэцэрлэг,Ц46,Ахлах
4279,,,Point,106.805124,47.865832,Цэцэрлэг,1984,1,73-р цэцэрлэг,Ц73,Бага
4280,,,Point,106.819189,47.869818,Цэцэрлэг,1979,1,71-р цэцэрлэг,Ц71,Ахлах
4281,,,Point,106.818827,47.870079,Цэцэрлэг,1978,1,29-р цэцэрлэг,Ц29,Ахлах
4282,,,Point,106.83359,47.873371,Цэцэрлэг,1976,1,12-р цэцэрлэг,Ц12,Ахлах
4283,,,Point,106.912155,47.912208,Цэцэрлэг,1964,1,143-р цэцэрлэг,Ц143,Ахлах
4284,,,Point,106.913766,47.918462,Цэцэрлэг,1957/2014,1,5-р цэцэрлэг,Ц5,Ахлах
4285,,,Point,106.904549,47.914733,Цэцэрлэг,1961,1,40-р цэцэрлэг,Ц40,Ахлах
4286,,,Point,106.90388,47.914641,Цэцэрлэг,1961,1,149-р цэцэрлэг,Ц149,Ахлах
4287,,,Point,106.901037,47.91101,Цэцэрлэг,1974,1,160-р цэцэрлэг,Ц160,Ахлах
4288,,,Point,106.90086,47.911444,Цэцэрлэг,1965,1,54-р цэцэрлэг,Ц54,Ахлах
4289,,,Point,106.898497,47.911318,Цэцэрлэг,1973,1,68-р цэцэрлэг,Ц68,
4290,,,Point,106.925425,47.919613,Цэцэрлэг,1961,2,42-р цэцэрлэг,Ц42,Ахлах
4291,,,Point,106.922136,47.932753,Цэцэрлэг,1980,1,69-р цэцэрлэг,Ц69,Ахлах
4292,,,Point,106.922522,47.930776,Цэцэрлэг,1963,1,17-р цэцэрлэг,Ц17,Ахлах
4293,,,Point,106.925977,47.932473,Цэцэрлэг,1954,1,24-р цэцэрлэг,Ц24,Ахлах
4294,,,Point,106.917716,47.930143,Цэцэрлэг,1954,1,75-р цэцэрлэг,Ц75,Ахлах
4295,,,Point,106.908252,47.918087,Цэцэрлэг,1961,1,39-р цэцэрлэг,Ц39,Бага
4296,,,Point,106.867395,47.926084,Цэцэрлэг,1991,1,141-р цэцэрлэг,Ц141,Ахлах
4297,,,Point,106.760477,47.8634,Цэцэрлэг,1976,1,134-р цэцэрлэг,Ц134,Ахлах
4298,,,Point,106.758147,47.857146,Цэцэрлэг,1963/1976,1,49-р цэцэрлэг,Ц49,Ахлах
4299,,,Point,106.922632,47.916573,Цэцэрлэг,1954,1,16-р цэцэрлэг,Ц16,Ахлах
4300,,,Point,106.899147,47.914423,Цэцэрлэг,1959/2016,1,1-р цэцэрлэг,Ц1,Ахлах
4301,,,Point,106.916784,47.923457,Цэцэрлэг,1956,1,25-р цэцэрлэг,Ц25,Ахлах
4302,,,Point,106.919287,47.923568,Цэцэрлэг,1979,1,2-р цэцэрлэг,Ц2,Ахлах
4303,,,Point,106.919216,47.964346,Цэцэрлэг,1987,1,51-р цэцэрлэг,Ц51,Ахлах
4304,,,Point,106.932821,47.977926,Цэцэрлэг,1987,1,109-р цэцэрлэг,Ц109,Ахлах
4305,,,Point,106.909335,47.917515,Цэцэрлэг,1961,1,33-р цэцэрлэг,Ц33,Ахлах
4306,,,Point,106.902104,47.92041,Цэцэрлэг,1975,1,70-р цэцэрлэг,Ц70,Ахлах
4307,,,Point,106.903183,47.917246,Цэцэрлэг,1941,1,19-р цэцэрлэг,Ц19,Ахлах
4308,,,Point,106.907571,47.923252,Цэцэрлэг,1954,1,18-р цэцэрлэг,Ц18,Ахлах
4309,,,Point,106.91325,47.924391,Цэцэрлэг,1963,1,37-р цэцэрлэг,Ц37,Ахлах
4310,,,Point,106.90748,47.92582,Цэцэрлэг,1981,1,74-р цэцэрлэг,Ц74,Ахлах
4311,,,Point,106.902117,47.958063,Цэцэрлэг,1979,1,83-р цэцэрлэг,Ц83,Ахлах
4312,,,Point,106.899792,47.959695,Цэцэрлэг,1985,1,102-р цэцэрлэг,Ц102,Ахлах
4313,,,Point,106.937823,47.926392,Цэцэрлэг,1968,1,22-р цэцэрлэг,Ц22,Ахлах
4314,,,Point,106.938509,47.922021,Цэцэрлэг,1966,1,61-р цэцэрлэг,Ц61,Ахлах
4315,,,Point,106.940215,47.921524,Цэцэрлэг,1958,1,50-р цэцэрлэг,Ц50,Ахлах
4316,,,Point,106.937202,47.91616,Цэцэрлэг,1989,1,122-р цэцэрлэг,Ц122,Ахлах
4317,,,Point,106.941692,47.91603,Цэцэрлэг,1989,1,129-р цэцэрлэг,Ц129,Ахлах
4318,,,Point,106.937578,47.913999,Цэцэрлэг,1990,1,147-р цэцэрлэг,Ц147,Ахлах
4319,,,Point,106.974674,47.920628,Цэцэрлэг,1958,1,8-р цэцэрлэг,Ц8,Ахлах
4320,,,Point,106.978375,47.918991,Цэцэрлэг,1963,1,21-р цэцэрлэг,Ц21,Ахлах
4321,,,Point,106.982739,47.919627,Цэцэрлэг,1980,1,82-р цэцэрлэг,Ц82,Ахлах
4322,,,Point,106.958684,47.919238,Цэцэрлэг,1968,1,52-р цэцэрлэг,Ц52,Ахлах
4323,,,Point,107.034531,47.9135,Цэцэрлэг,"1978,2010,2012",1,6-р цэцэрлэг,Ц6,Ахлах
4324,,,Point,107.015029,47.907296,Цэцэрлэг,1971,1,62-р цэцэрлэг,Ц62,Ахлах
4325,,,Point,107.005738,47.934049,Цэцэрлэг,"1984,2007",1,3-р цэцэрлэг,Ц3,Ахлах
4326,,,Point,106.791185,47.907275,Цэцэрлэг,1954,1,34-р цэцэрлэг,Ц34,Ахлах
4327,,,Point,106.79392,47.907563,Цэцэрлэг,1964/2016,1,47-р цэцэрлэг,Ц47,Ахлах
4328,,,Point,106.907209,47.921071,Цэцэрлэг,1959,1,9-р цэцэрлэг,Ц9,Ахлах
4329,,,Point,106.909198,47.923233,Цэцэрлэг,1957,1,4-р цэцэрлэг,Ц4,Ахлах
4330,,,Point,106.902298,47.935851,Цэцэрлэг,1955/2013 - 1961,1,31-р цэцэрлэг,Ц31,Ахлах
4331,,,Point,106.902872,47.934714,Цэцэрлэг,1961,1,43-р цэцэрлэг,Ц43,Ахлах
4332,,,Point,106.90504,47.926526,Цэцэрлэг,1986,1,108-р цэцэрлэг,Ц108,Ахлах
4333,,,Point,106.915712,47.925374,Цэцэрлэг,1954,1,14-р цэцэрлэг,Ц14,Ахлах
4334,,,Point,106.963143,47.920458,Цэцэрлэг,1987,1,115-р цэцэрлэг,Ц115,Ахлах
4335,,,Point,106.908541,47.884822,Цэцэрлэг,1959,1,35-р цэцэрлэг,Ц35,Ахлах
4336,,,Point,106.900975,47.971612,Цэцэрлэг,1986,1,103-р цэцэрлэг,Ц103,Ахлах
4337,,,Point,106.90683,47.937308,Цэцэрлэг,1989,1,124-р цэцэрлэг,Ц124,Ахлах
4338,,,Point,106.995512,47.907995,Цэцэрлэг,"2001,2010",1,20-р цэцэрлэг,Ц20,Ахлах
4339,,,Point,106.930711,47.969138,Цэцэрлэг,2003/2013,2,130-р цэцэрлэг,Ц130,Ахлах
4340,,,Point,106.939663,47.925854,Цэцэрлэг,,1,10-р цэцэрлэг,Ц10,Ахлах
4341,,,Point,106.707819,47.78999,Цэцэрлэг,2008,1,165-р цэцэрлэг,Ц165,Ахлах
4342,,,Point,106.997161,47.913524,Цэцэрлэг,2004,1,32-р цэцэрлэг,Ц32,Ахлах
4343,,,Point,106.936255,47.935692,Цэцэрлэг,2003,1,45-р цэцэрлэг,Ц45,Ахлах
4344,,,Point,106.913613,47.947669,Цэцэрлэг,1964/2010,1,56-р цэцэрлэг,Ц56,Ахлах
4345,,,Point,106.824376,47.870012,Цэцэрлэг,2008,1,145-р цэцэрлэг,Ц145,Ахлах
4346,,,Point,106.764621,47.919822,Цэцэрлэг,2006,1,111-р цэцэрлэг,Ц111,Ахлах
4347,,,Point,106.805524,47.960273,Цэцэрлэг,2011,1,158-р цэцэрлэг,Ц158,Ахлах
4348,,,Point,106.932546,47.977694,Цэцэрлэг,2006,1,36-р цэцэрлэг,Ц36,Ахлах
