id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Автобусны дугаар,Нэр
13064,,,Point,106.924546,48.001031,Автобусны буудал,"М39, ХО Санзай, ХО Шарга морьт",Ар согоот
13065,,,Point,106.924314,47.999965,Автобусны буудал,"М39, ХО Санзай, ХО Шарга морьт",Ар согоот
13066,,,Point,106.917387,48.015495,Автобусны буудал,"М39, ХО Санзай, ХО Шарга морьт",Шадивлан
13067,,,Point,106.917331,48.015857,Автобусны буудал,"ХО Санзай, ХО Шарга морьт",Шадивлан
13068,,,Point,106.901164,48.012426,Автобусны буудал,М39,ШАДИВЛАНГИЙН ЭЦЭС /зуслан/
13069,,,Point,106.910147,48.030886,Автобусны буудал,"ХО Санзай, ХО Шарга морьт",100 мод
13070,,,Point,106.910239,48.030532,Автобусны буудал,"ХО Санзай, ХО Шарга морьт",100 мод
13071,,,Point,106.907663,48.034632,Автобусны буудал,"ХО Санзай, ХО Шарга морьт",Яаргайт
13072,,,Point,106.907632,48.034303,Автобусны буудал,"ХО Санзай, ХО Шарга морьт",Яаргайт
13073,,,Point,106.906194,48.037444,Автобусны буудал,"ХО Санзай, ХО Шарга морьт",Яаргайтын богино
13074,,,Point,106.906154,48.037106,Автобусны буудал,"ХО Санзай, ХО Шарга морьт",Яаргайтын богино
13075,,,Point,106.900196,48.049066,Автобусны буудал,"ХО Санзай, ХО Шарга морьт",Жигжидийн уулзвар
13076,,,Point,106.899902,48.049134,Автобусны буудал,"ХО Санзай, ХО Шарга морьт",Жигжидийн уулзвар
13077,,,Point,106.905787,48.055554,Автобусны буудал,"ХО Санзай, ХО Шарга морьт",Шарга морьтын 1-р буудал
13078,,,Point,106.905631,48.055295,Автобусны буудал,"ХО Санзай, ХО Шарга морьт",Шарга морьтын 1-р буудал
13079,,,Point,106.931555,48.06891,Автобусны буудал,ХО Шарга морьт,ШАРГА МОРЬТЫН ЭЦЭС /зуслан/
13080,,,Point,106.926027,48.068021,Автобусны буудал,ХО Шарга морьт,Шарга морьтын 3-р буудал
13081,,,Point,106.926056,48.067916,Автобусны буудал,ХО Шарга морьт,Шарга морьтын 3-р буудал
13082,,,Point,106.91205,48.060283,Автобусны буудал,ХО Шарга морьт,Шарга морьтын 2-р буудал
13083,,,Point,106.911968,48.06036,Автобусны буудал,ХО Шарга морьт,Шарга морьтын 2-р буудал
13084,,,Point,106.899152,48.064938,Автобусны буудал,ХО Санзай,Хуурай мухар
13085,,,Point,106.899364,48.065069,Автобусны буудал,ХО Санзай,Хуурай мухар
13086,,,Point,106.899079,48.081937,Автобусны буудал,ХО Санзай,Баянбулаг
13087,,,Point,106.898627,48.081794,Автобусны буудал,ХО Санзай,Баянбулаг
13088,,,Point,106.933555,47.918383,Автобусны буудал,"M1, M4, М14, М20, M21, M23,M27, M38,M13,M32,М35, ХО Налайх, ХО Ургах наран, ХО Хужирбулан, ХО Городок, ХО Шарга морьт, Т2, Т4, Т5, Т6",Бөхийн өргөө
13089,,,Point,106.934492,47.918581,Автобусны буудал,"M1, M4, М14, М20, M21, M23,M27, M38,M13,M32,М35, ХО Налайх, ХО Ургах наран, ХО Хужирбулан, ХО Городок, ХО Шарга морьт, Т2, Т4, Т5, Т6",Хүч бөөний төв
13090,,,Point,106.941005,47.918817,Автобусны буудал,"M1, M4, М14, М20, M21, M23,M27, M38,M13,M32,М35,М44, ХО Налайх, ХО Ургах наран, ХО Хужирбулан, ХО Городок, ХО Шарга морьт, Т2, Т4, Т5, Т6",13-р хороолол
13091,,,Point,106.941734,47.919031,Автобусны буудал,"M1, M4, М14, М20, M21, M23,M27, M9, М40, М44, M13,M32, ХО Налайх, ХО Ургах наран, ХО Хужирбулан, ХО Городок, ХО Шарга морьт, Т2, Т4, Т5, Т6",Зүүн 4 зам
13092,,,Point,106.94894,47.91804,Автобусны буудал,"М1, М2, М14, М27, М41, М42, М46, М52, Т2, Т4, Т5, Т6, ХО Налайх, ХО Гачуурт, ХО Хужирбулан, М13, М35, ХО Городок, ХО Ургах наран, ХО Хонхор",Жуковын музье
13093,,,Point,106.951544,47.917361,Автобусны буудал,"М1, М14, М27, М41, М42, М52, Т2, Т4, Т5, Т6, ХО Налайх, ХО Гачуурт, ХО Хужирбулан, М13, М35, ХО Городок, ХО Ургах наран, ХО Хонхор",Жуковын музье
13094,,,Point,106.960308,47.916578,Автобусны буудал,"М1, М14, М27, М41, М42, М52, Т2, Т4, Т5, Т6, ХО Налайх, ХО Гачуурт, ХО Хужирбулан, М13, М35, ХО Городок, ХО Ургах наран, ХО Хонхор",Монгол кино үйлдвэр
13095,,,Point,106.960054,47.916977,Автобусны буудал,"М1, М2, М14, М27, М41, М42, М46, М52, Т2, Т4, Т5, Т6, ХО Налайх, ХО Гачуурт, ХО Хужирбулан, М13, М35, ХО Городок, ХО Ургах наран, ХО Хонхор",Монгол кино үйлдвэр
13096,,,Point,106.964992,47.916243,Автобусны буудал,"М1, М14, М27, М41, М42, М52, Т2, Т4, Т5, Т6, ХО Налайх, ХО Гачуурт, ХО Хужирбулан, М13, М35, ХО Городок, ХО Ургах наран, ХО Хонхор",Баянзүрх дүүрэг
13097,,,Point,106.964618,47.916597,Автобусны буудал,"М1, М2, М14, М27, М41, М42, М46, М52, Т2, Т4, Т5, Т6, ХО Налайх, ХО Гачуурт, ХО Хужирбулан, М13, М35, ХО Городок, ХО Ургах наран, ХО Хонхор",Баянзүрх дүүрэг
13098,,,Point,106.97149,47.915697,Автобусны буудал,"М1, М14, М27, М41, М42, М52, Т2, Т4, Т5, Т6, ХО Налайх, ХО Гачуурт, ХО Хужирбулан, М13, М35, ХО Городок, ХО Ургах наран, ХО Хонхор",Офицеруудын ордон
13099,,,Point,106.971789,47.916024,Автобусны буудал,"М1, М2, М14, М27, М41, М42, М46, М52, Т2, Т4, Т5, Т6, ХО Налайх, ХО Гачуурт, ХО Хужирбулан, М13, М35, ХО Городок, ХО Ургах наран, ХО Хонхор",Офицеруудын ордон
13100,,,Point,106.980984,47.912069,Автобусны буудал,"M14, M27, M40, M41, M42, M52, T4, ХО Налайх,ХО Гачуурт, ХО Хужирбулан, М32, ХО Городок, ХО Ургах наран, ХО Хонхор",Чулуун овоо
13101,,,Point,106.98018,47.912313,Автобусны буудал,"M14, M27, M40, M41, M42, M52, T4, ХО Налайх,ХО Гачуурт, ХО Хужирбулан, М32, ХО Городок, ХО Ургах наран, ХО Хонхор",Чулуун овоо
13102,,,Point,106.989295,47.912551,Автобусны буудал,"M14, M27, M40, M41, M42, M52, T4, ХО Налайх,ХО Гачуурт, ХО Хужирбулан, М32, ХО Городок, ХО Ургах наран, ХО Хонхор",Шөнийн дэлгүүр
13103,,,Point,106.98794,47.912712,Автобусны буудал,"M14, M27, M40, M41, M42, M52, T4, ХО Налайх,ХО Гачуурт, ХО Хужирбулан, М32, ХО Городок, ХО Ургах наран, ХО Хонхор",Шөнийн дэлгүүр
13104,,,Point,106.997412,47.912979,Автобусны буудал,"M14, M27, M40, M41, M42, M52, T4, ХО Налайх,ХО Гачуурт, ХО Хужирбулан, ХО Городок, ХО Ургах наран, ХО Хонхор",Цагдаагийн академи
13105,,,Point,106.995663,47.913104,Автобусны буудал,"M14, M27, M40, M41, M42, M52, T4, ХО Налайх,ХО Гачуурт, ХО Хужирбулан, ХО Городок, ХО Ургах наран, ХО Хонхор",Цагдаагийн академи
13106,,,Point,107.001455,47.912749,Автобусны буудал,"M14, M27, M40, M41, M42, M52, T4, ХО Налайх,ХО Гачуурт, ХО Хужирбулан, М32, ХО Городок, ХО Ургах наран, ХО Хонхор",Ботаникийн эцэс
13107,,,Point,107.001359,47.912157,Автобусны буудал,"M14, M27, M40, M41, M42, ХО Налайх,ХО Гачуурт, ХО Хужирбулан, М32, ХО Городок, ХО Ургах наран, ХО Хонхор",Ботаник
13108,,,Point,107.008239,47.908614,Автобусны буудал,"M14, M27, M40, M41, M42, ХО Налайх,ХО Гачуурт, ХО Хужирбулан, ХО Городок, ХО Ургах наран, ХО Хонхор",Төмөр замын засварын төв
13109,,,Point,107.007572,47.90917,Автобусны буудал,"M14, M27, M40, M41, M42, ХО Налайх,ХО Гачуурт, ХО Хужирбулан, ХО Городок, ХО Ургах наран, ХО Хонхор",12-ын буудал
13110,,,Point,107.01431,47.906728,Автобусны буудал,"M14, M27, M42, ХО Налайх,ХО Гачуурт, ХО Хужирбулан, ХО Городок, ХО Ургах наран, ХО Хонхор",Амгалан
13111,,,Point,107.014835,47.906394,Автобусны буудал,"M14, M27, M42, ХО Налайх,ХО Гачуурт, ХО Хужирбулан, ХО Городок, ХО Ургах наран, ХО Хонхор",Амгалан
13112,,,Point,107.025731,47.903172,Автобусны буудал,"M14, M27, M42, ХО Налайх,ХО Гачуурт, ХО Хужирбулан, ХО Городок, ХО Ургах наран, ХО Хонхор",Хангамж
13113,,,Point,107.023961,47.903882,Автобусны буудал,"M14, M27, M40, M42, ХО Налайх,ХО Гачуурт, ХО Хужирбулан, ХО Городок, ХО Ургах наран, ХО Хонхор",Tiger үйлдвэр
13114,,,Point,107.036983,47.908386,Автобусны буудал,"М14, М42, ХО Гачуурт, ХО Хужирбулан",Шар дэлгүүр
13115,,,Point,107.035088,47.907637,Автобусны буудал,"М14, М42, ХО Гачуурт, ХО Хужирбулан",Шар дэлгүүр
13116,,,Point,107.037185,47.912916,Автобусны буудал,"М14, М42",Улиастайн хуучин эцэс
13117,,,Point,107.036932,47.912805,Автобусны буудал,"М14, М42",Улиастайн хуучин эцэс
13118,,,Point,107.03389,47.917664,Автобусны буудал,"М14, М42",УЛИАСТАЙН ШИНЭ ЭЦЭС
13119,,,Point,106.943966,47.913463,Автобусны буудал,"М4, М6, М15, М21, М23, М40, М41, М44, ХО Гачуурт, М32, ХО Хонхор, ХО Шарга морьт",Хятад худалдааны төв
