id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Нэр
12680,,,LineString,106.892412,47.914318,Автобусны маршрут,5 шар - Офицеруудын ордон /угсраа автобус/
12681,,,LineString,106.936913,47.924842,Автобусны маршрут,"Шархад - МУБИС - 3,4-р хороолол"
12682,,,LineString,106.881867,47.954405,Автобусны маршрут,Зүүн салаа - Халдвартын эмнэлэг
12683,,,LineString,106.877183,47.919766,Автобусны маршрут,"5 шар - 3,4-р хороолол - Сансарын тойрог"
12684,,,LineString,106.93137,47.926714,Автобусны маршрут,Гэмтлийн эмнэлэг – Их тойруу – Шар хад
12685,,,LineString,106.89099,47.914719,Автобусны маршрут,Толгойт – Нарны зам – Ботаник
12686,,,LineString,106.842305,47.911549,Автобусны маршрут,Нисэх – Төв номын сан – 7 буудал – Зунжин
12687,,,LineString,106.900081,47.924937,Автобусны маршрут,Зайсан – Цэцэг төв – Хайлааст
12688,,,LineString,106.839796,47.89254,Автобусны маршрут,Нисэх – Нарны гүүр – Тэнгис кино театр – Хүнсний 4-р дэлгүүр
12689,,,LineString,106.913994,47.922718,Автобусны маршрут,Ганц худаг – Сансар – Баянмонгол хороолол – Мишээл экспо /Нийслэлийн нэгдсэн үйлчилгээний төв/
12690,,,LineString,107.022594,47.912568,Автобусны маршрут,Хужирбулан – Офицеруудын ордон
12691,,,LineString,107.040958,47.893399,Автобусны маршрут,Ургах наран хороолол – Офицеруудын ордон /Дунд багтаамж/
12692,,,LineString,106.773367,47.921051,Автобусны маршрут,Тахилт – Саппоро – 3-р эмнэлэг
12693,,,LineString,106.818045,47.922093,Автобусны маршрут,Нарангийн гол – 10-р хороолол
12694,,,LineString,106.813127,47.884787,Автобусны маршрут,Нисэх – Сонсголон – 5 шар – 3-р эмнэлэг
12695,,,LineString,106.836756,47.949114,Автобусны маршрут,Баруун салаа – Далангийн зам – 10-р хороолол
