Насны бүлэг,Бүс,Хүйс,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992
20-24, Сүхбаатар,Эмэгтэй,1713,1409,2852,2302,510,2372,2418,1440,949,1495,2336,2444,1650,1699,1819,1294,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
20-24,Чингэлтэй,Нийт,3871,4170,5975,6476,5997,7679,5378,4372,4908,5185,4918,5824,7264,4636,7642,6270,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
20-24,Чингэлтэй,Эрэгтэй,2316,2772,3437,4586,3356,4928,2727,2372,2888,2960,3234,3093,3832,2375,4543,3695,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
20-24,Чингэлтэй,Эмэгтэй,1555,1398,2537,1890,2640,2751,2651,2000,2020,2225,1684,2731,3432,2261,3099,2575,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
20-24,Сонгинохайрхан,Нийт,10315,10374,15087,9648,13343,18888,10226,7396,12026,14521,13691,10606,9166,10421,9142,14485,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
20-24,Сонгинохайрхан,Эрэгтэй,6443,7686,8445,6372,10438,11702,6323,4135,8049,9121,8428,6434,4962,6061,5197,8951,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
20-24,Сонгинохайрхан,Эмэгтэй,3872,2688,6642,3276,2906,7187,3903,3261,3977,5400,5263,4172,4204,4360,3945,5534,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Улсын дүн,Нийт,176437,173571,180067,181407,194257,198512,173655,187104,186028,172337,178939,177455,170174,152300,160040,146090,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Улсын дүн,Эрэгтэй,103577,93989,100030,105425,108994,112863,97263,102435,102189,95692,98443,94308,92494,84692,87449,81521,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Улсын дүн,Эмэгтэй,72861,79582,80038,75982,85263,85648,76392,84669,83839,76645,80496,83147,77680,67608,72591,64569,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Баруун бүс,Нийт,23388,29395,31548,22792,24506,23042,21537,25676,22257,24697,24083,26154,26547,20490,23121,22548,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Баруун бүс,Эрэгтэй,13382,16103,16878,14627,13091,14090,11990,12388,11411,13260,13279,13359,13848,11252,12060,12635,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Баруун бүс,Эмэгтэй,10006,13292,14670,8165,11416,8953,9547,13288,10846,11437,10804,12795,12699,9238,11061,9913,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Баян-Өлгий,Нийт,5660,7556,9624,5527,4471,5244,8006,8450,5277,8646,8049,7256,7835,4903,4822,6232,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Баян-Өлгий,Эрэгтэй,3054,3967,4811,4338,2636,3316,4267,4224,2667,4202,4463,3702,4366,2675,2712,3552,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Баян-Өлгий,Эмэгтэй,2607,3588,4813,1188,1835,1928,3739,4226,2610,4444,3586,3554,3469,2228,2110,2680,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Говь-Алтай,Нийт,4111,3671,3790,3648,2869,2820,2682,3380,2855,2692,3691,4063,3332,3458,4138,3828,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Говь-Алтай,Эрэгтэй,1933,2102,2032,2085,1268,1707,1404,1807,1399,1575,1999,2051,1492,1942,1959,2446,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Говь-Алтай,Эмэгтэй,2178,1569,1758,1563,1601,1112,1278,1573,1456,1117,1692,2012,1840,1516,2179,1382,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Завхан,Нийт,2482,3965,3665,4435,4714,1975,2537,3305,3437,3773,3467,5763,6033,4239,5206,4159,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Завхан,Эрэгтэй,1219,2008,2390,2922,2912,1552,1408,1417,1641,1946,1990,2652,3010,2240,2767,1607,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Завхан,Эмэгтэй,1262,1957,1275,1512,1801,423,1129,1888,1796,1827,1477,3111,3023,1999,2439,2552,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Увс,Нийт,5325,7650,6676,5184,6367,6478,3672,4652,5411,4958,4707,4505,4999,3656,4353,3878,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Увс,Эрэгтэй,3236,4018,4121,3067,2971,4250,2289,2075,3045,2784,2486,2429,2500,1799,2159,2441,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Увс,Эмэгтэй,2089,3632,2555,2117,3397,2227,1383,2577,2366,2174,2221,2076,2499,1857,2194,1437,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Ховд,Нийт,5809,6553,7792,3999,6086,6526,4640,5889,5277,4628,4169,4567,4348,4234,4602,4451,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Ховд,Эрэгтэй,3939,4008,3523,2214,3304,3264,2622,2865,2659,2753,2341,2525,2480,2596,2463,2589,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Ховд,Эмэгтэй,1870,2545,4269,1785,2782,3262,2018,3024,2618,1875,1828,2042,1868,1638,2139,1862,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Хангайн бүс,Нийт,32281,34722,34977,36681,38644,41082,34002,37641,37188,32168,36714,34818,35131,32058,34870,33276,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Хангайн бүс,Эрэгтэй,19760,17343,20499,21549,20397,24966,17543,20212,19036,16629,19162,17150,18903,18170,18307,17078,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Хангайн бүс,Эмэгтэй,12522,17379,14478,15132,18248,16117,16459,17429,18152,15539,17552,17668,16228,13888,16563,16198,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Архангай,Нийт,4821,7656,5852,4421,7022,5634,5525,4765,5662,3818,5927,5896,5980,5049,6211,6185,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Архангай,Эрэгтэй,3909,4659,3589,2452,3765,3442,2939,2623,3135,1939,2598,2918,3126,2950,3234,3394,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Архангай,Эмэгтэй,913,2997,2263,1969,3258,2192,2586,2142,2527,1879,3329,2978,2854,2099,2977,2791,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Баянхонгор,Нийт,7069,4674,4980,6643,6495,7672,6648,7282,6139,6141,6586,4994,5869,4293,4171,4669,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Баянхонгор,Эрэгтэй,3850,2176,2966,4015,3606,4717,3962,4136,2940,3163,3104,2374,3559,2158,2317,2640,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Баянхонгор,Эмэгтэй,3219,2498,2014,2628,2889,2956,2686,3146,3199,2978,3482,2620,2310,2135,1854,2029,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Булган,Нийт,1785,1948,2908,3680,4532,2851,2984,3043,2825,3658,2494,3250,3569,3533,4069,4610,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Булган,Эрэгтэй,1189,985,1484,2182,2578,1650,1348,1502,1246,1899,1470,1576,1619,1920,1889,2316,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Булган,Эмэгтэй,596,963,1424,1498,1955,1201,1636,1541,1579,1759,1024,1674,1950,1613,2180,2294,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Орхон,Нийт,5424,3574,5386,5680,5372,6069,5229,5579,6052,5153,6024,6191,5050,6382,5305,3426,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Орхон,Эрэгтэй,4231,1905,2449,3637,2982,3967,2479,2487,3339,2594,3463,3188,2703,3761,3209,1744,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Орхон,Эмэгтэй,1194,1668,2938,2043,2390,2101,2750,3092,2713,2559,2561,3003,2347,2621,2096,1682,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Өвөрхангай,Нийт,5373,6383,8801,7108,7061,9259,6373,8223,9566,6492,6792,5814,6294,5555,7558,8727,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Өвөрхангай,Эрэгтэй,3168,3588,5513,4303,3449,6633,3197,4524,4608,3858,3528,2970,3253,3521,3516,3815,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Өвөрхангай,Эмэгтэй,2205,2796,3288,2805,3611,2626,3176,3699,4958,2634,3264,2844,3041,2034,4042,4912,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Хөвсгөл,Нийт,7808,10487,7050,9149,8162,9596,7243,8749,6944,6906,8891,8673,8369,7246,7556,5659,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Хөвсгөл,Эрэгтэй,3413,4030,4499,4960,4017,4556,3618,4940,3768,3176,4999,4124,4643,3860,4142,3169,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Хөвсгөл,Эмэгтэй,4395,6457,2552,4189,4145,5041,3625,3809,3176,3730,3892,4549,3726,3386,3414,2490,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Төвийн бүс,Нийт,23428,21830,22426,26082,30621,25986,27681,25212,27635,25644,27328,28622,27188,28140,27144,26605,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Төвийн бүс,Эрэгтэй,11893,11222,11906,15487,17355,13126,15442,14033,15896,14966,15485,16232,15161,15233,14763,16063,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Төвийн бүс,Эмэгтэй,11534,10608,10520,10595,13266,12860,12239,11179,11739,10678,11843,12390,12027,12907,12381,10542,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Говьсүмбэр,Нийт,1609,921,881,1194,1279,845,1095,1050,1186,1037,911,1017,744,742,1197,262,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Говьсүмбэр,Эрэгтэй,830,615,472,732,662,476,620,470,668,559,566,646,414,258,510,262,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Говьсүмбэр,Эмэгтэй,778,306,409,462,617,370,475,580,518,478,345,371,330,484,687,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Дархан-Уул,Нийт,3212,3606,4786,5380,5512,4999,5861,5527,5727,5939,4705,5069,6381,7120,5523,4955,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Дархан-Уул,Эрэгтэй,1317,1453,3259,3322,3573,2380,3916,3656,3178,3556,2745,3102,3949,4211,3364,3475,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Дархан-Уул,Эмэгтэй,1895,2153,1527,2058,1938,2619,1945,1871,2549,2383,1960,1967,2432,2909,2159,1480,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Дорноговь,Нийт,3402,3397,3397,4561,4266,5141,4059,3976,4733,4091,4731,4042,2650,3273,4082,4259,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Дорноговь,Эрэгтэй,1755,1839,1096,3222,1910,2191,2153,1997,2798,2322,2334,2318,1560,1774,2532,2715,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Дорноговь,Эмэгтэй,1647,1558,2301,1339,2355,2950,1906,1979,1935,1769,2397,1724,1090,1499,1550,1544,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Дундговь,Нийт,2135,1985,2477,2795,2356,2658,2161,1946,2131,2215,2201,2261,4033,3084,2688,2653,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Дундговь,Эрэгтэй,1279,865,1388,1244,982,1468,891,780,925,1245,1021,1094,2044,1077,1346,964,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Дундговь,Эмэгтэй,856,1119,1088,1551,1374,1190,1270,1166,1206,970,1180,1167,1989,2007,1342,1689,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Өмнөговь,Нийт,5191,5666,3865,4946,3934,4516,3753,4088,3600,4222,4419,3903,2282,4035,3910,3800,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Өмнөговь,Эрэгтэй,2481,2692,1828,3072,2016,1885,1942,2324,2037,2546,2592,2230,1205,2289,2066,2275,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Өмнөговь,Эмэгтэй,2710,2974,2036,1874,1917,2631,1811,1764,1563,1676,1827,1673,1077,1746,1844,1525,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Сэлэнгэ,Нийт,3907,2253,2823,2850,5921,4181,5867,4472,4287,3629,4934,6429,5780,4876,5204,6315,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Сэлэнгэ,Эрэгтэй,1454,1554,946,1530,3951,2171,3577,2529,2726,1990,2935,3136,3011,2970,2792,4117,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Сэлэнгэ,Эмэгтэй,2452,699,1877,1320,1970,2010,2290,1943,1561,1639,1999,3293,2769,1906,2412,2198,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Төв,Нийт,3972,4003,4198,4356,7355,3645,4885,4153,5971,4511,5427,5901,5318,5010,4540,4361,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Төв,Эрэгтэй,2777,2203,2916,2365,4260,2555,2343,2277,3564,2748,3292,3706,2978,2654,2153,2255,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Төв,Эмэгтэй,1195,1800,1282,1991,3095,1090,2542,1876,2407,1763,2135,2195,2340,2356,2387,2106,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Зүүн бүс,Нийт,12655,12655,14548,12895,13810,16251,12024,13039,13962,13522,11697,11846,13061,11165,10474,9436,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Зүүн бүс,Эрэгтэй,7036,7412,7626,7774,8872,8318,6299,6744,7449,7483,6440,5813,6404,5962,5563,5297,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Зүүн бүс,Эмэгтэй,5619,5243,6922,5122,4938,7933,5725,6295,6513,6039,5257,6033,6657,5203,4911,4139,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Дорнод,Нийт,5563,2536,4672,4496,5890,7328,4467,5319,4846,4562,4209,4826,3865,4545,3521,3946,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Дорнод,Эрэгтэй,2669,938,1733,3424,3889,4095,2497,3111,2670,2756,2572,2538,2106,2442,1657,1465,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Дорнод,Эмэгтэй,2894,1597,2939,1072,2001,3233,1970,2208,2176,1806,1637,2288,1759,2103,1864,2481,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Сүхбаатар,Нийт,4692,5354,5446,4570,3615,5460,4197,3910,4448,4513,4301,3096,4720,3158,3926,2823,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Сүхбаатар,Эрэгтэй,2530,3494,3271,2612,2343,2481,2023,1665,2218,2194,1996,1488,2227,1568,2045,2001,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Сүхбаатар,Эмэгтэй,2162,1860,2175,1958,1272,2979,2174,2245,2230,2319,2305,1608,2493,1590,1881,822,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Хэнтий,Нийт,2401,4765,4430,3830,4304,3463,3360,3810,4668,4447,3187,3924,4476,3462,3027,2667,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Хэнтий,Эрэгтэй,1837,2979,2622,1738,2639,1742,1779,1968,2561,2533,1872,1787,2071,1952,1861,1831,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Хэнтий,Эмэгтэй,563,1786,1808,2092,1665,1721,1581,1842,2107,1914,1315,2137,2405,1510,1166,836,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Улаанбаатар,Нийт,84686,74969,76569,82958,86675,92150,78411,85536,84986,76306,79117,76015,68247,60447,64431,54225,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Улаанбаатар,Эрэгтэй,51506,41908,43121,45989,49279,52364,45989,49058,48397,43354,44077,41754,38178,34075,36756,30448,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Улаанбаатар,Эмэгтэй,33179,33061,33448,36969,37395,39786,32422,36478,36589,32952,35040,34261,30069,26372,27675,23777,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Хан-Уул,Нийт,12141,13236,11695,9525,10571,15739,9147,12005,9199,10193,8153,7862,7070,6287,5828,4405,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Хан-Уул,Эрэгтэй,6982,6517,6827,5894,7933,7629,4965,6289,5506,5708,4146,3793,3948,3373,3160,2597,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Хан-Уул,Эмэгтэй,5160,6719,4869,3632,2638,8109,4182,5716,3693,4485,4007,4069,3122,2914,2668,1808,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Багануур Багахангай,Нийт,813,1180,736,473,2768,5988,1574,1281,1548,1537,1254,1743,1045,1194,1153,1507,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Багануур Багахангай,Эрэгтэй,655,571,352,360,2013,3577,1140,830,978,931,833,1142,638,521,672,621,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Багануур Багахангай,Эмэгтэй,158,609,384,112,755,2411,434,451,570,606,421,601,407,673,481,886,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Баянзүрх,Нийт,21772,24866,16554,18912,27511,23049,21617,22699,21909,20355,19675,19874,17146,13959,17309,10277,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Баянзүрх,Эрэгтэй,14224,15928,8912,10341,13846,11253,11994,12817,12787,12039,11333,11519,9248,8504,9468,5948,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Баянзүрх,Эмэгтэй,7547,8938,7642,8571,13665,11796,9623,9882,9122,8316,8342,8355,7898,5455,7841,4329,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Налайх,Нийт,2785,1529,1536,1540,1761,2223,2176,2053,2310,2027,1688,1497,1502,1560,1887,1567,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Налайх,Эрэгтэй,1799,741,890,568,643,1160,1230,1291,1419,1061,952,885,1026,1102,1274,1258,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Налайх,Эмэгтэй,986,788,646,973,1117,1063,946,762,891,966,736,612,476,458,613,309,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Баянгол,Нийт,15526,9157,13685,10491,8788,9613,11636,14373,14467,11714,12152,14003,10802,9347,8584,7550,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Баянгол,Эрэгтэй,8565,4679,7969,4099,5564,6275,7643,8027,8276,5547,6480,7767,5802,4774,4880,3956,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Баянгол,Эмэгтэй,6961,4479,5716,6393,3224,3338,3993,6346,6191,6167,5672,6236,5000,4573,3704,3594,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29, Сүхбаатар,Нийт,4797,6278,6697,9435,10251,6944,6176,6659,6998,6348,7538,7882,8766,8035,7194,9467,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29, Сүхбаатар,Эрэгтэй,3872,3209,3251,5408,4377,6080,3511,3812,3944,3916,4013,3895,4804,4723,4504,5183,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29, Сүхбаатар,Эмэгтэй,925,3068,3446,4026,5874,865,2665,2847,3054,2432,3525,3987,3962,3312,2690,4284,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Чингэлтэй,Нийт,6446,6782,7892,12102,9156,7755,7825,8400,9125,7302,8785,8743,8503,6577,8029,7102,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Чингэлтэй,Эрэгтэй,4054,3430,4653,7377,5552,4293,4343,4457,4620,4639,4392,4603,5127,3430,4376,3894,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Чингэлтэй,Эмэгтэй,2392,3353,3240,4725,3604,3462,3482,3943,4505,2663,4393,4140,3376,3147,3653,3208,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Сонгинохайрхан,Нийт,20406,11941,17773,20479,15868,20839,18260,18066,19430,16830,19872,14411,13413,13488,14447,12350,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Сонгинохайрхан,Эрэгтэй,11356,6833,10268,11942,9351,12096,11163,11535,10867,9513,11928,8150,7585,7648,8422,6991,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
25-29,Сонгинохайрхан,Эмэгтэй,9050,5108,7506,8537,6517,8743,7097,6531,8563,7317,7944,6261,5828,5840,6025,5359,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
30-34,Улсын дүн,Нийт,216852,214731,226223,229056,228695,229746,210516,207351,192707,186370,174599,174988,162106,155938,162516,156337,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
30-34,Улсын дүн,Эрэгтэй,121958,117919,126250,127302,127274,118204,117225,111312,104481,98896,92404,94877,85536,80139,86105,80131,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
30-34,Улсын дүн,Эмэгтэй,94894,96812,99973,101754,101420,111542,93291,96039,88226,87474,82195,80111,76570,75799,76411,76206,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
30-34,Баруун бүс,Нийт,24499,28822,24374,24784,24297,30954,25613,26853,24916,25979,25420,26527,26381,23848,25077,20391,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
30-34,Баруун бүс,Эрэгтэй,13466,14957,13858,13097,12712,14968,12166,13677,13075,12869,12167,13662,13947,11155,12758,10109,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
30-34,Баруун бүс,Эмэгтэй,11033,13866,10516,11687,11586,15986,13447,13176,11841,13110,13253,12865,12434,12693,12319,10282,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
30-34,Баян-Өлгий,Нийт,6908,6406,6240,3966,3487,4884,6591,7909,6078,8181,7167,7479,6481,6151,5536,5151,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
30-34,Баян-Өлгий,Эрэгтэй,4003,3531,3448,2373,1785,1718,3239,4338,3822,3996,3591,3757,3321,3060,2786,2272,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
30-34,Баян-Өлгий,Эмэгтэй,2905,2875,2792,1594,1702,3165,3352,3571,2256,4185,3576,3722,3160,3091,2750,2879,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
30-34,Говь-Алтай,Нийт,3458,4316,4530,4660,4124,5435,3438,4179,3783,3633,3119,4386,4502,3905,4616,2725,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
30-34,Говь-Алтай,Эрэгтэй,2136,2450,2662,2555,1893,2626,1758,1848,2146,1706,1447,2348,2371,1545,2257,1180,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
30-34,Говь-Алтай,Эмэгтэй,1322,1866,1868,2106,2231,2809,1680,2331,1637,1927,1672,2038,2131,2360,2359,1545,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
30-34,Завхан,Нийт,4055,4727,3087,3231,4782,7671,5173,4358,4852,3981,4988,5023,5522,5263,4894,4881,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
30-34,Завхан,Эрэгтэй,2102,2563,1455,2023,2667,3946,2124,2242,2248,1894,2160,2645,3158,2538,2808,2755,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
30-34,Завхан,Эмэгтэй,1953,2164,1632,1208,2114,3725,3049,2116,2604,2087,2828,2378,2364,2725,2086,2126,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
30-34,Увс,Нийт,5928,5931,5334,5427,5594,5105,4593,5034,4961,5492,4442,5074,4561,4545,5205,3716,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
30-34,Увс,Эрэгтэй,3102,2950,2603,2212,2383,2311,2208,2687,2308,2598,2272,2402,2266,2205,2330,1948,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
30-34,Увс,Эмэгтэй,2826,2981,2731,3214,3211,2794,2385,2347,2653,2894,2170,2672,2295,2340,2875,1768,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
30-34,Ховд,Нийт,4151,7441,5183,7500,6311,7858,5818,5373,5242,4692,5704,4565,5315,3984,4826,3918,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
30-34,Ховд,Эрэгтэй,2124,3462,3690,3935,3985,4366,2837,2562,2551,2675,2697,2510,2831,1807,2577,1954,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
30-34,Ховд,Эмэгтэй,2027,3979,1493,3565,2327,3493,2981,2811,2691,2017,3007,2055,2484,2177,2249,1964,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
30-34,Хангайн бүс,Нийт,30475,37758,45975,48090,43093,43566,40150,40588,41916,37675,33891,37657,36346,30951,34144,35151,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
30-34,Хангайн бүс,Эрэгтэй,15550,19580,23799,22777,22305,18128,22485,21352,22284,18654,17494,19283,18323,15110,17741,18158,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
30-34,Хангайн бүс,Эмэгтэй,14925,18178,22176,25313,20788,25438,17665,19236,19632,19021,16397,18374,18023,15841,16403,16993,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
30-34,Архангай,Нийт,2500,5830,7265,6860,4074,5625,5999,5465,7210,4974,6039,5188,6635,5785,5891,6480,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
30-34,Архангай,Эрэгтэй,1194,2192,3701,2972,1989,2752,3035,2404,3372,2359,3140,2827,3261,2456,3056,3218,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
