Насны бүлэг,Бүс,Хүйс,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992
Бүгд,Архангай,Эрэгтэй,22266,22894,25870,24056,24192,27722,24627,23421,23620,21813,22810,24748,24764,25169,26091,25621,21013,20906,21320,20846,20430,20595,21361,20564,21075,20979,20388,20240,21695,22881,23044,23036,20591
Бүгд,Архангай,Эмэгтэй,18853,21725,23641,21998,23246,20597,21639,21787,21010,20521,22523,23560,24819,23993,23327,21710,20521,20389,20339,19286,18950,19790,19768,20456,19454,19096,19121,19621,20051,18313,20794,20733,16934
Бүгд,Баянхонгор,Нийт,45794,41155,43650,40875,43264,39004,44734,43329,45077,41660,40020,39149,38639,36351,37650,37907,42352,41986,39964,39576,39408,37180,34098,37396,36555,36247,37448,37217,36888,37312,34042,33047,30722
Бүгд,Баянхонгор,Эрэгтэй,24338,21637,24083,19754,22108,19694,23837,22909,23502,21693,20313,19607,20262,17957,19324,20148,21244,20766,20357,19680,19334,18420,16994,18839,18461,18361,18851,19610,19345,19073,17089,17589,16181
Бүгд,Баянхонгор,Эмэгтэй,21456,19518,19567,21121,21155,19309,20897,20420,21575,19967,19707,19542,18377,18394,18326,17759,21108,21220,19607,19896,20074,18760,17104,18557,18094,17886,18597,17607,17543,18239,16953,15458,14541
Бүгд,Булган,Нийт,28100,28834,28505,26158,29792,32259,29481,30772,28164,28315,28085,28849,29582,28697,30717,27750,23619,24196,24435,23821,24177,25561,24543,23629,23960,24025,24122,23062,25119,25864,28025,24332,23568
Бүгд,Булган,Эрэгтэй,14933,15211,14486,14615,15179,15841,15322,16731,14590,14680,15163,14928,15409,15627,16432,13900,11706,12241,12265,12376,12469,13250,12837,12168,12371,12708,12596,12016,13660,14153,14912,13312,12917
Бүгд,Булган,Эмэгтэй,13167,13624,14019,11543,14613,16418,14159,14041,13574,13635,12922,13921,14173,13070,14285,13850,11913,11955,12170,11445,11708,12311,11706,11461,11589,11317,11526,11046,11459,11711,13113,11020,10651
Бүгд,Орхон,Нийт,33038,36743,41778,46679,42608,42105,40041,42141,42704,39156,40312,39433,41665,37228,37737,41246,34408,34204,35568,35127,35147,33719,30446,30364,28477,28200,28388,18946,29630,20464,18230,31273,30215
Бүгд,Орхон,Эрэгтэй,21016,21137,22249,26184,23796,21737,20965,22169,22310,19572,21362,20567,21511,19355,20003,21217,17341,16874,17347,17118,17359,16504,15417,15088,14332,13767,14316,9524,14572,10335,9245,15004,15034
Бүгд,Орхон,Эмэгтэй,12022,15606,19529,20495,18811,20368,19076,19972,20394,19584,18950,18866,20154,17873,17734,20029,17067,17330,18221,18009,17788,17215,15029,15276,14145,14433,14072,9422,15058,10129,8985,16269,15181
Бүгд,Өвөрхангай,Нийт,56765,50688,54910,56535,51668,56574,59032,59693,54395,53359,54442,57709,54265,47951,54355,57654,51991,51556,49850,48099,47879,48201,47675,49648,52196,51956,50127,48270,46282,45992,45836,44632,44116
Бүгд,Өвөрхангай,Эрэгтэй,29691,26403,29316,30441,28155,31289,31162,31860,28772,27238,28399,29453,29149,25582,29274,29201,26095,25265,25003,23816,24223,24386,24395,24942,27234,26779,26083,25209,24483,24584,24171,23848,23875
Бүгд,Өвөрхангай,Эмэгтэй,27074,24285,25594,26094,23513,25285,27870,27833,25623,26121,26043,28256,25116,22369,25081,28453,25896,26291,24847,24283,23656,23815,23280,24706,24962,25177,24044,23061,21799,21408,21665,20784,20241
Бүгд,Хөвсгөл,Нийт,65487,71774,61514,66834,68149,65033,61139,61578,59651,56491,52681,62966,59964,53961,58406,56943,55643,56362,54571,52859,52533,52357,50719,49268,47599,48241,46852,45538,44522,44185,47009,47311,44136
