year,tourists
2006,404480
2007,451788
2008,446393
2009,411664
2010,456082
2011,460360
2012,475892
2013,417815
2014,392844
2015,386204
2016,404163
2017,469309
2018,529370
2019,577300
2020,58859
2021,33100
2022,286282
2023,594013
2024,727386
2025,847170
