огноо,валютын_код,валютын_нэр,ханш_төгрөг
2021-09-01,EUR,Евро,3356.714
2021-09-01,JPY,Японы иен,25.8647
2021-09-01,KRW,Солонгосын вон,2.4317
2021-09-01,RUB,Оросын рубль,39.1
2021-09-01,USD,Америк доллар,2848.861
2021-10-01,CNY,Хятад юань,443.6935
2021-10-01,EUR,Евро,3306.1668
2021-10-01,JPY,Японы иен,25.2045
2021-10-01,KRW,Солонгосын вон,2.41
2021-10-01,RUB,Оросын рубль,39.8926
2021-10-01,USD,Америк доллар,2848.9039
2021-11-01,CNY,Хятад юань,445.882
2021-11-01,EUR,Евро,3250.8197
2021-11-01,JPY,Японы иен,24.9427
2021-11-01,KRW,Солонгосын вон,2.408
2021-11-01,RUB,Оросын рубль,39.226
2021-11-01,USD,Америк доллар,2848.9933
2021-12-01,CNY,Хятад юань,447.3381
2021-12-01,EUR,Евро,3220.3652
2021-12-01,JPY,Японы иен,25.0152
2021-12-01,KRW,Солонгосын вон,2.4058
2021-12-01,RUB,Оросын рубль,38.6535
2021-12-01,USD,Америк доллар,2848.8997
2022-01-01,CNY,Хятад юань,448.231
2022-01-01,EUR,Евро,3224.7781
2022-01-01,JPY,Японы иен,24.8032
2022-01-01,KRW,Солонгосын вон,2.3813
2022-01-01,RUB,Оросын рубль,37.3329
2022-01-01,USD,Америк доллар,2849.4216
2022-02-01,CNY,Хятад юань,450.3032
2022-02-01,EUR,Евро,3234.3221
2022-02-01,JPY,Японы иен,24.7843
2022-02-01,KRW,Солонгосын вон,2.3843
2022-02-01,RUB,Оросын рубль,36.5725
2022-02-01,USD,Америк доллар,2856.5871
2022-03-01,CNY,Хятад юань,457.1132
2022-03-01,EUR,Евро,3195.7703
2022-03-01,JPY,Японы иен,24.49
2022-03-01,KRW,Солонгосын вон,2.3755
2022-03-01,RUB,Оросын рубль,27.4961
2022-03-01,USD,Америк доллар,2900.0323
2022-04-01,CNY,Хятад юань,473.1897
2022-04-01,EUR,Евро,3291.9273
2022-04-01,JPY,Японы иен,24.0907
2022-04-01,KRW,Солонгосын вон,2.4623
2022-04-01,RUB,Оросын рубль,38.175
2022-04-01,USD,Америк доллар,3039.089
2022-05-01,CNY,Хятад юань,464.1629
2022-05-01,EUR,Евро,3287.3013
2022-05-01,JPY,Японы иен,24.1445
2022-05-01,KRW,Солонгосын вон,2.4532
2022-05-01,RUB,Оросын рубль,48.2252
2022-05-01,USD,Америк доллар,3110.1326
2022-06-01,CNY,Хятад юань,466.847
2022-06-01,EUR,Евро,3306.1627
2022-06-01,JPY,Японы иен,23.3873
2022-06-01,KRW,Солонгосын вон,2.4457
2022-06-01,RUB,Оросын рубль,54.868
2022-06-01,USD,Америк доллар,3123.6937
2022-07-01,CNY,Хятад юань,468.6465
2022-07-01,EUR,Евро,3216.5855
2022-07-01,JPY,Японы иен,23.1729
2022-07-01,KRW,Солонгосын вон,2.4174
2022-07-01,RUB,Оросын рубль,53.7281
2022-07-01,USD,Америк доллар,3151.72
2022-08-01,CNY,Хятад юань,468.6519
2022-08-01,EUR,Евро,3228.5926
2022-08-01,JPY,Японы иен,23.5823
2022-08-01,KRW,Солонгосын вон,2.4145
2022-08-01,RUB,Оросын рубль,52.6658
2022-08-01,USD,Америк доллар,3186.091
2022-09-01,CNY,Хятад юань,463.872
2022-09-01,EUR,Евро,3227.6343
2022-09-01,JPY,Японы иен,22.776
2022-09-01,KRW,Солонгосын вон,2.3343
2022-09-01,RUB,Оросын рубль,54.3737
2022-09-01,USD,Америк доллар,3252.7293
2022-10-01,CNY,Хятад юань,468.6758
2022-10-01,EUR,Евро,3313.7181
2022-10-01,JPY,Японы иен,22.921
2022-10-01,KRW,Солонгосын вон,2.36
2022-10-01,RUB,Оросын рубль,54.9648
2022-10-01,USD,Америк доллар,3369.2642
2022-11-01,CNY,Хятад юань,474.916
2022-11-01,EUR,Евро,3472.7517
2022-11-01,JPY,Японы иен,23.9497
2022-11-01,KRW,Солонгосын вон,2.5123
2022-11-01,RUB,Оросын рубль,55.9687
2022-11-01,USD,Америк доллар,3406.9767
2022-12-01,CNY,Хятад юань,491.6419
2022-12-01,EUR,Евро,3627.1661
2022-12-01,JPY,Японы иен,25.4535
2022-12-01,KRW,Солонгосын вон,2.6526
2022-12-01,RUB,Оросын рубль,52.3261
2022-12-01,USD,Америк доллар,3431.8026
2023-01-01,CNY,Хятад юань,510.1913
2023-01-01,EUR,Евро,3734.13
2023-01-01,JPY,Японы иен,26.5839
2023-01-01,KRW,Солонгосын вон,2.7845
2023-01-01,RUB,Оросын рубль,49.8345
2023-01-01,USD,Америк доллар,3467.0823
2023-02-01,CNY,Хятад юань,513.4657
2023-02-01,EUR,Евро,3763.1971
2023-02-01,JPY,Японы иен,26.4825
2023-02-01,KRW,Солонгосын вон,2.7518
2023-02-01,RUB,Оросын рубль,48.0339
2023-02-01,USD,Америк доллар,3509.3257
2023-03-01,CNY,Хятад юань,511.3174
2023-03-01,EUR,Евро,3774.8019
2023-03-01,JPY,Японы иен,26.3619
2023-03-01,KRW,Солонгосын вон,2.7029
2023-03-01,RUB,Оросын рубль,46.3087
2023-03-01,USD,Америк доллар,3525.2723
2023-04-01,CNY,Хятад юань,507.8647
2023-04-01,EUR,Евро,3834.0547
2023-04-01,JPY,Японы иен,26.2163
2023-04-01,KRW,Солонгосын вон,2.6473
2023-04-01,RUB,Оросын рубль,43.1463
2023-04-01,USD,Америк доллар,3496.8107
2023-05-01,CNY,Хятад юань,495.4732
2023-05-01,EUR,Евро,3762.3958
2023-05-01,JPY,Японы иен,25.2797
2023-05-01,KRW,Солонгосын вон,2.6058
2023-05-01,RUB,Оросын рубль,43.8487
