Indicators,Region,Annual,value
Total,Total,2024,4914.0
Total,Total,2023,4746.0
Total,Total,2022,4652.0
Total,Total,2021,4348.0
Total,Total,2020,4187.0
Total,Total,2019,4459.0
Total,Total,2018,4343.0
Total,Total,2017,4005.0
Total,Total,2016,3500.0
Total,Total,2015,3244.0
Total, Western region,2024,557.0
Total, Western region,2023,552.0
Total, Western region,2022,514.0
Total, Western region,2021,458.0
Total, Western region,2020,439.0
Total, Western region,2019,388.0
Total, Western region,2018,357.0
Total, Western region,2017,331.0
Total, Western region,2016,322.0
Total, Western region,2015,308.0
Total, Bayan-Ulgii,2024,129.0
Total, Bayan-Ulgii,2023,133.0
Total, Bayan-Ulgii,2022,123.0
Total, Bayan-Ulgii,2021,107.0
Total, Bayan-Ulgii,2020,90.0
Total, Bayan-Ulgii,2019,82.0
Total, Bayan-Ulgii,2018,73.0
Total, Bayan-Ulgii,2017,62.0
Total, Bayan-Ulgii,2016,62.0
Total, Bayan-Ulgii,2015,62.0
Total, Govi-Altai,2024,100.0
Total, Govi-Altai,2023,100.0
Total, Govi-Altai,2022,98.0
Total, Govi-Altai,2021,80.0
Total, Govi-Altai,2020,87.0
Total, Govi-Altai,2019,63.0
Total, Govi-Altai,2018,61.0
Total, Govi-Altai,2017,59.0
Total, Govi-Altai,2016,60.0
Total, Govi-Altai,2015,54.0
Total, Zavkhan,2024,92.0
Total, Zavkhan,2023,94.0
Total, Zavkhan,2022,86.0
Total, Zavkhan,2021,90.0
Total, Zavkhan,2020,88.0
Total, Zavkhan,2019,85.0
Total, Zavkhan,2018,80.0
Total, Zavkhan,2017,70.0
Total, Zavkhan,2016,73.0
Total, Zavkhan,2015,68.0
Total, Uvs,2024,123.0
Total, Uvs,2023,118.0
Total, Uvs,2022,103.0
Total, Uvs,2021,91.0
Total, Uvs,2020,84.0
Total, Uvs,2019,71.0
Total, Uvs,2018,68.0
Total, Uvs,2017,67.0
Total, Uvs,2016,66.0
Total, Uvs,2015,63.0
Total, Khovd,2024,114.0
Total, Khovd,2023,107.0
Total, Khovd,2022,104.0
Total, Khovd,2021,90.0
Total, Khovd,2020,90.0
Total, Khovd,2019,87.0
Total, Khovd,2018,75.0
Total, Khovd,2017,73.0
Total, Khovd,2016,61.0
Total, Khovd,2015,61.0
Total, Khangai region,2024,759.0
Total, Khangai region,2023,759.0
Total, Khangai region,2022,761.0
Total, Khangai region,2021,723.0
Total, Khangai region,2020,643.0
Total, Khangai region,2019,660.0
Total, Khangai region,2018,645.0
Total, Khangai region,2017,620.0
Total, Khangai region,2016,596.0
Total, Khangai region,2015,563.0
Total, Arkhangai,2024,106.0
Total, Arkhangai,2023,106.0
Total, Arkhangai,2022,107.0
Total, Arkhangai,2021,106.0
Total, Arkhangai,2020,105.0
Total, Arkhangai,2019,100.0
Total, Arkhangai,2018,97.0
Total, Arkhangai,2017,89.0
Total, Arkhangai,2016,85.0
Total, Arkhangai,2015,85.0
Total, Bayankhongor,2024,126.0
Total, Bayankhongor,2023,126.0
Total, Bayankhongor,2022,126.0
Total, Bayankhongor,2021,120.0
Total, Bayankhongor,2020,112.0
Total, Bayankhongor,2019,94.0
Total, Bayankhongor,2018,96.0
Total, Bayankhongor,2017,97.0
Total, Bayankhongor,2016,96.0
Total, Bayankhongor,2015,76.0
Total, Bulgan,2024,67.0
Total, Bulgan,2023,70.0
Total, Bulgan,2022,73.0
Total, Bulgan,2021,76.0
Total, Bulgan,2020,77.0
Total, Bulgan,2019,75.0
Total, Bulgan,2018,67.0
Total, Bulgan,2017,55.0
Total, Bulgan,2016,54.0
Total, Bulgan,2015,52.0
Total, Orkhon,2024,161.0
Total, Orkhon,2023,166.0
Total, Orkhon,2022,178.0
Total, Orkhon,2021,166.0
Total, Orkhon,2020,160.0
Total, Orkhon,2019,151.0
Total, Orkhon,2018,145.0
Total, Orkhon,2017,139.0
Total, Orkhon,2016,135.0
Total, Orkhon,2015,129.0
Total, Uvurkhangai,2024,150.0
Total, Uvurkhangai,2023,154.0
Total, Uvurkhangai,2022,127.0
Total, Uvurkhangai,2021,109.0
Total, Uvurkhangai,2020,69.0
Total, Uvurkhangai,2019,121.0
Total, Uvurkhangai,2018,113.0
Total, Uvurkhangai,2017,111.0
Total, Uvurkhangai,2016,102.0
Total, Uvurkhangai,2015,97.0
Total, Khuvsgul,2024,152.0
Total, Khuvsgul,2023,137.0
Total, Khuvsgul,2022,150.0
Total, Khuvsgul,2021,146.0
Total, Khuvsgul,2020,120.0
Total, Khuvsgul,2019,119.0
Total, Khuvsgul,2018,127.0
Total, Khuvsgul,2017,129.0
Total, Khuvsgul,2016,124.0
Total, Khuvsgul,2015,124.0
Total, Central region,2024,679.0
Total, Central region,2023,669.0
