Үзүүлэлт,Бүс,Он,value
Нийт,Улсын дүн,2024,4914.0
Нийт,Улсын дүн,2023,4746.0
Нийт,Улсын дүн,2022,4652.0
Нийт,Улсын дүн,2021,4348.0
Нийт,Улсын дүн,2020,4187.0
Нийт,Улсын дүн,2019,4459.0
Нийт,Улсын дүн,2018,4343.0
Нийт,Улсын дүн,2017,4005.0
Нийт,Улсын дүн,2016,3500.0
Нийт,Улсын дүн,2015,3244.0
Нийт,    Баруун бүс,2024,557.0
Нийт,    Баруун бүс,2023,552.0
Нийт,    Баруун бүс,2022,514.0
Нийт,    Баруун бүс,2021,458.0
Нийт,    Баруун бүс,2020,439.0
Нийт,    Баруун бүс,2019,388.0
Нийт,    Баруун бүс,2018,357.0
Нийт,    Баруун бүс,2017,331.0
Нийт,    Баруун бүс,2016,322.0
Нийт,    Баруун бүс,2015,308.0
Нийт,            Баян-Өлгий,2024,129.0
Нийт,            Баян-Өлгий,2023,133.0
Нийт,            Баян-Өлгий,2022,123.0
Нийт,            Баян-Өлгий,2021,107.0
Нийт,            Баян-Өлгий,2020,90.0
Нийт,            Баян-Өлгий,2019,82.0
Нийт,            Баян-Өлгий,2018,73.0
Нийт,            Баян-Өлгий,2017,62.0
Нийт,            Баян-Өлгий,2016,62.0
Нийт,            Баян-Өлгий,2015,62.0
Нийт,            Говь-Алтай,2024,100.0
Нийт,            Говь-Алтай,2023,100.0
Нийт,            Говь-Алтай,2022,98.0
Нийт,            Говь-Алтай,2021,80.0
Нийт,            Говь-Алтай,2020,87.0
Нийт,            Говь-Алтай,2019,63.0
Нийт,            Говь-Алтай,2018,61.0
Нийт,            Говь-Алтай,2017,59.0
Нийт,            Говь-Алтай,2016,60.0
Нийт,            Говь-Алтай,2015,54.0
Нийт,            Завхан,2024,92.0
Нийт,            Завхан,2023,94.0
Нийт,            Завхан,2022,86.0
Нийт,            Завхан,2021,90.0
Нийт,            Завхан,2020,88.0
Нийт,            Завхан,2019,85.0
Нийт,            Завхан,2018,80.0
