Sex,Year,value
Total,2024,71.8
Total,2023,71.5
Total,2022,71.3
Total,2021,71.0
Total,2020,70.7
Total,2019,70.4
Total,2018,70.2
Total,2017,69.9
Total,2016,69.6
Total,2015,69.9
Total,2014,69.6
Total,2013,69.1
Total,2012,68.7
Total,2011,68.3
Total,2010,68.1
Total,2009,68.0
Total,2008,67.2
Total,2007,66.5
Total,2006,65.9
Total,2005,65.2
Total,2004,64.6
Total,2003,63.6
Total,2002,63.5
Total,2001,63.4
Total,2000,63.2
Total,1998,65.1
Total,1997,64.3
Total,1995,63.8
Total,1992,62.8
Male,2024,67.9
Male,2023,67.6
Male,2022,67.3
Male,2021,67.1
Male,2020,66.7
Male,2019,66.4
Male,2018,66.1
Male,2017,65.9
Male,2016,65.6
Male,2015,66.0
Male,2014,65.9
Male,2013,65.4
Male,2012,64.9
Male,2011,64.7
Male,2010,64.9
Male,2009,64.3
Male,2008,63.7
Male,2007,63.1
Male,2006,62.6
Male,2005,62.1
Male,2004,61.6
Male,2003,60.8
Male,2002,60.8
Male,2001,60.7
Male,2000,60.4
Male,1998,62.7
Male,1997,61.1
Male,1995,62.1
Male,1992,60.7
Female,2024,77.1
Female,2023,76.9
Female,2022,76.7
Female,2021,76.5
Female,2020,76.2
Female,2019,76.0
Female,2018,75.8
Female,2017,75.4
Female,2016,75.1
Female,2015,75.8
Female,2014,75.5
Female,2013,75.0
Female,2012,74.3
Female,2011,73.8
Female,2010,72.3
Female,2009,71.8
Female,2008,71.0
Female,2007,70.2
Female,2006,69.4
Female,2005,68.6
Female,2004,67.8
Female,2003,66.5
Female,2002,66.5
Female,2001,66.3
Female,2000,66.1
Female,1998,67.6
Female,1997,67.7
Female,1995,65.4
Female,1992,64.9
