date,total_loans_billion_mnt
2000-03-01,50.26
2000-06-01,54.24
2000-09-01,56.93
2000-12-01,63.77
2001-03-01,77.32
2001-06-01,92.72
2001-09-01,96.72
2001-12-01,127.48
2002-03-01,151.14
2002-06-01,191.04
2002-09-01,196.61
2002-12-01,231.45
2003-03-01,279.92
2003-06-01,327.93
2003-09-01,352.12
2003-12-01,441.95
2004-03-01,486.59
2004-06-01,525.46
2004-09-01,565.79
2004-12-01,606.18
2005-03-01,640.27
2005-06-01,719.74
2005-09-01,774.24
2005-12-01,859.45
2006-03-01,955.11
2006-06-01,1051.06
2006-09-01,1113.51
2006-12-01,1222.34
2007-03-01,1403.76
2007-06-01,1599.16
2007-09-01,1861.36
2007-12-01,2055.28
2008-03-01,2335.62
2008-06-01,2558.88
2008-09-01,2714.57
2008-12-01,2635.13
2009-03-01,2670.87
2009-06-01,2557.73
2009-09-01,2630.56
2009-12-01,2655.0
2010-03-01,2734.82
2010-06-01,2849.06
2010-09-01,3050.3
2010-12-01,3228.17
2011-03-01,3696.26
2011-06-01,4517.28
2011-09-01,5018.95
2011-12-01,5597.74
2012-03-01,5741.47
2012-06-01,6266.01
2012-09-01,6819.41
2012-12-01,6941.14
2013-03-01,7336.37
2013-06-01,8553.47
2013-09-01,10098.62
2013-12-01,10715.63
2014-03-01,11332.39
2014-06-01,12241.98
2014-09-01,12551.16
2014-12-01,12440.93
2015-03-01,12210.96
2015-06-01,11881.97
2015-09-01,11873.15
2015-12-01,11633.57
2016-03-01,11764.55
2016-04-01,11566.29
2016-05-01,11370.37
2016-06-01,11949.79
2016-07-01,12023.96
2016-08-01,12359.51
2016-09-01,12409.42
2016-10-01,12484.51
2016-11-01,12633.77
2016-12-01,12337.51
2017-01-01,12294.77
2017-02-01,12498.63
2017-03-01,12593.15
2017-04-01,12621.79
2017-05-01,12613.83
2017-06-01,12805.39
2017-07-01,12940.7
2017-08-01,13160.05
2017-09-01,13316.65
2017-10-01,13281.67
2017-11-01,13389.66
2017-12-01,13506.74
2018-01-01,13548.04
2018-02-01,13718.93
2018-03-01,14033.03
2018-04-01,14355.81
2018-05-01,14859.73
2018-06-01,15277.1
2018-07-01,15469.59
2018-08-01,15807.23
2018-09-01,16206.67
2018-10-01,16312.45
2018-11-01,16575.58
2018-12-01,17082.39
2019-01-01,17076.16
2019-02-01,17104.16
2019-03-01,17327.28
2019-04-01,17510.1
2019-05-01,17824.28
2019-06-01,18061.5
2019-07-01,18122.81
2019-08-01,18099.81
2019-09-01,17994.57
2019-10-01,18038.92
2019-11-01,18004.87
2019-12-01,17932.25
2020-01-01,17918.66
2020-02-01,17189.44
2020-03-01,16988.56
2020-04-01,16996.07
2020-05-01,17012.76
2020-06-01,17200.17
2020-07-01,17159.66
2020-08-01,17212.96
2020-09-01,17182.05
2020-10-01,17042.92
2020-11-01,16828.62
2020-12-01,17034.24
2021-01-01,17059.36
2021-02-01,16972.92
2021-03-01,17467.09
2021-04-01,17487.07
2021-05-01,18067.14
2021-06-01,18966.11
2021-07-01,19263.06
2021-08-01,19689.94
2021-09-01,20018.19
2021-10-01,19875.98
2021-11-01,20049.34
2021-12-01,20667.36
2022-01-01,20797.0
2022-02-01,21075.44
2022-03-01,21872.39
2022-04-01,22543.52
2022-05-01,23045.77
2022-06-01,23250.56
2022-07-01,23113.78
2022-08-01,22562.02
2022-09-01,22757.12
2022-10-01,22583.1
2022-11-01,22447.82
2022-12-01,22008.27
2023-01-01,22268.12
2023-02-01,22409.06
2023-03-01,23012.94
2023-04-01,23489.27
2023-05-01,24290.68
2023-06-01,25355.14
2023-07-01,25143.83
2023-08-01,25608.61
2023-09-01,25871.06
2023-10-01,26122.71
2023-11-01,26638.75
2023-12-01,27151.62
2024-01-01,27508.94
2024-02-01,27830.25
2024-03-01,28923.66
2024-04-01,29700.0
2024-05-01,31144.65
2024-06-01,33258.65
2024-07-01,33224.17
2024-08-01,34223.76
2024-09-01,34983.03
2024-10-01,35167.35
2024-11-01,35612.98
2024-12-01,36781.47
2025-01-01,37123.99
2025-02-01,38397.36
2025-03-01,38600.73
2025-04-01,39530.3
2025-05-01,40344.61
2025-06-01,42224.38
2025-07-01,42360.92
2025-08-01,42294.73
2025-09-01,42726.78
2025-10-01,43460.37
2025-11-01,43107.33
2025-12-01,43751.57
2026-01-01,43908.13
2026-02-01,43889.72
