Байршил,Зарлагын төрөл,Он,value
Улсын дундаж,"    Хүнсний бус бараа, үйлчилгээний зарлага",2014,694486.0
Улсын дундаж,"    Хүнсний бус бараа, үйлчилгээний зарлага",2013,619329.0
Улсын дундаж,"    Хүнсний бус бараа, үйлчилгээний зарлага",2012,518750.0
Улсын дундаж,"    Хүнсний бус бараа, үйлчилгээний зарлага",2011,335304.0
Улсын дундаж,"    Хүнсний бус бараа, үйлчилгээний зарлага",2010,244404.0
Улсын дундаж,"    Хүнсний бус бараа, үйлчилгээний зарлага",2009,228667.0
Улсын дундаж,"    Хүнсний бус бараа, үйлчилгээний зарлага",2008,200247.0
Улсын дундаж,"    Хүнсний бус бараа, үйлчилгээний зарлага",2007,171599.0
Улсын дундаж,"    Хүнсний бус бараа, үйлчилгээний зарлага",2006,126380.0
Улсын дундаж,"    Хүнсний бус бараа, үйлчилгээний зарлага",2005,107913.0
Улсын дундаж,"    Хүнсний бус бараа, үйлчилгээний зарлага",2004,80496.0
Улсын дундаж,"    Хүнсний бус бараа, үйлчилгээний зарлага",2003,73756.0
Улсын дундаж,"    Хүнсний бус бараа, үйлчилгээний зарлага",2002,76595.0
Улсын дундаж,"    Хүнсний бус бараа, үйлчилгээний зарлага",2001,58448.0
Улсын дундаж,"    Хүнсний бус бараа, үйлчилгээний зарлага",2000,58954.0
Улсын дундаж,"    Хүнсний бус бараа, үйлчилгээний зарлага",1999,41854.0
Улсын дундаж,"    Хүнсний бус бараа, үйлчилгээний зарлага",1998,39179.0
Улсын дундаж,"    Хүнсний бус бараа, үйлчилгээний зарлага",1997,29339.0
Улсын дундаж,    Хадгаламжид,2025,
Улсын дундаж,    Хадгаламжид,2024,
Улсын дундаж,    Хадгаламжид,2023,
Улсын дундаж,    Хадгаламжид,2022,
Улсын дундаж,    Хадгаламжид,2021,
Улсын дундаж,    Хадгаламжид,2020,
Улсын дундаж,    Хадгаламжид,2019,
Улсын дундаж,    Хадгаламжид,2018,
Улсын дундаж,    Хадгаламжид,2017,
Улсын дундаж,    Хадгаламжид,2016,
Улсын дундаж,    Хадгаламжид,2015,
Улсын дундаж,    Хадгаламжид,2014,
Улсын дундаж,    Хадгаламжид,2013,
Улсын дундаж,    Хадгаламжид,2012,
Улсын дундаж,    Хадгаламжид,2011,
Улсын дундаж,    Хадгаламжид,2010,
Улсын дундаж,    Хадгаламжид,2009,
Улсын дундаж,    Хадгаламжид,2008,
Улсын дундаж,    Хадгаламжид,2007,
Улсын дундаж,    Хадгаламжид,2006,1174.0
Улсын дундаж,    Хадгаламжид,2005,1391.0
Улсын дундаж,    Хадгаламжид,2004,1118.0
Улсын дундаж,    Хадгаламжид,2003,1434.0
Улсын дундаж,    Хадгаламжид,2002,690.0
Улсын дундаж,    Хадгаламжид,2001,268.0
Улсын дундаж,    Хадгаламжид,2000,152.0
Улсын дундаж,    Хадгаламжид,1999,463.0
Улсын дундаж,    Хадгаламжид,1998,309.0
Улсын дундаж,    Хадгаламжид,1997,240.0
Улсын дундаж,"    Бусдад өгсөн бэлэг, тусламж",2025,59470.0
Улсын дундаж,"    Бусдад өгсөн бэлэг, тусламж",2024,50348.0
Улсын дундаж,"    Бусдад өгсөн бэлэг, тусламж",2023,41553.0
Улсын дундаж,"    Бусдад өгсөн бэлэг, тусламж",2022,37060.0
Улсын дундаж,"    Бусдад өгсөн бэлэг, тусламж",2021,30555.0
Улсын дундаж,"    Бусдад өгсөн бэлэг, тусламж",2020,28322.0
Улсын дундаж,"    Бусдад өгсөн бэлэг, тусламж",2019,28612.0
Улсын дундаж,"    Бусдад өгсөн бэлэг, тусламж",2018,26599.0
Улсын дундаж,"    Бусдад өгсөн бэлэг, тусламж",2017,21855.0
Улсын дундаж,"    Бусдад өгсөн бэлэг, тусламж",2016,22568.0
Улсын дундаж,"    Бусдад өгсөн бэлэг, тусламж",2015,28252.0
Улсын дундаж,"    Бусдад өгсөн бэлэг, тусламж",2014,26413.0
Улсын дундаж,"    Бусдад өгсөн бэлэг, тусламж",2013,19581.0
Улсын дундаж,"    Бусдад өгсөн бэлэг, тусламж",2012,15576.0
Улсын дундаж,"    Бусдад өгсөн бэлэг, тусламж",2011,17015.0
Улсын дундаж,"    Бусдад өгсөн бэлэг, тусламж",2010,12934.0
Улсын дундаж,"    Бусдад өгсөн бэлэг, тусламж",2009,13471.0
Улсын дундаж,"    Бусдад өгсөн бэлэг, тусламж",2008,9362.0
Улсын дундаж,"    Бусдад өгсөн бэлэг, тусламж",2007,3907.0
Улсын дундаж,"    Бусдад өгсөн бэлэг, тусламж",2006,4623.0
Улсын дундаж,"    Бусдад өгсөн бэлэг, тусламж",2005,3256.0
Улсын дундаж,"    Бусдад өгсөн бэлэг, тусламж",2004,2489.0
Улсын дундаж,"    Бусдад өгсөн бэлэг, тусламж",2003,2794.0
Улсын дундаж,"    Бусдад өгсөн бэлэг, тусламж",2002,2936.0
Улсын дундаж,"    Бусдад өгсөн бэлэг, тусламж",2001,
Улсын дундаж,"    Бусдад өгсөн бэлэг, тусламж",2000,
Улсын дундаж,"    Бусдад өгсөн бэлэг, тусламж",1999,
Улсын дундаж,"    Бусдад өгсөн бэлэг, тусламж",1998,
Улсын дундаж,"    Бусдад өгсөн бэлэг, тусламж",1997,
Улсын дундаж,2. Бусдаас үнэгүй авсан,2025,72369.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2024,61795.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2023,52796.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2022,58817.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2021,41603.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2020,52142.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2019,61345.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2018,55949.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2017,54724.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2016,43022.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2015,50508.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2014,46083.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2013,37285.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2012,31967.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2011,22626.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2010,19356.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2009,14743.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2008,10451.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2007,8134.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2006,4282.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2005,6672.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2004,7306.0
