Үзүүлэлт,Огноо,Дүн (тэрбум төг)
М1,2025-01,10832.17
Бусад хадгаламж,2025-01,30219.07
М2,2025-02,41087.8
М1,2025-02,10470.67
Бусад хадгаламж,2025-02,30617.13
М2,2025-03,40745.18
М1,2025-03,10137.93
Бусад хадгаламж,2025-03,30607.25
М2,2025-04,40706.4
М1,2025-04,9877.29
Бусад хадгаламж,2025-04,30829.11
М2,2025-05,40772.66
М1,2025-05,9676.01
Бусад хадгаламж,2025-05,31096.66
М2,2025-06,42229.63
М1,2025-06,10645.84
Бусад хадгаламж,2025-06,31583.79
М2,2025-07,42415.7
М1,2025-07,10187.84
Бусад хадгаламж,2025-07,32227.86
М2,2025-08,43618.02
М1,2025-08,10254.54
Бусад хадгаламж,2025-08,33363.48
М2,2025-09,43434.41
М1,2025-09,10504.05
Бусад хадгаламж,2025-09,32930.37
М2,2025-10,44359.87
М1,2025-10,10994.29
Бусад хадгаламж,2025-10,33365.58
М2,2025-11,45161.92
М1,2025-11,11111.61
Бусад хадгаламж,2025-11,34050.31
М2,2025-12,47065.98
М1,2025-12,11226.98
Бусад хадгаламж,2025-12,35839.0
