Үзүүлэлт,Огноо,Дүн (тэрбум төг)
Бусад хадгаламж,2005-03,679.62
М2,2005-04,932.48
М1,2005-04,248.01
Бусад хадгаламж,2005-04,684.46
М2,2005-05,972.13
М1,2005-05,255.5
Бусад хадгаламж,2005-05,716.63
М2,2005-06,1009.59
М1,2005-06,277.66
Бусад хадгаламж,2005-06,731.92
М2,2005-07,1040.14
М1,2005-07,278.81
Бусад хадгаламж,2005-07,761.33
М2,2005-08,1081.2
М1,2005-08,293.24
Бусад хадгаламж,2005-08,787.96
М2,2005-09,1112.37
М1,2005-09,273.52
Бусад хадгаламж,2005-09,838.85
М2,2005-10,1112.8
М1,2005-10,262.14
Бусад хадгаламж,2005-10,850.66
М2,2005-11,1110.62
М1,2005-11,253.1
Бусад хадгаламж,2005-11,857.52
М2,2005-12,1140.14
М1,2005-12,269.12
Бусад хадгаламж,2005-12,871.01
М2,2006-01,1146.57
М1,2006-01,267.58
Бусад хадгаламж,2006-01,878.99
М2,2006-02,1145.59
М1,2006-02,262.11
Бусад хадгаламж,2006-02,883.47
М2,2006-03,1191.24
М1,2006-03,274.38
Бусад хадгаламж,2006-03,916.87
М2,2006-04,1251.24
М1,2006-04,292.83
Бусад хадгаламж,2006-04,958.41
М2,2006-05,1403.99
М1,2006-05,326.23
Бусад хадгаламж,2006-05,1077.76
М2,2006-06,1454.19
М1,2006-06,328.61
Бусад хадгаламж,2006-06,1125.58
М2,2006-07,1478.26
М1,2006-07,325.02
Бусад хадгаламж,2006-07,1153.24
М2,2006-08,1495.32
М1,2006-08,343.06
Бусад хадгаламж,2006-08,1152.27
М2,2006-09,1542.76
М1,2006-09,331.26
Бусад хадгаламж,2006-09,1211.49
М2,2006-10,1548.79
М1,2006-10,320.03
Бусад хадгаламж,2006-10,1228.76
М2,2006-11,1586.2
М1,2006-11,325.03
Бусад хадгаламж,2006-11,1261.17
М2,2006-12,1536.59
М1,2006-12,331.9
Бусад хадгаламж,2006-12,1204.69
М2,2007-01,1556.01
М1,2007-01,335.0
Бусад хадгаламж,2007-01,1221.01
М2,2007-02,1627.77
М1,2007-02,342.6
Бусад хадгаламж,2007-02,1285.17
М2,2007-03,1746.75
М1,2007-03,401.5
Бусад хадгаламж,2007-03,1345.26
М2,2007-04,1883.62
М1,2007-04,455.12
Бусад хадгаламж,2007-04,1428.51
М2,2007-05,1966.09
М1,2007-05,490.29
Бусад хадгаламж,2007-05,1475.8
М2,2007-06,2016.09
М1,2007-06,502.22
Бусад хадгаламж,2007-06,1513.87
М2,2007-07,2094.66
М1,2007-07,497.04
Бусад хадгаламж,2007-07,1597.62
М2,2007-08,2195.41
М1,2007-08,535.47
Бусад хадгаламж,2007-08,1659.95
М2,2007-09,2191.94
М1,2007-09,515.43
Бусад хадгаламж,2007-09,1676.51
М2,2007-10,2264.36
М1,2007-10,523.43
Бусад хадгаламж,2007-10,1740.92
М2,2007-11,2235.08
М1,2007-11,519.93
Бусад хадгаламж,2007-11,1715.15
М2,2007-12,2401.25
М1,2007-12,590.47
Бусад хадгаламж,2007-12,1810.78
М2,2008-01,2306.95
М1,2008-01,551.88
Бусад хадгаламж,2008-01,1755.07
М2,2008-02,2417.22
М1,2008-02,549.18
Бусад хадгаламж,2008-02,1868.04
М2,2008-03,2454.76
М1,2008-03,577.71
Бусад хадгаламж,2008-03,1877.05
М2,2008-04,2466.3
М1,2008-04,583.65
Бусад хадгаламж,2008-04,1882.65
М2,2008-05,2516.23
М1,2008-05,620.61
Бусад хадгаламж,2008-05,1895.62
М2,2008-06,2564.29
М1,2008-06,624.89
Бусад хадгаламж,2008-06,1939.39
М2,2008-07,2595.18
М1,2008-07,624.05
Бусад хадгаламж,2008-07,1971.14
М2,2008-08,2576.45
М1,2008-08,642.22
Бусад хадгаламж,2008-08,1934.23
М2,2008-09,2522.35
М1,2008-09,603.47
Бусад хадгаламж,2008-09,1918.87
М2,2008-10,2355.08
М1,2008-10,561.25
Бусад хадгаламж,2008-10,1793.82
М2,2008-11,2239.11
М1,2008-11,548.31
Бусад хадгаламж,2008-11,1690.8
М2,2008-12,2267.42
М1,2008-12,647.34
Бусад хадгаламж,2008-12,1620.08
М2,2009-01,2199.37
М1,2009-01,535.27
Бусад хадгаламж,2009-01,1664.1
М2,2009-02,2312.99
М1,2009-02,549.89
Бусад хадгаламж,2009-02,1763.1
М2,2009-03,2350.94
М1,2009-03,511.39
Бусад хадгаламж,2009-03,1839.55
М2,2009-04,2340.69
М1,2009-04,517.9
Бусад хадгаламж,2009-04,1822.79
М2,2009-05,2403.51
М1,2009-05,559.14
Бусад хадгаламж,2009-05,1844.37
М2,2009-06,2438.37
М1,2009-06,544.38
Бусад хадгаламж,2009-06,1893.99
М2,2009-07,2509.09
М1,2009-07,521.83
Бусад хадгаламж,2009-07,1987.26
М2,2009-08,2563.47
М1,2009-08,597.14
Бусад хадгаламж,2009-08,1966.33
М2,2009-09,2652.39
М1,2009-09,622.71
Бусад хадгаламж,2009-09,2029.68
М2,2009-10,2669.94
М1,2009-10,608.78
Бусад хадгаламж,2009-10,2061.16
М2,2009-11,2714.14
М1,2009-11,600.59
Бусад хадгаламж,2009-11,2113.55
М2,2009-12,2879.43
М1,2009-12,651.25
Бусад хадгаламж,2009-12,2228.18
М2,2010-01,2870.39
М1,2010-01,629.7
Бусад хадгаламж,2010-01,2240.69
М2,2010-02,2981.26
М1,2010-02,627.9
Бусад хадгаламж,2010-02,2353.36
М2,2010-03,2973.91
М1,2010-03,693.0
Бусад хадгаламж,2010-03,2280.91
М2,2010-04,3162.44
М1,2010-04,754.3
Бусад хадгаламж,2010-04,2408.14
М2,2010-05,3251.59
М1,2010-05,795.66
Бусад хадгаламж,2010-05,2455.93
М2,2010-06,3521.84
М1,2010-06,839.63
Бусад хадгаламж,2010-06,2682.21
М2,2010-07,3540.95
М1,2010-07,825.89
Бусад хадгаламж,2010-07,2715.06
М2,2010-08,3655.61
М1,2010-08,931.46
Бусад хадгаламж,2010-08,2724.14
М2,2010-09,3850.19
