сар,хазайлт
2005-01,-0.2
2005-02,-6.3
2005-03,0.6
2005-04,1.9
2005-05,0.0
2005-06,1.1
2005-07,3.6
2005-08,3.7
2005-09,1.6
2005-10,2.8
2005-11,2.9
2005-12,-0.1
2006-01,1.3
2006-02,0.9
2006-03,2.5
2006-04,-1.3
2006-05,-2.1
2006-06,0.5
2006-07,1.1
2006-08,2.8
2006-09,3.1
2006-10,2.5
2006-11,3.0
2006-12,3.4
2007-01,3.1
2007-02,7.7
2007-03,-0.2
2007-04,2.7
2007-05,2.4
2007-06,3.8
2007-07,5.0
2007-08,3.5
2007-09,5.0
2007-10,0.1
2007-11,1.9
2007-12,2.7
2008-01,-1.8
2008-02,0.4
2008-03,6.4
2008-04,4.3
2008-05,-1.2
2008-06,2.5
2008-07,3.3
2008-08,2.5
2008-09,2.6
2008-10,1.4
2008-11,-20.0
2008-12,0.4
2009-01,1.3
2009-02,0.8
2009-03,1.3
2009-04,6.3
2009-05,2.9
2009-06,1.6
2009-07,2.4
2009-08,1.9
2009-09,1.8
2009-10,1.1
2009-11,-2.1
2009-12,-1.4
2010-01,-1.8
2010-02,-2.7
2010-03,-2.7
2010-04,-3.1
2010-05,2.7
2010-06,4.5
2010-07,4.8
2010-08,0.8
2010-09,3.9
2010-10,1.5
2010-11,2.5
2010-12,0.4
2011-01,-2.0
2011-02,2.5
2011-03,-0.8
2011-04,3.3
2011-05,-1.7
2011-06,1.7
2011-07,-0.7
2011-08,2.5
2011-09,-1.1
2011-10,3.2
2011-11,0.6
2011-12,-3.3
2012-01,-3.9
2012-02,-3.7
2012-03,-0.4
2012-04,1.0
2012-05,1.5
2012-06,-0.4
2012-07,-0.1
2012-08,0.1
2012-09,0.1
2012-10,-0.4
2012-11,-1.3
2012-12,-3.5
2013-01,0.7
2013-02,-2.7
2013-03,1.4
2013-04,-1.9
2013-05,1.5
2013-06,0.1
2013-07,-0.4
2013-08,-0.5
2013-09,-0.2
2013-10,0.4
2013-11,3.0
2013-12,3.0
2014-01,3.0
2014-02,-1.7
2014-03,3.0
2014-04,4.8
2014-05,-1.9
2014-06,-0.3
2014-07,-0.4
2014-08,0.3
2014-09,0.4
2014-10,3.7
2014-11,2.8
2014-12,2.3
2015-01,5.9
2015-02,3.8
2015-03,1.5
2015-04,2.0
2015-05,-1.1
2015-06,1.0
2015-07,1.6
2015-08,2.8
2015-09,1.2
2015-10,2.3
2015-11,0.1
2015-12,3.2
2016-01,-2.4
2016-02,0.5
2016-03,-7.7
2016-04,1.4
2016-05,-1.0
2016-06,-0.1
2016-07,2.4
2016-08,1.6
2016-09,1.1
2016-10,-2.3
2016-11,-2.7
2016-12,2.4
2017-01,1.5
2017-02,3.0
2017-03,3.5
2017-04,2.9
2017-05,2.6
2017-06,3.6
2017-07,2.7
2017-08,3.4
2017-09,0.2
2017-10,0.1
2017-11,-1.2
2017-12,2.2
2018-01,-0.9
2018-02,-1.0
2018-03,5.7
2018-04,2.4
2018-05,3.4
2018-06,2.2
2018-07,1.6
2018-08,1.5
2018-09,-1.2
2018-10,2.2
2018-11,2.2
2018-12,-1.4
2019-01,3.6
2019-02,0.0
2019-03,3.9
2019-04,1.9
2019-05,-0.8
2019-06,1.7
2019-07,1.0
2019-08,-0.3
2019-09,4.2
2019-10,0.3
2019-11,1.0
2019-12,1.3
2020-01,4.1
2020-02,3.3
2020-03,1.9
2020-04,4.2
2020-05,0.4
2020-06,1.3
2020-07,0.3
2020-08,0.0
2020-09,1.5
2020-10,-1.2
2020-11,-5.1
2020-12,-3.3
2021-01,0.6
2021-02,4.3
2021-03,5.1
2021-04,1.0
2021-05,-2.7
2021-06,-1.8
2021-07,0.2
2021-08,-0.7
2021-09,0.4
2021-10,0.7
2021-11,2.6
2021-12,3.4
2022-01,3.9
2022-02,-0.7
2022-03,1.2
2022-04,0.4
2022-05,0.9
2022-06,0.5
2022-07,-1.4
2022-08,-1.9
2022-09,1.8
2022-10,-0.5
2022-11,0.0
2022-12,-1.6
2023-01,0.3
2023-02,3.0
2023-03,2.8
2023-04,-3.0
2023-05,-1.5
2023-06,0.7
2023-07,-1.1
2023-08,0.4
2023-09,1.5
2023-10,3.4
2023-11,-0.9
2023-12,-0.1
2024-01,2.2
2024-02,-2.5
2024-03,0.3
2024-04,1.9
2024-05,2.9
2024-06,-0.5
2024-07,1.1
2024-08,1.8
2024-09,0.6
2024-10,1.1
2024-11,5.2
2024-12,2.3
2025-01,3.9
2025-02,-0.1
2025-03,2.6
2025-04,1.7
2025-05,0.6
2025-06,1.1
2025-07,1.2
2025-08,0.0
2025-09,0.7
2025-10,-2.7
2025-11,1.8
2025-12,0.5
2026-01,2.6
2026-02,1.1
2026-03,1.7
2026-04,0.7
2026-05,1.3
2026-06,-3.6
