session_id,session_number,date,parliamentary_year,session_kind,scheduled_start_time,actual_start_time,start_delay_minutes,title_mn,agenda_count,on_time,late,excused_general,excused_medical,mission_local,mission_foreign,absent_unexplained,total_members,data_provisional,dashboard_url,source_article_url,source_attachment_url
s169,16,2024-12-05,2024,AUTUMN,10:00,,,Монгол Улсын Их Хурлын 2024 оны намрын ээлжит чуулганы нэгдсэн хуралдааны 12 дугаар сарын 05-ны өдрийн ирцийн мэдээ,3,86,20,2,5,0,9,4,126,False,https://att.parliament.mn/sessions/2024-12-05,https://www.parliament.mn/nn/63551/,
s170,17,2024-12-06,2024,AUTUMN,10:00,,,Монгол Улсын Их Хурлын 2024 оны намрын ээлжит чуулганы нэгдсэн хуралдааны 12 дугаар сарын 06-ны өдрийн ирцийн мэдээ,3,62,40,2,7,0,10,5,126,False,https://att.parliament.mn/sessions/2024-12-06,https://www.parliament.mn/nn/63569/,
s171,18,2024-12-11,2024,AUTUMN,15:00,15:05,5,Монгол Улсын Их Хурлын 2024 оны намрын ээлжит чуулганы нэгдсэн хуралдааны 12 дугаар сарын 11-ний өдрийн ирцийн мэдээ,3,82,33,1,5,0,2,3,126,False,https://att.parliament.mn/sessions/2024-12-11,https://www.parliament.mn/nn/63609/,
s172,19,2024-12-12,2024,AUTUMN,10:00,10:28,28,Монгол Улсын Их Хурлын 2024 оны намрын ээлжит чуулганы нэгдсэн хуралдааны 12 дугаар сарын 12-ны өдрийн ирцийн мэдээ,3,85,25,1,6,0,2,7,126,False,https://att.parliament.mn/sessions/2024-12-12,https://www.parliament.mn/nn/63621/,
s173,20,2024-12-13,2024,AUTUMN,10:00,,,Монгол Улсын Их Хурлын 2024 оны намрын ээлжит чуулганы нэгдсэн хуралдааны 12 дугаар сарын 13-ны өдрийн ирцийн мэдээ,0,52,51,2,9,0,2,10,126,False,https://att.parliament.mn/sessions/2024-12-13,https://www.parliament.mn/nn/63631/,
s174,21,2024-12-20,2024,AUTUMN,10:00,10:03,3,Монгол Улсын Их Хурлын 2024 оны намрын ээлжит чуулганы нэгдсэн хуралдааны 12 дугаар сарын 20-ны өдрийн ирцийн мэдээ,4,69,30,2,6,4,6,9,126,False,https://att.parliament.mn/sessions/2024-12-20,https://www.parliament.mn/nn/63680/,
s175,22,2024-12-26,2024,AUTUMN,10:00,10:05,5,Монгол Улсын Их Хурлын 2024 оны намрын ээлжит чуулганы нэгдсэн хуралдааны 12 дугаар сарын 26-ны өдрийн ирцийн мэдээ,9,71,34,4,4,3,3,7,126,False,https://att.parliament.mn/sessions/2024-12-26,https://www.parliament.mn/nn/63738/,
s176,23,2024-12-27,2024,AUTUMN,10:00,10:03,3,Монгол Улсын Их Хурлын 2024 оны намрын ээлжит чуулганы нэгдсэн хуралдааны 12 дугаар сарын 27-ны өдрийн ирцийн мэдээ,4,73,34,5,6,3,1,4,126,False,https://att.parliament.mn/sessions/2024-12-27,https://www.parliament.mn/nn/63748/,
s177,24,2025-01-09,2024,AUTUMN,10:00,10:02,2,Монгол Улсын Их Хурлын 2024 оны намрын ээлжит чуулганы нэгдсэн хуралдааны 01 дүгээр сарын 09-ний өдрийн ирцийн мэдээ,7,75,19,10,11,7,1,3,126,False,https://att.parliament.mn/sessions/2025-01-09,https://www.parliament.mn/nn/73832/,
s178,25,2025-01-10,2024,AUTUMN,14:00,16:29,149,Монгол Улсын Их Хурлын 2024 оны намрын ээлжит чуулганы нэгдсэн хуралдааны 01 дүгээр сарын 10-ны өдрийн ирцийн мэдээ,2,74,23,13,8,5,1,2,126,False,https://att.parliament.mn/sessions/2025-01-10,https://www.parliament.mn/nn/73851/,
s179,26,2025-01-16,2024,AUTUMN,10:00,10:04,4,Монгол Улсын Их Хурлын 2024 оны намрын ээлжит чуулганы нэгдсэн хуралдааны 01 дүгээр сарын 16-ны өдрийн ирцийн мэдээ,0,65,28,10,6,2,13,2,126,False,https://att.parliament.mn/sessions/2025-01-16,https://www.parliament.mn/nn/73907/,
s180,27,2025-01-17,2024,AUTUMN,,10:00,,Монгол Улсын Их Хурлын 2024 оны намрын ээлжит чуулганы нэгдсэн хуралдааны 01 дүгээр сарын 17-ны өдрийн ирцийн мэдээ,0,53,38,11,7,3,13,1,126,False,https://att.parliament.mn/sessions/2025-01-17,https://www.parliament.mn/nn/73918/,
s181,28,2025-01-23,2024,AUTUMN,10:00,10:09,9,Монгол Улсын Их Хурлын 2024 оны намрын ээлжит чуулганы нэгдсэн хуралдааны 01 дүгээр сарын 23-ны өдрийн ирцийн мэдээ,0,88,12,9,10,0,5,2,126,False,https://att.parliament.mn/sessions/2025-01-23,https://www.parliament.mn/nn/73954/,
s182,29,2025-01-24,2024,AUTUMN,,10:00,,Монгол Улсын Их Хурлын 2024 оны намрын ээлжит чуулганы нэгдсэн хуралдааны 01 дүгээр сарын 24-ний өдрийн ирцийн мэдээ,0,50,50,9,10,0,6,1,126,False,https://att.parliament.mn/sessions/2025-01-24,https://www.parliament.mn/nn/73962/,
