member_id,ordinal,name_mn,surname_initial_mn,given_name_mn,party_code,party_name_mn,party_name_en,district,district_label_mn,mandate_label_mn,committee_code,committee_name_mn,profile_url,photo_url,is_flagged
m26,26,Б.Бат-Эрдэнэ,Б,Бат-Эрдэнэ,MAN,Монгол Ардын Нам,Mongolian People’s Party,4,4-р тойрог,4-р тойрог,bay,"Байгаль орчин, хүнс, хөдөө аж ахуйн байнгын хороо",https://www.parliament.mn/cv/325/,/api/mp-photo/bat-ulziin-bat-erdene.jpg,False
m27,27,Д.Үүрийнтуяа,Д,Үүрийнтуяа,MAN,Монгол Ардын Нам,Mongolian People’s Party,4,4-р тойрог,4-р тойрог,real,Төсвийн байнгын хороо,https://www.parliament.mn/cv/381/,/api/mp-photo/dorjsurengiin-uuriintuyaa.jpg,False
m28,28,Л.Мөнхбаатар,Л,Мөнхбаатар,MAN,Монгол Ардын Нам,Mongolian People’s Party,4,4-р тойрог,4-р тойрог,tor,Төрийн байгуулалтын байнгын хороо,https://www.parliament.mn/cv/234/,/api/mp-photo/lkhagvyn-munkhbaatar.jpg,False
m29,29,Ж.Бат-Эрдэнэ,Ж,Бат-Эрдэнэ,MAN,Монгол Ардын Нам,Mongolian People’s Party,4,4-р тойрог,4-р тойрог,bay,"Байгаль орчин, хүнс, хөдөө аж ахуйн байнгын хороо",https://www.parliament.mn/cv/222/,/api/mp-photo/jadambyn-bat-erdene.jpg,False
m30,30,Ц.Даваасүрэн,Ц,Даваасүрэн,MAN,Монгол Ардын Нам,Mongolian People’s Party,4,4-р тойрог,4-р тойрог,tor,Төрийн байгуулалтын байнгын хороо,https://www.parliament.mn/cv/227/,/api/mp-photo/tserenpiliin-davaasuren.jpg,False
m31,31,Б.Жавхлан,Б,Жавхлан,MAN,Монгол Ардын Нам,Mongolian People’s Party,5,5-р тойрог,5-р тойрог,real,Эдийн засгийн байнгын хороо,https://www.parliament.mn/cv/230/,/api/mp-photo/boldyn-javkhlan.jpg,False
m32,32,Ц.Туваан,Ц,Туваан,AN,Ардчилсан Нам,Democratic Party,5,5-р тойрог,5-р тойрог,bay,"Байгаль орчин, хүнс, хөдөө аж ахуйн байнгын хороо",https://www.parliament.mn/cv/98/,/api/mp-photo/tsevegdorjiin-tuvaan.jpg,False
m33,33,Д.Батбаяр,Д,Батбаяр,AN,Ардчилсан Нам,Democratic Party,5,5-р тойрог,5-р тойрог,real,Төсвийн байнгын хороо,https://www.parliament.mn/cv/318/,/api/mp-photo/dalain-batbayar.jpg,False
m34,34,Ж.Энхбаяр,Ж,Энхбаяр,MAN,Монгол Ардын Нам,Mongolian People’s Party,5,5-р тойрог,5-р тойрог,real,"Аюулгүй байдал, гадаад бодлогын байнгын хороо",https://www.parliament.mn/cv/387/,/api/mp-photo/jadambyn-enkhbayar.jpg,False
m35,35,Б.Тулга,Б,Тулга,MAN,Монгол Ардын Нам,Mongolian People’s Party,5,5-р тойрог,5-р тойрог,real,"Аюулгүй байдал, гадаад бодлогын байнгын хороо",https://www.parliament.mn/cv/375/,/api/mp-photo/buyaagiin-tulga.jpg,False
m36,36,Г.Дамдинням,Г,Дамдинням,MAN,Монгол Ардын Нам,Mongolian People’s Party,5,5-р тойрог,5-р тойрог,hzu,Хууль зүйн байнгын хороо,https://www.parliament.mn/cv/88/,/api/mp-photo/gongoryn-damdinnyam.jpg,False
m37,37,С.Эрдэнэболд,С,Эрдэнэболд,AN,Ардчилсан Нам,Democratic Party,5,5-р тойрог,5-р тойрог,real,"Аюулгүй байдал, гадаад бодлогын байнгын хороо",https://www.parliament.mn/cv/393/,/api/mp-photo/sukhbaataryn-erdenebold.jpg,False
m38,38,С.Лүндэг,С,Лүндэг,MAN,Монгол Ардын Нам,Mongolian People’s Party,5,5-р тойрог,5-р тойрог,real,"Аюулгүй байдал, гадаад бодлогын байнгын хороо",https://www.parliament.mn/cv/349/,/api/mp-photo/surenjavyn-lundeg.jpg,False
m39,39,Ч.Ундрам,Ч,Ундрам,MAN,Монгол Ардын Нам,Mongolian People’s Party,5,5-р тойрог,5-р тойрог,real,Өргөдлийн байнгын хороо,https://www.parliament.mn/cv/99/,/api/mp-photo/chinbatyn-undram.jpg,False
m40,40,Ж.Батжаргал,Ж,Батжаргал,MAN,Монгол Ардын Нам,Mongolian People’s Party,5,5-р тойрог,5-р тойрог,tor,Төрийн байгуулалтын байнгын хороо,https://www.parliament.mn/cv/80/,/api/mp-photo/jigjidiin-batjargal.jpg,False
m41,41,Л.Оюун-Эрдэнэ,Л,Оюун-Эрдэнэ,MAN,Монгол Ардын Нам,Mongolian People’s Party,6,6-р тойрог,6-р тойрог,real,"Аюулгүй байдал, гадаад бодлогын байнгын хороо",https://www.parliament.mn/cv/218/,/api/mp-photo/luvsannamsrain-oyuun-erdene.jpg,True
m42,42,М.Бадамсүрэн,М,Бадамсүрэн,MAN,Монгол Ардын Нам,Mongolian People’s Party,6,6-р тойрог,6-р тойрог,real,"Аюулгүй байдал, гадаад бодлогын байнгын хороо",https://www.parliament.mn/cv/316/,/api/mp-photo/myagmarsurengiin-badamsuren.jpg,False
m43,43,Ц.Идэрбат,Ц,Идэрбат,MAN,Монгол Ардын Нам,Mongolian People’s Party,6,6-р тойрог,6-р тойрог,real,Өргөдлийн байнгын хороо,https://www.parliament.mn/cv/145/,/api/mp-photo/tsagaankhuugiin-iderbat.jpg,False
m44,44,У.Отгонбаяр,У,Отгонбаяр,MAN,Монгол Ардын Нам,Mongolian People’s Party,6,6-р тойрог,6-р тойрог,bay,"Байгаль орчин, хүнс, хөдөө аж ахуйн байнгын хороо",https://www.parliament.mn/cv/365/,/api/mp-photo/ukhnaagiin-otgonbayar.jpg,False
