Types,Region,Year,value
Truck, Arkhangai,2015,5219.0
Truck, Arkhangai,2014,4815.0
Truck, Arkhangai,2013,4444.0
Truck, Arkhangai,2012,3774.0
Truck, Arkhangai,1957,
Truck, Arkhangai,1956,
Truck, Arkhangai,1955,
Truck, Arkhangai,1954,
Truck, Arkhangai,1953,
Truck, Arkhangai,1952,
Truck, Arkhangai,1951,
Truck, Arkhangai,1950,
Truck, Arkhangai,1949,
Truck, Arkhangai,1948,
Truck, Arkhangai,1947,
Truck, Arkhangai,1946,
Truck, Arkhangai,1945,
Truck, Arkhangai,1944,
Truck, Arkhangai,1943,
Truck, Arkhangai,1942,
Truck, Arkhangai,1941,
Truck, Arkhangai,1940,
Truck, Bayankhongor,2025,4984.0
Truck, Bayankhongor,2024,4604.0
Truck, Bayankhongor,2023,4283.0
Truck, Bayankhongor,2022,5275.0
Truck, Bayankhongor,2021,6033.0
Truck, Bayankhongor,2020,5756.0
Truck, Bayankhongor,2019,5644.0
Truck, Bayankhongor,2018,4969.0
Truck, Bayankhongor,2017,4661.0
Truck, Bayankhongor,2016,4601.0
Truck, Bayankhongor,2015,4387.0
Truck, Bayankhongor,2014,4151.0
Truck, Bayankhongor,2013,4103.0
Truck, Bayankhongor,2012,3839.0
Truck, Bayankhongor,1957,
Truck, Bayankhongor,1956,
Truck, Bayankhongor,1955,
Truck, Bayankhongor,1954,
Truck, Bayankhongor,1953,
Truck, Bayankhongor,1952,
Truck, Bayankhongor,1951,
Truck, Bayankhongor,1950,
Truck, Bayankhongor,1949,
Truck, Bayankhongor,1948,
Truck, Bayankhongor,1947,
Truck, Bayankhongor,1946,
Truck, Bayankhongor,1945,
Truck, Bayankhongor,1944,
Truck, Bayankhongor,1943,
Truck, Bayankhongor,1942,
Truck, Bayankhongor,1941,
Truck, Bayankhongor,1940,
Truck, Bulgan,2025,6220.0
Truck, Bulgan,2024,5708.0
Truck, Bulgan,2023,5429.0
Truck, Bulgan,2022,6117.0
Truck, Bulgan,2021,6556.0
Truck, Bulgan,2020,6212.0
Truck, Bulgan,2019,6037.0
Truck, Bulgan,2018,5589.0
Truck, Bulgan,2017,5243.0
Truck, Bulgan,2016,4982.0
Truck, Bulgan,2015,4606.0
Truck, Bulgan,2014,4204.0
Truck, Bulgan,2013,3757.0
Truck, Bulgan,2012,3330.0
Truck, Bulgan,1957,
Truck, Bulgan,1956,
Truck, Bulgan,1955,
Truck, Bulgan,1954,
Truck, Bulgan,1953,
Truck, Bulgan,1952,
Truck, Bulgan,1951,
Truck, Bulgan,1950,
Truck, Bulgan,1949,
Truck, Bulgan,1948,
Truck, Bulgan,1947,
Truck, Bulgan,1946,
Truck, Bulgan,1945,
Truck, Bulgan,1944,
Truck, Bulgan,1943,
Truck, Bulgan,1942,
Truck, Bulgan,1941,
Truck, Bulgan,1940,
Truck, Orkhon,2025,5358.0
Truck, Orkhon,2024,4986.0
Truck, Orkhon,2023,4634.0
Truck, Orkhon,2022,5760.0
Truck, Orkhon,2021,5813.0
Truck, Orkhon,2020,5403.0
Truck, Orkhon,2019,5179.0
Truck, Orkhon,2018,4890.0
Truck, Orkhon,2017,4747.0
Truck, Orkhon,2016,4674.0
Truck, Orkhon,2015,4486.0
Truck, Orkhon,2014,4262.0
Truck, Orkhon,2013,3982.0
Truck, Orkhon,2012,3603.0
Truck, Orkhon,1957,
Truck, Orkhon,1956,
Truck, Orkhon,1955,
Truck, Orkhon,1954,
Truck, Orkhon,1953,
Truck, Orkhon,1952,
Truck, Orkhon,1951,
Truck, Orkhon,1950,
Truck, Orkhon,1949,
Truck, Orkhon,1948,
Truck, Orkhon,1947,
Truck, Orkhon,1946,
Truck, Orkhon,1945,
Truck, Orkhon,1944,
Truck, Orkhon,1943,
Truck, Orkhon,1942,
Truck, Orkhon,1941,
Truck, Orkhon,1940,
Truck, Uvurkhangai,2025,8534.0
Truck, Uvurkhangai,2024,7841.0
Truck, Uvurkhangai,2023,7516.0
Truck, Uvurkhangai,2022,9487.0
Truck, Uvurkhangai,2021,9794.0
Truck, Uvurkhangai,2020,9603.0
Truck, Uvurkhangai,2019,9369.0
Truck, Uvurkhangai,2018,8473.0
Truck, Uvurkhangai,2017,7571.0
Truck, Uvurkhangai,2016,6935.0
Truck, Uvurkhangai,2015,6322.0
Truck, Uvurkhangai,2014,5574.0
Truck, Uvurkhangai,2013,5020.0
Truck, Uvurkhangai,2012,4507.0
Truck, Uvurkhangai,1957,
Truck, Uvurkhangai,1956,
Truck, Uvurkhangai,1955,
Truck, Uvurkhangai,1954,
Truck, Uvurkhangai,1953,
Truck, Uvurkhangai,1952,
Truck, Uvurkhangai,1951,
Truck, Uvurkhangai,1950,
Truck, Uvurkhangai,1949,
Truck, Uvurkhangai,1948,
Truck, Uvurkhangai,1947,
Truck, Uvurkhangai,1946,
Truck, Uvurkhangai,1945,
Truck, Uvurkhangai,1944,
Truck, Uvurkhangai,1943,
Truck, Uvurkhangai,1942,
Truck, Uvurkhangai,1941,
Truck, Uvurkhangai,1940,
Truck, Khuvsgul,2025,10261.0
Truck, Khuvsgul,2024,9568.0
Truck, Khuvsgul,2023,9008.0
Truck, Khuvsgul,2022,9601.0
Truck, Khuvsgul,2021,10824.0
Truck, Khuvsgul,2020,10021.0
Truck, Khuvsgul,2019,9222.0
Truck, Khuvsgul,2018,8052.0
Truck, Khuvsgul,2017,7284.0
Truck, Khuvsgul,2016,6664.0
Truck, Khuvsgul,2015,6232.0
Truck, Khuvsgul,2014,5784.0
Truck, Khuvsgul,2013,5231.0
Truck, Khuvsgul,2012,4609.0
Truck, Khuvsgul,1957,
Truck, Khuvsgul,1956,
Truck, Khuvsgul,1955,
Truck, Khuvsgul,1954,
Truck, Khuvsgul,1953,
Truck, Khuvsgul,1952,
Truck, Khuvsgul,1951,
Truck, Khuvsgul,1950,
Truck, Khuvsgul,1949,
Truck, Khuvsgul,1948,
Truck, Khuvsgul,1947,
Truck, Khuvsgul,1946,
Truck, Khuvsgul,1945,
Truck, Khuvsgul,1944,
Truck, Khuvsgul,1943,
Truck, Khuvsgul,1942,
Truck, Khuvsgul,1941,
Truck, Khuvsgul,1940,
Truck, Central region,2025,61539.0
Truck, Central region,2024,56199.0
Truck, Central region,2023,54057.0
Truck, Central region,2022,59377.0
Truck, Central region,2021,59688.0
Truck, Central region,2020,52676.0
Truck, Central region,2019,48583.0
Truck, Central region,2018,44637.0
Truck, Central region,2017,40222.0
Truck, Central region,2016,36657.0
Truck, Central region,2015,34291.0
Truck, Central region,2014,32119.0
Truck, Central region,2013,27060.0
Truck, Central region,2012,23528.0
Truck, Central region,1957,
Truck, Central region,1956,
Truck, Central region,1955,
Truck, Central region,1954,
Truck, Central region,1953,
Truck, Central region,1952,
Truck, Central region,1951,
Truck, Central region,1950,
Truck, Central region,1949,
Truck, Central region,1948,
Truck, Central region,1947,
Truck, Central region,1946,
Truck, Central region,1945,
Truck, Central region,1944,
Truck, Central region,1943,
Truck, Central region,1942,
Truck, Central region,1941,
Truck, Central region,1940,
Truck, Govisumber,2025,1096.0
Truck, Govisumber,2024,958.0
Truck, Govisumber,2023,867.0
Truck, Govisumber,2022,1020.0
Truck, Govisumber,2021,1157.0
Truck, Govisumber,2020,1096.0
Truck, Govisumber,2019,1083.0
Truck, Govisumber,2018,966.0
Truck, Govisumber,2017,901.0
Truck, Govisumber,2016,870.0
Truck, Govisumber,2015,844.0
Truck, Govisumber,2014,787.0
Truck, Govisumber,2013,686.0
Truck, Govisumber,2012,584.0
Truck, Govisumber,1957,
Truck, Govisumber,1956,
Truck, Govisumber,1955,
Truck, Govisumber,1954,
Truck, Govisumber,1953,
Truck, Govisumber,1952,
Truck, Govisumber,1951,
Truck, Govisumber,1950,
Truck, Govisumber,1949,
Truck, Govisumber,1948,
Truck, Govisumber,1947,
Truck, Govisumber,1946,
Truck, Govisumber,1945,
Truck, Govisumber,1944,
Truck, Govisumber,1943,
Truck, Govisumber,1942,
Truck, Govisumber,1941,
Truck, Govisumber,1940,
Truck, Darkhan-Uul,2025,6441.0
Truck, Darkhan-Uul,2024,5832.0
Truck, Darkhan-Uul,2023,5430.0
Truck, Darkhan-Uul,2022,6701.0
Truck, Darkhan-Uul,2021,6629.0
Truck, Darkhan-Uul,2020,6132.0
Truck, Darkhan-Uul,2019,5973.0
Truck, Darkhan-Uul,2018,5676.0
Truck, Darkhan-Uul,2017,5367.0
Truck, Darkhan-Uul,2016,5234.0
Truck, Darkhan-Uul,2015,5149.0
Truck, Darkhan-Uul,2014,4878.0
Truck, Darkhan-Uul,2013,4534.0
Truck, Darkhan-Uul,2012,4002.0
Truck, Darkhan-Uul,1957,
Truck, Darkhan-Uul,1956,
Truck, Darkhan-Uul,1955,
Truck, Darkhan-Uul,1954,
Truck, Darkhan-Uul,1953,
Truck, Darkhan-Uul,1952,
Truck, Darkhan-Uul,1951,
Truck, Darkhan-Uul,1950,
Truck, Darkhan-Uul,1949,
Truck, Darkhan-Uul,1948,
Truck, Darkhan-Uul,1947,
Truck, Darkhan-Uul,1946,
Truck, Darkhan-Uul,1945,
Truck, Darkhan-Uul,1944,
Truck, Darkhan-Uul,1943,
Truck, Darkhan-Uul,1942,
Truck, Darkhan-Uul,1941,
Truck, Darkhan-Uul,1940,
Truck, Dornogovi,2025,8313.0
Truck, Dornogovi,2024,7849.0
Truck, Dornogovi,2023,7115.0
Truck, Dornogovi,2022,7331.0
Truck, Dornogovi,2021,8187.0
Truck, Dornogovi,2020,6290.0
Truck, Dornogovi,2019,6032.0
Truck, Dornogovi,2018,5200.0
Truck, Dornogovi,2017,4764.0
Truck, Dornogovi,2016,4739.0
Truck, Dornogovi,2015,4767.0
Truck, Dornogovi,2014,4735.0
Truck, Dornogovi,2013,4017.0
Truck, Dornogovi,2012,3390.0
Truck, Dornogovi,1957,
Truck, Dornogovi,1956,
Truck, Dornogovi,1955,
Truck, Dornogovi,1954,
Truck, Dornogovi,1953,
Truck, Dornogovi,1952,
Truck, Dornogovi,1951,
Truck, Dornogovi,1950,
Truck, Dornogovi,1949,
Truck, Dornogovi,1948,
Truck, Dornogovi,1947,
Truck, Dornogovi,1946,
Truck, Dornogovi,1945,
Truck, Dornogovi,1944,
Truck, Dornogovi,1943,
Truck, Dornogovi,1942,
Truck, Dornogovi,1941,
Truck, Dornogovi,1940,
Truck, Dundgovi,2025,4506.0
Truck, Dundgovi,2024,3910.0
Truck, Dundgovi,2023,3799.0
Truck, Dundgovi,2022,4042.0
Truck, Dundgovi,2021,4677.0
Truck, Dundgovi,2020,4421.0
Truck, Dundgovi,2019,4397.0
Truck, Dundgovi,2018,3955.0
Truck, Dundgovi,2017,3445.0
Truck, Dundgovi,2016,3133.0
Truck, Dundgovi,2015,2803.0
Truck, Dundgovi,2014,2465.0
Truck, Dundgovi,2013,2088.0
Truck, Dundgovi,2012,1774.0
Truck, Dundgovi,1957,
Truck, Dundgovi,1956,
Truck, Dundgovi,1955,
Truck, Dundgovi,1954,
Truck, Dundgovi,1953,
Truck, Dundgovi,1952,
Truck, Dundgovi,1951,
Truck, Dundgovi,1950,
Truck, Dundgovi,1949,
Truck, Dundgovi,1948,
Truck, Dundgovi,1947,
Truck, Dundgovi,1946,
Truck, Dundgovi,1945,
Truck, Dundgovi,1944,
Truck, Dundgovi,1943,
Truck, Dundgovi,1942,
Truck, Dundgovi,1941,
Truck, Dundgovi,1940,
Truck, Umnugovi,2025,20419.0
Truck, Umnugovi,2024,19551.0
Truck, Umnugovi,2023,19807.0
Truck, Umnugovi,2022,19936.0
Truck, Umnugovi,2021,18540.0
Truck, Umnugovi,2020,15403.0
Truck, Umnugovi,2019,12416.0
Truck, Umnugovi,2018,11350.0
Truck, Umnugovi,2017,9209.0
Truck, Umnugovi,2016,7113.0
Truck, Umnugovi,2015,6215.0
Truck, Umnugovi,2014,5765.0
Truck, Umnugovi,2013,3770.0
Truck, Umnugovi,2012,3169.0
Truck, Umnugovi,1957,
Truck, Umnugovi,1956,
Truck, Umnugovi,1955,
Truck, Umnugovi,1954,
Truck, Umnugovi,1953,
Truck, Umnugovi,1952,
Truck, Umnugovi,1951,
Truck, Umnugovi,1950,
Truck, Umnugovi,1949,
Truck, Umnugovi,1948,
Truck, Umnugovi,1947,
Truck, Umnugovi,1946,
Truck, Umnugovi,1945,
Truck, Umnugovi,1944,
Truck, Umnugovi,1943,
Truck, Umnugovi,1942,
Truck, Umnugovi,1941,
Truck, Umnugovi,1940,
Truck, Selenge,2025,10946.0
Truck, Selenge,2024,9915.0
Truck, Selenge,2023,9288.0
Truck, Selenge,2022,11211.0
Truck, Selenge,2021,11136.0
Truck, Selenge,2020,10452.0
Truck, Selenge,2019,10062.0
Truck, Selenge,2018,9513.0
Truck, Selenge,2017,9022.0
Truck, Selenge,2016,8556.0
Truck, Selenge,2015,7980.0
Truck, Selenge,2014,7514.0
Truck, Selenge,2013,6980.0
Truck, Selenge,2012,6360.0
Truck, Selenge,1957,
Truck, Selenge,1956,
Truck, Selenge,1955,
Truck, Selenge,1954,
Truck, Selenge,1953,
Truck, Selenge,1952,
Truck, Selenge,1951,
Truck, Selenge,1950,
Truck, Selenge,1949,
Truck, Selenge,1948,
Truck, Selenge,1947,
Truck, Selenge,1946,
Truck, Selenge,1945,
Truck, Selenge,1944,
Truck, Selenge,1943,
Truck, Selenge,1942,
Truck, Selenge,1941,
Truck, Selenge,1940,
Truck, Tuv,2025,9818.0
Truck, Tuv,2024,8184.0
Truck, Tuv,2023,7751.0
Truck, Tuv,2022,9136.0
Truck, Tuv,2021,9362.0
Truck, Tuv,2020,8882.0
Truck, Tuv,2019,8620.0
Truck, Tuv,2018,7977.0
Truck, Tuv,2017,7514.0
Truck, Tuv,2016,7012.0
Truck, Tuv,2015,6533.0
Truck, Tuv,2014,5975.0
Truck, Tuv,2013,4985.0
Truck, Tuv,2012,4249.0
Truck, Tuv,1957,
Truck, Tuv,1956,
Truck, Tuv,1955,
Truck, Tuv,1954,
Truck, Tuv,1953,
Truck, Tuv,1952,
Truck, Tuv,1951,
Truck, Tuv,1950,
Truck, Tuv,1949,
Truck, Tuv,1948,
Truck, Tuv,1947,
Truck, Tuv,1946,
Truck, Tuv,1945,
Truck, Tuv,1944,
Truck, Tuv,1943,
Truck, Tuv,1942,
Truck, Tuv,1941,
Truck, Tuv,1940,
Truck, Eastern region,2025,19312.0
Truck, Eastern region,2024,17748.0
Truck, Eastern region,2023,16682.0
Truck, Eastern region,2022,18093.0
Truck, Eastern region,2021,19375.0
Truck, Eastern region,2020,17950.0
Truck, Eastern region,2019,17189.0
Truck, Eastern region,2018,15333.0
Truck, Eastern region,2017,13935.0
Truck, Eastern region,2016,13103.0
Truck, Eastern region,2015,12321.0
Truck, Eastern region,2014,11465.0
Truck, Eastern region,2013,10390.0
Truck, Eastern region,2012,9044.0
Truck, Eastern region,1957,
Truck, Eastern region,1956,
Truck, Eastern region,1955,
Truck, Eastern region,1954,
Truck, Eastern region,1953,
Truck, Eastern region,1952,
Truck, Eastern region,1951,
Truck, Eastern region,1950,
Truck, Eastern region,1949,
Truck, Eastern region,1948,
Truck, Eastern region,1947,
Truck, Eastern region,1946,
Truck, Eastern region,1945,
Truck, Eastern region,1944,
Truck, Eastern region,1943,
Truck, Eastern region,1942,
Truck, Eastern region,1941,
Truck, Eastern region,1940,
Truck, Dornod,2025,6417.0
Truck, Dornod,2024,5696.0
Truck, Dornod,2023,5178.0
Truck, Dornod,2022,5294.0
Truck, Dornod,2021,6174.0
Truck, Dornod,2020,5641.0
Truck, Dornod,2019,5418.0
Truck, Dornod,2018,4805.0
Truck, Dornod,2017,4373.0
Truck, Dornod,2016,4052.0
Truck, Dornod,2015,3851.0
Truck, Dornod,2014,3644.0
Truck, Dornod,2013,3305.0
Truck, Dornod,2012,2938.0
Truck, Dornod,1957,
Truck, Dornod,1956,
Truck, Dornod,1955,
Truck, Dornod,1954,
Truck, Dornod,1953,
Truck, Dornod,1952,
Truck, Dornod,1951,
Truck, Dornod,1950,
Truck, Dornod,1949,
Truck, Dornod,1948,
Truck, Dornod,1947,
Truck, Dornod,1946,
Truck, Dornod,1945,
Truck, Dornod,1944,
Truck, Dornod,1943,
Truck, Dornod,1942,
Truck, Dornod,1941,
Truck, Dornod,1940,
Truck, Sukhbaatar,2025,6604.0
Truck, Sukhbaatar,2024,6180.0
Truck, Sukhbaatar,2023,5709.0
Truck, Sukhbaatar,2022,6165.0
Truck, Sukhbaatar,2021,6388.0
Truck, Sukhbaatar,2020,6022.0
Truck, Sukhbaatar,2019,5833.0
Truck, Sukhbaatar,2018,5181.0
Truck, Sukhbaatar,2017,4712.0
Truck, Sukhbaatar,2016,4528.0
Truck, Sukhbaatar,2015,4281.0
Truck, Sukhbaatar,2014,3963.0
Truck, Sukhbaatar,2013,3614.0
Truck, Sukhbaatar,2012,3134.0
Truck, Sukhbaatar,1957,
Truck, Sukhbaatar,1956,
Truck, Sukhbaatar,1955,
Truck, Sukhbaatar,1954,
Truck, Sukhbaatar,1953,
Truck, Sukhbaatar,1952,
Truck, Sukhbaatar,1951,
Truck, Sukhbaatar,1950,
Truck, Sukhbaatar,1949,
Truck, Sukhbaatar,1948,
Truck, Sukhbaatar,1947,
Truck, Sukhbaatar,1946,
Truck, Sukhbaatar,1945,
Truck, Sukhbaatar,1944,
Truck, Sukhbaatar,1943,
Truck, Sukhbaatar,1942,
Truck, Sukhbaatar,1941,
Truck, Sukhbaatar,1940,
Truck, Khentii,2025,6291.0
Truck, Khentii,2024,5872.0
Truck, Khentii,2023,5795.0
Truck, Khentii,2022,6634.0
Truck, Khentii,2021,6813.0
Truck, Khentii,2020,6287.0
Truck, Khentii,2019,5938.0
Truck, Khentii,2018,5347.0
Truck, Khentii,2017,4850.0
Truck, Khentii,2016,4523.0
Truck, Khentii,2015,4189.0
Truck, Khentii,2014,3858.0
Truck, Khentii,2013,3471.0
Truck, Khentii,2012,2972.0
Truck, Khentii,1957,
Truck, Khentii,1956,
Truck, Khentii,1955,
Truck, Khentii,1954,
Truck, Khentii,1953,
Truck, Khentii,1952,
Truck, Khentii,1951,
Truck, Khentii,1950,
Truck, Khentii,1949,
Truck, Khentii,1948,
Truck, Khentii,1947,
Truck, Khentii,1946,
Truck, Khentii,1945,
Truck, Khentii,1944,
Truck, Khentii,1943,
Truck, Khentii,1942,
Truck, Khentii,1941,
Truck, Khentii,1940,
Truck, Ulaanbaatar,2025,116666.0
Truck, Ulaanbaatar,2024,121663.0
Truck, Ulaanbaatar,2023,110336.0
Truck, Ulaanbaatar,2022,114883.0
Truck, Ulaanbaatar,2021,107243.0
Truck, Ulaanbaatar,2020,98176.0
Truck, Ulaanbaatar,2019,91670.0
Truck, Ulaanbaatar,2018,88710.0
Truck, Ulaanbaatar,2017,87098.0
Truck, Ulaanbaatar,2016,85481.0
Truck, Ulaanbaatar,2015,85208.0
Truck, Ulaanbaatar,2014,84388.0
Truck, Ulaanbaatar,2013,76319.0
Truck, Ulaanbaatar,2012,66792.0
Truck, Ulaanbaatar,1957,
Truck, Ulaanbaatar,1956,
Truck, Ulaanbaatar,1955,
Truck, Ulaanbaatar,1954,
Truck, Ulaanbaatar,1953,
Truck, Ulaanbaatar,1952,
Truck, Ulaanbaatar,1951,
Truck, Ulaanbaatar,1950,
Truck, Ulaanbaatar,1949,
Truck, Ulaanbaatar,1948,
Truck, Ulaanbaatar,1947,
Truck, Ulaanbaatar,1946,
Truck, Ulaanbaatar,1945,
Truck, Ulaanbaatar,1944,
Truck, Ulaanbaatar,1943,
Truck, Ulaanbaatar,1942,
Truck, Ulaanbaatar,1941,
Truck, Ulaanbaatar,1940,
Truck,  Ulaanbaatar,2025,116666.0
Truck,  Ulaanbaatar,2024,121663.0
Truck,  Ulaanbaatar,2023,110336.0
Truck,  Ulaanbaatar,2022,114883.0
Truck,  Ulaanbaatar,2021,87372.0
Truck,  Ulaanbaatar,2020,98176.0
Truck,  Ulaanbaatar,2019,91670.0
Truck,  Ulaanbaatar,2018,88710.0
Truck,  Ulaanbaatar,2017,87098.0
Truck,  Ulaanbaatar,2016,85481.0
Truck,  Ulaanbaatar,2015,85208.0
Truck,  Ulaanbaatar,2014,84388.0
Truck,  Ulaanbaatar,2013,76319.0
Truck,  Ulaanbaatar,2012,66792.0
Truck,  Ulaanbaatar,1957,
Truck,  Ulaanbaatar,1956,
Truck,  Ulaanbaatar,1955,
Truck,  Ulaanbaatar,1954,
Truck,  Ulaanbaatar,1953,
Truck,  Ulaanbaatar,1952,
Truck,  Ulaanbaatar,1951,
Truck,  Ulaanbaatar,1950,
Truck,  Ulaanbaatar,1949,
Truck,  Ulaanbaatar,1948,
Truck,  Ulaanbaatar,1947,
Truck,  Ulaanbaatar,1946,
Truck,  Ulaanbaatar,1945,
Truck,  Ulaanbaatar,1944,
Truck,  Ulaanbaatar,1943,
Truck,  Ulaanbaatar,1942,
Truck,  Ulaanbaatar,1941,
Truck,  Ulaanbaatar,1940,
Passenger car,Total,2025,958155.0
Passenger car,Total,2024,896309.0
Passenger car,Total,2023,788038.0
Passenger car,Total,2022,812263.0
Passenger car,Total,2021,775171.0
Passenger car,Total,2020,715309.0
Passenger car,Total,2019,667375.0
Passenger car,Total,2018,631436.0
Passenger car,Total,2017,586854.0
Passenger car,Total,2016,547299.0
Passenger car,Total,2015,509287.0
Passenger car,Total,2014,472270.0
Passenger car,Total,2013,431938.0
Passenger car,Total,2012,388888.0
Passenger car,Total,1957,
Passenger car,Total,1956,
Passenger car,Total,1955,
Passenger car,Total,1954,
Passenger car,Total,1953,
Passenger car,Total,1952,
Passenger car,Total,1951,
Passenger car,Total,1950,
Passenger car,Total,1949,
Passenger car,Total,1948,
Passenger car,Total,1947,
Passenger car,Total,1946,
Passenger car,Total,1945,
Passenger car,Total,1944,
Passenger car,Total,1943,
Passenger car,Total,1942,
Passenger car,Total,1941,
Passenger car,Total,1940,
Passenger car, Western region,2025,81405.0
Passenger car, Western region,2024,70567.0
Passenger car, Western region,2023,61586.0
Passenger car, Western region,2022,67091.0
Passenger car, Western region,2021,66181.0
Passenger car, Western region,2020,59144.0
Passenger car, Western region,2019,54788.0
Passenger car, Western region,2018,49212.0
Passenger car, Western region,2017,44546.0
Passenger car, Western region,2016,40950.0
Passenger car, Western region,2015,37378.0
Passenger car, Western region,2014,34523.0
Passenger car, Western region,2013,32090.0
Passenger car, Western region,2012,29480.0
Passenger car, Western region,1957,
Passenger car, Western region,1956,
Passenger car, Western region,1955,
Passenger car, Western region,1954,
Passenger car, Western region,1953,
Passenger car, Western region,1952,
Passenger car, Western region,1951,
Passenger car, Western region,1950,
Passenger car, Western region,1949,
Passenger car, Western region,1948,
Passenger car, Western region,1947,
Passenger car, Western region,1946,
Passenger car, Western region,1945,
Passenger car, Western region,1944,
Passenger car, Western region,1943,
Passenger car, Western region,1942,
Passenger car, Western region,1941,
Passenger car, Western region,1940,
Passenger car, Bayan-Ulgii,2025,22380.0
Passenger car, Bayan-Ulgii,2024,19072.0
Passenger car, Bayan-Ulgii,2023,16225.0
Passenger car, Bayan-Ulgii,2022,17777.0
Passenger car, Bayan-Ulgii,2021,17596.0
Passenger car, Bayan-Ulgii,2020,15967.0
Passenger car, Bayan-Ulgii,2019,14934.0
Passenger car, Bayan-Ulgii,2018,11922.0
Passenger car, Bayan-Ulgii,2017,10749.0
Passenger car, Bayan-Ulgii,2016,9986.0
Passenger car, Bayan-Ulgii,2015,9251.0
Passenger car, Bayan-Ulgii,2014,8619.0
Passenger car, Bayan-Ulgii,2013,8354.0
Passenger car, Bayan-Ulgii,2012,7340.0
Passenger car, Bayan-Ulgii,1957,
Passenger car, Bayan-Ulgii,1956,
Passenger car, Bayan-Ulgii,1955,
Passenger car, Bayan-Ulgii,1954,
Passenger car, Bayan-Ulgii,1953,
Passenger car, Bayan-Ulgii,1952,
Passenger car, Bayan-Ulgii,1951,
Passenger car, Bayan-Ulgii,1950,
Passenger car, Bayan-Ulgii,1949,
Passenger car, Bayan-Ulgii,1948,
Passenger car, Bayan-Ulgii,1947,
Passenger car, Bayan-Ulgii,1946,
Passenger car, Bayan-Ulgii,1945,
Passenger car, Bayan-Ulgii,1944,
Passenger car, Bayan-Ulgii,1943,
Passenger car, Bayan-Ulgii,1942,
Passenger car, Bayan-Ulgii,1941,
Passenger car, Bayan-Ulgii,1940,
Passenger car, Govi-Altai,2025,11575.0
Passenger car, Govi-Altai,2024,10252.0
Passenger car, Govi-Altai,2023,9104.0
Passenger car, Govi-Altai,2022,10403.0
Passenger car, Govi-Altai,2021,10601.0
Passenger car, Govi-Altai,2020,9611.0
Passenger car, Govi-Altai,2019,9033.0
Passenger car, Govi-Altai,2018,8543.0
Passenger car, Govi-Altai,2017,7707.0
Passenger car, Govi-Altai,2016,7118.0
Passenger car, Govi-Altai,2015,6458.0
Passenger car, Govi-Altai,2014,5947.0
Passenger car, Govi-Altai,2013,5552.0
Passenger car, Govi-Altai,2012,5201.0
Passenger car, Govi-Altai,1957,
Passenger car, Govi-Altai,1956,
Passenger car, Govi-Altai,1955,
Passenger car, Govi-Altai,1954,
Passenger car, Govi-Altai,1953,
Passenger car, Govi-Altai,1952,
Passenger car, Govi-Altai,1951,
Passenger car, Govi-Altai,1950,
Passenger car, Govi-Altai,1949,
Passenger car, Govi-Altai,1948,
Passenger car, Govi-Altai,1947,
Passenger car, Govi-Altai,1946,
Passenger car, Govi-Altai,1945,
Passenger car, Govi-Altai,1944,
Passenger car, Govi-Altai,1943,
Passenger car, Govi-Altai,1942,
Passenger car, Govi-Altai,1941,
Passenger car, Govi-Altai,1940,
Passenger car, Zavkhan,2025,13526.0
Passenger car, Zavkhan,2024,11335.0
Passenger car, Zavkhan,2023,10132.0
Passenger car, Zavkhan,2022,10862.0
Passenger car, Zavkhan,2021,10638.0
Passenger car, Zavkhan,2020,9358.0
Passenger car, Zavkhan,2019,8703.0
Passenger car, Zavkhan,2018,8093.0
Passenger car, Zavkhan,2017,7311.0
Passenger car, Zavkhan,2016,6660.0
Passenger car, Zavkhan,2015,6003.0
Passenger car, Zavkhan,2014,5591.0
Passenger car, Zavkhan,2013,5307.0
Passenger car, Zavkhan,2012,4847.0
Passenger car, Zavkhan,1957,
Passenger car, Zavkhan,1956,
Passenger car, Zavkhan,1955,
Passenger car, Zavkhan,1954,
Passenger car, Zavkhan,1953,
Passenger car, Zavkhan,1952,
Passenger car, Zavkhan,1951,
Passenger car, Zavkhan,1950,
Passenger car, Zavkhan,1949,
Passenger car, Zavkhan,1948,
Passenger car, Zavkhan,1947,
Passenger car, Zavkhan,1946,
Passenger car, Zavkhan,1945,
Passenger car, Zavkhan,1944,
Passenger car, Zavkhan,1943,
Passenger car, Zavkhan,1942,
Passenger car, Zavkhan,1941,
Passenger car, Zavkhan,1940,
Passenger car, Uvs,2025,15609.0
Passenger car, Uvs,2024,14014.0
Passenger car, Uvs,2023,12428.0
Passenger car, Uvs,2022,12457.0
Passenger car, Uvs,2021,12626.0
Passenger car, Uvs,2020,11091.0
Passenger car, Uvs,2019,9936.0
Passenger car, Uvs,2018,9211.0
Passenger car, Uvs,2017,8359.0
Passenger car, Uvs,2016,7722.0
Passenger car, Uvs,2015,7130.0
Passenger car, Uvs,2014,6472.0
Passenger car, Uvs,2013,5737.0
Passenger car, Uvs,2012,5340.0
Passenger car, Uvs,1957,
Passenger car, Uvs,1956,
Passenger car, Uvs,1955,
Passenger car, Uvs,1954,
Passenger car, Uvs,1953,
Passenger car, Uvs,1952,
Passenger car, Uvs,1951,
Passenger car, Uvs,1950,
Passenger car, Uvs,1949,
Passenger car, Uvs,1948,
Passenger car, Uvs,1947,
Passenger car, Uvs,1946,
Passenger car, Uvs,1945,
Passenger car, Uvs,1944,
Passenger car, Uvs,1943,
